session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,North Central,North Central,,,,,0,849,973,375,357,5,0,0,598,18,2.0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,North East,North East,,,,,0,1322,1547,173,165,2,0,0,1374,8,2.0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,North West,North West,,,,,0,2130,2420,316,310,2,0,0,2104,6,2.0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,South East,South East,,,,,0,732,834,212,197,4,0,0,622,15,2.0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,South South,South South,,,,,0,870,1013,243,229,4,0,0,770,14,2.0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,zone,South West,South West,,,,,0,2024,2380,773,712,17,0,0,1607,61,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,North Central,North Central,,,,,0,858,999,1893,1892,0,0,0,0,1,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,North East,North East,,,,,0,1248,1412,1325,1307,5,0,0,87,18,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,North West,North West,,,,,0,2876,3329,1392,1336,16,0,0,1937,56,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,South East,South East,,,,,0,778,903,2187,1844,96,0,0,0,343,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,South South,South South,,,,,0,809,930,2097,1980,33,0,0,0,117,2.0
2022/2023,Female,ALL,NABTEB,2-year,University,zone,South West,South West,,,,,0,2145,2456,2421,2294,36,0,0,35,127,2.0
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,North Central,North Central,,,,,0,580,684,349,348,0,0,0,335,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,North East,North East,,,,,0,972,1111,221,220,0,0,0,890,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,North West,North West,,,,,0,1764,2091,323,322,0,0,0,1768,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,South East,South East,,,,,0,465,530,140,139,0,0,0,390,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,South South,South South,,,,,0,572,679,105,104,0,0,0,574,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,zone,South West,South West,,,,,0,1385,1607,521,520,0,0,0,1086,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,542,619,293,292,0,0,0,326,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,North East,North East,,,,,0,862,997,121,120,0,0,0,876,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,North West,North West,,,,,0,1398,1610,222,221,0,0,0,1388,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,South East,South East,,,,,0,470,537,157,156,0,0,0,380,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,South South,South South,,,,,0,559,657,182,181,0,0,0,475,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,zone,South West,South West,,,,,0,1303,1528,557,556,0,0,0,971,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,North Central,North Central,,,,,0,558,642,1483,1482,0,0,0,0,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,North East,North East,,,,,0,800,900,860,798,17,0,0,40,62,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,North West,North West,,,,,0,1866,2152,1008,1007,0,0,0,1144,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,South East,South East,,,,,0,503,577,1481,1480,0,0,0,0,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,South South,South South,,,,,0,514,595,1558,1557,0,0,0,0,1,1.5
2022/2023,Female,ALL,NABTEB,3-5-year,University,zone,South West,South West,,,,,0,1349,1556,1669,1668,0,0,0,0,1,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,North Central,North Central,,,,,0,318,378,139,59,22,0,0,239,80,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,North East,North East,,,,,0,544,626,60,15,13,0,0,566,45,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,North West,North West,,,,,0,998,1155,94,30,18,0,0,1061,64,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,South East,South East,,,,,0,252,288,65,25,11,0,0,223,40,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,South South,South South,,,,,0,314,365,48,24,7,0,0,317,24,1.5
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,zone,South West,South West,,,,,0,785,896,250,137,32,0,0,646,113,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,North Central,North Central,,,,,0,316,356,122,33,25,0,0,234,89,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,North East,North East,,,,,0,461,523,27,4,6,0,0,496,23,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,North West,North West,,,,,0,762,902,70,26,12,0,0,832,44,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,South East,South East,,,,,0,258,284,75,34,11,0,0,209,41,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,South South,South South,,,,,0,316,358,93,42,14,0,0,265,51,1.5
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,zone,South West,South West,,,,,0,720,850,271,129,40,0,0,579,142,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,North Central,North Central,,,,,0,317,360,629,227,113,0,0,0,402,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,North East,North East,,,,,0,430,498,216,69,41,0,0,282,147,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,North West,North West,,,,,0,1046,1152,254,93,45,0,0,898,161,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,South East,South East,,,,,0,271,303,709,332,106,0,0,0,377,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,South South,South South,,,,,0,282,326,812,265,153,0,0,0,547,1.5
2022/2023,Female,ALL,NABTEB,5+-year,University,zone,South West,South West,,,,,0,733,841,761,373,109,0,0,80,388,1.5
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,North Central,North Central,,,,,0,2623,3049,1357,1249,30,0,0,1692,108,1.0
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,North East,North East,,,,,0,4361,4988,865,813,15,0,0,4123,52,1.0
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,North West,North West,,,,,0,8107,9389,1247,1172,21,0,0,8142,75,1.0
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,South East,South East,,,,,0,2119,2447,644,591,15,0,0,1803,53,1.0
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,South South,South South,,,,,0,2590,2970,443,404,11,0,0,2527,39,1.0
2022/2023,Female,ALL,NECO,1-year,College of Education,zone,South West,South West,,,,,0,6283,7205,2112,1953,45,0,0,5093,159,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,North Central,North Central,,,,,0,2506,2860,1129,1059,20,0,0,1731,70,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,North East,North East,,,,,0,3922,4568,454,425,8,0,0,4114,29,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,North West,North West,,,,,0,6326,7236,882,826,16,0,0,6354,56,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,South East,South East,,,,,0,2105,2402,698,647,14,0,0,1704,51,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,South South,South South,,,,,0,2561,2950,792,733,17,0,0,2158,59,1.0
2022/2023,Female,ALL,NECO,1-year,Polytechnic,zone,South West,South West,,,,,0,5997,6967,2392,2188,57,0,0,4575,204,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,North Central,North Central,,,,,0,2562,2952,5851,5529,90,0,0,0,322,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,North East,North East,,,,,0,3591,4120,3255,3040,60,0,0,865,215,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,North West,North West,,,,,0,8505,9768,3783,3494,81,0,0,5985,289,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,South East,South East,,,,,0,2318,2669,7279,6764,144,0,0,0,515,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,South South,South South,,,,,0,2380,2693,6590,6185,113,0,0,0,405,1.0
2022/2023,Female,ALL,NECO,1-year,University,zone,South West,South West,,,,,0,6229,7053,7129,6554,161,0,0,0,575,1.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,North Central,North Central,,,,,0,1679,1941,871,789,23,0,0,1070,82,2.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,North East,North East,,,,,0,2796,3179,541,494,13,0,0,2638,47,2.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,North West,North West,,,,,0,5188,6018,810,740,20,0,0,5208,70,2.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,South East,South East,,,,,0,1343,1552,408,369,11,0,0,1144,39,2.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,South South,South South,,,,,0,1636,1877,280,250,8,0,0,1597,30,2.0
2022/2023,Female,ALL,NECO,2-year,College of Education,zone,South West,South West,,,,,0,4011,4553,1341,1234,30,0,0,3212,107,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,North Central,North Central,,,,,0,1598,1812,712,643,19,0,0,1100,69,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,North East,North East,,,,,0,2495,2910,294,259,10,0,0,2616,35,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,North West,North West,,,,,0,4058,4650,560,509,14,0,0,4090,51,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,South East,South East,,,,,0,1335,1516,449,419,8,0,0,1067,30,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,South South,South South,,,,,0,1619,1872,502,461,11,0,0,1370,41,2.0
2022/2023,Female,ALL,NECO,2-year,Polytechnic,zone,South West,South West,,,,,0,3816,4434,1544,1364,50,0,0,2890,180,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,North Central,North Central,,,,,0,1619,1849,3662,3441,62,0,0,0,221,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,North East,North East,,,,,0,2299,2614,1988,1925,18,0,0,626,63,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,North West,North West,,,,,0,5443,6229,2386,2196,53,0,0,3843,190,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,South East,South East,,,,,0,1467,1692,4626,4321,85,0,0,0,305,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,South South,South South,,,,,0,1503,1705,4167,3806,101,0,0,0,361,2.0
2022/2023,Female,ALL,NECO,2-year,University,zone,South West,South West,,,,,0,3929,4449,4547,4090,128,0,0,0,457,2.0
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,North Central,North Central,,,,,0,1084,1254,568,516,15,0,0,686,52,1.5
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,North East,North East,,,,,0,1817,2090,373,349,7,0,0,1717,24,1.5
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,North West,North West,,,,,0,3316,3812,508,484,7,0,0,3304,24,1.5
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,South East,South East,,,,,0,875,1022,249,245,1,0,0,773,4,1.5
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,South South,South South,,,,,0,1065,1218,174,169,1,0,0,1044,5,1.5
2022/2023,Female,ALL,NECO,3-5-year,College of Education,zone,South West,South West,,,,,0,2543,2936,879,772,30,0,0,2057,107,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,1016,1164,447,417,8,0,0,717,30,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,North East,North East,,,,,0,1625,1893,185,178,2,0,0,1708,7,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,North West,North West,,,,,0,2575,2930,350,316,10,0,0,2580,34,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,South East,South East,,,,,0,872,990,286,270,4,0,0,704,16,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,South South,South South,,,,,0,1044,1204,322,290,9,0,0,882,32,1.5
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,zone,South West,South West,,,,,0,2504,2909,969,923,13,0,0,1940,46,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,North Central,North Central,,,,,0,1047,1205,2392,2246,41,0,0,0,146,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,North East,North East,,,,,0,1466,1695,1339,1283,16,0,0,356,56,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,North West,North West,,,,,0,3495,4030,1527,1410,33,0,0,2503,117,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,South East,South East,,,,,0,939,1080,2927,2749,50,0,0,0,178,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,South South,South South,,,,,0,983,1119,2737,2527,59,0,0,0,210,1.5
2022/2023,Female,ALL,NECO,3-5-year,University,zone,South West,South West,,,,,0,2525,2874,2898,2649,70,0,0,0,249,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,North Central,North Central,,,,,0,583,669,311,292,5,0,0,358,19,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,North East,North East,,,,,0,997,1142,216,186,8,0,0,926,30,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,North West,North West,,,,,0,1836,2132,294,239,15,0,0,1838,55,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,South East,South East,,,,,0,481,563,151,137,4,0,0,412,14,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,South South,South South,,,,,0,586,675,104,97,2,0,0,571,7,1.5
2022/2023,Female,ALL,NECO,5+-year,College of Education,zone,South West,South West,,,,,0,1443,1668,523,460,18,0,0,1145,63,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,North Central,North Central,,,,,0,570,661,277,250,8,0,0,384,27,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,North East,North East,,,,,0,903,1063,115,105,3,0,0,948,10,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,North West,North West,,,,,0,1432,1656,217,189,8,0,0,1439,28,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,South East,South East,,,,,0,466,525,159,129,8,0,0,366,30,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,South South,South South,,,,,0,582,679,177,171,2,0,0,502,6,1.5
2022/2023,Female,ALL,NECO,5+-year,Polytechnic,zone,South West,South West,,,,,0,1348,1551,529,510,5,0,0,1022,19,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,North Central,North Central,,,,,0,575,666,1483,1180,85,0,0,0,303,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,North East,North East,,,,,0,815,953,883,638,69,0,0,70,245,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,North West,North West,,,,,0,1920,2193,950,843,30,0,0,1243,107,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,South East,South East,,,,,0,517,589,1638,1423,60,0,0,0,215,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,South South,South South,,,,,0,524,593,1552,1410,40,0,0,0,142,1.5
2022/2023,Female,ALL,NECO,5+-year,University,zone,South West,South West,,,,,0,1427,1605,1703,1504,56,0,0,0,199,1.5
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,North Central,North Central,,,,,0,3480,4021,1904,1777,36,0,0,2117,127,1.0
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,North East,North East,,,,,0,5751,6589,1163,1075,25,0,0,5426,88,1.0
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,North West,North West,,,,,0,10773,12540,1737,1609,36,0,0,10803,128,1.0
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,South East,South East,,,,,0,2822,3270,848,780,19,0,0,2422,68,1.0
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,South South,South South,,,,,0,3417,3949,608,561,13,0,0,3341,47,1.0
2022/2023,Female,ALL,WAEC,1-year,College of Education,zone,South West,South West,,,,,0,8203,9412,2771,2561,59,0,0,6641,210,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,North Central,North Central,,,,,0,3318,3790,1576,1450,35,0,0,2214,126,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,North East,North East,,,,,0,5174,5986,619,567,15,0,0,5367,52,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,North West,North West,,,,,0,8235,9373,1218,1118,28,0,0,8155,100,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,South East,South East,,,,,0,2768,3154,918,854,18,0,0,2236,64,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,South South,South South,,,,,0,3345,3848,1063,973,25,0,0,2785,90,1.0
2022/2023,Female,ALL,WAEC,1-year,Polytechnic,zone,South West,South West,,,,,0,7845,9174,3108,2871,66,0,0,6066,237,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,North Central,North Central,,,,,0,3341,3840,8176,7551,175,0,0,0,625,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,North East,North East,,,,,0,4812,5505,4381,4045,94,0,0,1124,336,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,North West,North West,,,,,0,11217,12817,5262,4880,107,0,0,7555,382,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,South East,South East,,,,,0,3016,3473,9473,8727,209,0,0,0,746,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,South South,South South,,,,,0,3127,3558,9136,8423,200,0,0,0,713,1.0
2022/2023,Female,ALL,WAEC,1-year,University,zone,South West,South West,,,,,0,8212,9310,9241,8607,178,0,0,69,634,1.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,North Central,North Central,,,,,0,2210,2550,1212,1112,28,0,0,1338,100,2.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,North East,North East,,,,,0,3640,4182,734,678,16,0,0,3448,56,2.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,North West,North West,,,,,0,6844,7933,1100,1006,26,0,0,6833,94,2.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,South East,South East,,,,,0,1806,2083,535,499,10,0,0,1548,36,2.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,South South,South South,,,,,0,2191,2537,395,365,8,0,0,2142,30,2.0
2022/2023,Female,ALL,WAEC,2-year,College of Education,zone,South West,South West,,,,,0,5181,5948,1749,1635,32,0,0,4199,114,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,North Central,North Central,,,,,0,2107,2403,997,919,22,0,0,1406,78,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,North East,North East,,,,,0,3304,3823,390,369,6,0,0,3433,21,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,North West,North West,,,,,0,5244,5980,773,716,16,0,0,5207,57,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,South East,South East,,,,,0,1748,1984,584,525,17,0,0,1400,59,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,South South,South South,,,,,0,2134,2453,670,614,16,0,0,1783,56,2.0
2022/2023,Female,ALL,WAEC,2-year,Polytechnic,zone,South West,South West,,,,,0,5020,5833,1975,1849,35,0,0,3858,126,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,North Central,North Central,,,,,0,2102,2421,5184,4690,138,0,0,0,494,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,North East,North East,,,,,0,3095,3532,2829,2597,65,0,0,703,232,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,North West,North West,,,,,0,7136,8139,3352,3054,83,0,0,4787,298,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,South East,South East,,,,,0,1926,2220,6011,5546,130,0,0,0,465,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,South South,South South,,,,,0,1977,2248,5811,5411,112,0,0,0,400,2.0
2022/2023,Female,ALL,WAEC,2-year,University,zone,South West,South West,,,,,0,5215,5938,5840,5462,106,0,0,98,378,2.0
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,North Central,North Central,,,,,0,1394,1606,773,706,19,0,0,833,67,1.5
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,North East,North East,,,,,0,2325,2639,465,425,11,0,0,2174,40,1.5
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,North West,North West,,,,,0,4316,4990,686,618,19,0,0,4304,68,1.5
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,South East,South East,,,,,0,1143,1335,343,321,6,0,0,992,22,1.5
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,South South,South South,,,,,0,1397,1611,249,233,4,0,0,1362,16,1.5
2022/2023,Female,ALL,WAEC,3-5-year,College of Education,zone,South West,South West,,,,,0,3409,3902,1167,1063,29,0,0,2735,104,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,1346,1531,615,589,7,0,0,916,26,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,North East,North East,,,,,0,2124,2441,250,222,8,0,0,2191,28,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,North West,North West,,,,,0,3388,3830,487,447,11,0,0,3343,40,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,South East,South East,,,,,0,1136,1300,376,346,8,0,0,924,30,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,South South,South South,,,,,0,1366,1577,431,390,11,0,0,1146,41,1.5
2022/2023,Female,ALL,WAEC,3-5-year,Polytechnic,zone,South West,South West,,,,,0,3200,3756,1269,1213,16,0,0,2487,56,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,North Central,North Central,,,,,0,1381,1580,3335,3138,55,0,0,0,197,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,North East,North East,,,,,0,1937,2213,1725,1619,30,0,0,488,106,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,North West,North West,,,,,0,4599,5284,2121,1958,46,0,0,3163,163,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,South East,South East,,,,,0,1262,1445,3956,3673,79,0,0,0,283,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,South South,South South,,,,,0,1275,1439,3695,3400,83,0,0,0,295,1.5
2022/2023,Female,ALL,WAEC,3-5-year,University,zone,South West,South West,,,,,0,3379,3830,3792,3502,81,0,0,38,290,1.5
2022/2023,Female,ALL,WAEC,5+-year,College of Education,zone,North Central,North Central,,,,,0,784,900,426,408,5,0,0,474,18,1.5
2022/2023,Female,ALL,WAEC,5+-year,College of Education,zone,North East,North East,,,,,0,1305,1481,272,249,6,0,0,1209,23,1.5
2022/2023,Female,ALL,WAEC,5+-year,College of Education,zone,North West,North West,,,,,0,2368,2755,387,363,7,0,0,2368,24,1.5
2022/2023,Female,ALL,WAEC,5+-year,College of Education,zone,South East,South East,,,,,0,627,721,187,165,6,0,0,534,22,1.5
