session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,89,81
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,all,Non-STEMM,Education,Social Studies Education,542,496
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Estate Management,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,disabled,Non-STEMM,Education,Social Studies Education,43,39
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,all,Non-STEMM,Education,Social Studies Education,443,406
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Estate Management,13,12
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,disabled,Non-STEMM,Education,Social Studies Education,35,32
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Kwali,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Abuja Federal Capital Territory,Kwali,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Estate Management,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Estate Management,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Mathematics / Statistics,Mathematics,398,365
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Medicine / Health Sciences,Physiology,61,56
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Mathematics / Statistics,Mathematics,31,28
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,disabled,STEMM,Medicine / Health Sciences,Physiology,4,4
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Mathematics / Statistics,Mathematics,508,465
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Medicine / Health Sciences,Physiology,44,40
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Mathematics / Statistics,Mathematics,40,36
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,disabled,STEMM,Medicine / Health Sciences,Physiology,3,3
2022/2023,North Central,Benue,Gboko,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,6,5
2022/2023,North Central,Benue,Gboko,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,8,7
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,all,Non-STEMM,Education,Business Education,1773,1624
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,all,STEMM,Health Sciences,Medical Laboratory Science,716,656
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,all,STEMM,Physical Sciences,Physics,70,64
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,disabled,Non-STEMM,Education,Business Education,145,132
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,disabled,STEMM,Health Sciences,Medical Laboratory Science,58,53
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Female,disabled,STEMM,Physical Sciences,Physics,6,5
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,all,Non-STEMM,Education,Business Education,1450,1328
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,all,STEMM,Health Sciences,Medical Laboratory Science,518,474
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,all,STEMM,Physical Sciences,Physics,89,81
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,disabled,Non-STEMM,Education,Business Education,118,107
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,disabled,STEMM,Health Sciences,Medical Laboratory Science,42,38
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 1,Male,disabled,STEMM,Physical Sciences,Physics,7,6
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,all,Non-STEMM,Education,Business Education,1772,1623
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,all,STEMM,Health Sciences,Medical Laboratory Science,716,656
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,all,STEMM,Physical Sciences,Physics,70,64
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,disabled,Non-STEMM,Education,Business Education,145,132
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,disabled,STEMM,Health Sciences,Medical Laboratory Science,58,53
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Female,disabled,STEMM,Physical Sciences,Physics,6,5
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,all,Non-STEMM,Education,Business Education,1450,1328
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,all,STEMM,Health Sciences,Medical Laboratory Science,518,474
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,all,STEMM,Physical Sciences,Physics,89,81
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,disabled,Non-STEMM,Education,Business Education,118,107
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,disabled,STEMM,Health Sciences,Medical Laboratory Science,42,38
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 2,Male,disabled,STEMM,Physical Sciences,Physics,7,6
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,all,Non-STEMM,Education,Business Education,1772,1623
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,all,STEMM,Health Sciences,Medical Laboratory Science,716,656
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,all,STEMM,Physical Sciences,Physics,70,64
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,disabled,Non-STEMM,Education,Business Education,144,131
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,disabled,STEMM,Health Sciences,Medical Laboratory Science,58,53
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Female,disabled,STEMM,Physical Sciences,Physics,5,5
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,all,Non-STEMM,Education,Business Education,1449,1327
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,all,STEMM,Health Sciences,Medical Laboratory Science,519,475
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,all,STEMM,Physical Sciences,Physics,89,81
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,disabled,Non-STEMM,Education,Business Education,118,107
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,disabled,STEMM,Health Sciences,Medical Laboratory Science,41,37
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 3,Male,disabled,STEMM,Physical Sciences,Physics,7,6
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,all,Non-STEMM,Education,Business Education,1772,1623
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,all,STEMM,Health Sciences,Medical Laboratory Science,715,655
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,all,STEMM,Physical Sciences,Physics,70,64
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,disabled,Non-STEMM,Education,Business Education,144,131
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,disabled,STEMM,Health Sciences,Medical Laboratory Science,58,53
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Female,disabled,STEMM,Physical Sciences,Physics,5,5
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,all,Non-STEMM,Education,Business Education,1450,1328
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,all,STEMM,Health Sciences,Medical Laboratory Science,518,474
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,all,STEMM,Physical Sciences,Physics,90,82
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,disabled,Non-STEMM,Education,Business Education,117,107
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,disabled,STEMM,Health Sciences,Medical Laboratory Science,41,37
2022/2023,North Central,Benue,Gboko,University,Other University Admissions - Benue 4,Male,disabled,STEMM,Physical Sciences,Physics,7,6
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,51,47
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,4,4
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,65,60
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,51,47
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 2,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,4,4
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,65,60
2022/2023,North Central,Benue,Makurdi,Monotechnic,Other Monotechnic Admissions 2,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,5,5
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Female,all,STEMM,Engineering,Chemical Engineering,640,586
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,83,76
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Female,disabled,STEMM,Engineering,Chemical Engineering,51,46
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Female,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,6,5
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Male,all,STEMM,Engineering,Chemical Engineering,884,810
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Male,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,107,98
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Male,disabled,STEMM,Engineering,Chemical Engineering,70,64
2022/2023,North Central,Benue,Makurdi,Polytechnic,Other Polytechnic Admissions - Benue 1,Male,disabled,STEMM,Environmental Sciences,Urban and Regional Planning,8,7
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Female,all,Non-STEMM,ART,Philosophy,702,643
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Female,all,STEMM,Environmental Sciences,Estate Management,62,57
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Female,disabled,Non-STEMM,ART,Philosophy,56,51
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,4,4
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Male,all,Non-STEMM,ART,Philosophy,621,569
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Male,all,STEMM,Environmental Sciences,Estate Management,79,72
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Male,disabled,Non-STEMM,ART,Philosophy,49,45
2022/2023,North Central,Benue,Oturkpo,College of Education,Other College of Education Admissions - Benue 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,6,5
2022/2023,North Central,Benue,Oturkpo,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,24,22
2022/2023,North Central,Benue,Oturkpo,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Benue,Oturkpo,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,31,28
2022/2023,North Central,Benue,Oturkpo,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Benue,Oturkpo,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,7,6
2022/2023,North Central,Benue,Oturkpo,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,10,9
2022/2023,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,29,27
2022/2023,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,37,34
2022/2023,North Central,Kogi,Ankpa,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,disabled,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,North Central,Kogi,Ankpa,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,7,6
2022/2023,North Central,Kogi,Ankpa,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,9,8
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,all,Non-STEMM,ART,Theology,413,378
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,all,STEMM,Environmental Sciences,Estate Management,49,45
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,all,STEMM,Mathematics / Statistics,Statistics,524,480
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,disabled,Non-STEMM,ART,Theology,33,30
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,disabled,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,41,37
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,all,Non-STEMM,ART,Theology,365,334
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,all,STEMM,Environmental Sciences,Estate Management,63,58
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,all,STEMM,Mathematics / Statistics,Statistics,669,613
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,disabled,Non-STEMM,ART,Theology,29,26
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,disabled,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North Central,Kogi,Kabba/Bunu,College of Education,Other College of Education Admissions - Kogi 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,53,48
2022/2023,North Central,Kogi,Kabba/Bunu,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,8,7
2022/2023,North Central,Kogi,Kabba/Bunu,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,12,11
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,all,STEMM,Engineering,Mechanical Engineering,482,441
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,all,STEMM,Health Sciences,Science Laboratory Technology,2079,1904
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,all,STEMM,Mathematics / Statistics,Statistics,70,64
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Engineering,Mechanical Engineering,39,35
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,170,155
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Female,disabled,STEMM,Mathematics / Statistics,Statistics,6,5
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,all,STEMM,Engineering,Mechanical Engineering,666,610
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,all,STEMM,Health Sciences,Science Laboratory Technology,1505,1378
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,all,STEMM,Mathematics / Statistics,Statistics,89,81
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Engineering,Mechanical Engineering,54,49
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,123,112
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 1,Male,disabled,STEMM,Mathematics / Statistics,Statistics,7,6
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,all,STEMM,Engineering,Mechanical Engineering,482,441
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,all,STEMM,Health Sciences,Science Laboratory Technology,2078,1903
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,all,STEMM,Mathematics / Statistics,Statistics,70,64
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Engineering,Mechanical Engineering,39,35
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,170,155
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Female,disabled,STEMM,Mathematics / Statistics,Statistics,6,5
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,all,STEMM,Engineering,Mechanical Engineering,666,610
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,all,STEMM,Health Sciences,Science Laboratory Technology,1505,1378
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,all,STEMM,Mathematics / Statistics,Statistics,89,81
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Engineering,Mechanical Engineering,54,49
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,122,111
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 2,Male,disabled,STEMM,Mathematics / Statistics,Statistics,7,6
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,all,STEMM,Engineering,Mechanical Engineering,481,441
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,all,STEMM,Health Sciences,Science Laboratory Technology,2079,1904
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,all,STEMM,Mathematics / Statistics,Statistics,70,64
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Engineering,Mechanical Engineering,39,35
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,170,155
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Female,disabled,STEMM,Mathematics / Statistics,Statistics,5,5
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,all,STEMM,Engineering,Mechanical Engineering,665,609
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,all,STEMM,Health Sciences,Science Laboratory Technology,1506,1379
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,all,STEMM,Mathematics / Statistics,Statistics,89,81
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Engineering,Mechanical Engineering,54,49
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Health Sciences,Science Laboratory Technology,122,111
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 3,Male,disabled,STEMM,Mathematics / Statistics,Statistics,7,6
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,all,STEMM,Engineering,Mechanical Engineering,481,441
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,all,STEMM,Health Sciences,Science Laboratory Technology,2079,1904
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,all,STEMM,Mathematics / Statistics,Statistics,70,64
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Engineering,Mechanical Engineering,38,35
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Health Sciences,Science Laboratory Technology,169,154
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Female,disabled,STEMM,Mathematics / Statistics,Statistics,5,5
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,all,STEMM,Engineering,Mechanical Engineering,665,609
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,all,STEMM,Health Sciences,Science Laboratory Technology,1505,1378
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,all,STEMM,Mathematics / Statistics,Statistics,90,82
2022/2023,North Central,Kogi,Lokoja,University,Other University Admissions - Kogi 4,Male,disabled,STEMM,Engineering,Mechanical Engineering,53,48
