session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Business Administration,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Mass Communication,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Public Administration,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Biological Sciences,Biochemistry,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Computing / ICT,Computer Science,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Chemical Engineering,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Mechatronics Engineering,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Petroleum Engineering,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Actuarial Science,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Operations Research,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Statistics,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Physical Sciences,Microbiology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Geology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Industrial Chemistry,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Plant Science,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Technology / ICT,Cybersecurity,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Technology / ICT,Information Systems,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Arts,Law,38,33,31
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Broadcasting,31,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Development Communication,33,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Journalism and Media Studies,31,28,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Public Relations,31,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Banking and Finance,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Business Administration,31,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Mass Communication,23,18,15
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Public Administration,33,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Biological Sciences,Biochemistry,28,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Computing / ICT,Computer Science,25,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Chemical Engineering,38,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Mechatronics Engineering,33,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Petroleum Engineering,33,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Actuarial Science,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Applied Mathematics,36,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Operations Research,36,25,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Statistics,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Physical Sciences,Microbiology,31,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Geology,33,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Industrial Chemistry,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Plant Science,38,31,31
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Technology / ICT,Cybersecurity,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Technology / ICT,Information Systems,36,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Arts,Law,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Broadcasting,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Development Communication,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Public Relations,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Business Administration,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Mass Communication,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Public Administration,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Biological Sciences,Biochemistry,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Computing / ICT,Computer Science,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Chemical Engineering,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Mechatronics Engineering,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Petroleum Engineering,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Actuarial Science,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Operations Research,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Statistics,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Physical Sciences,Microbiology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Geology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Industrial Chemistry,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Plant Science,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Technology / ICT,Cybersecurity,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Technology / ICT,Information Systems,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts,Law,41,33,31
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,History and International Studies,28,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,Religious Studies,36,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,Theatre Arts,43,36,33
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Business / Administration / Law,Marketing,33,28,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Broadcasting,28,25,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Development Communication,36,31,31
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Public Relations,33,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Adult Education,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Educational Technology,43,36,33
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Guidance and Counselling,31,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Primary Education Studies,41,36,33
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,English Language,23,18,18
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,Hausa,38,31,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,Yoruba,28,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Accounting,25,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Business Administration,36,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Criminology,41,36,33
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Economics,25,20,18
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Geography,36,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,International Relations,33,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Sociology,33,28,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts,Law,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,History and International Studies,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,Religious Studies,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,Theatre Arts,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Business / Administration / Law,Marketing,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Broadcasting,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Development Communication,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Public Relations,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Adult Education,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Educational Technology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Guidance and Counselling,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Primary Education Studies,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,English Language,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,Hausa,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,Yoruba,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Accounting,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Business Administration,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Criminology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Economics,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Geography,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,International Relations,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Sociology,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts,Law,46,38,36
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,History and International Studies,28,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,Religious Studies,41,33,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,Theatre Arts,41,33,31
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Business / Administration / Law,Marketing,36,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Broadcasting,36,33,31
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Development Communication,36,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Public Relations,36,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Adult Education,38,33,33
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Educational Technology,36,28,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Guidance and Counselling,33,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Primary Education Studies,46,41,36
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,English Language,28,20,18
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,Hausa,33,28,25
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,Yoruba,28,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Accounting,28,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Business Administration,31,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Criminology,36,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Economics,25,20,18
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Geography,38,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,International Relations,33,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Sociology,31,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts,Law,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts / Humanities,History and International Studies,5,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts / Humanities,Religious Studies,5,3,3
