session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,Disabled,NABTEB,Polytechnic,15,15,9,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,Disabled,NECO,Polytechnic,28,28,16,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,Disabled,WAEC,Polytechnic,38,37,19,8,8,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,ALL,NABTEB,Polytechnic,58,57,34,18,14,4,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,ALL,NECO,Polytechnic,100,99,60,25,22,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,ALL,WAEC,Polytechnic,122,120,70,31,29,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,Disabled,NECO,Polytechnic,12,12,8,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Female,Disabled,WAEC,Polytechnic,12,12,7,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,ALL,NABTEB,Polytechnic,64,63,37,14,14,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,ALL,NECO,Polytechnic,116,114,70,25,22,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,ALL,WAEC,Polytechnic,131,129,78,27,25,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,Disabled,NECO,Polytechnic,12,12,8,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Unity College, Mbaise",Male,Disabled,WAEC,Polytechnic,12,12,7,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,ALL,NABTEB,College of Education,70,69,40,14,14,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,ALL,NECO,College of Education,116,114,65,25,22,3,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,ALL,WAEC,College of Education,147,145,85,35,33,2,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,Disabled,NABTEB,College of Education,12,12,6,5,5,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,Disabled,NECO,College of Education,15,15,8,4,4,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Female,Disabled,WAEC,College of Education,22,22,12,4,4,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,ALL,NABTEB,College of Education,64,63,34,9,9,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,ALL,NECO,College of Education,104,102,55,13,9,4,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,ALL,WAEC,College of Education,134,132,78,27,25,2,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,Disabled,NABTEB,College of Education,12,12,6,0,0,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,Disabled,NECO,College of Education,12,12,5,0,0,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Community Secondary School, Ibeku",Male,Disabled,WAEC,College of Education,18,18,10,4,4,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,ALL,NABTEB,Polytechnic,61,60,34,14,14,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,ALL,NECO,Polytechnic,90,89,55,25,22,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,ALL,WAEC,Polytechnic,110,108,63,23,21,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,Disabled,NECO,Polytechnic,12,12,8,4,5,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Female,Disabled,WAEC,Polytechnic,15,15,10,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,ALL,NABTEB,Polytechnic,64,63,37,9,9,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,ALL,NECO,Polytechnic,116,114,62,25,22,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,ALL,WAEC,Polytechnic,128,126,78,27,25,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,Disabled,NABTEB,Polytechnic,12,12,6,0,0,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,Disabled,NECO,Polytechnic,15,15,8,4,5,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Comprehensive High School, Ibeku",Male,Disabled,WAEC,Polytechnic,15,15,10,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,ALL,NABTEB,College of Education,131,129,74,27,23,4,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,ALL,NECO,College of Education,225,222,133,55,49,6,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,ALL,WAEC,College of Education,347,342,202,81,74,7,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,Disabled,NABTEB,College of Education,12,12,6,5,5,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,Disabled,NECO,College of Education,18,18,10,4,5,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Female,Disabled,WAEC,College of Education,35,34,19,8,8,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,ALL,NABTEB,College of Education,125,123,77,23,18,5,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,ALL,NECO,College of Education,200,197,112,38,35,3,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,ALL,WAEC,College of Education,310,305,180,73,70,3,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,Disabled,NABTEB,College of Education,12,12,6,5,5,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,Disabled,NECO,College of Education,22,22,10,4,5,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Government Secondary School, Ibeku",Male,Disabled,WAEC,College of Education,31,31,17,8,8,0,1.8
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,ALL,NABTEB,Polytechnic,70,69,37,14,14,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,ALL,NECO,Polytechnic,96,95,55,21,18,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,ALL,WAEC,Polytechnic,153,151,85,31,29,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,Disabled,NECO,Polytechnic,12,12,8,4,5,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Female,Disabled,WAEC,Polytechnic,18,18,10,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,ALL,NABTEB,Polytechnic,73,72,43,9,9,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,ALL,NECO,Polytechnic,119,117,68,25,22,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,ALL,WAEC,Polytechnic,175,172,100,35,33,2,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,Disabled,NABTEB,Polytechnic,12,12,6,0,0,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,Disabled,NECO,Polytechnic,15,15,8,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Ibeku,"Unity College, Mbaise",Male,Disabled,WAEC,Polytechnic,25,25,15,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,ALL,NABTEB,Polytechnic,64,63,40,14,14,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,ALL,NECO,Polytechnic,96,95,57,21,18,3,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,ALL,WAEC,Polytechnic,141,139,85,35,33,2,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,Disabled,NECO,Polytechnic,12,12,8,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Female,Disabled,WAEC,Polytechnic,18,18,12,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,ALL,NABTEB,Polytechnic,58,57,34,14,14,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,ALL,NECO,Polytechnic,107,105,68,25,22,3,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,ALL,WAEC,Polytechnic,147,145,83,31,29,2,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,Disabled,NECO,Polytechnic,15,15,10,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Community Secondary School, Agbobu",Male,Disabled,WAEC,Polytechnic,18,18,10,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,ALL,NABTEB,University,107,105,67,23,18,5,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,ALL,NECO,University,197,194,120,55,49,6,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,ALL,WAEC,University,244,240,146,58,53,5,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,Disabled,NABTEB,University,15,15,9,5,5,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,Disabled,NECO,University,25,25,13,4,5,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Female,Disabled,WAEC,University,28,28,15,4,4,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,ALL,NABTEB,University,110,108,67,23,18,5,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,ALL,NECO,University,191,188,109,42,35,7,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,ALL,WAEC,University,250,246,148,58,53,5,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,Disabled,NABTEB,University,15,15,9,5,5,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,Disabled,NECO,University,28,28,16,4,5,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Comprehensive High School, Agbobu",Male,Disabled,WAEC,University,35,34,19,8,8,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,ALL,NABTEB,University,122,120,71,18,14,4,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,ALL,NECO,University,231,228,125,42,40,2,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,ALL,WAEC,University,269,265,153,50,45,5,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,Disabled,NABTEB,University,15,15,9,0,0,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,Disabled,NECO,University,28,28,13,4,5,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Female,Disabled,WAEC,University,35,34,17,4,4,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,ALL,NABTEB,University,113,111,64,18,14,4,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,ALL,NECO,University,209,206,107,30,27,3,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,ALL,WAEC,University,263,259,148,42,37,5,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,Disabled,NABTEB,University,15,15,6,0,0,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,Disabled,NECO,University,28,28,13,4,5,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Government Secondary School, Agbobu",Male,Disabled,WAEC,University,35,34,19,4,4,0,1.5
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,ALL,NABTEB,Polytechnic,134,132,74,27,23,4,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,ALL,NECO,Polytechnic,238,234,141,46,44,2,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,ALL,WAEC,Polytechnic,325,320,185,69,62,7,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,Disabled,NECO,Polytechnic,25,25,13,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Female,Disabled,WAEC,Polytechnic,35,34,17,8,8,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,ALL,NABTEB,Polytechnic,145,143,83,27,23,4,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,ALL,NECO,Polytechnic,269,265,151,50,44,6,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,ALL,WAEC,Polytechnic,353,348,209,77,70,7,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,Disabled,NABTEB,Polytechnic,15,15,9,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,Disabled,NECO,Polytechnic,28,28,13,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Agbobu,"Unity College, Okigwe",Male,Disabled,WAEC,Polytechnic,38,37,19,8,8,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,ALL,NABTEB,Polytechnic,73,72,43,18,18,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,ALL,NECO,Polytechnic,128,126,78,34,31,3,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,ALL,WAEC,Polytechnic,159,157,92,38,37,1,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,Disabled,NECO,Polytechnic,12,12,8,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Female,Disabled,WAEC,Polytechnic,18,18,10,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,ALL,NABTEB,Polytechnic,85,84,49,18,14,4,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,ALL,NECO,Polytechnic,153,151,91,34,31,3,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,ALL,WAEC,Polytechnic,185,182,104,38,37,1,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,Disabled,NECO,Polytechnic,18,18,10,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Community Secondary School, Aku",Male,Disabled,WAEC,Polytechnic,22,22,12,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,ALL,NABTEB,College of Education,91,90,52,23,18,5,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,ALL,NECO,College of Education,162,160,101,42,40,2,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,ALL,WAEC,College of Education,241,237,138,58,53,5,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,Disabled,NABTEB,College of Education,12,12,6,5,5,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,Disabled,NECO,College of Education,18,18,10,4,5,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Female,Disabled,WAEC,College of Education,31,31,17,8,8,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,ALL,NABTEB,College of Education,110,108,71,27,23,4,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,ALL,NECO,College of Education,209,206,128,50,44,6,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,ALL,WAEC,College of Education,300,296,182,81,74,7,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,Disabled,NABTEB,College of Education,15,15,9,5,5,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,Disabled,NECO,College of Education,25,25,13,4,5,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Comprehensive High School, Aku",Male,Disabled,WAEC,College of Education,41,40,24,8,8,0,1.8
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,ALL,NABTEB,Polytechnic,134,132,74,27,23,4,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,ALL,NECO,Polytechnic,209,206,122,46,40,6,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,ALL,WAEC,Polytechnic,294,290,168,62,58,4,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,Disabled,NECO,Polytechnic,18,18,10,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Female,Disabled,WAEC,Polytechnic,25,25,15,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,ALL,NABTEB,Polytechnic,136,134,74,18,14,4,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,ALL,NECO,Polytechnic,266,262,146,42,35,7,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,ALL,WAEC,Polytechnic,331,326,177,66,58,8,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,Disabled,NABTEB,Polytechnic,12,12,6,0,0,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,Disabled,NECO,Polytechnic,22,22,10,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Government Secondary School, Aku",Male,Disabled,WAEC,Polytechnic,31,31,15,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,ALL,NABTEB,Polytechnic,55,54,31,14,14,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,ALL,NECO,Polytechnic,104,102,62,25,22,3,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,ALL,WAEC,Polytechnic,125,123,73,27,25,2,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,Disabled,NECO,Polytechnic,12,12,8,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Female,Disabled,WAEC,Polytechnic,12,12,7,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,ALL,NABTEB,Polytechnic,58,57,31,5,5,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,ALL,NECO,Polytechnic,113,111,65,25,22,3,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,ALL,WAEC,Polytechnic,125,123,70,23,21,2,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,Disabled,NABTEB,Polytechnic,12,12,6,0,0,0,1.7
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,Disabled,NECO,Polytechnic,12,12,8,4,5,0,1.6
2022/2023,South East,Imo,Okigwe,Aku,"Unity College, Okigwe",Male,Disabled,WAEC,Polytechnic,12,12,7,4,4,0,1.6
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,ALL,NABTEB,College of Education,125,123,71,18,18,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,ALL,NECO,College of Education,272,268,151,50,44,6,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,ALL,WAEC,College of Education,359,354,204,73,66,7,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,Disabled,NABTEB,College of Education,15,15,9,5,5,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,Disabled,NECO,College of Education,35,34,18,4,5,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Female,Disabled,WAEC,College of Education,50,49,24,8,8,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,ALL,NABTEB,College of Education,139,137,80,27,23,4,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,ALL,NECO,College of Education,303,299,167,46,40,6,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,ALL,WAEC,College of Education,400,394,226,65,58,7,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,Disabled,NABTEB,College of Education,21,21,9,5,5,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,Disabled,NECO,College of Education,44,43,21,4,5,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Community Secondary School, Amuro",Male,Disabled,WAEC,College of Education,50,49,27,8,8,0,1.8
2022/2023,South East,Imo,Okigwe,Amuro,"Comprehensive High School, Amuro",Female,ALL,NABTEB,University,82,81,49,14,14,0,1.6
