session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,684,29,23.58620689655172
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,746,31,24.06451612903226
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,775,32,24.21875
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,704,29,24.27586206896552
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,,PGDE,Qualified,775,32,24.21875
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,373,16,23.3125
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,414,17,24.352941176470587
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,,NCE,Qualified,821,34,24.147058823529413
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,,Unqualified,1243,52,23.903846153846157
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1322,55,24.036363636363635
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1284,54,23.77777777777778
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1368,57,24.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,994,42,23.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1094,46,23.782608695652176
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,,Unqualified,1284,54,23.77777777777778
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,1185,49,24.18367346938776
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,MEd or Equivalent,Qualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,1094,46,23.782608695652176
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,953,40,23.825
2023/2024,South South,Edo,Esan Central,Ewu I,"Comprehensive High School, Ewu I",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,912,38,24.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,352,13,27.07692307692308
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,JSS,,PGDE,Qualified,366,13,28.153846153846157
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,148,5,29.6
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,167,6,27.83333333333333
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,330,12,27.5
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,JSS,,NCE,Qualified,352,13,27.07692307692308
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,Public,JSS,,NCE,Qualified,348,13,26.76923076923077
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,,,Unqualified,704,29,24.27586206896552
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,410,17,24.11764705882353
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,319,13,24.53846153846154
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,,NCE,Qualified,746,31,24.06451612903226
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,775,32,24.21875
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,,,Unqualified,663,28,23.678571428571427
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,684,29,23.58620689655172
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,704,29,24.27586206896552
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,684,29,23.58620689655172
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1243,52,23.903846153846157
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1185,49,24.18367346938776
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,,Unqualified,1160,48,24.166666666666668
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1231,51,24.137254901960784
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,994,42,23.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1094,46,23.782608695652176
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1036,43,24.093023255813957
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Disabled,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,1185,49,24.18367346938776
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,911,38,23.973684210526315
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,912,38,24.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,994,42,23.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1003,42,23.88095238095238
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,NCE,Qualified,254,10,25.4
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,267,10,26.7
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,NCE,Qualified,270,10,27.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,303,12,25.25
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,286,11,26.0
2023/2024,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,267,10,26.7
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,JSS,,PGDE,Qualified,575,21,27.38095238095238
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,JSS,,NCE,Qualified,220,8,27.5
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,JSS,,,Unqualified,293,11,26.63636363636364
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,482,17,28.352941176470587
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Disabled,Public,JSS,,BEd or Equivalent,Qualified,256,9,28.444444444444443
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,JSS,,NCE,Qualified,202,7,28.857142857142858
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,427,15,28.466666666666665
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,385,14,27.5
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,SSS,,NCE,Qualified,349,13,26.846153846153847
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Disabled,Public,SSS,,PGDE,Qualified,392,15,26.133333333333333
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,333,13,25.615384615384617
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,339,13,26.07692307692308
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Female,Non-Disabled,Public,SSS,,NCE,Qualified,301,12,25.08333333333333
2023/2024,South South,Edo,Esan Central,Ewu I,"Unity College, Esan Central",Male,Non-Disabled,Public,SSS,,NCE,Qualified,321,12,26.75
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,223,8,27.875
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,JSS,,,Unqualified,204,7,29.142857142857142
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Disabled,Public,JSS,,,Unqualified,440,16,27.5
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,408,15,27.2
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,JSS,,,Unqualified,403,15,26.866666666666667
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,167,6,27.83333333333333
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,JSS,,NCE,Qualified,204,7,29.142857142857142
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,JSS,,PGDE,Qualified,366,13,28.153846153846157
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,497,21,23.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,331,14,23.642857142857142
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,,MEd or Equivalent,Qualified,866,36,24.05555555555556
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,787,33,23.848484848484848
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,866,36,24.05555555555556
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,829,35,23.685714285714287
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,866,36,24.05555555555556
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,,MEd or Equivalent,Qualified,911,38,23.973684210526315
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,821,34,24.147058823529413
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1367,57,23.98245614035088
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1550,65,23.846153846153847
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1140,48,23.75
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1094,46,23.782608695652176
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Disabled,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1367,57,23.98245614035088
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,1277,53,24.09433962264151
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,1118,47,23.78723404255319
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1049,44,23.84090909090909
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Disabled,Public,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,1201,50,24.02
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1003,42,23.88095238095238
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,333,13,25.615384615384617
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,178,7,25.428571428571427
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,178,7,25.428571428571427
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,270,10,27.0
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,SSS,,NCE,Qualified,89,3,29.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,178,7,25.428571428571427
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,301,12,25.08333333333333
2023/2024,South South,Edo,Esan Central,Ewu II,"Community Secondary School, Ewu II",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,356,14,25.428571428571427
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Disabled,Private,JSS,,PGDE,Qualified,501,18,27.83333333333333
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,JSS,,MEd or Equivalent,Qualified,403,15,26.866666666666667
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,JSS,,BEd or Equivalent,Qualified,260,9,28.88888888888889
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,JSS,,PGDE,Qualified,148,5,29.6
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,JSS,,MEd or Equivalent,Qualified,385,14,27.5
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,JSS,,,Unqualified,353,13,27.153846153846157
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,JSS,,PGDE,Qualified,293,11,26.63636363636364
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1284,54,23.77777777777778
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1459,61,23.918032786885245
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,1243,52,23.903846153846157
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1277,53,24.09433962264151
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1201,50,24.02
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1322,55,24.036363636363635
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1160,48,24.166666666666668
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1277,53,24.09433962264151
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1077,45,23.933333333333334
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,PGDE,Qualified,1094,46,23.782608695652176
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1036,43,24.093023255813957
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1003,42,23.88095238095238
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,SSS,,PGDE,Qualified,254,10,25.4
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,SSS,,BEd or Equivalent,Qualified,143,5,28.6
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,SSS,,PGDE,Qualified,160,6,26.666666666666668
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Disabled,Private,SSS,,BEd or Equivalent,Qualified,159,6,26.5
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,SSS,,MEd or Equivalent,Qualified,174,7,24.857142857142858
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,SSS,,MEd or Equivalent,Qualified,303,12,25.25
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Female,Non-Disabled,Private,SSS,,PGDE,Qualified,238,9,26.444444444444443
2023/2024,South South,Edo,Esan Central,Ewu II,"Comprehensive High School, Ewu II",Male,Non-Disabled,Private,SSS,,BEd or Equivalent,Qualified,250,10,25.0
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1284,54,23.77777777777778
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1185,49,24.18367346938776
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1201,50,24.02
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1185,49,24.18367346938776
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,,Unqualified,1036,43,24.093023255813957
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1140,48,23.75
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,911,38,23.973684210526315
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,912,38,24.0
2023/2024,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,787,33,23.848484848484848
