session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,12,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,SSS,SSS2,10,5,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,SSS,SSS2,457,5,8,3,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,SSS,SSS2,9,5,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,SSS,SSS2,417,5,8,3,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,SSS,SSS3,4,2,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,SSS,SSS3,134,2,2,1,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,SSS,SSS3,4,2,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,SSS,SSS3,153,2,3,1,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,SSS,SSS3,8,5,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,SSS,SSS3,354,5,7,3,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,SSS,SSS3,8,5,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,SSS,SSS3,324,5,6,2,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Vocational,Vocational Year 1,0,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Vocational,Vocational Year 1,11,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Vocational,Vocational Year 1,1,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Vocational,Vocational Year 1,32,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Vocational,Vocational Year 1,0,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Vocational,Vocational Year 1,13,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Vocational,Vocational Year 1,1,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Vocational,Vocational Year 1,36,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Vocational,Vocational Year 2,0,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Vocational,Vocational Year 2,10,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Vocational,Vocational Year 2,1,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Vocational,Vocational Year 2,28,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Vocational,Vocational Year 2,0,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Vocational,Vocational Year 2,11,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Vocational,Vocational Year 2,1,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Vocational,Vocational Year 2,30,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Vocational,Vocational Year 3,0,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Vocational,Vocational Year 3,7,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Vocational,Vocational Year 3,1,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Vocational,Vocational Year 3,20,1,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Vocational,Vocational Year 3,0,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Vocational,Vocational Year 3,8,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Vocational,Vocational Year 3,1,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Vocational,Vocational Year 3,22,2,1,0,83.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,4,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,170,2,6,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,4,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,193,2,6,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,7,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,254,2,8,3,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,8,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,337,2,11,5,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,3,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,132,2,4,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,3,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,149,2,5,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,6,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,199,2,7,3,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,7,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,262,2,9,4,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,2,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,72,2,2,1,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,2,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,82,2,3,1,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,3,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,109,2,4,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,4,2,1,0,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,144,2,5,2,78.4,,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2023/2024,South East,Ebonyi,Abakaliki,Abaomege,Female,Disabled,Private,JSS,JSS1,13,4,1,0,84.4,JSS1,0,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
