institution_key,tertiary_institution,institution_type,ownership,lga,state,zone
college-of-education-umuahia-north,"College of Education, Umuahia North",College of Education,State,Umuahia North,Abia,South East
university-of-anambra,"Nnamdi Azikiwe University, Awka",University,Federal,Awka North,Anambra,South East
anambra-state-polytechnic,Anambra State Polytechnic,Polytechnic,State,Awka South,Anambra,South East
college-of-education-onitsha-north,"College of Education, Onitsha North",College of Education,State,Onitsha North,Anambra,South East
university-of-ebonyi,"Ebonyi State University, Abakaliki",University,Federal,Abakaliki,Ebonyi,South East
ebonyi-state-polytechnic,Ebonyi State Polytechnic,Polytechnic,State,Afikpo North,Ebonyi,South East
college-of-education-afikpo-south,"College of Education, Afikpo South",College of Education,State,Afikpo South,Ebonyi,South East
university-of-enugu,"University of Nigeria, Nsukka",University,Federal,Enugu East,Enugu,South East
enugu-state-polytechnic,Enugu State Polytechnic,Polytechnic,State,Enugu North,Enugu,South East
college-of-education-enugu-south,"College of Education, Enugu South",College of Education,State,Enugu South,Enugu,South East
university-of-imo,"Federal University of Technology, Owerri",University,Federal,Owerri North,Imo,South East
imo-state-polytechnic,Imo State Polytechnic,Polytechnic,State,Owerri West,Imo,South East
college-of-education-orlu,"College of Education, Orlu",College of Education,State,Orlu,Imo,South East
university-of-akwa-ibom,"Akwa Ibom State University, Ikot Akpaden",University,Federal,Uyo,Akwa Ibom,South South
akwa-ibom-state-polytechnic,Akwa Ibom State Polytechnic,Polytechnic,State,Eket,Akwa Ibom,South South
college-of-education-ikot-ekpene,"College of Education, Ikot Ekpene",College of Education,State,Ikot Ekpene,Akwa Ibom,South South
university-of-bayelsa,"Niger Delta University, Wilberforce Island",University,Federal,Yenegoa,Bayelsa,South South
bayelsa-state-polytechnic,Bayelsa State Polytechnic,Polytechnic,State,Brass,Bayelsa,South South
college-of-education-kolokuma-opokuma,"College of Education, Kolokuma/Opokuma",College of Education,State,Kolokuma/Opokuma,Bayelsa,South South
university-of-cross-river,University of Calabar,University,Federal,Calabar Municipal,Cross River,South South
cross-river-state-polytechnic,Cross River State Polytechnic,Polytechnic,State,Calabar South,Cross River,South South
college-of-education-abi,"College of Education, Abi",College of Education,State,Abi,Cross River,South South
university-of-delta,"Delta State University, Abraka",University,Federal,Oshimili South,Delta,South South
delta-state-polytechnic,Delta State Polytechnic,Polytechnic,State,Warri North,Delta,South South
college-of-education-warri-south,"College of Education, Warri South",College of Education,State,Warri South,Delta,South South
university-of-edo,"University of Benin, Benin City",University,Federal,Oredo,Edo,South South
edo-state-polytechnic,Edo State Polytechnic,Polytechnic,State,Oredo,Edo,South South
college-of-education-owan-east,"College of Education, Owan East",College of Education,State,Owan East,Edo,South South
university-of-rivers,Rivers State University,University,Federal,Port-Harcourt,Rivers,South South
rivers-state-polytechnic,Rivers State Polytechnic,Polytechnic,State,Obio/Akpor,Rivers,South South
college-of-education-okrika,"College of Education, Okrika",College of Education,State,Okrika,Rivers,South South
university-of-ekiti,"Ekiti State University, Ado-Ekiti",University,Federal,Ado-Ekiti,Ekiti,South West
ekiti-state-polytechnic,Ekiti State Polytechnic,Polytechnic,State,Ijero,Ekiti,South West
college-of-education-efon,"College of Education, Efon",College of Education,State,Efon,Ekiti,South West
university-of-lagos,University of Lagos,University,Federal,Lagos Island,Lagos,South West
lagos-state-polytechnic,Lagos State Polytechnic,Polytechnic,State,Ikeja,Lagos,South West
college-of-education-surulere,"College of Education, Surulere",College of Education,State,Surulere,Lagos,South West
university-of-ogun,"Olabisi Onabanjo University, Ago-Iwoye",University,Federal,Abeokuta North,Ogun,South West
ogun-state-polytechnic,Ogun State Polytechnic,Polytechnic,State,Abeokuta South,Ogun,South West
college-of-education-ijebu-ode,"College of Education, Ijebu Ode",College of Education,State,Ijebu Ode,Ogun,South West
university-of-ondo,"Federal University of Technology, Akure",University,Federal,Akure North,Ondo,South West
ondo-state-polytechnic,Ondo State Polytechnic,Polytechnic,State,Akure South,Ondo,South West
college-of-education-ondo-east,"College of Education, Ondo East",College of Education,State,Ondo East,Ondo,South West
university-of-osun,"Obafemi Awolowo University, Ile-Ife",University,Federal,Osogbo,Osun,South West
osun-state-polytechnic,Osun State Polytechnic,Polytechnic,State,Ife Central,Osun,South West
college-of-education-ilesha-east,"College of Education, Ilesha East",College of Education,State,Ilesha East,Osun,South West
university-of-oyo,University of Ibadan,University,Federal,Ibadan North,Oyo,South West
oyo-state-polytechnic,Oyo State Polytechnic,Polytechnic,State,Ibadan South West,Oyo,South West
college-of-education-ogbomosho-north,"College of Education, Ogbomosho North",College of Education,State,Ogbomosho North,Oyo,South West
