session,zone,state,lga,ward,school
2019/2020,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,"Government Secondary School, Ikot Ekpene III | Community Secondary School, Ikot Ekpene III | Unity College, Ikot Ekpene | Comprehensive High School, Ikot Ekpene III"
2019/2020,South South,Akwa Ibom,Oron,Oron Urban I,"Government Secondary School, Oron Urban I | Community Secondary School, Oron Urban I | Unity College, Oron | Comprehensive High School, Oron Urban I"
2019/2020,South South,Akwa Ibom,Oron,Oron Urban II,"Government Secondary School, Oron Urban II | Community Secondary School, Oron Urban II | Unity College, Oron | Comprehensive High School, Oron Urban II"
2019/2020,South South,Akwa Ibom,Oron,Oron Urban III,"Government Secondary School, Oron Urban III | Community Secondary School, Oron Urban III | Unity College, Oron | Comprehensive High School, Oron Urban III"
2019/2020,South South,Akwa Ibom,Uyo,Etoi I,"Government Secondary School, Etoi I | Community Secondary School, Etoi I | Unity College, Uyo | Comprehensive High School, Etoi I"
2019/2020,South South,Akwa Ibom,Uyo,Etoi II,"Government Secondary School, Etoi II | Community Secondary School, Etoi II | Unity College, Uyo | Comprehensive High School, Etoi II"
2019/2020,South South,Akwa Ibom,Uyo,Ikono I,"Government Secondary School, Ikono I | Community Secondary School, Ikono I | Unity College, Uyo | Comprehensive High School, Ikono I"
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I | Community Secondary School, Achalla  I | Unity College, Awka North | Comprehensive High School, Achalla  I"
2019/2020,South East,Anambra,Awka North,Achalla  II,"Government Secondary School, Achalla  II | Community Secondary School, Achalla  II | Unity College, Awka North | Comprehensive High School, Achalla  II"
2019/2020,South East,Anambra,Awka North,Achalla  III,"Government Secondary School, Achalla  III | Community Secondary School, Achalla  III | Unity College, Awka North | Comprehensive High School, Achalla  III"
2019/2020,South East,Anambra,Awka South,Agu Oka,"Government Secondary School, Agu Oka | Community Secondary School, Agu Oka | Unity College, Awka South | Comprehensive High School, Agu Oka"
2019/2020,South East,Anambra,Awka South,Amawbia  I,"Government Secondary School, Amawbia  I | Community Secondary School, Amawbia  I | Unity College, Awka South | Comprehensive High School, Amawbia  I"
2019/2020,South East,Anambra,Awka South,Amawbia  II,"Government Secondary School, Amawbia  II | Community Secondary School, Amawbia  II | Unity College, Awka South | Comprehensive High School, Amawbia  II"
2019/2020,South East,Anambra,Nnewi North,Nnewi-ichi  I,"Government Secondary School, Nnewi-ichi  I | Community Secondary School, Nnewi-ichi  I | Unity College, Nnewi North | Comprehensive High School, Nnewi-ichi  I"
2019/2020,South East,Anambra,Nnewi North,Nnewi-ichi  II,"Government Secondary School, Nnewi-ichi  II | Community Secondary School, Nnewi-ichi  II | Unity College, Nnewi North | Comprehensive High School, Nnewi-ichi  II"
2019/2020,South East,Anambra,Nnewi North,Otolo  I,"Government Secondary School, Otolo  I | Community Secondary School, Otolo  I | Unity College, Nnewi North | Comprehensive High School, Otolo  I"
2019/2020,South East,Anambra,Onitsha North,American Quarters,"Government Secondary School, American Quarters | Community Secondary School, American Quarters | Unity College, Onitsha North | Comprehensive High School, American Quarters"
2019/2020,South East,Anambra,Onitsha North,G.R.A,"Government Secondary School, G.R.A | Community Secondary School, G.R.A | Unity College, Onitsha North | Comprehensive High School, G.R.A"
2019/2020,South East,Anambra,Onitsha North,Inland Town I,"Government Secondary School, Inland Town I | Community Secondary School, Inland Town I | Unity College, Onitsha North | Comprehensive High School, Inland Town I"
2019/2020,South East,Anambra,Onitsha South,Bridge Head I,"Government Secondary School, Bridge Head I | Community Secondary School, Bridge Head I | Unity College, Onitsha South | Comprehensive High School, Bridge Head I"
2019/2020,South East,Anambra,Onitsha South,Bridge Head II,"Government Secondary School, Bridge Head II | Community Secondary School, Bridge Head II | Unity College, Onitsha South | Comprehensive High School, Bridge Head II"
2019/2020,South East,Anambra,Onitsha South,Bridge Head III,"Government Secondary School, Bridge Head III | Community Secondary School, Bridge Head III | Unity College, Onitsha South | Comprehensive High School, Bridge Head III"
2019/2020,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I | Community Secondary School, Brass I | Unity College, Brass | Comprehensive High School, Brass I"
2019/2020,South South,Bayelsa,Brass,Brass ward II,"Government Secondary School, Brass ward II | Community Secondary School, Brass ward II | Unity College, Brass | Comprehensive High School, Brass ward II"
2019/2020,South South,Bayelsa,Brass,Cafe Farmosa,"Government Secondary School, Cafe Farmosa | Community Secondary School, Cafe Farmosa | Unity College, Brass | Comprehensive High School, Cafe Farmosa"
2019/2020,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,"Government Secondary School, Igbedi | Community Secondary School, Igbedi | Unity College, Kolokuma/Opokuma | Comprehensive High School, Igbedi"
2019/2020,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,"Government Secondary School, Kaiama | Community Secondary School, Kaiama | Unity College, Kolokuma/Opokuma | Comprehensive High School, Kaiama"
2019/2020,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,"Government Secondary School, Kaiama/Olobiri | Community Secondary School, Kaiama/Olobiri | Unity College, Kolokuma/Opokuma | Comprehensive High School, Kaiama/Olobiri"
2019/2020,South South,Bayelsa,Nembe,Bassambiri I,"Government Secondary School, Bassambiri I | Community Secondary School, Bassambiri I | Unity College, Nembe | Comprehensive High School, Bassambiri I"
2019/2020,South South,Bayelsa,Nembe,Bassambiri II,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2019/2020,South South,Bayelsa,Nembe,Bassambiri III,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2019/2020,South South,Bayelsa,Ogbia,Anyama,"Government Secondary School, Anyama | Community Secondary School, Anyama | Unity College, Ogbia | Comprehensive High School, Anyama"
2019/2020,South South,Bayelsa,Ogbia,Emeyal,"Government Secondary School, Emeyal | Community Secondary School, Emeyal | Unity College, Ogbia | Comprehensive High School, Emeyal"
2019/2020,South South,Bayelsa,Ogbia,Imiringi,"Government Secondary School, Imiringi | Community Secondary School, Imiringi | Unity College, Ogbia | Comprehensive High School, Imiringi"
2019/2020,South South,Bayelsa,Yenegoa,Attissa I,"Government Secondary School, Attissa I | Community Secondary School, Attissa I | Unity College, Yenagoa | Comprehensive High School, Attissa I"
2019/2020,South South,Bayelsa,Yenegoa,Attissa II,"Government Secondary School, Attissa II | Community Secondary School, Attissa II | Unity College, Yenagoa | Comprehensive High School, Attissa II"
2019/2020,South South,Bayelsa,Yenegoa,Attissa III,"Government Secondary School, Attissa III | Community Secondary School, Attissa III | Unity College, Yenagoa | Comprehensive High School, Attissa III"
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market | Community Secondary School, Gbk/Central Market | Unity College, Gboko | Comprehensive High School, Gbk/Central Market"
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East | Community Secondary School, Gboko East | Unity College, Gboko | Comprehensive High School, Gboko East"
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West | Community Secondary School, Gboko North West | Unity College, Gboko | Comprehensive High School, Gboko North West"
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I | Community Secondary School, Ikurav Tiev I | Unity College, Katsina-Ala | Comprehensive High School, Ikurav Tiev I"
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev II,"Government Secondary School, Ikurav Tiev II | Community Secondary School, Ikurav Tiev II | Unity College, Katsina-Ala | Comprehensive High School, Ikurav Tiev II"
2019/2020,North Central,Benue,Katsina-Ala,Iwar(Tongov I),"Government Secondary School, Iwar(Tongov I) | Community Secondary School, Iwar(Tongov I) | Unity College, Katsina-Ala | Comprehensive High School, Iwar(Tongov I)"
2019/2020,North Central,Benue,Makurdi,Agan,"Government Secondary School, Agan | Community Secondary School, Agan | Unity College, Makurdi | Comprehensive High School, Agan"
2019/2020,North Central,Benue,Makurdi,Ankpa/Wadata,"Government Secondary School, Ankpa/Wadata | Community Secondary School, Ankpa/Wadata | Unity College, Makurdi | Comprehensive High School, Ankpa/Wadata"
2019/2020,North Central,Benue,Makurdi,Bar,"Government Secondary School, Bar | Community Secondary School, Bar | Unity College, Makurdi | Comprehensive High School, Bar"
2019/2020,North Central,Benue,Oturkpo,Adoka-Haje,"Government Secondary School, Adoka-Haje | Community Secondary School, Adoka-Haje | Unity College, Otukpo | Comprehensive High School, Adoka-Haje"
2019/2020,North Central,Benue,Oturkpo,Adoka-Icho,"Government Secondary School, Adoka-Icho | Community Secondary School, Adoka-Icho | Unity College, Otukpo | Comprehensive High School, Adoka-Icho"
2019/2020,North Central,Benue,Oturkpo,Allan,"Government Secondary School, Allan | Community Secondary School, Allan | Unity College, Otukpo | Comprehensive High School, Allan"
2019/2020,North Central,Benue,Vandeikya,Mbadede,"Government Secondary School, Mbadede | Community Secondary School, Mbadede | Unity College, Vandeikya | Comprehensive High School, Mbadede"
2019/2020,North Central,Benue,Vandeikya,Mbagbam,"Government Secondary School, Mbagbam | Community Secondary School, Mbagbam | Unity College, Vandeikya | Comprehensive High School, Mbagbam"
2019/2020,North Central,Benue,Vandeikya,Mbagbera,"Government Secondary School, Mbagbera | Community Secondary School, Mbagbera | Unity College, Vandeikya | Comprehensive High School, Mbagbera"
2019/2020,North East,Borno,Biu,Buratai,"Government Secondary School, Buratai | Community Secondary School, Buratai | Unity College, Biu | Comprehensive High School, Buratai"
2019/2020,North East,Borno,Biu,Dadin Kowa,"Government Secondary School, Dadin Kowa | Community Secondary School, Dadin Kowa | Unity College, Biu | Comprehensive High School, Dadin Kowa"
2019/2020,North East,Borno,Biu,Dugja,"Government Secondary School, Dugja | Community Secondary School, Dugja | Unity College, Biu | Comprehensive High School, Dugja"
2019/2020,North East,Borno,Chibok,Chibok Garu,"Government Secondary School, Chibok Garu | Community Secondary School, Chibok Garu | Unity College, Chibok | Comprehensive High School, Chibok Garu"
2019/2020,North East,Borno,Chibok,Chibok Likama,"Government Secondary School, Chibok Likama | Community Secondary School, Chibok Likama | Unity College, Chibok | Comprehensive High School, Chibok Likama"
2019/2020,North East,Borno,Chibok,Chibok Wuntaku,"Government Secondary School, Chibok Wuntaku | Community Secondary School, Chibok Wuntaku | Unity College, Chibok | Comprehensive High School, Chibok Wuntaku"
2019/2020,North East,Borno,Gwoza,Ashigashiya,"Government Secondary School, Ashigashiya | Community Secondary School, Ashigashiya | Unity College, Gwoza | Comprehensive High School, Ashigashiya"
2019/2020,North East,Borno,Gwoza,Bita / Izge,"Government Secondary School, Bita / Izge | Community Secondary School, Bita / Izge | Unity College, Gwoza | Comprehensive High School, Bita / Izge"
2019/2020,North East,Borno,Gwoza,Dure / Wala / Warabe,"Government Secondary School, Dure / Wala / Warabe | Community Secondary School, Dure / Wala / Warabe | Unity College, Gwoza | Comprehensive High School, Dure / Wala / Warabe"
2019/2020,North East,Borno,Jere,Alau,"Government Secondary School, Alau | Community Secondary School, Alau | Unity College, Jere | Comprehensive High School, Alau"
2019/2020,North East,Borno,Jere,Bale Galtimari,"Government Secondary School, Bale Galtimari | Community Secondary School, Bale Galtimari | Unity College, Jere | Comprehensive High School, Bale Galtimari"
2019/2020,North East,Borno,Jere,Dala lawanti,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2019/2020,North East,Borno,Maiduguri,Bolori I,"Government Secondary School, Bolori I | Community Secondary School, Bolori I | Unity College, Maiduguri | Comprehensive High School, Bolori I"
2019/2020,North East,Borno,Maiduguri,Bolori II,"Government Secondary School, Bolori II | Community Secondary School, Bolori II | Unity College, Maiduguri | Comprehensive High School, Bolori II"
2019/2020,North East,Borno,Maiduguri,Bulablin,"Government Secondary School, Bulablin | Community Secondary School, Bulablin | Unity College, Maiduguri | Comprehensive High School, Bulablin"
2019/2020,South South,Cross River,Abi,Adadama,"Government Secondary School, Adadama | Community Secondary School, Adadama | Unity College, Abi | Comprehensive High School, Adadama"
2019/2020,South South,Cross River,Abi,Afafanyi/Igonigoni,"Government Secondary School, Afafanyi/Igonigoni | Community Secondary School, Afafanyi/Igonigoni | Unity College, Abi | Comprehensive High School, Afafanyi/Igonigoni"
2019/2020,South South,Cross River,Abi,Ebom,"Government Secondary School, Ebom | Community Secondary School, Ebom | Unity College, Abi | Comprehensive High School, Ebom"
2019/2020,South South,Cross River,Bekwarra,Abuochiche,"Government Secondary School, Abuochiche | Community Secondary School, Abuochiche | Unity College, Bekwarra | Comprehensive High School, Abuochiche"
2019/2020,South South,Cross River,Bekwarra,Afrike Ochagbe,"Government Secondary School, Afrike Ochagbe | Community Secondary School, Afrike Ochagbe | Unity College, Bekwarra | Comprehensive High School, Afrike Ochagbe"
2019/2020,South South,Cross River,Bekwarra,Afrike Okpeche,"Government Secondary School, Afrike Okpeche | Community Secondary School, Afrike Okpeche | Unity College, Bekwarra | Comprehensive High School, Afrike Okpeche"
2019/2020,South South,Cross River,Calabar Municipal,Eigth,"Government Secondary School, Eigth | Community Secondary School, Eigth | Unity College, Calabar Municipal | Comprehensive High School, Eigth"
2019/2020,South South,Cross River,Calabar Municipal,Five,"Government Secondary School, Five | Community Secondary School, Five | Unity College, Calabar Municipal | Comprehensive High School, Five"
2019/2020,South South,Cross River,Calabar Municipal,Four,"Government Secondary School, Four | Community Secondary School, Four | Unity College, Calabar Municipal | Comprehensive High School, Four"
2019/2020,South South,Cross River,Calabar South,Eight (8),"Government Secondary School, Eight (8) | Community Secondary School, Eight (8) | Unity College, Calabar South | Comprehensive High School, Eight (8)"
2019/2020,South South,Cross River,Calabar South,Eleven (11),"Government Secondary School, Eleven (11) | Community Secondary School, Eleven (11) | Unity College, Calabar South | Comprehensive High School, Eleven (11)"
2019/2020,South South,Cross River,Calabar South,Five (5),"Government Secondary School, Five (5) | Community Secondary School, Five (5) | Unity College, Calabar South | Comprehensive High School, Five (5)"
2019/2020,South South,Cross River,Ogoja,Ekajuk I,"Government Secondary School, Ekajuk I | Community Secondary School, Ekajuk I | Unity College, Ogoja | Comprehensive High School, Ekajuk I"
2019/2020,South South,Cross River,Ogoja,Ekajuk II,"Government Secondary School, Ekajuk II | Community Secondary School, Ekajuk II | Unity College, Ogoja | Comprehensive High School, Ekajuk II"
2019/2020,South South,Cross River,Ogoja,Mbube East I,"Government Secondary School, Mbube East I | Community Secondary School, Mbube East I | Unity College, Ogoja | Comprehensive High School, Mbube East I"
2019/2020,South South,Delta,Oshimili South,Agu,"Government Secondary School, Agu | Community Secondary School, Agu | Unity College, Asaba | Comprehensive High School, Agu"
2019/2020,South South,Delta,Oshimili South,Anala-Amakom,"Government Secondary School, Anala-Amakom | Community Secondary School, Anala-Amakom | Unity College, Asaba | Comprehensive High School, Anala-Amakom"
2019/2020,South South,Delta,Oshimili South,Cable Point I,"Government Secondary School, Cable Point I | Community Secondary School, Cable Point I | Unity College, Asaba | Comprehensive High School, Cable Point I"
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Government Secondary School, Akwukwu | Community Secondary School, Akwukwu | Unity College, Oshimili North | Comprehensive High School, Akwukwu"
2019/2020,South South,Delta,Oshimili North,Ebu,"Government Secondary School, Ebu | Community Secondary School, Ebu | Unity College, Oshimili North | Comprehensive High School, Ebu"
2019/2020,South South,Delta,Oshimili North,Ibusa  I,"Government Secondary School, Ibusa  I | Community Secondary School, Ibusa  I | Unity College, Oshimili North | Comprehensive High School, Ibusa  I"
2019/2020,South South,Delta,Uvwie,Army Barracks Area,"Government Secondary School, Army Barracks Area | Community Secondary School, Army Barracks Area | Unity College, Uvwie | Comprehensive High School, Army Barracks Area"
2019/2020,South South,Delta,Uvwie,Effurun I,"Government Secondary School, Effurun I | Community Secondary School, Effurun I | Unity College, Uvwie | Comprehensive High School, Effurun I"
2019/2020,South South,Delta,Uvwie,Effurun II,"Government Secondary School, Effurun II | Community Secondary School, Effurun II | Unity College, Uvwie | Comprehensive High School, Effurun II"
2019/2020,South South,Delta,Warri North,Ebrohimi,"Government Secondary School, Ebrohimi | Community Secondary School, Ebrohimi | Unity College, Warri North | Comprehensive High School, Ebrohimi"
2019/2020,South South,Delta,Warri North,Eghoro,"Government Secondary School, Eghoro | Community Secondary School, Eghoro | Unity College, Warri North | Comprehensive High School, Eghoro"
2019/2020,South South,Delta,Warri North,Gbokoda,"Government Secondary School, Gbokoda | Community Secondary School, Gbokoda | Unity College, Warri North | Comprehensive High School, Gbokoda"
2019/2020,South South,Delta,Warri South,Bowen,"Government Secondary School, Bowen | Community Secondary School, Bowen | Unity College, Warri South | Comprehensive High School, Bowen"
2019/2020,South South,Delta,Warri South,Edjeba,"Government Secondary School, Edjeba | Community Secondary School, Edjeba | Unity College, Warri South | Comprehensive High School, Edjeba"
2019/2020,South South,Delta,Warri South,G.R.A.,"Government Secondary School, G.R.A. | Community Secondary School, G.R.A. | Unity College, Warri South | Comprehensive High School, G.R.A."
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2019/2020,South East,Ebonyi,Abakaliki,Abaomege,"Government Secondary School, Abaomege | Community Secondary School, Abaomege | Unity College, Abakaliki | Comprehensive High School, Abaomege"
2019/2020,South East,Ebonyi,Abakaliki,Abofia,"Government Secondary School, Abofia | Community Secondary School, Abofia | Unity College, Abakaliki | Comprehensive High School, Abofia"
2019/2020,South East,Ebonyi,Afikpo North,Amata-Akpoha,"Government Secondary School, Amata-Akpoha | Community Secondary School, Amata-Akpoha | Unity College, Afikpo North | Comprehensive High School, Amata-Akpoha"
2019/2020,South East,Ebonyi,Afikpo North,Amogu Akpoha,"Government Secondary School, Amogu Akpoha | Community Secondary School, Amogu Akpoha | Unity College, Afikpo North | Comprehensive High School, Amogu Akpoha"
2019/2020,South East,Ebonyi,Afikpo North,Ezeke Amasiri,"Government Secondary School, Ezeke Amasiri | Community Secondary School, Ezeke Amasiri | Unity College, Afikpo North | Comprehensive High School, Ezeke Amasiri"
2019/2020,South East,Ebonyi,Afikpo South,Amaeke Ekoli,"Government Secondary School, Amaeke Ekoli | Community Secondary School, Amaeke Ekoli | Unity College, Afikpo South | Comprehensive High School, Amaeke Ekoli"
2019/2020,South East,Ebonyi,Afikpo South,Amaigbo,"Government Secondary School, Amaigbo | Community Secondary School, Amaigbo | Unity College, Afikpo South | Comprehensive High School, Amaigbo"
2019/2020,South East,Ebonyi,Afikpo South,Amangwu,"Government Secondary School, Amangwu | Community Secondary School, Amangwu | Unity College, Afikpo South | Comprehensive High School, Amangwu"
2019/2020,South East,Ebonyi,Ezza North,Amuda / Amawula,"Government Secondary School, Amuda / Amawula | Community Secondary School, Amuda / Amawula | Unity College, Ezza North | Comprehensive High School, Amuda / Amawula"
2019/2020,South East,Ebonyi,Ezza North,Ekka,"Government Secondary School, Ekka | Community Secondary School, Ekka | Unity College, Ezza North | Comprehensive High School, Ekka"
2019/2020,South East,Ebonyi,Ezza North,Inyere,"Government Secondary School, Inyere | Community Secondary School, Inyere | Unity College, Ezza North | Comprehensive High School, Inyere"
2019/2020,South East,Ebonyi,Ohaozara,Amaechi okposi,"Government Secondary School, Amaechi okposi | Community Secondary School, Amaechi okposi | Unity College, Ohaozara | Comprehensive High School, Amaechi okposi"
2019/2020,South East,Ebonyi,Ohaozara,Ene- Na - Ezeraku,"Government Secondary School, Ene- Na - Ezeraku | Community Secondary School, Ene- Na - Ezeraku | Unity College, Ohaozara | Comprehensive High School, Ene- Na - Ezeraku"
2019/2020,South East,Ebonyi,Ohaozara,Mgbom Okposi,"Government Secondary School, Mgbom Okposi | Community Secondary School, Mgbom Okposi | Unity College, Ohaozara | Comprehensive High School, Mgbom Okposi"
2019/2020,South South,Edo,Oredo,Gra/Etete,"Government Secondary School, Gra/Etete | Community Secondary School, Gra/Etete | Unity College, Benin City | Comprehensive High School, Gra/Etete | Unity College, Oredo"
2019/2020,South South,Edo,Oredo,Ibiwe/ Iwegie/ Ugbague,"Government Secondary School, Ibiwe/ Iwegie/ Ugbague | Community Secondary School, Ibiwe/ Iwegie/ Ugbague | Unity College, Benin City | Comprehensive High School, Ibiwe/ Iwegie/ Ugbague | Unity College, Oredo"
2019/2020,South South,Edo,Oredo,Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road,"Government Secondary School, Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road | Community Secondary School, Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road | Unity College, Benin City | Comprehensive High School, Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road | Unity College, Oredo"
2019/2020,South South,Edo,Esan Central,Ewu I,"Government Secondary School, Ewu I | Community Secondary School, Ewu I | Unity College, Esan Central | Comprehensive High School, Ewu I"
2019/2020,South South,Edo,Esan Central,Ewu II,"Government Secondary School, Ewu II | Community Secondary School, Ewu II | Unity College, Esan Central | Comprehensive High School, Ewu II"
2019/2020,South South,Edo,Esan Central,Ikekato,"Government Secondary School, Ikekato | Community Secondary School, Ikekato | Unity College, Esan Central | Comprehensive High School, Ikekato"
2019/2020,South South,Edo,Etsako West,Anwain,"Government Secondary School, Anwain | Community Secondary School, Anwain | Unity College, Etsako West | Comprehensive High School, Anwain"
2019/2020,South South,Edo,Etsako West,Auchi,"Government Secondary School, Auchi | Community Secondary School, Auchi | Unity College, Etsako West | Comprehensive High School, Auchi"
2019/2020,South South,Edo,Etsako West,Auchi I,"Government Secondary School, Auchi I | Community Secondary School, Auchi I | Unity College, Etsako West | Comprehensive High School, Auchi I"
