session,gender,disability,exam_body,gap_band
2021/2022,Male,Disabled,WAEC,5+-year
2022/2023,Female,ALL,NABTEB,1-year
2022/2023,Female,ALL,NABTEB,2-year
2022/2023,Female,ALL,NABTEB,3-5-year
2022/2023,Female,ALL,NABTEB,5+-year
2022/2023,Female,ALL,NECO,1-year
2022/2023,Female,ALL,NECO,2-year
2022/2023,Female,ALL,NECO,3-5-year
2022/2023,Female,ALL,NECO,5+-year
2022/2023,Female,ALL,WAEC,1-year
2022/2023,Female,ALL,WAEC,2-year
2022/2023,Female,ALL,WAEC,3-5-year
2022/2023,Female,ALL,WAEC,5+-year
2022/2023,Female,Disabled,NABTEB,1-year
2022/2023,Female,Disabled,NABTEB,2-year
2022/2023,Female,Disabled,NABTEB,3-5-year
2022/2023,Female,Disabled,NABTEB,5+-year
2022/2023,Female,Disabled,NECO,1-year
2022/2023,Female,Disabled,NECO,2-year
2022/2023,Female,Disabled,NECO,3-5-year
2022/2023,Female,Disabled,NECO,5+-year
2022/2023,Female,Disabled,WAEC,1-year
2022/2023,Female,Disabled,WAEC,2-year
2022/2023,Female,Disabled,WAEC,3-5-year
2022/2023,Female,Disabled,WAEC,5+-year
2022/2023,Male,ALL,NABTEB,1-year
2022/2023,Male,ALL,NABTEB,2-year
2022/2023,Male,ALL,NABTEB,3-5-year
2022/2023,Male,ALL,NABTEB,5+-year
2022/2023,Male,ALL,NECO,1-year
2022/2023,Male,ALL,NECO,2-year
2022/2023,Male,ALL,NECO,3-5-year
2022/2023,Male,ALL,NECO,5+-year
2022/2023,Male,ALL,WAEC,1-year
2022/2023,Male,ALL,WAEC,2-year
2022/2023,Male,ALL,WAEC,3-5-year
2022/2023,Male,ALL,WAEC,5+-year
2022/2023,Male,Disabled,NABTEB,1-year
2022/2023,Male,Disabled,NABTEB,2-year
2022/2023,Male,Disabled,NABTEB,3-5-year
2022/2023,Male,Disabled,NABTEB,5+-year
2022/2023,Male,Disabled,NECO,1-year
2022/2023,Male,Disabled,NECO,2-year
2022/2023,Male,Disabled,NECO,3-5-year
2022/2023,Male,Disabled,NECO,5+-year
2022/2023,Male,Disabled,WAEC,1-year
2022/2023,Male,Disabled,WAEC,2-year
2022/2023,Male,Disabled,WAEC,3-5-year
2022/2023,Male,Disabled,WAEC,5+-year
2023/2024,Female,ALL,NABTEB,1-year
2023/2024,Female,ALL,NABTEB,2-year
2023/2024,Female,ALL,NABTEB,3-5-year
2023/2024,Female,ALL,NABTEB,5+-year
2023/2024,Female,ALL,NECO,1-year
2023/2024,Female,ALL,NECO,2-year
2023/2024,Female,ALL,NECO,3-5-year
2023/2024,Female,ALL,NECO,5+-year
2023/2024,Female,ALL,WAEC,1-year
2023/2024,Female,ALL,WAEC,2-year
2023/2024,Female,ALL,WAEC,3-5-year
2023/2024,Female,ALL,WAEC,5+-year
2023/2024,Female,Disabled,NABTEB,1-year
2023/2024,Female,Disabled,NABTEB,2-year
2023/2024,Female,Disabled,NABTEB,3-5-year
2023/2024,Female,Disabled,NABTEB,5+-year
2023/2024,Female,Disabled,NECO,1-year
2023/2024,Female,Disabled,NECO,2-year
2023/2024,Female,Disabled,NECO,3-5-year
2023/2024,Female,Disabled,NECO,5+-year
2023/2024,Female,Disabled,WAEC,1-year
2023/2024,Female,Disabled,WAEC,2-year
2023/2024,Female,Disabled,WAEC,3-5-year
2023/2024,Female,Disabled,WAEC,5+-year
2023/2024,Male,ALL,NABTEB,1-year
2023/2024,Male,ALL,NABTEB,2-year
2023/2024,Male,ALL,NABTEB,3-5-year
2023/2024,Male,ALL,NABTEB,5+-year
2023/2024,Male,ALL,NECO,1-year
2023/2024,Male,ALL,NECO,2-year
2023/2024,Male,ALL,NECO,3-5-year
2023/2024,Male,ALL,NECO,5+-year
2023/2024,Male,ALL,WAEC,1-year
2023/2024,Male,ALL,WAEC,2-year
2023/2024,Male,ALL,WAEC,3-5-year
2023/2024,Male,ALL,WAEC,5+-year
2023/2024,Male,Disabled,NABTEB,1-year
2023/2024,Male,Disabled,NABTEB,2-year
2023/2024,Male,Disabled,NABTEB,3-5-year
2023/2024,Male,Disabled,NABTEB,5+-year
2023/2024,Male,Disabled,NECO,1-year
2023/2024,Male,Disabled,NECO,2-year
2023/2024,Male,Disabled,NECO,3-5-year
2023/2024,Male,Disabled,NECO,5+-year
2023/2024,Male,Disabled,WAEC,1-year
2023/2024,Male,Disabled,WAEC,2-year
2023/2024,Male,Disabled,WAEC,3-5-year
2023/2024,Male,Disabled,WAEC,5+-year
2024/2025,Female,ALL,NABTEB,1-year
2024/2025,Female,ALL,NABTEB,2-year
2024/2025,Female,ALL,NABTEB,3-5-year
2024/2025,Female,ALL,NABTEB,5+-year
2024/2025,Female,ALL,NECO,1-year
2024/2025,Female,ALL,NECO,2-year
2024/2025,Female,ALL,NECO,3-5-year
2024/2025,Female,ALL,NECO,5+-year
2024/2025,Female,ALL,WAEC,1-year
2024/2025,Female,ALL,WAEC,2-year
2024/2025,Female,ALL,WAEC,3-5-year
2024/2025,Female,ALL,WAEC,5+-year
2024/2025,Female,Disabled,NABTEB,1-year
2024/2025,Female,Disabled,NABTEB,2-year
2024/2025,Female,Disabled,NABTEB,3-5-year
2024/2025,Female,Disabled,NABTEB,5+-year
2024/2025,Female,Disabled,NECO,1-year
2024/2025,Female,Disabled,NECO,2-year
2024/2025,Female,Disabled,NECO,3-5-year
2024/2025,Female,Disabled,NECO,5+-year
2024/2025,Female,Disabled,WAEC,1-year
2024/2025,Female,Disabled,WAEC,2-year
2024/2025,Female,Disabled,WAEC,3-5-year
2024/2025,Female,Disabled,WAEC,5+-year
2024/2025,Male,ALL,NABTEB,1-year
2024/2025,Male,ALL,NABTEB,2-year
2024/2025,Male,ALL,NABTEB,3-5-year
2024/2025,Male,ALL,NABTEB,5+-year
2024/2025,Male,ALL,NECO,1-year
2024/2025,Male,ALL,NECO,2-year
2024/2025,Male,ALL,NECO,3-5-year
2024/2025,Male,ALL,NECO,5+-year
2024/2025,Male,ALL,WAEC,1-year
2024/2025,Male,ALL,WAEC,2-year
2024/2025,Male,ALL,WAEC,3-5-year
2024/2025,Male,ALL,WAEC,5+-year
2024/2025,Male,Disabled,NABTEB,1-year
2024/2025,Male,Disabled,NABTEB,2-year
2024/2025,Male,Disabled,NABTEB,3-5-year
2024/2025,Male,Disabled,NABTEB,5+-year
2024/2025,Male,Disabled,NECO,1-year
2024/2025,Male,Disabled,NECO,2-year
2024/2025,Male,Disabled,NECO,3-5-year
2024/2025,Male,Disabled,NECO,5+-year
2024/2025,Male,Disabled,WAEC,1-year
2024/2025,Male,Disabled,WAEC,2-year
2024/2025,Male,Disabled,WAEC,3-5-year
2024/2025,Male,Disabled,WAEC,5+-year
2024/2025,Male,ALL,NABTEB,3-5 years
2024/2025,Female,ALL,WAEC,5+ years
