session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,51,1,2,2,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,70,1,3,2,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,2,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,84,2,3,2,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,3,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,106,2,4,3,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,JSS,JSS1,10,3,1,1,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,JSS,JSS1,389,3,8,6,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,JSS,JSS1,10,3,1,1,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,JSS,JSS1,369,3,8,6,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,JSS,JSS1,27,8,1,1,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,JSS,JSS1,1026,8,22,17,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,JSS,JSS1,26,8,1,1,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,JSS,JSS1,972,8,21,16,52.1,JSS1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,JSS,JSS2,10,3,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,JSS,JSS2,320,3,7,5,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,JSS,JSS2,9,3,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,JSS,JSS2,304,3,6,5,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,JSS,JSS2,23,7,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,JSS,JSS2,842,7,18,14,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,JSS,JSS2,21,7,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,JSS,JSS2,799,7,17,13,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,JSS,JSS3,8,3,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,JSS,JSS3,255,3,5,4,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,JSS,JSS3,7,3,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,JSS,JSS3,242,3,5,4,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,JSS,JSS3,17,8,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,JSS,JSS3,672,8,14,11,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,JSS,JSS3,17,8,1,1,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,JSS,JSS3,637,8,13,10,52.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 1,15,3,1,1,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,661,3,16,12,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,16,3,1,1,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,676,3,17,13,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,107,19,3,2,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3718,19,91,69,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,114,19,3,2,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3981,19,97,73,50.1,Primary 1,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,13,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,587,3,14,11,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,14,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,601,3,15,11,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,95,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,3301,16,81,61,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 2,100,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,3534,16,86,65,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,12,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,527,3,13,10,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 3,13,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,540,3,13,10,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,84,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2969,16,73,55,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 3,91,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,3178,16,78,59,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,11,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,482,3,12,9,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 4,10,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,493,3,12,9,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,77,17,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2713,17,66,50,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 4,82,17,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2904,17,71,54,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,11,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,451,3,11,8,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 5,10,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,462,3,11,8,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,73,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2540,16,62,47,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,77,16,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2720,16,67,51,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,9,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,407,3,10,8,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,9,3,1,1,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,418,3,10,8,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,65,18,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,2297,18,56,42,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,70,18,2,2,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,2459,18,60,45,50.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
