session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,NABTEB,5+-year,College of Education,13,12,9,0,9,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,NECO,1-year,College of Education,119,119,31,30,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,NECO,2-year,College of Education,78,54,24,14,15,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,NECO,3-5-year,College of Education,51,33,16,14,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,NECO,5+-year,College of Education,27,18,7,7,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,WAEC,1-year,College of Education,169,169,57,47,9,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,WAEC,2-year,College of Education,110,110,37,27,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,WAEC,3-5-year,College of Education,86,57,30,20,12,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,ALL,WAEC,5+-year,College of Education,34,23,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NABTEB,1-year,College of Education,6,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NABTEB,2-year,College of Education,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NECO,1-year,College of Education,14,7,7,7,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NECO,2-year,College of Education,7,4,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NECO,3-5-year,College of Education,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,NECO,5+-year,College of Education,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,WAEC,1-year,College of Education,17,11,7,6,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,WAEC,2-year,College of Education,10,7,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,WAEC,3-5-year,College of Education,10,7,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi",Male,Disabled,WAEC,5+-year,College of Education,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NABTEB,1-year,Polytechnic,45,33,16,14,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NABTEB,2-year,Polytechnic,29,25,9,8,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NABTEB,3-5-year,Polytechnic,16,12,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NABTEB,5+-year,Polytechnic,10,8,8,0,8,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NECO,1-year,Polytechnic,68,47,24,22,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NECO,2-year,Polytechnic,41,33,16,16,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NECO,3-5-year,Polytechnic,27,18,7,7,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,NECO,5+-year,Polytechnic,17,11,7,0,7,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,WAEC,1-year,Polytechnic,114,114,44,33,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,WAEC,2-year,Polytechnic,72,52,30,20,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,WAEC,3-5-year,Polytechnic,48,34,14,14,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,ALL,WAEC,5+-year,Polytechnic,24,16,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NABTEB,1-year,Polytechnic,7,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NABTEB,2-year,Polytechnic,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NABTEB,3-5-year,Polytechnic,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NECO,1-year,Polytechnic,10,7,7,7,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NECO,2-year,Polytechnic,7,4,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NECO,3-5-year,Polytechnic,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,NECO,5+-year,Polytechnic,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,WAEC,1-year,Polytechnic,14,11,7,6,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,WAEC,2-year,Polytechnic,7,7,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,WAEC,3-5-year,Polytechnic,7,4,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Female,Disabled,WAEC,5+-year,Polytechnic,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NABTEB,1-year,Polytechnic,45,33,16,8,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NABTEB,2-year,Polytechnic,26,20,9,8,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NABTEB,3-5-year,Polytechnic,19,16,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NABTEB,5+-year,Polytechnic,13,8,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NECO,1-year,Polytechnic,75,54,24,22,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NECO,2-year,Polytechnic,48,36,16,16,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NECO,3-5-year,Polytechnic,34,26,16,8,12,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,NECO,5+-year,Polytechnic,14,11,7,7,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,WAEC,1-year,Polytechnic,110,110,30,27,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,WAEC,2-year,Polytechnic,69,48,23,14,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,WAEC,3-5-year,Polytechnic,48,34,14,14,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,ALL,WAEC,5+-year,Polytechnic,24,16,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NABTEB,1-year,Polytechnic,7,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NABTEB,2-year,Polytechnic,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NABTEB,3-5-year,Polytechnic,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NECO,1-year,Polytechnic,10,7,7,7,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NECO,2-year,Polytechnic,7,4,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NECO,3-5-year,Polytechnic,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,NECO,5+-year,Polytechnic,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,WAEC,1-year,Polytechnic,14,11,7,6,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,WAEC,2-year,Polytechnic,10,7,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,WAEC,3-5-year,Polytechnic,7,4,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West",Male,Disabled,WAEC,5+-year,Polytechnic,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NABTEB,1-year,University,42,28,16,16,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NABTEB,2-year,University,26,20,9,8,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NABTEB,3-5-year,University,16,12,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NABTEB,5+-year,University,10,5,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NECO,1-year,University,65,50,31,22,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NECO,2-year,University,41,29,16,16,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NECO,3-5-year,University,24,18,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,NECO,5+-year,University,10,7,7,7,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,WAEC,1-year,University,86,61,37,27,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,WAEC,2-year,University,55,41,23,14,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,WAEC,3-5-year,University,41,30,14,14,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,ALL,WAEC,5+-year,University,21,14,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NABTEB,1-year,University,6,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NABTEB,2-year,University,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NABTEB,3-5-year,University,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NECO,1-year,University,7,4,4,4,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NECO,2-year,University,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NECO,3-5-year,University,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,NECO,5+-year,University,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,WAEC,1-year,University,10,7,7,6,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,WAEC,2-year,University,7,4,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,WAEC,3-5-year,University,4,4,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Female,Disabled,WAEC,5+-year,University,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NABTEB,1-year,University,45,36,16,16,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NABTEB,2-year,University,26,20,9,8,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NABTEB,3-5-year,University,19,12,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NABTEB,5+-year,University,10,8,8,0,8,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NECO,1-year,University,68,54,31,22,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NECO,2-year,University,44,33,16,16,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NECO,3-5-year,University,27,18,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,NECO,5+-year,University,14,11,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,WAEC,1-year,University,107,78,44,27,24,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,WAEC,2-year,University,62,48,23,20,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,WAEC,3-5-year,University,41,30,14,14,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,ALL,WAEC,5+-year,University,24,20,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NABTEB,1-year,University,6,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NABTEB,2-year,University,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NABTEB,3-5-year,University,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NECO,1-year,University,7,4,4,4,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NECO,2-year,University,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NECO,3-5-year,University,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,NECO,5+-year,University,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,WAEC,1-year,University,10,7,7,6,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,WAEC,2-year,University,7,4,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,WAEC,3-5-year,University,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko",Male,Disabled,WAEC,5+-year,University,3,3,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NABTEB,1-year,Polytechnic,61,45,24,22,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NABTEB,2-year,Polytechnic,35,28,16,16,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NABTEB,3-5-year,Polytechnic,26,20,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NABTEB,5+-year,Polytechnic,13,8,8,0,8,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NECO,1-year,Polytechnic,105,83,49,38,12,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NECO,2-year,Polytechnic,71,57,31,22,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NECO,3-5-year,Polytechnic,44,36,16,16,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,NECO,5+-year,Polytechnic,24,18,9,8,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,WAEC,1-year,Polytechnic,145,145,64,53,9,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,WAEC,2-year,Polytechnic,93,68,44,33,12,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,WAEC,3-5-year,Polytechnic,59,45,30,20,12,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,ALL,WAEC,5+-year,Polytechnic,28,20,7,6,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NABTEB,1-year,Polytechnic,7,5,5,5,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NABTEB,2-year,Polytechnic,3,3,0,0,0,2.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NABTEB,3-5-year,Polytechnic,3,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NECO,1-year,Polytechnic,10,7,7,7,0,1.0
2024/2025,North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko",Female,Disabled,NECO,2-year,Polytechnic,7,4,0,0,0,2.0
