session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Cybersecurity,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Cybersecurity,17,14,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Cybersecurity,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Systems,17,13,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Systems,18,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Data Science,18,15,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Data Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Data Science,19,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Data Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,17,14,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,16,13,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Software Engineering,14,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Software Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Software Engineering,20,14,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Software Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Chemical Engineering,18,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Chemical Engineering,15,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechatronics Engineering,16,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechatronics Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechatronics Engineering,20,16,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechatronics Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Petroleum Engineering,19,16,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Petroleum Engineering,18,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical Engineering,16,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical Engineering,15,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Civil Engineering,15,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Civil Engineering,15,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Civil Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,11,9,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,11,9,7
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechanical Engineering,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Statistics,15,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Statistics,12,9,7
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Operations Research,17,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Operations Research,22,17,15
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Applied Mathematics,17,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Applied Mathematics,13,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Actuarial Science,22,17,15
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Actuarial Science,20,16,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Mathematics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Mathematics,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Mathematics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Public Health,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Public Health,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Public Health,14,11,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Public Health,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,12,10,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,9,7,6
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,10,8,7
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,13,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Pharmacy,15,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Pharmacy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Pharmacy,15,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Pharmacy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Physiotherapy,16,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Physiotherapy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Physiotherapy,15,11,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Physiotherapy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts / Humanities,History and International Studies,13,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts / Humanities,History and International Studies,12,9,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts / Humanities,Religious Studies,19,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts / Humanities,Religious Studies,15,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts / Humanities,Theatre Arts,16,13,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts / Humanities,Theatre Arts,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts / Humanities,Theatre Arts,18,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts / Humanities,Theatre Arts,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,20,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts / Humanities,Fine and Applied Arts,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts / Humanities,Philosophy,15,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts / Humanities,Philosophy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts / Humanities,Philosophy,14,11,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts / Humanities,Philosophy,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Geography,16,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Geography,19,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Economics,11,9,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Economics,12,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Psychology,16,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Psychology,14,11,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Psychology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Criminology,23,18,16
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Criminology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Criminology,21,17,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Criminology,2,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Sociology,16,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Sociology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Sociology,12,9,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Sociology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,International Relations,21,15,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,International Relations,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,International Relations,18,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,International Relations,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,25,19,17
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Marketing,20,15,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,17,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Business Administration,15,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Arts,Law,21,17,15
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Arts,Law,19,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,17,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Public Administration,17,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,19,15,14
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Business / Administration / Law,Insurance,2,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Business / Administration / Law,Insurance,26,21,18
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Business / Administration / Law,Insurance,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,16,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Banking and Finance,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance,16,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Banking and Finance,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Curriculum Studies,17,14,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Curriculum Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Curriculum Studies,17,14,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Curriculum Studies,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Adult Education,15,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Adult Education,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Adult Education,14,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Adult Education,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Educational Management,11,9,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Educational Management,12,9,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Educational Management,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Guidance and Counselling,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Guidance and Counselling,12,10,8
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Guidance and Counselling,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Educational Technology,13,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Educational Technology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Educational Technology,16,13,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Educational Technology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Communication / Media,Development Communication,18,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
