session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,pass_rate_pct,utme_candidate_count,utme_qualified_count,utme_qualifying_rate_pct,admitted_count,admission_rate_pct,matriculated_count,matriculation_completion_rate_pct
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Kulluru Primary School, Kulluru",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Rinde Primary School, Rinde",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,"Tunfusa Nomadic Primary School, Tumfusa",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Harbo Tsohuwa,Wayakawoka Ps,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Atawame Primary School, Atwame",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Chambe Primary School, Chambe",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Fagwalayi Primary School, Fagwalayi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Gidan Datti Primary School, Gidan Datti",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Idanduna Primary School, Idanduna",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Junior Secondary School, Darai",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Junior Secondary School, Idanduna",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Kargo Primary School, Kargo",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Kwanjamawa Primary School, Kwanjamawa Villave",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,Sadikawa Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,"Tunubu Primary School, Tunubu",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Idanduna,Zarga Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Abirakyau Nomadic Primary School, Abirakyau",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Atuman Primary School, Atuman",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,Chambayi Nomadic Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Damutawa Primary School, Damutawa",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Faranshi Primary School, Faranshi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Gidan Gona Primary School, Gidan Gona",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Jabarna Primary School, Jabarna",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Junior Secondary School, Fagwalayi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Kargon Gulai Primary School, Kargon Gulai",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Likindi Nomadic Primary School, Likindi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Shabbaburrasulillah Islamiya Primary School, Darai",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jabarna,"Wurmawa Primary School, Wurmawa Village",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Abubakar Sadiq Nursery And Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Akram Nursery And Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Albarka Comprehensive College,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Albarka Comprehensive College (Nursery And Primary School),Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Brighter Stars Academy,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Brighter Stars International Academy,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Darai  Pfimary   School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Doro Pri School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Gauza Primary School, Gauza",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Imam Malik Al-Furqan Academy,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Jahun Gabas Model Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Jahun Kudu Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Jahun Pilot Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Jahun Special Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Junior Arabic Secondary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Junior Secondary School Akram,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Junior Secondary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Justice Modibo Abubakar Junior Secondary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Kadara Norsery $ Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Larabawa Nomadic Primary School Jahun,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Maahad Islamiya Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Madarasatul Rhiyadul Quran Primary School Jahun,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Mountain View Nursery And Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Nana Aisha Junior Girls Secondary School Jahun,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Nurul Islam Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Progressive Nursery And Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,"Shamsulhuda Islamiya Primary School, Jahun",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Sheik Naibi Ahmad S. Nur. &Amp; Pri.,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Sheikh Mahmud Nursery And Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Tsangayar Madabo,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Tsangayar Malam Mohammad Zannuna,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Tsangayar Malam Yau,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Tsangayar Mallam Labiru,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Zainab Abubakar Memorial School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Jahun,Zainab Abubakar Memorial School Jahun,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Achau Primary School, Achau",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Babancha Primary School, Babancha Village",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,Billawa Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Dina Primary School, Dina",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Gabari Primary School, Gabari",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,Gidan Zaki Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Junior Secondary School, Gwampai",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Kale Primary School, Kale",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Kawari Primary School, Kawari Village",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Magama Primary School, Magama",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Taraya Primary School, Tarayavillage",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kale,"Yalleman Primary School, Yalleman",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Gadewa Primary School, Gadewa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,Gidan Laya Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Gompai Primary School, Gwmfai",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Junior Secondary School, Kadowawa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Junior Secondary School, Kanwa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Kanwa Primary School, Kanwa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Koya Nomadic Primary School, Koya Illage",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Makani Primary School, Makani",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,Nurulhuda Islamiyya Kanwa,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Tsalliya Nomadic Primary School, Tsalliya",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,Tsangayar Malam Hamisu Hassan,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Jahun,Kanwa,"Yankunama Islamiya Primary School, Yankunama",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Ahababun Nabiyyi Islamia Primary School, Kwazalewa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Ataru Primary School, Ataru",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Boarding Primary School, Bulangu",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Islamiyya Primary School, Bulangu",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Balangu Model Primary School, Balangu",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Baraduwa Primary School, Baraduwa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Chiromari Primary School, Chiromari Village",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Fadawa Primary School, Fadawa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Gidan Karko Islammiya Ps,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Inkaibo Primary School, Inkaibo",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School,  Waek",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Junior Secondary School, Shamakeri",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Kira Babba Primary School, Kira Babba",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Kwantare Nomadic Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Makwasharga Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Nasarawa Islamiyya Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Shamakeri Primary School, Shamakeri",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,Tsangaya Malam Mai Danko,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Balangu,"Yola Musa Primary School, Yola Musa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Alaramma Mallam Haruna Tsangaya,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Duma Dumin Toka Islammiya Ps,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Duma Dumin Toka Primary School, Duma Dumin Toka",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Dumadumin Kyaure Primary School, Dumadumin Kyaure",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Fawari Islamiyya Primary School, Bulangu",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Gidan Kwari Primary School,Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Jigawar Gabas Primary School, Jigawar Gabas",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Junior Secondary School, Adaraushe",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Junior Secondary School, D/Toka",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Junior Secondary School, Toyawa",Male,Disabled,NECO,1,1,100.0,1,1,100.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Kiri Kasamma Primary School, Kiri Kasamma",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Kwarin Riga Nomadic Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Malumawa Tudu Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Malumawar Awaso,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Nomari Primary School, Numari",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Sharbi Primary School, Sharbi",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Tsangaya Alaramma Malam Usman,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Tsangayar Alaramma Dan Jallah,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,Tsangayar Arewa,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Dumadumin Toka,"Zawayo Primary School, Zawayo",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Auno Gari Primary School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Baushe Primary School, Baushe",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Chiyayi Community Pry School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Gabari Primary School, Gabari",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Gafaya Islamiyya School,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Gafaya Primary School, Gafaya",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Gulun Gulun Primary School, Gulun Gulun",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Jodade Islamiyya Primary School, Jodade",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Junior Secondary School, Baraduwa",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"K=9Junior Secondary School, Bulangu",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Kofa Fada Islamiyya,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Kwatalo Primary School, Kwatalo",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Manaba Primary School, Manaba",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Nurul Huda Islamiyya,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Shuwari Primary School, Shuwari",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,"Taalimiddin Islamiyya Primary School, Bulangu",Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Tsangaya Malam Ado,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
2022/2023,North West,Jigawa,Kafin-Hausa,Gafaya,Tsangayar Malam Mai Gawo,Male,Disabled,NECO,1,1,100.0,1,0,0.0,0,0.0,0,0.0
