session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,SSS,SSS2,5,3,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Private,Vocational,Vocational Year 3,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Private,Vocational,Vocational Year 3,24,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Public,Vocational,Vocational Year 3,10,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Public,Vocational,Vocational Year 3,1,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Public,Vocational,Vocational Year 3,26,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,87,1,3,2,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,116,1,4,3,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,3,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,109,1,4,3,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,4,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,162,1,5,3,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,1,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,68,1,2,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,91,1,3,2,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,85,1,3,2,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,3,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,126,1,4,3,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,37,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,50,1,2,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,47,1,2,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,2,1,1,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,69,1,2,1,54.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,JSS,JSS1,5,2,1,1,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,JSS,JSS1,235,2,4,3,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,JSS,JSS1,5,2,1,1,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,JSS,JSS1,202,2,4,3,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,JSS,JSS1,19,5,1,1,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,JSS,JSS1,837,5,15,10,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,JSS,JSS1,17,5,1,1,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,JSS,JSS1,743,5,13,9,60.9,JSS1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,JSS,JSS2,5,2,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,JSS,JSS2,192,2,3,2,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,JSS,JSS2,5,2,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,JSS,JSS2,167,2,3,2,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,JSS,JSS2,15,6,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,JSS,JSS2,687,6,12,8,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,JSS,JSS2,14,6,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,JSS,JSS2,610,6,11,8,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,JSS,JSS3,3,1,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,JSS,JSS3,155,1,3,2,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,JSS,JSS3,3,1,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,JSS,JSS3,131,1,2,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,JSS,JSS3,12,5,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,JSS,JSS3,548,5,10,7,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,JSS,JSS3,11,5,1,1,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,JSS,JSS3,487,5,8,6,60.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,Pre-Primary/Primary,Primary 1,23,3,1,1,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,691,3,14,10,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,24,3,1,1,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,709,3,14,10,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,65,10,1,1,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,2384,10,48,34,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,65,10,1,1,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,2353,10,48,34,58.9,Primary 1,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,20,3,1,1,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,614,3,12,8,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,20,3,1,1,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,630,3,13,9,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,58,10,1,1,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
2021/2022,South South,Bayelsa,Nembe,Bassambiri III,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,2118,10,43,30,58.9,,0,"Government Secondary School, Bassambiri III | Community Secondary School, Bassambiri III | Unity College, Nembe | Comprehensive High School, Bassambiri III"
