session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NECO,5+-year,University,20,14,6,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,WAEC,1-year,University,86,57,20,21,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,WAEC,2-year,University,52,37,15,10,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,WAEC,3-5-year,University,45,30,10,10,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,WAEC,5+-year,University,21,14,5,5,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NABTEB,1-year,University,6,4,0,0,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NABTEB,2-year,University,3,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NABTEB,3-5-year,University,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NECO,1-year,University,7,3,6,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NECO,2-year,University,3,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NECO,3-5-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,NECO,5+-year,University,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,WAEC,1-year,University,10,7,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,WAEC,2-year,University,7,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,WAEC,3-5-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,Disabled,WAEC,5+-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NABTEB,1-year,Polytechnic,67,45,11,11,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NABTEB,2-year,Polytechnic,45,29,11,6,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NABTEB,3-5-year,Polytechnic,29,20,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NABTEB,5+-year,Polytechnic,16,12,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NECO,1-year,Polytechnic,104,71,28,23,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NECO,2-year,Polytechnic,71,50,22,17,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NECO,3-5-year,Polytechnic,40,28,11,12,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,NECO,5+-year,Polytechnic,30,21,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,WAEC,1-year,Polytechnic,185,135,46,36,10,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,WAEC,2-year,Polytechnic,117,81,25,26,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,WAEC,3-5-year,Polytechnic,76,54,15,15,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,ALL,WAEC,5+-year,Polytechnic,34,27,10,5,5,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NABTEB,1-year,Polytechnic,7,4,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NABTEB,2-year,Polytechnic,7,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NABTEB,3-5-year,Polytechnic,3,4,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NABTEB,5+-year,Polytechnic,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NECO,1-year,Polytechnic,17,11,6,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NECO,2-year,Polytechnic,10,7,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NECO,3-5-year,Polytechnic,7,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,NECO,5+-year,Polytechnic,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,WAEC,1-year,Polytechnic,24,14,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,WAEC,2-year,Polytechnic,17,10,5,5,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,WAEC,3-5-year,Polytechnic,10,7,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Female,Disabled,WAEC,5+-year,Polytechnic,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NABTEB,1-year,Polytechnic,67,45,11,11,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NABTEB,2-year,Polytechnic,45,33,11,6,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NABTEB,3-5-year,Polytechnic,26,16,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NABTEB,5+-year,Polytechnic,13,8,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NECO,1-year,Polytechnic,101,74,22,23,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NECO,2-year,Polytechnic,61,46,17,12,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NECO,3-5-year,Polytechnic,44,32,11,12,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,NECO,5+-year,Polytechnic,24,18,6,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,WAEC,1-year,Polytechnic,178,121,35,31,4,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,WAEC,2-year,Polytechnic,117,78,25,20,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,WAEC,3-5-year,Polytechnic,72,51,15,15,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,ALL,WAEC,5+-year,Polytechnic,48,34,10,10,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NABTEB,1-year,Polytechnic,10,4,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NABTEB,2-year,Polytechnic,3,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NABTEB,3-5-year,Polytechnic,3,4,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NABTEB,5+-year,Polytechnic,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NECO,1-year,Polytechnic,13,11,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NECO,2-year,Polytechnic,10,7,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NECO,3-5-year,Polytechnic,7,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,NECO,5+-year,Polytechnic,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,WAEC,1-year,Polytechnic,24,17,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,WAEC,2-year,Polytechnic,17,10,5,5,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,WAEC,3-5-year,Polytechnic,10,7,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Government Secondary School, Asa",Male,Disabled,WAEC,5+-year,Polytechnic,7,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NABTEB,1-year,College of Education,38,29,11,11,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NABTEB,2-year,College of Education,26,20,5,6,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NABTEB,3-5-year,College of Education,19,12,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NABTEB,5+-year,College of Education,7,8,5,0,5,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NECO,1-year,College of Education,64,46,22,17,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NECO,2-year,College of Education,40,28,11,12,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NECO,3-5-year,College of Education,27,21,11,12,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,NECO,5+-year,College of Education,17,11,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,WAEC,1-year,College of Education,93,67,25,20,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,WAEC,2-year,College of Education,62,47,20,15,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,WAEC,3-5-year,College of Education,31,24,10,10,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,ALL,WAEC,5+-year,College of Education,17,14,5,5,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NABTEB,1-year,College of Education,7,4,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NABTEB,2-year,College of Education,3,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NECO,1-year,College of Education,7,3,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NECO,2-year,College of Education,3,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NECO,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,WAEC,1-year,College of Education,7,3,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,WAEC,2-year,College of Education,3,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,WAEC,3-5-year,College of Education,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Female,Disabled,WAEC,5+-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NABTEB,1-year,College of Education,38,29,11,6,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NABTEB,2-year,College of Education,26,20,5,6,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NABTEB,3-5-year,College of Education,16,12,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NABTEB,5+-year,College of Education,10,8,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NECO,1-year,College of Education,71,46,22,17,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NECO,2-year,College of Education,44,28,11,12,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NECO,3-5-year,College of Education,27,18,6,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,NECO,5+-year,College of Education,17,14,6,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,WAEC,1-year,College of Education,96,67,25,20,5,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,WAEC,2-year,College of Education,65,47,15,10,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,WAEC,3-5-year,College of Education,38,27,10,10,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,ALL,WAEC,5+-year,College of Education,28,17,5,5,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NABTEB,1-year,College of Education,7,4,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NABTEB,2-year,College of Education,3,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NECO,1-year,College of Education,7,3,6,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NECO,2-year,College of Education,3,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NECO,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,WAEC,1-year,College of Education,10,7,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,WAEC,2-year,College of Education,7,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,WAEC,3-5-year,College of Education,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Unity College, Aba South",Male,Disabled,WAEC,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NABTEB,1-year,College of Education,38,29,11,5,6,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NABTEB,2-year,College of Education,22,16,5,5,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NABTEB,3-5-year,College of Education,16,12,5,5,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NABTEB,5+-year,College of Education,10,8,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NECO,1-year,College of Education,71,50,17,17,0,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NECO,2-year,College of Education,51,35,11,11,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NECO,3-5-year,College of Education,27,21,11,6,5,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,NECO,5+-year,College of Education,17,14,5,6,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,WAEC,1-year,College of Education,100,78,30,26,4,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,WAEC,2-year,College of Education,58,44,20,15,5,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,WAEC,3-5-year,College of Education,41,30,10,10,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,ALL,WAEC,5+-year,College of Education,28,20,10,10,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NABTEB,1-year,College of Education,7,4,5,5,0,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NABTEB,2-year,College of Education,3,4,0,0,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NECO,1-year,College of Education,10,7,6,6,0,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NECO,2-year,College of Education,7,3,0,0,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NECO,3-5-year,College of Education,3,3,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,WAEC,1-year,College of Education,14,10,5,5,0,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,WAEC,2-year,College of Education,7,3,0,0,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,WAEC,3-5-year,College of Education,3,3,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Female,Disabled,WAEC,5+-year,College of Education,3,3,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NABTEB,1-year,College of Education,45,33,11,5,6,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NABTEB,2-year,College of Education,26,20,5,5,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NABTEB,3-5-year,College of Education,19,16,5,5,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NABTEB,5+-year,College of Education,13,8,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NECO,1-year,College of Education,84,60,22,17,5,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NECO,2-year,College of Education,54,35,11,11,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NECO,3-5-year,College of Education,37,28,11,11,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,NECO,5+-year,College of Education,20,14,6,6,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,WAEC,1-year,College of Education,106,74,25,21,4,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,WAEC,2-year,College of Education,62,44,15,10,5,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,WAEC,3-5-year,College of Education,45,30,10,10,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,ALL,WAEC,5+-year,College of Education,24,17,5,5,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,Disabled,NABTEB,1-year,College of Education,7,4,5,5,0,1.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,Disabled,NABTEB,2-year,College of Education,3,4,0,0,0,2.0
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2021/2022,South East,Abia,Arochukwu,Arochukwu I,"Community Secondary School, Arochukwu I",Male,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
