session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,NECO,Polytechnic,18,18,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,WAEC,Polytechnic,23,23,14,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,NABTEB,Polytechnic,110,108,76,18,12,6,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,NECO,Polytechnic,189,186,122,31,27,4,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,ALL,WAEC,Polytechnic,260,256,169,61,56,5,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,NABTEB,Polytechnic,11,11,7,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,NECO,Polytechnic,18,18,9,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,WAEC,Polytechnic,23,23,14,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,NABTEB,College of Education,66,65,46,18,18,0,2.1
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,NECO,College of Education,126,124,87,42,38,4,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,ALL,WAEC,College of Education,146,144,98,37,35,2,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Disabled,NABTEB,College of Education,11,11,7,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Disabled,NECO,College of Education,12,12,6,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Disabled,WAEC,College of Education,14,14,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,ALL,NABTEB,College of Education,77,76,50,18,18,0,2.1
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,ALL,NECO,College of Education,158,156,104,37,33,4,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,ALL,WAEC,College of Education,184,181,128,47,45,2,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Disabled,NABTEB,College of Education,11,11,7,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Disabled,NECO,College of Education,15,15,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Disabled,WAEC,College of Education,17,17,11,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,ALL,NABTEB,College of Education,135,133,83,24,25,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,ALL,NECO,College of Education,251,247,170,52,49,3,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,ALL,WAEC,College of Education,297,293,196,75,66,9,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Disabled,NABTEB,College of Education,16,16,10,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Disabled,NECO,College of Education,36,35,24,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Disabled,WAEC,College of Education,38,37,25,9,10,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,ALL,NABTEB,College of Education,156,154,100,31,25,6,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,ALL,NECO,College of Education,317,312,215,73,66,7,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,ALL,WAEC,College of Education,336,331,226,75,66,9,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,NABTEB,College of Education,19,19,10,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,NECO,College of Education,36,35,21,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,WAEC,College of Education,44,43,24,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,ALL,NABTEB,University,71,70,50,18,18,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,ALL,NECO,University,114,112,81,31,27,4,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,ALL,WAEC,University,166,164,109,42,35,7,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Disabled,NABTEB,University,11,11,7,6,6,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Disabled,NECO,University,12,12,9,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Disabled,WAEC,University,14,14,8,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,ALL,NABTEB,University,80,79,53,18,12,6,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,ALL,NECO,University,143,141,98,37,33,4,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,ALL,WAEC,University,187,184,125,51,46,5,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Disabled,NABTEB,University,11,11,7,0,0,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Disabled,NECO,University,15,15,9,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Disabled,WAEC,University,17,17,11,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,ALL,NABTEB,Polytechnic,50,49,30,6,6,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,ALL,NECO,Polytechnic,95,94,60,21,16,5,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,ALL,WAEC,Polytechnic,123,121,76,28,25,3,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Disabled,NABTEB,Polytechnic,11,11,7,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Disabled,NECO,Polytechnic,12,12,6,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Disabled,WAEC,Polytechnic,14,14,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,ALL,NABTEB,Polytechnic,52,51,33,6,6,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,ALL,NECO,Polytechnic,95,94,63,16,16,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,ALL,WAEC,Polytechnic,114,112,73,23,20,3,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Disabled,NABTEB,Polytechnic,11,11,7,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Disabled,NECO,Polytechnic,15,15,9,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Disabled,WAEC,Polytechnic,14,14,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,ALL,NABTEB,College of Education,82,81,53,24,25,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,ALL,NECO,College of Education,146,144,104,42,38,4,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,ALL,WAEC,College of Education,163,161,109,42,40,2,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,Disabled,NABTEB,College of Education,11,11,7,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,Disabled,NECO,College of Education,12,12,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Female,Disabled,WAEC,College of Education,12,12,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,ALL,NABTEB,College of Education,88,87,60,24,18,6,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,ALL,NECO,College of Education,152,150,104,37,33,4,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,ALL,WAEC,College of Education,196,193,133,47,46,1,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,Disabled,NABTEB,College of Education,11,11,7,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,Disabled,NECO,College of Education,15,15,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Unity College, Gboko",Male,Disabled,WAEC,College of Education,14,14,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,ALL,NABTEB,College of Education,63,62,40,18,19,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,ALL,NECO,College of Education,108,106,69,26,22,4,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,ALL,WAEC,College of Education,160,158,106,37,35,2,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,Disabled,NABTEB,College of Education,11,11,7,6,6,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,Disabled,NECO,College of Education,12,12,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Female,Disabled,WAEC,College of Education,14,14,8,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,ALL,NABTEB,College of Education,69,68,46,12,12,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,ALL,NECO,College of Education,129,127,81,26,22,4,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,ALL,WAEC,College of Education,196,193,133,42,40,2,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,Disabled,NABTEB,College of Education,11,11,7,0,0,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,Disabled,NECO,College of Education,12,12,6,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West",Male,Disabled,WAEC,College of Education,17,17,11,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,ALL,NABTEB,Polytechnic,71,70,50,24,25,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,ALL,NECO,Polytechnic,161,159,119,47,44,3,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,ALL,WAEC,Polytechnic,173,170,120,56,51,5,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,Disabled,NABTEB,Polytechnic,11,11,7,6,6,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,Disabled,NECO,Polytechnic,15,15,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Female,Disabled,WAEC,Polytechnic,17,17,11,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,ALL,NABTEB,Polytechnic,82,81,60,24,25,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,ALL,NECO,Polytechnic,174,171,122,47,44,3,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,ALL,WAEC,Polytechnic,202,199,147,61,56,5,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,Disabled,NABTEB,Polytechnic,11,11,7,6,6,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,Disabled,NECO,Polytechnic,15,15,9,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West",Male,Disabled,WAEC,Polytechnic,17,17,11,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,ALL,NABTEB,University,88,87,53,12,12,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,ALL,NECO,University,164,162,110,37,33,4,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,ALL,WAEC,University,225,222,150,47,40,7,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,Disabled,NABTEB,University,11,11,7,0,0,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,Disabled,NECO,University,21,21,12,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Female,Disabled,WAEC,University,29,29,19,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,ALL,NABTEB,University,93,92,63,18,12,6,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,ALL,NECO,University,191,188,128,37,33,4,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,ALL,WAEC,University,266,262,177,61,56,5,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,Disabled,NABTEB,University,11,11,7,0,0,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,Disabled,NECO,University,23,23,15,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West",Male,Disabled,WAEC,University,32,32,19,5,5,0,1.8
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,ALL,NABTEB,College of Education,118,116,80,18,18,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,ALL,NECO,College of Education,212,209,131,37,33,4,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,ALL,WAEC,College of Education,251,247,155,51,46,5,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,Disabled,NABTEB,College of Education,11,11,7,0,0,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,Disabled,NECO,College of Education,18,18,12,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Female,Disabled,WAEC,College of Education,20,20,11,5,5,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,ALL,NABTEB,College of Education,146,144,90,24,18,6,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,ALL,NECO,College of Education,269,265,176,47,38,9,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,ALL,WAEC,College of Education,307,302,204,61,56,5,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,Disabled,NABTEB,College of Education,11,11,7,0,0,0,2.1
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,Disabled,NECO,College of Education,21,21,12,5,6,0,2.0
2019/2020,North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko",Male,Disabled,WAEC,College of Education,26,26,14,5,5,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,ALL,NABTEB,University,77,76,50,18,18,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,ALL,NECO,University,132,130,87,31,27,4,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,ALL,WAEC,University,176,173,112,42,40,2,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,Disabled,NABTEB,University,11,11,7,6,6,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,Disabled,NECO,University,15,15,9,5,5,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Female,Disabled,WAEC,University,23,23,14,5,5,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,ALL,NABTEB,University,77,76,46,12,12,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,ALL,NECO,University,152,150,98,31,27,4,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,ALL,WAEC,University,202,199,139,47,40,7,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,Disabled,NABTEB,University,11,11,7,0,0,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,Disabled,NECO,University,18,18,12,5,5,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I",Male,Disabled,WAEC,University,23,23,14,0,0,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,ALL,NABTEB,Polytechnic,96,95,66,31,25,6,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,ALL,NECO,Polytechnic,152,150,107,47,38,9,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,ALL,WAEC,Polytechnic,204,201,131,56,51,5,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,Disabled,NABTEB,Polytechnic,11,11,7,6,6,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,Disabled,NECO,Polytechnic,18,18,12,5,6,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Female,Disabled,WAEC,Polytechnic,23,23,14,5,5,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,ALL,NABTEB,Polytechnic,90,89,63,24,25,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,ALL,NECO,Polytechnic,158,156,104,37,33,4,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,ALL,WAEC,Polytechnic,193,190,128,51,46,5,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,Disabled,NABTEB,Polytechnic,11,11,7,6,6,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,Disabled,NECO,Polytechnic,18,18,12,5,6,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I",Male,Disabled,WAEC,Polytechnic,26,26,16,5,5,0,2.0
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,ALL,NABTEB,University,108,106,70,18,12,6,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,ALL,NECO,University,272,268,179,57,49,8,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,ALL,WAEC,University,321,316,204,70,61,9,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,Disabled,NABTEB,University,13,13,7,0,0,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,Disabled,NECO,University,26,26,18,5,5,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Female,Disabled,WAEC,University,36,35,19,5,5,0,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Male,ALL,NABTEB,University,135,133,90,24,18,6,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Male,ALL,NECO,University,344,339,218,57,49,8,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Male,ALL,WAEC,University,406,400,258,89,81,8,1.8
2019/2020,North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I",Male,Disabled,NABTEB,University,13,13,7,0,0,0,1.8
