session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,JSS,JSS3,13,7,1,1,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,647,4,22,18,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 3,20,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,659,4,22,18,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,71,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2767,14,94,76,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 3,64,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2483,14,84,68,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,18,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,592,4,20,16,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 4,19,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,602,4,21,17,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,65,15,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2528,15,86,69,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 4,58,15,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2268,15,77,62,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,17,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,554,4,19,15,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 5,18,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,564,4,19,15,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,61,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2367,14,81,65,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,54,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,2124,14,72,58,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,16,3,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,501,3,17,14,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,16,3,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,510,3,17,14,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,55,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,2141,14,73,59,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,50,14,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1921,14,65,52,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,SSS,SSS1,3,3,1,1,58.2,SSS1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,SSS,SSS1,271,3,9,7,58.2,SSS1,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,SSS,SSS1,4,3,1,1,58.2,SSS1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,SSS,SSS1,290,3,9,7,58.2,SSS1,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,SSS,SSS1,8,6,1,1,58.2,SSS1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,SSS,SSS1,592,6,19,15,58.2,SSS1,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,SSS,SSS1,9,6,1,1,58.2,SSS1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,SSS,SSS1,684,6,22,18,58.2,SSS1,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,SSS,SSS2,2,3,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,SSS,SSS2,218,3,7,6,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,SSS,SSS2,2,3,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,SSS,SSS2,234,3,7,6,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,SSS,SSS2,7,6,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,SSS,SSS2,477,6,15,12,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,SSS,SSS2,8,6,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,SSS,SSS2,551,6,17,14,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,SSS,SSS3,1,2,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,SSS,SSS3,169,2,5,4,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,SSS,SSS3,1,2,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,SSS,SSS3,181,2,6,5,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,SSS,SSS3,5,6,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,SSS,SSS3,371,6,12,10,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,SSS,SSS3,6,6,1,1,58.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,SSS,SSS3,429,6,14,11,58.2,,1,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Vocational,Vocational Year 1,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Vocational,Vocational Year 1,15,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Vocational,Vocational Year 1,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Vocational,Vocational Year 1,27,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Vocational,Vocational Year 1,25,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Vocational,Vocational Year 1,42,2,2,2,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Vocational,Vocational Year 2,13,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Vocational,Vocational Year 2,23,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Vocational,Vocational Year 2,21,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Vocational,Vocational Year 2,35,2,2,2,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Vocational,Vocational Year 3,9,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Vocational,Vocational Year 3,16,1,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Vocational,Vocational Year 3,15,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Vocational,Vocational Year 3,26,2,1,1,55.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,1,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,99,1,6,5,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,124,1,7,6,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,1,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,126,1,7,6,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,164,1,9,7,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,1,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,77,1,4,3,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,97,1,5,4,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,1,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,97,1,5,4,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
2024/2025,South West,Ekiti,Efon,Efon III,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,50.2,,0,"Government Secondary School, Efon III | Community Secondary School, Efon III | Unity College, Efon | Comprehensive High School, Efon III"
