session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,301,9,33.44444444444444
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,553,16,34.5625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,,PGDE,Qualified,888,26,34.15384615384615
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,804,23,34.95652173913044
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,,NCE,Qualified,794,23,34.52173913043478
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,804,23,34.95652173913044
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,,PGDE,Qualified,747,22,33.95454545454545
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,,NCE,Qualified,754,22,34.27272727272727
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1261,37,34.08108108108108
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,NCE,Qualified,1256,36,34.888888888888886
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1355,39,34.743589743589745
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1256,36,34.888888888888886
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1075,31,34.67741935483871
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,MEd or Equivalent,Qualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1261,37,34.08108108108108
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Disabled,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,1307,38,34.39473684210526
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1028,30,34.266666666666666
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,,Unqualified,1106,32,34.5625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1028,30,34.266666666666666
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1156,34,34.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,309,8,38.625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,292,7,41.71428571428572
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,276,7,39.42857142857143
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,PGDE,Qualified,260,7,37.142857142857146
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,358,9,39.77777777777778
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,276,7,39.42857142857143
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,,,Unqualified,701,20,35.05
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,703,20,35.15
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,Public,Pre-Primary/Primary,,NCE,Qualified,888,26,34.15384615384615
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,,PGDE,Qualified,703,20,35.15
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,327,10,32.7
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,280,8,35.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,,NCE,Qualified,703,20,35.15
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,,NCE,Qualified,701,20,35.05
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,553,16,34.5625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1355,39,34.743589743589745
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1206,35,34.457142857142856
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1075,31,34.67741935483871
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,1028,30,34.266666666666666
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1106,32,34.5625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,888,26,34.15384615384615
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1005,29,34.6551724137931
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,841,24,35.041666666666664
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,Public,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,,Unqualified,794,23,34.52173913043478
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Disabled,Public,Pre-Primary/Primary,Primary 6,,Unqualified,955,28,34.107142857142854
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Disabled,Public,SSS,,MEd or Equivalent,Qualified,78,2,39.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,,Unqualified,118,3,39.333333333333336
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,,Unqualified,175,5,35.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,183,5,36.6
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,175,5,35.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,104,3,34.666666666666664
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,NCE,Qualified,78,2,39.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,204,5,40.8
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,228,6,38.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,JSS,,,Unqualified,162,4,40.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,406,10,40.6
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,JSS,,NCE,Qualified,260,7,37.142857142857146
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,JSS,,,Unqualified,146,4,36.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,JSS,,NCE,Qualified,357,9,39.66666666666666
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,JSS,,PGDE,Qualified,341,9,37.888888888888886
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,JSS,,PGDE,Qualified,325,8,40.625
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,300,8,37.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,175,5,35.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Disabled,Public,SSS,,NCE,Qualified,146,4,36.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,118,3,39.333333333333336
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,196,5,39.2
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,306,8,38.25
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Female,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,287,8,35.875
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,87,2,43.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,175,5,35.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,97,2,48.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,195,5,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,276,7,39.42857142857143
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,NCE,Qualified,81,2,40.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Disabled,Public,JSS,,,Unqualified,228,6,38.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,260,7,37.142857142857146
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,325,8,40.625
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,292,7,41.71428571428572
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1168,34,34.35294117647059
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1307,38,34.39473684210526
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1261,37,34.08108108108108
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1457,42,34.69047619047619
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,1308,38,34.421052631578945
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,1206,35,34.457142857142856
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,,Unqualified,1121,33,33.96969696969697
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1121,33,33.96969696969697
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,,Unqualified,1156,34,34.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1168,34,34.35294117647059
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Disabled,Public,Pre-Primary/Primary,Primary 6,,Unqualified,1156,34,34.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,SSS,,NCE,Qualified,78,2,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,117,3,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,SSS,,NCE,Qualified,219,6,36.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,196,5,39.2
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,SSS,,,Unqualified,219,6,36.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Female,Disabled,Public,SSS,,MEd or Equivalent,Qualified,196,5,39.2
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,102,3,34.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East",Male,Non-Disabled,Public,SSS,,NCE,Qualified,73,2,36.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,JSS,,MEd or Equivalent,Qualified,162,4,40.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,JSS,,,Unqualified,228,6,38.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,JSS,,PGDE,Qualified,325,8,40.625
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,JSS,,BEd or Equivalent,Qualified,293,7,41.85714285714285
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,JSS,,MEd or Equivalent,Qualified,65,2,32.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,JSS,,,Unqualified,195,5,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,JSS,,BEd or Equivalent,Qualified,146,4,36.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,JSS,,,Unqualified,130,3,43.333333333333336
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,JSS,,,Unqualified,243,6,40.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1355,39,34.743589743589745
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1407,41,34.31707317073171
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1121,33,33.96969696969697
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,1028,30,34.266666666666666
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,1005,29,34.6551724137931
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1168,34,34.35294117647059
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,1005,29,34.6551724137931
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,PGDE,Qualified,1168,34,34.35294117647059
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,,Unqualified,1206,35,34.457142857142856
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,NCE,Qualified,1028,30,34.266666666666666
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,NCE,Qualified,1055,31,34.03225806451613
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,SSS,,,Unqualified,91,2,45.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,SSS,,PGDE,Qualified,117,3,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,SSS,,PGDE,Qualified,219,6,36.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Disabled,Private,SSS,,Grade II or Equivalent,Unqualified,144,4,36.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,SSS,,MEd or Equivalent,Qualified,78,2,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,SSS,,PGDE,Qualified,204,5,40.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Female,Non-Disabled,Private,SSS,,BEd or Equivalent,Qualified,170,5,34.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East",Male,Non-Disabled,Private,SSS,,MEd or Equivalent,Qualified,189,5,37.8
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,228,6,38.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,,Unqualified,228,6,38.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,NCE,Qualified,390,10,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,114,3,38.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,195,5,39.0
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,308,8,38.5
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,JSS,,NCE,Qualified,374,9,41.55555555555556
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Non-Disabled,Public,JSS,,PGDE,Qualified,357,9,39.66666666666666
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1495,43,34.76744186046512
2019/2020,North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1558,45,34.62222222222222
