session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,History and International Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,History and International Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,History and International Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,History and International Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Religious Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Religious Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Religious Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Religious Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Theatre Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Theatre Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Theatre Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Theatre Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Fine and Applied Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Fine and Applied Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Fine and Applied Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Fine and Applied Arts
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Philosophy
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Philosophy
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Philosophy
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Philosophy
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Geography
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Geography
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Geography
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Geography
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Economics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Economics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Economics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Economics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Psychology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Psychology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Psychology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Psychology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Criminology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Criminology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Criminology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Criminology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Sociology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Sociology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Sociology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Sociology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,International Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,International Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,International Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,International Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Marketing
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Marketing
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Marketing
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Marketing
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Business Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Business Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Business Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Business Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Law
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Law
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Law
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Law
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Public Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Public Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Public Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Public Administration
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Insurance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Insurance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Insurance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Insurance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Banking and Finance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Banking and Finance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Banking and Finance
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Curriculum Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Curriculum Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Curriculum Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Curriculum Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Adult Education
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Adult Education
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Adult Education
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Adult Education
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Educational Management
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Educational Management
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Educational Management
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Educational Management
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Guidance and Counselling
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Guidance and Counselling
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Guidance and Counselling
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Guidance and Counselling
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Education,Educational Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Education,Educational Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Education,Educational Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Education,Educational Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Development Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Development Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Development Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Development Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Public Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Public Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Public Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Public Relations
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Journalism and Media Studies
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Mass Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Mass Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Mass Communication
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,Social Sciences,Broadcasting
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,Social Sciences,Broadcasting
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,Social Sciences,Broadcasting
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,Social Sciences,Broadcasting
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,English Language
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,English Language
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,English Language
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,English Language
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Hausa
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Hausa
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Hausa
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Hausa
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Linguistics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Linguistics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Linguistics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Linguistics
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Igbo
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Igbo
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Igbo
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Igbo
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Software Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Software Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Software Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Software Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Civil Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Civil Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Civil Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Civil Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechanical Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechanical Engineering
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Nursing Science
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,History and International Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,History and International Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,History and International Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,History and International Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Religious Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Religious Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Religious Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Religious Studies
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Theatre Arts
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Theatre Arts
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,Non-STEMM,ART,Theatre Arts
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,Non-STEMM,ART,Theatre Arts
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,Non-STEMM,ART,Fine and Applied Arts
2020/2021,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,Non-STEMM,ART,Fine and Applied Arts
