school
"Comprehensive High School, Eruku"
"Government Secondary School, Eruku"
"Unity College, Ekiti"
"Community Secondary School, Isapa"
"Comprehensive High School, Isapa"
"Government Secondary School, Isapa"
"Community Secondary School, Koro"
"Comprehensive High School, Koro"
"Government Secondary School, Koro"
"Community Secondary School, Agbeyangi/Gbadamu/Osin"
"Comprehensive High School, Agbeyangi/Gbadamu/Osin"
"Government Secondary School, Agbeyangi/Gbadamu/Osin"
"Unity College, Ilorin East"
"Community Secondary School, Apado"
"Comprehensive High School, Apado"
"Government Secondary School, Apado"
"Community Secondary School, Balogun Gambari II"
"Comprehensive High School, Balogun Gambari II"
"Government Secondary School, Balogun Gambari II"
"Community Secondary School, Adewole"
"Comprehensive High School, Adewole"
"Government Secondary School, Adewole"
"Unity College, Ilorin West"
"Community Secondary School, Ajikobi"
"Comprehensive High School, Ajikobi"
"Government Secondary School, Ajikobi"
"Community Secondary School, Baboko"
"Comprehensive High School, Baboko"
"Government Secondary School, Baboko"
"Community Secondary School, Balogun"
"Comprehensive High School, Balogun"
"Government Secondary School, Balogun"
"Unity College, Offa"
"Community Secondary School, Essa-A"
"Comprehensive High School, Essa-A"
"Government Secondary School, Essa-A"
"Community Secondary School, Essa-B"
"Comprehensive High School, Essa-B"
"Government Secondary School, Essa-B"
"Community Secondary School, Agyaga"
"Comprehensive High School, Agyaga"
"Government Secondary School, Agyaga"
"Unity College, Akwanga"
"Community Secondary School, Akwanga East"
"Comprehensive High School, Akwanga East"
"Government Secondary School, Akwanga East"
"Community Secondary School, Akwanga West"
"Comprehensive High School, Akwanga West"
"Government Secondary School, Akwanga West"
"Community Secondary School, Agbashi"
"Comprehensive High School, Agbashi"
"Government Secondary School, Agbashi"
"Unity College, Doma"
"Community Secondary School, Akpanaja"
"Comprehensive High School, Akpanaja"
"Government Secondary School, Akpanaja"
"Community Secondary School, Alagye"
"Comprehensive High School, Alagye"
"Government Secondary School, Alagye"
"Community Secondary School, Ang.Rimi"
"Comprehensive High School, Ang.Rimi"
"Government Secondary School, Ang.Rimi"
"Unity College, Keffi"
"Community Secondary School, Angwan Iya I"
"Comprehensive High School, Angwan Iya I"
"Government Secondary School, Angwan Iya I"
"Community Secondary School, Angwan Iya II"
"Comprehensive High School, Angwan Iya II"
"Government Secondary School, Angwan Iya II"
"Community Secondary School, Adogi"
"Comprehensive High School, Adogi"
"Government Secondary School, Adogi"
"Unity College, Lafia"
"Community Secondary School, Agyaragun Tofa"
"Comprehensive High School, Agyaragun Tofa"
"Government Secondary School, Agyaragun Tofa"
"Community Secondary School, Akurba/Bakin Rijiya"
"Comprehensive High School, Akurba/Bakin Rijiya"
"Government Secondary School, Akurba/Bakin Rijiya"
"Community Secondary School, Akum"
"Comprehensive High School, Akum"
"Government Secondary School, Akum"
"Unity College, Nasarawa"
"Community Secondary School, Ara I"
"Comprehensive High School, Ara I"
"Government Secondary School, Ara I"
"Community Secondary School, Ara II"
"Comprehensive High School, Ara II"
"Government Secondary School, Ara II"
"Community Secondary School, Baro"
"Comprehensive High School, Baro"
"Government Secondary School, Baro"
"Unity College, Agaie"
"Community Secondary School, Boku"
"Comprehensive High School, Boku"
"Government Secondary School, Boku"
"Community Secondary School, Dauaci"
"Comprehensive High School, Dauaci"
"Government Secondary School, Dauaci"
"Unity College, Bida"
"Community Secondary School, Ceniyan"
"Comprehensive High School, Ceniyan"
"Government Secondary School, Ceniyan"
"Community Secondary School, Dokodza"
"Comprehensive High School, Dokodza"
"Government Secondary School, Dokodza"
"Community Secondary School, Limawa 'A'"
"Comprehensive High School, Limawa 'A'"
"Government Secondary School, Limawa 'A'"
"Unity College, Minna"
"Community Secondary School, Limawa 'B'"
"Comprehensive High School, Limawa 'B'"
"Government Secondary School, Limawa 'B'"
"Community Secondary School, Makera"
"Comprehensive High School, Makera"
"Government Secondary School, Makera"
"Community Secondary School, Arewa"
"Comprehensive High School, Arewa"
"Government Secondary School, Arewa"
"Unity College, Kontagora"
"Community Secondary School, Central"
"Comprehensive High School, Central"
"Government Secondary School, Central"
"Community Secondary School, Gabas"
"Comprehensive High School, Gabas"
"Government Secondary School, Gabas"
"Community Secondary School, Bagama 'B'"
"Comprehensive High School, Bagama 'B'"
"Government Secondary School, Bagama 'B'"
"Unity College, Suleja"
"Community Secondary School, Bagmama 'A'"
"Comprehensive High School, Bagmama 'A'"
"Government Secondary School, Bagmama 'A'"
"Community Secondary School, Hashimi 'A'"
"Comprehensive High School, Hashimi 'A'"
"Government Secondary School, Hashimi 'A'"
"Community Secondary School, Barakin Ladi"
"Comprehensive High School, Barakin Ladi"
"Government Secondary School, Barakin Ladi"
"Unity College, Barkin Ladi"
"Community Secondary School, Gassa/Sho"
"Comprehensive High School, Gassa/Sho"
"Government Secondary School, Gassa/Sho"
"Community Secondary School, Gindin Akwati"
"Comprehensive High School, Gindin Akwati"
"Government Secondary School, Gindin Akwati"
"Community Secondary School, Abba Na Shehu"
"Comprehensive High School, Abba Na Shehu"
"Government Secondary School, Abba Na Shehu"
"Unity College, Jos North"
"Community Secondary School, Ali Kazaure"
"Comprehensive High School, Ali Kazaure"
"Government Secondary School, Ali Kazaure"
"Community Secondary School, Gangare"
"Comprehensive High School, Gangare"
"Government Secondary School, Gangare"
"Community Secondary School, Bukuru"
"Comprehensive High School, Bukuru"
"Government Secondary School, Bukuru"
"Unity College, Jos South"
"Community Secondary School, Du"
"Comprehensive High School, Du"
"Government Secondary School, Du"
"Community Secondary School, Giring"
"Comprehensive High School, Giring"
"Government Secondary School, Giring"
"Community Secondary School, Ampang west"
"Comprehensive High School, Ampang west"
"Government Secondary School, Ampang west"
"Unity College, Mangu"
"Community Secondary School, Chanso"
"Comprehensive High School, Chanso"
"Government Secondary School, Chanso"
"Community Secondary School, Gindiri  I"
"Comprehensive High School, Gindiri  I"
"Government Secondary School, Gindiri  I"
"Community Secondary School, Chip"
"Comprehensive High School, Chip"
"Government Secondary School, Chip"
"Unity College, Pankshin"
"Community Secondary School, Dok-Pai"
"Comprehensive High School, Dok-Pai"
"Government Secondary School, Dok-Pai"
"Community Secondary School, Fier"
"Comprehensive High School, Fier"
"Government Secondary School, Fier"
"Community Secondary School, Bahuli"
"Comprehensive High School, Bahuli"
"Government Secondary School, Bahuli"
"Unity College, Mubi North"
"Community Secondary School, Betso"
"Comprehensive High School, Betso"
"Government Secondary School, Betso"
"Community Secondary School, Digil"
"Comprehensive High School, Digil"
"Government Secondary School, Digil"
"Community Secondary School, Bare"
"Comprehensive High School, Bare"
"Government Secondary School, Bare"
"Unity College, Numan"
"Community Secondary School, Bolki"
"Comprehensive High School, Bolki"
"Government Secondary School, Bolki"
"Community Secondary School, Gamadio"
"Comprehensive High School, Gamadio"
"Government Secondary School, Gamadio"
"Community Secondary School, Ajiya"
"Comprehensive High School, Ajiya"
"Government Secondary School, Ajiya"
"Unity College, Jimeta"
"Unity College, Yola North"
"Community Secondary School, Alkalawa"
"Comprehensive High School, Alkalawa"
"Government Secondary School, Alkalawa"
"Community Secondary School, Doubeli"
"Comprehensive High School, Doubeli"
"Government Secondary School, Doubeli"
"Community Secondary School, Adarawo"
"Comprehensive High School, Adarawo"
"Government Secondary School, Adarawo"
"Unity College, Yola South"
"Community Secondary School, Bako"
"Comprehensive High School, Bako"
"Government Secondary School, Bako"
"Community Secondary School, Bole Yolde Pate"
"Comprehensive High School, Bole Yolde Pate"
"Government Secondary School, Bole Yolde Pate"
Alkaleri Central Primary School
Alkaleri Islamiya Primary School
Ambassadors Academy
Bayan Banki Primary School Alkaleri
Bunga Primary School
Central Junior Secondary School Alkaleri
College For Arabic And Higher Islamic Studies Alkaleri
Federal Low Cost Primary School
"Government Day Senior Secondary School, Mainamaji"
Government Junior Secondary School Guruntun
Government Junior Secondry School Kumbala
Gumli Nomadic Primary School
Intergrated Royal Academy Alkaleri
Jamda Primary School
Kargo Primary School
Kuka Primary School
Londo Primary School
Natsira Primary School
Rapid Result Academy Nursery - Primary School
Scholars Academy Alkaleri
Tudun Wada
Walakerol Primary School
Zange Primary School
Abbas Primary School
Babani Primary School
Badaran Dutse Primary School
Badol Primary School
Beddare Nomadic Primary School
Burle Nomadic Primary School
Doka Primary School
Dumbo Primary School
Galen Mansur Primary School
Gina Rumbu Nomadic Primary School
Government Junior Secondary School Badaran Dutse
Government Junior Secondary School Gwartanbali
Guma Primary School
Gwan Primary School
Jauro Hamma Primary School
Junior Secondary School Tudun Wada
Karshi Primary School
Kumbala Primary School
Maccido Primary School
Misbahul Sunnah Magasa
Sabon Jiri
Sabu Makera Primary School
Takwur Kogi
Bajama Primary School
Belloji Primary School
Dagudi Primary School
Dan Primary School
Fada Duguri Primary School
Gamji Nomadic Primary School
Girls Child Education Primary School
Government Junior Secondary School Badaran Lungu
Government Junior Secondary School Dan
Government Junior Secondary School Haruna Memorial
Gunciguni Primary School
Gwartam Bali Primary School
Jauro Hamza Primary School
Kashara Primary School
Kungimbar Nomadic Primary School
Madarasatul Siradal Mustaqeem Junior Seondary School Udubo
Magasa Primary School
Shafa Primary School
Unguwan Alh Adamu Nomadic
Unguwan Wake Primary School
Wudilawa Primary School
Yalwan Duguri
Zoro Primary School
Baka Manu Primary School
Cocin Academy Nursery And Primary School Boi
Futuk Islamiyya Primary School
Futuk Primary School
Gar Islamiya Primary School
Government Day Secondary School Futuk
Government Junior Secondary School Bartak Duguri
Government Junior Secondary School Kundak
Gyangyan Primary School
Jauro Gani Primary School
Kontagora Primary School
Kumoyel Primary School
Kunkar Primary School
Madarasatul Nurulyaqin Litahfizul Quran Futuk
Mai Ari Primary School
Misbahul Sunnah Futuk
Monna Primary School
Perfect Science Technical School
Tandol Primary School
Tonglong Primary School
Unguwan Galadima Primary School
Yalwan Gikar
Zadawa Primary School
Asasus-Sunnah Digare
Baptist Academy Digare
Digare Primary School
Dimis Primary School
Fathul Bari
Gangar Primary School
Gar Primary School
Garin Sarkin Ruwa Nomadic Primary School
Government Day Junior Secondary School Digare
Government Junior Secondary School Birim
Government Junior Secondary School Kunkar
Jaiz Academy Gwana Digare
Maimuna  Memorial Islamiyya
Mainamaji Primary School
Papa Primary School
Sabon Garin Duguri
Sangar Primary School
Taksar Primary School
Tsangayar Mallam Adamu Liman Digare
Ube Bayan Banki
Vulum Primary School
Yala Primary School
Yalwan Bango Primary School
Bajoga Primary School
Birim Primary School
Debigi Primary School
Filufilu Islamiyya School
Gamu Primary School.
Gokaru Primary School
Government Junior Secondary School Dagudi
Government Junior Secondary School Kunzung
Guruntun Primary School
Gwana Primary Scgool
Gyar Primary School
Jauro Wabi Primary School
Jss Mansur
Kashereyel Primary School
Kunva Primary School
Manari Nomadic Primary School
Shira Primary School
Tarangadi Primary School
Tashan Dutse Primary School
Tumuru Nomadic Primary School
Ube Jss Bakin Kogi
Warra Primary School
Yashi Primary School
Ambassador Academy
Bakin Kogi Primary School
Bogga Primary School
Denejam Nomadic Primary School
Gacci Nomadic Primary School
Gayar Primary School
Gorondo Primary School.
Government Junior Secondary School Duguri
Government Junior Secondary School Martin Bakin Kogi
Gwala Primary School
Gwaram Central Primary School
Gwaram Sarkin Yaki Primary School
Jadan Gora Primary School
Jor Nomadic Primary School
Katarko Primary School
Kunzung Primary School
Masuri Primary School
Sabon Layi Primary School
Tafare Primary School
Takai Primary School
Ube Jss Gwaram
Ube Jss Gyan Gyan
Wundo Primary School
Balakum Primary School
Bun Primary School
Dogon Ruwa Primary School
Gaji Primary School
Gigyara Nomadic Primary School
Government Junior Secondary School Gajin Duguri
Government Junior Secondary School Maimadi
Government Junior Secondary School Mbalalim
Gub Primary School
Gwalbaji Islamiya Primary School
Jadan Mansur Primary School
Jouro Gambo Nomadic
Kaciciya Primary School
Kende Primary School
Kufa Sherolde Primary School
Kwaimawa Primary School
Lokka Primary School
Maiarin Arewa Primary School
Maimadi Primary School
Mbalalim Primary School
Twara
Ube Secondary School Badakoshi
Bartak Pali Primary School
Duguri Primary School
Gale Pali Primary School
Gjss Guma
Government Day Junior Secondary School Pali
Government Junior Secondary School Gamu
Government Junior Secondary School Sabon Garin Pali
Government Junior Secondary School Shira
Jadan Pali Primary School
Kufa Gandu Primary School
Kwairanga Primary School
Muassasa Sheikh Dahiru Usman Bauchi
Mundamiyo Primary School
Pali Central Primary School
Saab Academy Bajama
Sabon Garin Pali
Siratiyo Primary School
Takwur Primary School
Tudu Wada Primary School
Ube Bartak Pali
Ube Yolan Pali
Yolan Pali Primary School
Alkalerin Gwana Primary School
Assasus Sunnah Primary School Yalo
Gokaru Collage For Arabic And Islamic Studies
Government Day Junior Secondary School Yalo
Government Junior Secondary School Gigyara
Government Junior Secondary School Yalwan Duguri
Kufa Jabba Primary School
Kwala Primary School
Lafiya Primary School
Mungyor Primary School
Rafawa Primary School
Tsangayan Sulaiman Safa Yalo
Tsangayan Usman Isah Yalon Guruza
Tsangayar Mallam Babawuro Sarkin Aska
Tsangayar Mallam Bappayo Liman Yalo
Tsangayar Mallam Mamman Usman Kakudu
Tsangayar Muhammad Jauro Tafida
Wadata Nomadic Primary School
Yalo Islamiya Primary School
Yalo Primary School
Yalon Guruza Primary School
Yirma Primary School
Alkali Sule Primary School
Badakoshi Primary School
Badaran Lungu Primary School
Bajama Islamiya Primary School
Bartak Duguri Primary School
Buri Buri Primary School
Duguri Islamiya Primary School
Galen Duguri Primary School
Gigyara Primary School
Government Day Secondary School Bajama
Government Junior Secondary School Gokaru
Government Junior Secondary Walakerol
Gum Primary School
Gwaljarendi Nomadic  Primary School
Jalingo Primary School
Kafi Primary School
Kufa Jalingo Primary School
Lim Duguri Primary School
Musbahus Sunnah Kargo
Nasarawa Primary School
Ung Tudu Primary School
Wurobogga Primary School
Al Aleem International Academy
Al Ihyau Model Science Primary School
Al Ihyau Model Science Secondary School
Al-Bushra International School Bauchi
Al-Hilal Nursery -Primary And Junior Secondary School
Army Children School I
Attibiyan Intermational Academy
Baran Gada Primary School
Bauchi Urban Nursery And Primary School
Bilal Bin Rabah Nursery/Primary And Secondary School
Bursala Primary School
Dangikka Primary School
Dee Coddle Nursery And Primary School
Dee Coddle Private School
Destiny Christian Academy
Dir Primary School
Dumi Primary School
Falla Primary School
Genius International Secondary School
Gida Dubu Primary School
Government Junior Secondary Federal Lowcost
Government Junior Secondary School Birshi Gandu
Government Junior Secondary School Gwamma
Government Junior Secondary School Mabuga
Government Junior Secondary School Yelwan Makaranta
Gudum Hausawa Primary School
Gwalam Primary School
Home Economics Centre Nursery School Bauchi
Immaculate Conception Secondary School
Jinkiri Primary School
Katsalle Primary School
Kofar Fada Primary School
Kwagal Primary School
Late Alhaji Bala Muhammad Academy Bauchi
M And T Royal International School
Madarasatu Ummil Qurah Nursery And Primary School
"Maikalam Inclusive Academy, Bauchi"
Mun-Hayi Primary School
Nuruddeen Nursery And Primary School
Pioneer Foundation International Academy Bauchi
Premier Model College
Railway Staff School
Rugan Iya Primary School
Sabon Kauran Zamfara Primary School
"Sheikh Jaafar Mahmood Adam Junior Model Sec. School, Bauchi"
Shingen Fulani Nomadic Primary School
Sullubawa Nomadic Primary School
Tamungas Nomadic Primary Schooo
Unguwar Kanawan Zungur Primary School
Alfurqan International Secondary School
Darul Hadith International College
"Darussalam Nursery, Primary And Secondary School"
Government Junior Secondary Gudun Sayawa
Government Junior Secondary School Buzaye
Government Junior Secondary School Ibrahim Bako
Government Junior Secondary School Mararaban Liman Katagum
Government Junior Secondary School Yola Doka
Inkil Standard Secondary School
Spotlight International Secondary School
Al-Haqq Private School Bauchi
Al-Uloon International Academy
Beautiful Zion Academy
Birshi Gandu Primary School
Buzaye Primary School
Dandango Primary School
Darus-Salam Secondary School
Dolphin Maria College
Dungulbi Unguwar Hardo Nomadic Primary School
Federal Lowcost Primary School
Gold Academy Ecumenical Primary School
Gold Academy Ecumenical Secondary School
Government Junior Secondary Hospital Quarters
Government Junior Secondary School Dan Gikka
Government Junior Secondary School Dandango
Government Junior Secondary School Kandahar
Government Junior Secondary School Rimin Jahun
Government Junior Secondary School Yamrat
Government Junior Secondary School Yuguda
Gwallagwan Mayaka Primary School
Gwamma Nomadic Primary School
Hally Bees Nursery And Primary School
Illiti Nomadicprimary School
Inkil Standard Nursery And Primary  School
Iqara Science Academy
Jitar Primary School
Kayarda Primary School
Kofar Wase Ii Primary School
Kyautan Sarki Nomadic Primary School
Malam Muhammadu Jahun Primary School
Married Women Secondary School Bauchi
Minal Learning Foundation
Munsal Primary School
Pride Academy Nursery And Primary School
Rafin Kaya
Rafin Tambari Primary School
Redeemers International Secondary School
Rugan Magaji Primary School
Sabon Kaura Kangara Primary School
Saleh Manga Primary School
Samindari Nomadic Primary School
Special Education Centre Yelwa Bauchi
Sunnah Sak Science Academy
Talangutta Primary School
Ungwan Dalo Primary School
Word Of Faith Primary School
Yalwan Baraya Primary School
Yamrat Primary School
Yelwa Practicing School
Yelwan Mutari Primary School
Dr Ibrahim Tahir Junior Secondary School Bauchi
Government Comprehensive Day Secondary School Bakari Dukku
Government Junior Secondary Jahun Wayan Makafi
Government Junior Secondary School Dumi
Government Junior Secondary School Kangere
Government Junior Secondary School Saadu Zungur
Government Junior Secondary School Zannuwa
"Madibbo Yahaya Academic Nursery, Primary And Secondary Islamiyya"
Sunrise Academy Nursery. Primary And Junior Secondary School
Alimamu Shafii Intl Academy
Alkauthar Science School
Alphabetic School Of Phonics
Army Children School Ii
Bahad International Academy
Basi Primary School
Bishi Primary School
Bright Child  Secondary School
Cambridge International Nursery And Primary School
Climax International Academy
Darul Quran Wa Tathiz Academy
Dokan Lugge Primary School
Dr Sulaiman Adamu Memorial College
Durum Primary School
Excellence Royal Nursery And Primary Academy
Future Generation Nursery And Primary School
Gonli Primary School
Government Day Junior Secondary School Bakari Dukku
Government Junior Secondary Lushi
Government Junior Secondary School Fadamar Madda
Government Junior Secondary School Gwaskwaram
Government Junior Secondary School Kirbangabut
Government Junior Secondary School Sabon Kaura
Government Junior Secondary Unguwar Borno
Guru Primary School
Gwarbili Primary School
Iqara Science Academy Bakari Dukku Street
Jescent International Secondary School
Kadage Primary School
Kimni Primary School
Kuhu-Malmo Primary School
Lafiyari Primary Nursery School
Light Of Guidance Nursery And Primary Schools
Women Education Center Primary Sch
Al-Kauthar Sceince School
Al-Zayyan Memorial Nursery Primary And Secondary School
Alfurqan International Academy
Amburu Nursery And Primary School
Aspira Academy
Bajam Primary School
Bakari Dukku Primary School
Bayan Dutsen Gubi Nomadic Primary School
Bor Primary School
Cambridge International Secondary School
Command Day Secondary School
Dolphin Maria Nursery And Primary School
E&Amp;Y Brillant Gem Academy
Emirates International School
Gakal Primary School
Golyalbi Nomadic Primary School
Gorun Nomadic Primary School
Government Day Junior Secondary School Gangu
Government Junior Secondary Miri
Government Junior Secondary School Games Village
Government Junior Secondary School Kobi
Government Junior Secondary School Shafa
Government Junior Secondry School Juwara
Green Light Sceince Academy
Gwaskwaram Primary School
Hinsad Nursery And Primary School
"Ibrahim Bako Nursery And Primary School, Bauchi"
Ibrahim Memorial Academy
Imam Ismail Nursery And Primary School L/K
Jagur Primary School
Kadara Primary School
Khadi Mahmood Abdullahi Memorial Academy
King Abdullahi International Academy
Kuluntun Primary School
Langas Primary School
Madarasatu Rufil Islam Model Academy
Mararraban Liman Katagum Nomadic Primary School
Muyaba Science Academy
Natsira Wuro Jauro Nomadic Primary School
Redeemed Peoples Academy Nursery And Primary
Rusa Nomadic Primary School
Sabil Sunlight Secondary School
Savannah Nursery And Primary School Bauchi
Summu Primary School
"Tawfiq Academy, Bauchi"
Trinity
Unguwar Barno Primary School Bauchi
Unguwar Falke Primary School
Wuro Magaji Nomadic Primary School
Yalwan Munsal Primary School
Al-Burhan Academy Nursery And Primary School
Al-Zayyan Memorial Nursery/Primary And Secondary School
Atap International School
Attaharir Academy Bauchi
Bajaman Kogi Primary School
Bayara Primary School
Bornawa Nomadic Primary School
Daawa Comprehensive Day Nursery Primary And Secondary School
Don Jarawa Primary School
Dumin Zungur Primary School
Emirate International School
Fadamar Madda Model Nursery And Primary School
Gangu Primary School
Gosun Primary School
Government Girls College Bauchi
Government Junior Secondary Saleh Manga
Government Junior Secondary School Garba Mohd Noma
Government Junior Secondary School Kofar Dumi
Government Junior Secondary School Tashan Maialewa
Gyantai Primary School
Habiba Trust Secondary School
Heritage Little Lambs Academy
Jahun 1 Primary School
Kafin Tafawa Primary School
Kafin Yarima Primary School
Khalid Bin Walid Academy
Kings International Nursery And Primary School
Kumbuli Primary School
Legends International School
Lil Nomadic Primary School
Man Treasure International Academy
Mararraban Liman Katagum Primary School
Natsiran Kundum Primary School
North Star International Secondary School
Redeemers International School Bauchi
Saadu Zungur Model Primary School
Sabira International School
Shadawanka Primary School
St Pauls Nursery And Primary Schools
Sunshine Learning Centre
The Rock Academy Secondary School
Tudun Salmanu Nursery And Primary School
Tudun Wadan Galadima Primary School
Unguwan Kakawa Marina Primary School
Wunti Primary School
Yalwan Kundum Primary School
Zamfara Nursery And Primary School
Zion Day Academy
A U Misau Excellency Academy
Abuhuraira Nursery And Primary School
Abzal International Academy
Aljauziyya
Amana International School
Amana Secondary School
Babamaaji Abubakar Primary School
Baluwa Primary School
Beautiful Zion Nursery And Primary School
Bright Child International Primary And Secondary School
Canopi International School
College Of Islamic Studies Bauchi
Dadinkowa Primary School
Dan Bala Memorial Academy
Dr Ibrahim Tahir Comprehensive School
Fadan Galambi Miri Primary School
"Faith Academy Nursery, Primary And Secondary School"
Future Leaders Academy
Garba Mohd Noma Primary School
Government Junior Secondary Babasidi
Government Junior Secondary School Adamu Jumba Bauchi
Government Junior Secondary School Gida Dubu
Government Junior Secondary School Kofar Nasarawa
Government Junior Secondary School Tirwun
Gubi Primary School
Gyar Nomadic Primary School
Hally Bees Secondary School
Imraan Excellence Academy
Jalingo Priamry School
Kajitu Unguwan Madaki Primary School
Kings Abdullahi International Avademy
Kings Jewel Nursery Primary School
Kundum Primary School
Luda Primary School
Miftahus Saadah Model School Ilelah
Mount Wise Science Academy Tudun Yarima Bauchi
Natsiran Munsal Nomadic Primary School
Pens Glow Chapter Academy
Rimin Jahun Primary School
Sabira International School Bauchi
Sahihul Islam Compfrehensive College
Saint Pauls Comphrensive Secondary School Bauchi
Savana Grammar School
Targal Kanawa Primaryschol
Tashan Mai Alewa Primary School
Unity Sciece Academy Bauchi
Yuguda Primary School
Abuhuraira College
