zone,state,lga,ward,school
North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Unity College, Bwari"
North Central,Abuja Federal Capital Territory,Bwari,Byazhin,"Community Secondary School, Byazhin"
North Central,Abuja Federal Capital Territory,Bwari,Byazhin,"Comprehensive High School, Byazhin"
North Central,Abuja Federal Capital Territory,Bwari,Byazhin,"Government Secondary School, Byazhin"
North Central,Abuja Federal Capital Territory,Bwari,Byazhin,"Unity College, Bwari"
North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,"Community Secondary School, Dutse Alhaji"
North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,"Comprehensive High School, Dutse Alhaji"
North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,"Government Secondary School, Dutse Alhaji"
North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,"Unity College, Bwari"
North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,"Community Secondary School, Dobi"
North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,"Comprehensive High School, Dobi"
North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,"Government Secondary School, Dobi"
North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,"Unity College, Gwagwalada"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,"Community Secondary School, Gwagwalada Centre"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,"Comprehensive High School, Gwagwalada Centre"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,"Government Secondary School, Gwagwalada Centre"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,"Unity College, Gwagwalada"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,"Community Secondary School, Gwako"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,"Comprehensive High School, Gwako"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,"Government Secondary School, Gwako"
North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,"Unity College, Gwagwalada"
North Central,Abuja Federal Capital Territory,Kuje,Chibiri,"Community Secondary School, Chibiri"
North Central,Abuja Federal Capital Territory,Kuje,Chibiri,"Comprehensive High School, Chibiri"
North Central,Abuja Federal Capital Territory,Kuje,Chibiri,"Government Secondary School, Chibiri"
North Central,Abuja Federal Capital Territory,Kuje,Chibiri,"Unity College, Kuje"
North Central,Abuja Federal Capital Territory,Kuje,Gaube,"Community Secondary School, Gaube"
North Central,Abuja Federal Capital Territory,Kuje,Gaube,"Comprehensive High School, Gaube"
North Central,Abuja Federal Capital Territory,Kuje,Gaube,"Government Secondary School, Gaube"
North Central,Abuja Federal Capital Territory,Kuje,Gaube,"Unity College, Kuje"
North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,"Community Secondary School, Gudun Karya"
North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,"Comprehensive High School, Gudun Karya"
North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,"Government Secondary School, Gudun Karya"
North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,"Unity College, Kuje"
North Central,Abuja Federal Capital Territory,Kwali,Ashara,"Community Secondary School, Ashara"
North Central,Abuja Federal Capital Territory,Kwali,Ashara,"Comprehensive High School, Ashara"
North Central,Abuja Federal Capital Territory,Kwali,Ashara,"Government Secondary School, Ashara"
North Central,Abuja Federal Capital Territory,Kwali,Ashara,"Unity College, Kwali"
North Central,Abuja Federal Capital Territory,Kwali,Dafa,"Community Secondary School, Dafa"
North Central,Abuja Federal Capital Territory,Kwali,Dafa,"Comprehensive High School, Dafa"
North Central,Abuja Federal Capital Territory,Kwali,Dafa,"Government Secondary School, Dafa"
North Central,Abuja Federal Capital Territory,Kwali,Dafa,"Unity College, Kwali"
North Central,Abuja Federal Capital Territory,Kwali,Gumbo,"Community Secondary School, Gumbo"
North Central,Abuja Federal Capital Territory,Kwali,Gumbo,"Comprehensive High School, Gumbo"
North Central,Abuja Federal Capital Territory,Kwali,Gumbo,"Government Secondary School, Gumbo"
North Central,Abuja Federal Capital Territory,Kwali,Gumbo,"Unity College, Kwali"
North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I"
North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I"
North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I"
North Central,Kogi,Ankpa,Ankpa I,"Unity College, Ankpa"
North Central,Kogi,Ankpa,Ankpa II,"Community Secondary School, Ankpa II"
North Central,Kogi,Ankpa,Ankpa II,"Comprehensive High School, Ankpa II"
North Central,Kogi,Ankpa,Ankpa II,"Government Secondary School, Ankpa II"
North Central,Kogi,Ankpa,Ankpa II,"Unity College, Ankpa"
North Central,Kogi,Ankpa,Ankpa Suburb I,"Community Secondary School, Ankpa Suburb I"
North Central,Kogi,Ankpa,Ankpa Suburb I,"Comprehensive High School, Ankpa Suburb I"
North Central,Kogi,Ankpa,Ankpa Suburb I,"Government Secondary School, Ankpa Suburb I"
North Central,Kogi,Ankpa,Ankpa Suburb I,"Unity College, Ankpa"
North Central,Kogi,Idah,Ede,"Community Secondary School, Ede"
North Central,Kogi,Idah,Ede,"Comprehensive High School, Ede"
North Central,Kogi,Idah,Ede,"Government Secondary School, Ede"
North Central,Kogi,Idah,Ede,"Unity College, Idah"
North Central,Kogi,Idah,Ega,"Community Secondary School, Ega"
North Central,Kogi,Idah,Ega,"Comprehensive High School, Ega"
North Central,Kogi,Idah,Ega,"Government Secondary School, Ega"
North Central,Kogi,Idah,Ega,"Unity College, Idah"
North Central,Kogi,Idah,Ichala,"Community Secondary School, Ichala"
North Central,Kogi,Idah,Ichala,"Comprehensive High School, Ichala"
North Central,Kogi,Idah,Ichala,"Government Secondary School, Ichala"
North Central,Kogi,Idah,Ichala,"Unity College, Idah"
North Central,Kogi,Kabba/Bunu,Aiyeteju,"Community Secondary School, Aiyeteju"
North Central,Kogi,Kabba/Bunu,Aiyeteju,"Comprehensive High School, Aiyeteju"
North Central,Kogi,Kabba/Bunu,Aiyeteju,"Government Secondary School, Aiyeteju"
North Central,Kogi,Kabba/Bunu,Aiyeteju,"Unity College, Kabba/Bunu"
North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,"Community Secondary School, Aiyetoro-Kiri"
North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,"Comprehensive High School, Aiyetoro-Kiri"
North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,"Government Secondary School, Aiyetoro-Kiri"
North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,"Unity College, Kabba/Bunu"
North Central,Kogi,Kabba/Bunu,Aiyewa,"Community Secondary School, Aiyewa"
North Central,Kogi,Kabba/Bunu,Aiyewa,"Comprehensive High School, Aiyewa"
North Central,Kogi,Kabba/Bunu,Aiyewa,"Government Secondary School, Aiyewa"
North Central,Kogi,Kabba/Bunu,Aiyewa,"Unity College, Kabba/Bunu"
North Central,Kogi,Lokoja,Eggan,"Community Secondary School, Eggan"
North Central,Kogi,Lokoja,Eggan,"Comprehensive High School, Eggan"
North Central,Kogi,Lokoja,Eggan,"Government Secondary School, Eggan"
North Central,Kogi,Lokoja,Eggan,"Unity College, Lokoja"
North Central,Kogi,Lokoja,Kakanda,"Community Secondary School, Kakanda"
North Central,Kogi,Lokoja,Kakanda,"Comprehensive High School, Kakanda"
North Central,Kogi,Lokoja,Kakanda,"Government Secondary School, Kakanda"
North Central,Kogi,Lokoja,Kakanda,"Unity College, Lokoja"
North Central,Kogi,Lokoja,Kupa North East,"Community Secondary School, Kupa North East"
North Central,Kogi,Lokoja,Kupa North East,"Comprehensive High School, Kupa North East"
North Central,Kogi,Lokoja,Kupa North East,"Government Secondary School, Kupa North East"
North Central,Kogi,Lokoja,Kupa North East,"Unity College, Lokoja"
North Central,Kogi,Okene,Abuga/Ozuja,"Community Secondary School, Abuga/Ozuja"
North Central,Kogi,Okene,Abuga/Ozuja,"Comprehensive High School, Abuga/Ozuja"
North Central,Kogi,Okene,Abuga/Ozuja,"Government Secondary School, Abuga/Ozuja"
North Central,Kogi,Okene,Abuga/Ozuja,"Unity College, Okene"
North Central,Kogi,Okene,Bariki,"Community Secondary School, Bariki"
North Central,Kogi,Okene,Bariki,"Comprehensive High School, Bariki"
North Central,Kogi,Okene,Bariki,"Government Secondary School, Bariki"
North Central,Kogi,Okene,Bariki,"Unity College, Okene"
North Central,Kogi,Okene,Idoji,"Community Secondary School, Idoji"
North Central,Kogi,Okene,Idoji,"Comprehensive High School, Idoji"
North Central,Kogi,Okene,Idoji,"Government Secondary School, Idoji"
North Central,Kogi,Okene,Idoji,"Unity College, Okene"
North Central,Kwara,Edu,Lafiagi I,"Community Secondary School, Lafiagi I"
North Central,Kwara,Edu,Lafiagi I,"Comprehensive High School, Lafiagi I"
North Central,Kwara,Edu,Lafiagi I,"Government Secondary School, Lafiagi I"
North Central,Kwara,Edu,Lafiagi I,"Unity College, Edu"
North Central,Kwara,Edu,Lafiagi II,"Community Secondary School, Lafiagi II"
North Central,Kwara,Edu,Lafiagi II,"Comprehensive High School, Lafiagi II"
North Central,Kwara,Edu,Lafiagi II,"Government Secondary School, Lafiagi II"
North Central,Kwara,Edu,Lafiagi II,"Unity College, Edu"
North Central,Kwara,Edu,Lafiagi III,"Community Secondary School, Lafiagi III"
North Central,Kwara,Edu,Lafiagi III,"Comprehensive High School, Lafiagi III"
North Central,Kwara,Edu,Lafiagi III,"Government Secondary School, Lafiagi III"
North Central,Kwara,Edu,Lafiagi III,"Unity College, Edu"
North Central,Kwara,Ekiti,Eruku,"Community Secondary School, Eruku"
North Central,Kwara,Ekiti,Eruku,"Comprehensive High School, Eruku"
North Central,Kwara,Ekiti,Eruku,"Government Secondary School, Eruku"
North Central,Kwara,Ekiti,Eruku,"Unity College, Ekiti"
North Central,Kwara,Ekiti,Isapa,"Community Secondary School, Isapa"
North Central,Kwara,Ekiti,Isapa,"Comprehensive High School, Isapa"
North Central,Kwara,Ekiti,Isapa,"Government Secondary School, Isapa"
North Central,Kwara,Ekiti,Isapa,"Unity College, Ekiti"
North Central,Kwara,Ekiti,Koro,"Community Secondary School, Koro"
North Central,Kwara,Ekiti,Koro,"Comprehensive High School, Koro"
North Central,Kwara,Ekiti,Koro,"Government Secondary School, Koro"
North Central,Kwara,Ekiti,Koro,"Unity College, Ekiti"
North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,"Community Secondary School, Agbeyangi/Gbadamu/Osin"
North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,"Comprehensive High School, Agbeyangi/Gbadamu/Osin"
North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,"Government Secondary School, Agbeyangi/Gbadamu/Osin"
North Central,Kwara,Ilorin East,Agbeyangi/Gbadamu/Osin,"Unity College, Ilorin East"
North Central,Kwara,Ilorin East,Apado,"Community Secondary School, Apado"
North Central,Kwara,Ilorin East,Apado,"Comprehensive High School, Apado"
North Central,Kwara,Ilorin East,Apado,"Government Secondary School, Apado"
North Central,Kwara,Ilorin East,Apado,"Unity College, Ilorin East"
North Central,Kwara,Ilorin East,Balogun Gambari II,"Community Secondary School, Balogun Gambari II"
North Central,Kwara,Ilorin East,Balogun Gambari II,"Comprehensive High School, Balogun Gambari II"
North Central,Kwara,Ilorin East,Balogun Gambari II,"Government Secondary School, Balogun Gambari II"
North Central,Kwara,Ilorin East,Balogun Gambari II,"Unity College, Ilorin East"
North Central,Kwara,Ilorin West,Adewole,"Community Secondary School, Adewole"
North Central,Kwara,Ilorin West,Adewole,"Comprehensive High School, Adewole"
North Central,Kwara,Ilorin West,Adewole,"Government Secondary School, Adewole"
North Central,Kwara,Ilorin West,Adewole,"Unity College, Ilorin West"
North Central,Kwara,Ilorin West,Ajikobi,"Community Secondary School, Ajikobi"
North Central,Kwara,Ilorin West,Ajikobi,"Comprehensive High School, Ajikobi"
North Central,Kwara,Ilorin West,Ajikobi,"Government Secondary School, Ajikobi"
North Central,Kwara,Ilorin West,Ajikobi,"Unity College, Ilorin West"
North Central,Kwara,Ilorin West,Baboko,"Community Secondary School, Baboko"
North Central,Kwara,Ilorin West,Baboko,"Comprehensive High School, Baboko"
North Central,Kwara,Ilorin West,Baboko,"Government Secondary School, Baboko"
North Central,Kwara,Ilorin West,Baboko,"Unity College, Ilorin West"
North Central,Kwara,Offa,Balogun,"Community Secondary School, Balogun"
North Central,Kwara,Offa,Balogun,"Comprehensive High School, Balogun"
North Central,Kwara,Offa,Balogun,"Government Secondary School, Balogun"
North Central,Kwara,Offa,Balogun,"Unity College, Offa"
North Central,Kwara,Offa,Essa-A,"Community Secondary School, Essa-A"
North Central,Kwara,Offa,Essa-A,"Comprehensive High School, Essa-A"
North Central,Kwara,Offa,Essa-A,"Government Secondary School, Essa-A"
North Central,Kwara,Offa,Essa-A,"Unity College, Offa"
North Central,Kwara,Offa,Essa-B,"Community Secondary School, Essa-B"
North Central,Kwara,Offa,Essa-B,"Comprehensive High School, Essa-B"
North Central,Kwara,Offa,Essa-B,"Government Secondary School, Essa-B"
North Central,Kwara,Offa,Essa-B,"Unity College, Offa"
North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga"
North Central,Nasarawa,Akwanga,Agyaga,"Comprehensive High School, Agyaga"
North Central,Nasarawa,Akwanga,Agyaga,"Government Secondary School, Agyaga"
North Central,Nasarawa,Akwanga,Agyaga,"Unity College, Akwanga"
North Central,Nasarawa,Akwanga,Akwanga East,"Community Secondary School, Akwanga East"
North Central,Nasarawa,Akwanga,Akwanga East,"Comprehensive High School, Akwanga East"
North Central,Nasarawa,Akwanga,Akwanga East,"Government Secondary School, Akwanga East"
North Central,Nasarawa,Akwanga,Akwanga East,"Unity College, Akwanga"
North Central,Nasarawa,Akwanga,Akwanga West,"Community Secondary School, Akwanga West"
North Central,Nasarawa,Akwanga,Akwanga West,"Comprehensive High School, Akwanga West"
North Central,Nasarawa,Akwanga,Akwanga West,"Government Secondary School, Akwanga West"
North Central,Nasarawa,Akwanga,Akwanga West,"Unity College, Akwanga"
North Central,Nasarawa,Doma,Agbashi,"Community Secondary School, Agbashi"
North Central,Nasarawa,Doma,Agbashi,"Comprehensive High School, Agbashi"
North Central,Nasarawa,Doma,Agbashi,"Government Secondary School, Agbashi"
North Central,Nasarawa,Doma,Agbashi,"Unity College, Doma"
North Central,Nasarawa,Doma,Akpanaja,"Community Secondary School, Akpanaja"
North Central,Nasarawa,Doma,Akpanaja,"Comprehensive High School, Akpanaja"
North Central,Nasarawa,Doma,Akpanaja,"Government Secondary School, Akpanaja"
North Central,Nasarawa,Doma,Akpanaja,"Unity College, Doma"
North Central,Nasarawa,Doma,Alagye,"Community Secondary School, Alagye"
North Central,Nasarawa,Doma,Alagye,"Comprehensive High School, Alagye"
North Central,Nasarawa,Doma,Alagye,"Government Secondary School, Alagye"
North Central,Nasarawa,Doma,Alagye,"Unity College, Doma"
North Central,Nasarawa,Keffi,Ang.Rimi,"Community Secondary School, Ang.Rimi"
North Central,Nasarawa,Keffi,Ang.Rimi,"Comprehensive High School, Ang.Rimi"
North Central,Nasarawa,Keffi,Ang.Rimi,"Government Secondary School, Ang.Rimi"
North Central,Nasarawa,Keffi,Ang.Rimi,"Unity College, Keffi"
North Central,Nasarawa,Keffi,Angwan Iya I,"Community Secondary School, Angwan Iya I"
North Central,Nasarawa,Keffi,Angwan Iya I,"Comprehensive High School, Angwan Iya I"
North Central,Nasarawa,Keffi,Angwan Iya I,"Government Secondary School, Angwan Iya I"
North Central,Nasarawa,Keffi,Angwan Iya I,"Unity College, Keffi"
North Central,Nasarawa,Keffi,Angwan Iya II,"Community Secondary School, Angwan Iya II"
North Central,Nasarawa,Keffi,Angwan Iya II,"Comprehensive High School, Angwan Iya II"
North Central,Nasarawa,Keffi,Angwan Iya II,"Government Secondary School, Angwan Iya II"
North Central,Nasarawa,Keffi,Angwan Iya II,"Unity College, Keffi"
North Central,Nasarawa,Lafia,Adogi,"Community Secondary School, Adogi"
North Central,Nasarawa,Lafia,Adogi,"Comprehensive High School, Adogi"
North Central,Nasarawa,Lafia,Adogi,"Government Secondary School, Adogi"
North Central,Nasarawa,Lafia,Adogi,"Unity College, Lafia"
North Central,Nasarawa,Lafia,Agyaragun Tofa,"Community Secondary School, Agyaragun Tofa"
North Central,Nasarawa,Lafia,Agyaragun Tofa,"Comprehensive High School, Agyaragun Tofa"
North Central,Nasarawa,Lafia,Agyaragun Tofa,"Government Secondary School, Agyaragun Tofa"
North Central,Nasarawa,Lafia,Agyaragun Tofa,"Unity College, Lafia"
North Central,Nasarawa,Lafia,Akurba/Bakin Rijiya,"Community Secondary School, Akurba/Bakin Rijiya"
North Central,Nasarawa,Lafia,Akurba/Bakin Rijiya,"Comprehensive High School, Akurba/Bakin Rijiya"
North Central,Nasarawa,Lafia,Akurba/Bakin Rijiya,"Government Secondary School, Akurba/Bakin Rijiya"
North Central,Nasarawa,Lafia,Akurba/Bakin Rijiya,"Unity College, Lafia"
North Central,Nasarawa,Nasarawa,Akum,"Community Secondary School, Akum"
North Central,Nasarawa,Nasarawa,Akum,"Comprehensive High School, Akum"
North Central,Nasarawa,Nasarawa,Akum,"Government Secondary School, Akum"
North Central,Nasarawa,Nasarawa,Akum,"Unity College, Nasarawa"
North Central,Nasarawa,Nasarawa,Ara I,"Community Secondary School, Ara I"
North Central,Nasarawa,Nasarawa,Ara I,"Comprehensive High School, Ara I"
North Central,Nasarawa,Nasarawa,Ara I,"Government Secondary School, Ara I"
North Central,Nasarawa,Nasarawa,Ara I,"Unity College, Nasarawa"
North Central,Nasarawa,Nasarawa,Ara II,"Community Secondary School, Ara II"
North Central,Nasarawa,Nasarawa,Ara II,"Comprehensive High School, Ara II"
North Central,Nasarawa,Nasarawa,Ara II,"Government Secondary School, Ara II"
North Central,Nasarawa,Nasarawa,Ara II,"Unity College, Nasarawa"
North Central,Niger,Agaie,Baro,"Community Secondary School, Baro"
North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro"
North Central,Niger,Agaie,Baro,"Government Secondary School, Baro"
North Central,Niger,Agaie,Baro,"Unity College, Agaie"
North Central,Niger,Agaie,Boku,"Community Secondary School, Boku"
North Central,Niger,Agaie,Boku,"Comprehensive High School, Boku"
North Central,Niger,Agaie,Boku,"Government Secondary School, Boku"
North Central,Niger,Agaie,Boku,"Unity College, Agaie"
North Central,Niger,Agaie,Dauaci,"Community Secondary School, Dauaci"
North Central,Niger,Agaie,Dauaci,"Comprehensive High School, Dauaci"
North Central,Niger,Agaie,Dauaci,"Government Secondary School, Dauaci"
North Central,Niger,Agaie,Dauaci,"Unity College, Agaie"
North Central,Niger,Bida,Bariki,"Community Secondary School, Bariki"
North Central,Niger,Bida,Bariki,"Comprehensive High School, Bariki"
North Central,Niger,Bida,Bariki,"Government Secondary School, Bariki"
North Central,Niger,Bida,Bariki,"Unity College, Bida"
North Central,Niger,Bida,Ceniyan,"Community Secondary School, Ceniyan"
North Central,Niger,Bida,Ceniyan,"Comprehensive High School, Ceniyan"
North Central,Niger,Bida,Ceniyan,"Government Secondary School, Ceniyan"
North Central,Niger,Bida,Ceniyan,"Unity College, Bida"
North Central,Niger,Bida,Dokodza,"Community Secondary School, Dokodza"
North Central,Niger,Bida,Dokodza,"Comprehensive High School, Dokodza"
North Central,Niger,Bida,Dokodza,"Government Secondary School, Dokodza"
North Central,Niger,Bida,Dokodza,"Unity College, Bida"
North Central,Niger,Chanchaga,Limawa 'A',"Community Secondary School, Limawa 'A'"
North Central,Niger,Chanchaga,Limawa 'A',"Comprehensive High School, Limawa 'A'"
North Central,Niger,Chanchaga,Limawa 'A',"Government Secondary School, Limawa 'A'"
North Central,Niger,Chanchaga,Limawa 'A',"Unity College, Minna"
North Central,Niger,Chanchaga,Limawa 'B',"Community Secondary School, Limawa 'B'"
North Central,Niger,Chanchaga,Limawa 'B',"Comprehensive High School, Limawa 'B'"
North Central,Niger,Chanchaga,Limawa 'B',"Government Secondary School, Limawa 'B'"
North Central,Niger,Chanchaga,Limawa 'B',"Unity College, Minna"
North Central,Niger,Chanchaga,Makera,"Community Secondary School, Makera"
North Central,Niger,Chanchaga,Makera,"Comprehensive High School, Makera"
North Central,Niger,Chanchaga,Makera,"Government Secondary School, Makera"
North Central,Niger,Chanchaga,Makera,"Unity College, Minna"
North Central,Niger,Kontagora,Arewa,"Community Secondary School, Arewa"
North Central,Niger,Kontagora,Arewa,"Comprehensive High School, Arewa"
North Central,Niger,Kontagora,Arewa,"Government Secondary School, Arewa"
North Central,Niger,Kontagora,Arewa,"Unity College, Kontagora"
North Central,Niger,Kontagora,Central,"Community Secondary School, Central"
North Central,Niger,Kontagora,Central,"Comprehensive High School, Central"
North Central,Niger,Kontagora,Central,"Government Secondary School, Central"
North Central,Niger,Kontagora,Central,"Unity College, Kontagora"
North Central,Niger,Kontagora,Gabas,"Community Secondary School, Gabas"
North Central,Niger,Kontagora,Gabas,"Comprehensive High School, Gabas"
North Central,Niger,Kontagora,Gabas,"Government Secondary School, Gabas"
North Central,Niger,Kontagora,Gabas,"Unity College, Kontagora"
North Central,Niger,Suleja,Bagama 'B',"Community Secondary School, Bagama 'B'"
North Central,Niger,Suleja,Bagama 'B',"Comprehensive High School, Bagama 'B'"
North Central,Niger,Suleja,Bagama 'B',"Government Secondary School, Bagama 'B'"
North Central,Niger,Suleja,Bagama 'B',"Unity College, Suleja"
North Central,Niger,Suleja,Bagmama 'A',"Community Secondary School, Bagmama 'A'"
