session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,36,26,11,10,1,0,10,15,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,19,14,6,5,0,0,5,8,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,6,4,2,2,0,0,2,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,71,51,22,20,2,0,20,29,2,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,31,22,9,9,1,0,9,13,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,16,12,5,4,0,0,4,7,1,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,5,4,1,1,0,0,1,3,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,32,23,10,9,1,0,9,13,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,14,10,4,4,0,0,4,6,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,26,19,8,7,1,0,7,11,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,11,8,3,3,0,0,3,5,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,6,4,2,2,0,0,2,2,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,1,1,0,0,0,1,0,1,2.1,5+ years
2022/2023,Female,Disabled,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,32,23,10,9,1,0,9,13,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,14,10,4,4,0,0,4,6,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,6,5,2,2,0,0,1,3,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,12,8,4,3,0,0,4,4,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,5,4,2,1,0,0,1,2,1,2.1,2 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,15,11,5,4,0,0,4,6,1,2.1,1 year
2022/2023,Female,Disabled,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,6,5,2,2,0,0,1,3,0,2.1,2 years
2022/2023,Female,Disabled,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,1,0,0,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,5,4,2,2,0,0,1,2,0,2.1,1 year
2022/2023,Female,Disabled,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,5,3,1,1,0,0,2,2,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,1,1,1,0,0,1,0,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,University,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,2,1,1,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,2,1,1,0,0,0,1,0,1,2.1,1 year
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Makurdi,North Central,Benue,Makurdi,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,361,261,109,101,9,0,100,152,8,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,156,113,47,43,4,0,43,66,4,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,81,59,25,23,2,0,22,34,2,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,25,18,8,7,1,0,7,10,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,164,119,50,46,4,0,45,69,4,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,71,51,21,20,2,0,20,30,1,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,37,27,11,10,1,0,10,16,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,11,8,3,3,0,0,3,5,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,131,95,40,37,3,0,36,55,3,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,57,41,17,16,1,0,16,24,1,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,29,21,9,8,1,0,8,12,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,9,7,3,3,0,0,2,4,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,169,122,51,47,4,0,47,71,4,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,73,53,22,20,2,0,20,31,2,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,38,27,11,11,1,0,11,16,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,12,8,4,3,0,0,4,4,1,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,77,56,23,21,2,0,21,33,2,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,33,24,10,9,1,0,9,14,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,17,12,5,5,0,0,5,7,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,5,4,2,1,0,0,1,2,1,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,61,44,19,17,1,0,17,25,2,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,26,19,8,7,1,0,7,11,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,14,10,4,4,0,0,4,6,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,4,3,1,1,0,0,1,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,52,38,16,15,1,0,14,22,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,23,16,7,6,1,0,7,9,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,12,8,4,3,0,0,4,4,1,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,4,3,1,1,0,0,1,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,24,17,7,7,1,0,7,10,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,10,7,3,3,0,0,3,4,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,5,4,2,1,0,0,1,2,1,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,2,1,0,0,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,19,14,6,5,0,0,5,8,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,8,6,2,2,0,0,2,4,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Oturkpo,North Central,Benue,Oturkpo,,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
