session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,9,7,3,3,0,0,2,4,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,4,3,1,1,0,0,1,2,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,2,2,1,1,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,0,0,0,0,0,1,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,2,1,1,0,0,0,1,0,1,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,0,0,0,0,0,1,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,10,7,3,3,0,0,3,4,0,2.1,1 year
2022/2023,Female,Disabled,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,4,3,1,1,0,0,1,2,0,2.1,2 years
2022/2023,Female,Disabled,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,2,2,1,1,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,0,0,0,0,0,1,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,4,3,1,1,0,0,1,2,0,2.1,1 year
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,2,1,1,1,0,0,1,0,0,2.1,2 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,3,3,1,1,0,0,0,2,0,2.1,1 year
2022/2023,Female,Disabled,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,3,2,1,1,0,0,1,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,0,0,0,0,0,1,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,0,0,0,0,0,1,0,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,222,161,67,62,5,0,61,94,5,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,96,69,29,27,2,0,27,40,2,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,50,36,15,14,1,0,14,21,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,15,11,5,4,0,0,4,6,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,101,73,31,28,2,0,28,42,3,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,44,32,13,12,1,0,12,19,1,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,23,16,7,6,1,0,7,9,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,81,59,25,23,2,0,22,34,2,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,35,25,11,10,1,0,10,14,1,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,18,13,5,5,0,0,5,8,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,6,4,2,2,0,0,2,2,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,104,75,32,29,2,0,29,43,3,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,45,32,14,12,1,0,13,18,2,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,23,17,7,6,1,0,6,10,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,47,34,14,13,1,0,13,20,1,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,20,15,6,6,1,0,5,9,0,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,11,8,3,3,0,0,3,5,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,38,27,11,11,1,0,11,16,0,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,16,12,5,5,0,0,4,7,0,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,8,6,3,2,0,0,2,3,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,32,23,10,9,1,0,9,13,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,14,10,4,4,0,0,4,6,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,15,11,4,4,0,0,4,7,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,6,5,2,2,0,0,1,3,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,12,8,4,3,0,0,4,4,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,5,4,2,1,0,0,1,2,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,6,5,2,2,0,0,1,3,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,University,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,5,4,2,1,0,0,1,2,1,2.1,1 year
2022/2023,Female,Disabled,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,7,5,2,2,0,0,2,3,0,2.1,1 year
2022/2023,Female,Disabled,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,2,1,0,0,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,University,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,3,2,1,1,0,0,1,1,0,2.1,1 year
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,1,0,0,0,0,0,1,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,2,2,1,1,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,1,0,0,0,0,0,1,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,2,2,1,1,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,University,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,2 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Okene,North Central,Kogi,Okene,,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,444,322,135,124,11,0,122,187,11,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,192,139,58,53,5,0,53,81,5,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,100,72,30,28,2,0,28,42,2,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,31,22,9,9,1,0,9,13,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,202,146,61,56,5,0,56,85,5,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,87,63,26,24,2,0,24,37,2,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,45,33,14,13,1,0,12,19,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,14,10,4,4,0,0,4,6,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,162,117,49,45,4,0,45,68,4,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,70,50,21,19,2,0,20,29,2,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,36,26,11,10,1,0,10,15,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,11,8,3,3,0,0,3,5,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,208,150,63,58,5,0,58,87,5,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,90,65,27,25,2,0,25,38,2,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,47,34,14,13,1,0,13,20,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,14,10,4,4,0,0,4,6,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,94,68,29,26,2,0,26,39,3,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,41,29,12,11,1,0,12,17,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,21,15,6,6,1,0,6,9,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,76,55,23,21,2,0,21,32,2,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,33,24,10,9,1,0,9,14,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,17,12,5,5,0,0,5,7,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,5,4,2,1,0,0,1,2,1,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,65,47,20,18,2,0,18,27,2,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,28,20,8,8,1,0,8,12,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,14,10,4,4,0,0,4,6,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,4,3,1,1,0,0,1,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,29,21,9,8,1,0,8,12,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,13,9,4,4,0,0,4,5,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,7,5,2,2,0,0,2,3,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kabba/Bunu,North Central,Kogi,Kabba/Bunu,,,0,2,1,1,1,0,0,1,0,0,2.1,5+ years
