session,zone,state,lga,ward,school,gender,disability_scope,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,WAEC,223,158,134,47,38,37,70.852,35.0746,80.8511,97.3684
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,NECO,21,14,12,4,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,WAEC,28,20,15,5,5,5,71.4286,33.3333,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,NABTEB,100,72,59,21,17,18,72.0,35.5932,80.9524,105.8824
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,NECO,183,119,120,42,36,31,65.0273,35.0,85.7143,86.1111
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,WAEC,240,170,157,55,45,37,70.8333,35.0318,81.8182,82.2222
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,NABTEB,13,9,6,2,0,0,69.2308,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,NECO,23,15,15,5,0,0,65.2174,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,WAEC,32,23,18,6,0,0,71.875,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,NABTEB,71,51,42,15,14,16,71.831,35.7143,93.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,NECO,125,81,79,27,30,27,64.8,34.1772,111.1111,90.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,WAEC,203,143,122,43,43,37,70.4433,35.2459,100.0,86.0465
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,NECO,15,10,9,3,6,7,66.6667,33.3333,200.0,116.6667
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,WAEC,23,16,13,5,5,5,69.5652,38.4615,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,NABTEB,85,61,59,21,17,19,71.7647,35.5932,80.9524,111.7647
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,NECO,143,93,90,31,43,39,65.035,34.4444,138.7097,90.6977
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,WAEC,208,148,131,46,51,43,71.1538,35.1145,110.8696,84.3137
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,NECO,17,11,9,3,7,8,64.7059,33.3333,233.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,WAEC,22,16,13,5,6,6,72.7273,38.4615,120.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,NABTEB,69,50,48,17,14,15,72.4638,35.4167,82.3529,107.1429
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,NECO,128,83,85,30,43,40,64.8438,35.2941,143.3333,93.0233
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,WAEC,158,112,105,37,48,42,70.8861,35.2381,129.7297,87.5
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,NECO,12,8,9,3,6,7,66.6667,33.3333,200.0,116.6667
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,WAEC,14,10,8,3,5,5,71.4286,37.5,166.6667,100.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,NABTEB,74,53,52,18,17,18,71.6216,34.6154,94.4444,105.8824
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,NECO,140,91,102,36,43,39,65.0,35.2941,119.4444,90.6977
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,WAEC,156,110,102,36,51,50,70.5128,35.2941,141.6667,98.0392
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,NECO,11,7,6,2,0,0,63.6364,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,WAEC,13,9,8,3,6,6,69.2308,37.5,200.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,NABTEB,80,58,48,17,14,16,72.5,35.4167,82.3529,114.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,NECO,128,83,82,29,31,26,64.8438,35.3659,106.8966,83.871
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,WAEC,158,112,97,34,38,37,70.8861,35.0515,111.7647,97.3684
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,NECO,12,8,6,2,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,WAEC,14,10,8,3,0,0,71.4286,37.5,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,NABTEB,82,59,56,19,25,18,71.9512,33.9286,131.5789,72.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,NECO,126,82,87,30,36,31,65.0794,34.4828,120.0,86.1111
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,WAEC,164,116,116,41,45,43,70.7317,35.3448,109.7561,95.5556
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,NECO,12,8,9,3,7,8,66.6667,33.3333,233.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,WAEC,16,11,11,4,6,6,68.75,36.3636,150.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,NABTEB,110,79,71,25,29,23,71.8182,35.2113,116.0,79.3103
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,NECO,230,150,140,49,55,45,65.2174,35.0,112.2449,81.8182
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,WAEC,253,179,165,57,58,53,70.751,34.5455,101.7544,91.3793
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,disabled,NECO,21,14,12,4,6,6,66.6667,33.3333,150.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,disabled,WAEC,25,18,15,5,5,5,72.0,33.3333,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,all,NABTEB,127,92,89,31,34,28,72.4409,34.8315,109.6774,82.3529
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,all,NECO,257,167,171,59,71,62,64.9805,34.5029,120.339,87.3239
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,all,WAEC,297,210,199,69,73,68,70.7071,34.6734,105.7971,93.1507
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,disabled,NECO,26,17,15,5,7,8,65.3846,33.3333,140.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Male,disabled,WAEC,30,21,18,6,6,6,70.0,33.3333,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,all,NABTEB,112,81,68,24,22,23,72.3214,35.2941,91.6667,104.5455
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,all,NECO,197,128,126,44,49,45,64.9746,34.9206,111.3636,91.8367
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,all,WAEC,271,192,173,60,67,58,70.8487,34.6821,111.6667,86.5672
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,disabled,NECO,21,14,12,4,6,6,66.6667,33.3333,150.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Female,disabled,WAEC,28,20,18,6,5,5,71.4286,33.3333,83.3333,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,all,NABTEB,100,72,65,23,17,19,72.0,35.3846,73.913,111.7647
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,all,NECO,217,141,153,53,64,55,64.977,34.6405,120.7547,85.9375
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,all,WAEC,264,187,171,60,56,50,70.8333,35.0877,93.3333,89.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,disabled,NECO,23,15,15,5,7,8,65.2174,33.3333,140.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Government Secondary School, Ardo Kola",Male,disabled,WAEC,24,17,16,6,0,0,70.8333,37.5,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,all,NABTEB,126,91,81,28,29,23,72.2222,34.5679,103.5714,79.3103
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,all,NECO,239,156,146,51,37,33,65.272,34.9315,72.549,89.1892
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,all,WAEC,313,221,183,64,63,58,70.607,34.9727,98.4375,92.0635
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,disabled,NABTEB,16,12,10,3,7,8,75.0,30.0,233.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,disabled,NECO,24,16,12,4,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Female,disabled,WAEC,34,24,18,6,5,5,70.5882,33.3333,83.3333,100.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,all,NABTEB,140,101,92,32,25,19,72.1429,34.7826,78.125,76.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,all,NECO,278,181,179,62,57,54,65.1079,34.6369,91.9355,94.7368
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,all,WAEC,348,247,212,74,68,62,70.977,34.9057,91.8919,91.1765
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,disabled,NABTEB,16,12,10,3,0,0,75.0,30.0,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,disabled,NECO,29,19,18,6,0,0,65.5172,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Ardo Kola,"Unity College, Ardo Kola",Male,disabled,WAEC,32,23,18,6,6,6,71.875,33.3333,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,all,NABTEB,55,40,36,12,7,8,72.7273,33.3333,58.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,all,NECO,89,58,53,18,18,20,65.1685,33.9623,100.0,111.1111
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,all,WAEC,121,86,74,26,29,26,71.0744,35.1351,111.5385,89.6552
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,disabled,NECO,12,8,6,2,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Female,disabled,WAEC,11,8,8,3,5,5,72.7273,37.5,166.6667,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,all,NABTEB,61,44,40,14,17,19,72.1311,35.0,121.4286,111.7647
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,all,NECO,108,70,69,24,21,15,64.8148,34.7826,87.5,71.4286
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,all,WAEC,132,94,81,29,22,19,71.2121,35.8025,75.8621,86.3636
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,disabled,NECO,11,7,6,2,0,0,63.6364,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Community Secondary School, Iware",Male,disabled,WAEC,11,8,5,2,0,0,72.7273,40.0,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,all,NABTEB,82,59,55,19,29,24,71.9512,34.5455,152.6316,82.7586
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,all,NECO,161,105,111,39,49,45,65.2174,35.1351,125.641,91.8367
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,all,WAEC,220,156,140,49,63,58,70.9091,35.0,128.5714,92.0635
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,disabled,NABTEB,11,8,6,2,7,8,72.7273,33.3333,350.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,disabled,NECO,18,12,12,4,6,6,66.6667,33.3333,150.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Female,disabled,WAEC,28,20,18,6,5,5,71.4286,33.3333,83.3333,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,all,NABTEB,87,63,63,22,25,19,72.4138,34.9206,113.6364,76.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,all,NECO,137,89,96,33,35,31,64.9635,34.375,106.0606,88.5714
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,all,WAEC,191,135,139,49,68,62,70.6806,35.2518,138.7755,91.1765
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,disabled,NECO,17,11,12,4,7,8,64.7059,33.3333,175.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Comprehensive High School, Iware",Male,disabled,WAEC,24,17,16,6,6,6,70.8333,37.5,100.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,all,NABTEB,55,40,36,12,7,8,72.7273,33.3333,58.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,all,NECO,104,68,64,22,24,20,65.3846,34.375,109.0909,83.3333
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,all,WAEC,124,88,79,28,24,21,70.9677,35.443,85.7143,87.5
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,disabled,NECO,12,8,6,2,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Female,disabled,WAEC,14,10,8,3,0,0,71.4286,37.5,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,all,NABTEB,61,44,39,14,8,9,72.1311,35.8974,57.1429,112.5
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,all,NECO,128,83,81,28,36,31,64.8438,34.5679,128.5714,86.1111
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,all,WAEC,135,95,87,31,34,31,70.3704,35.6322,109.6774,91.1765
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,disabled,NECO,14,9,9,3,7,8,64.2857,33.3333,233.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Government Secondary School, Iware",Male,disabled,WAEC,16,11,11,4,6,6,68.75,36.3636,150.0,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,all,NABTEB,49,35,29,10,14,16,71.4286,34.4828,140.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,all,NECO,87,57,58,20,30,27,65.5172,34.4828,150.0,90.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,all,WAEC,130,92,87,31,38,37,70.7692,35.6322,122.5806,97.3684
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,disabled,NABTEB,11,8,6,2,7,8,72.7273,33.3333,350.0,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,disabled,NECO,12,8,6,2,6,7,66.6667,33.3333,300.0,116.6667
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Female,disabled,WAEC,14,10,8,3,5,5,71.4286,37.5,166.6667,100.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,all,NABTEB,53,38,39,14,17,19,71.6981,35.8974,121.4286,111.7647
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,all,NECO,98,64,72,25,35,31,65.3061,34.7222,140.0,88.5714
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,all,WAEC,132,93,89,31,45,44,70.4545,34.8315,145.1613,97.7778
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,disabled,NECO,12,8,9,3,7,8,66.6667,33.3333,233.3333,114.2857
2019/2020,North East,Taraba,Ardo Kola,Iware,"Unity College, Ardo Kola",Male,disabled,WAEC,13,9,8,3,6,6,69.2308,37.5,200.0,100.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,all,NABTEB,85,61,58,20,22,15,71.7647,34.4828,110.0,68.1818
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,all,NECO,164,107,105,37,49,45,65.2439,35.2381,132.4324,91.8367
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,all,WAEC,192,136,127,44,53,48,70.8333,34.6457,120.4545,90.566
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,disabled,NECO,15,10,9,3,6,6,66.6667,33.3333,200.0,100.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Female,disabled,WAEC,17,12,10,3,5,5,70.5882,30.0,166.6667,100.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,all,NABTEB,82,59,60,21,25,18,71.9512,35.0,119.0476,72.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,all,NECO,160,104,108,38,50,47,65.0,35.1852,131.5789,94.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,all,WAEC,205,145,141,49,61,56,70.7317,34.7518,124.4898,91.8033
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,disabled,NABTEB,11,8,7,2,0,0,72.7273,28.5714,0.0,0.0
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,disabled,NECO,11,7,6,2,7,8,63.6364,33.3333,350.0,114.2857
2019/2020,North East,Taraba,Donga,Akate,"Community Secondary School, Akate",Male,disabled,WAEC,16,11,10,3,5,6,68.75,30.0,166.6667,120.0
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,all,NABTEB,69,50,42,15,14,16,72.4638,35.7143,93.3333,114.2857
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,all,NECO,125,81,76,26,24,20,64.8,34.2105,92.3077,83.3333
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,all,WAEC,135,95,86,30,34,32,70.3704,34.8837,113.3333,94.1176
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,disabled,NABTEB,11,8,6,2,0,0,72.7273,33.3333,0.0,0.0
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,disabled,NECO,15,10,9,3,0,0,66.6667,33.3333,0.0,0.0
2019/2020,North East,Taraba,Donga,Akate,"Comprehensive High School, Akate",Female,disabled,WAEC,17,12,10,3,5,5,70.5882,30.0,166.6667,100.0
