"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated","median_time_to_matriculation_years"
"2019/2020","Female","all","WAEC","University","zone","South East","South East","","","","","22141","21815","13892","5370","4761","609","326","7923","8522","609","1.8000000000000005"
"2019/2020","Female","all","WAEC","University","zone","South South","South South","","","","","22515","22181","14263","5413","4815","598","334","7918","8850","598","1.8"
"2019/2020","Female","all","WAEC","University","zone","South West","South West","","","","","27810","27399","17972","6492","5842","650","411","9427","11480","650","1.8"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","North Central","North Central","","","","","1594","1594","934","513","509","7","0","660","427","7","2.1"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","North East","North East","","","","","1333","1333","760","193","215","0","0","573","588","0","2.1"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","North West","North West","","","","","1890","1890","1125","481","484","0","0","765","681","0","2.1"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","South East","South East","","","","","1079","1079","616","367","373","0","0","463","249","0","2.1"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","South South","South South","","","","","1308","1308","773","437","454","0","0","535","336","0","2.1"
"2019/2020","Female","disabled","NABTEB","College of Education","zone","South West","South West","","","","","1490","1490","900","557","572","0","0","590","343","0","2.1"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","North Central","North Central","","","","","1551","1551","900","532","538","2","0","651","374","2","2.0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","North East","North East","","","","","1198","1198","703","189","204","0","0","495","531","0","2.0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","North West","North West","","","","","1379","1379","845","327","332","0","0","534","537","0","2.0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","South East","South East","","","","","1129","1129","632","380","386","0","0","497","252","0","2.0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","South South","South South","","","","","1288","1288","766","457","468","1","0","522","309","1","2.0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","zone","South West","South West","","","","","1399","1399","838","518","532","0","0","561","320","0","2.0"
"2019/2020","Female","disabled","NABTEB","University","zone","North Central","North Central","","","","","1564","1564","901","472","476","5","0","663","434","5","1.8"
"2019/2020","Female","disabled","NABTEB","University","zone","North East","North East","","","","","1156","1156","678","174","188","0","0","478","526","0","1.8"
"2019/2020","Female","disabled","NABTEB","University","zone","North West","North West","","","","","1913","1913","1131","420","426","0","0","782","738","0","1.8000000000000005"
"2019/2020","Female","disabled","NABTEB","University","zone","South East","South East","","","","","1149","1149","647","359","373","0","0","502","288","0","1.8000000000000005"
"2019/2020","Female","disabled","NABTEB","University","zone","South South","South South","","","","","1189","1189","691","410","419","0","0","498","281","0","1.8"
"2019/2020","Female","disabled","NABTEB","University","zone","South West","South West","","","","","1439","1439","829","525","532","1","0","610","304","1","1.8"
"2019/2020","Female","disabled","NECO","College of Education","zone","North Central","North Central","","","","","2554","2551","1539","580","610","1","3","1012","959","1","2.0"
"2019/2020","Female","disabled","NECO","College of Education","zone","North East","North East","","","","","2187","2186","1281","428","444","0","1","905","853","0","2.0"
"2019/2020","Female","disabled","NECO","College of Education","zone","North West","North West","","","","","2978","2971","1834","658","707","0","7","1137","1177","0","2.0"
"2019/2020","Female","disabled","NECO","College of Education","zone","South East","South East","","","","","1744","1744","1054","424","451","1","0","690","630","1","2.0"
"2019/2020","Female","disabled","NECO","College of Education","zone","South South","South South","","","","","2061","2059","1262","479","504","0","2","797","782","0","2.0"
"2019/2020","Female","disabled","NECO","College of Education","zone","South West","South West","","","","","2417","2412","1470","572","604","3","5","942","898","3","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","North Central","North Central","","","","","2496","2495","1498","589","630","0","1","997","909","0","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","North East","North East","","","","","1998","1996","1180","390","410","0","2","816","791","0","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","North West","North West","","","","","2326","2321","1412","491","527","0","5","909","921","0","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","South East","South East","","","","","1816","1815","1062","426","460","0","1","753","636","0","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","South South","South South","","","","","2024","2023","1232","487","509","0","1","791","745","0","2.0"
"2019/2020","Female","disabled","NECO","Polytechnic","zone","South West","South West","","","","","2279","2270","1417","510","543","1","9","853","907","1","2.0"
"2019/2020","Female","disabled","NECO","University","zone","North Central","North Central","","","","","2482","2480","1475","584","630","0","2","1005","891","0","1.8"
"2019/2020","Female","disabled","NECO","University","zone","North East","North East","","","","","1811","1811","1060","359","378","0","0","751","704","0","1.8"
"2019/2020","Female","disabled","NECO","University","zone","North West","North West","","","","","3134","3125","1857","692","736","0","9","1268","1166","0","1.8000000000000005"
"2019/2020","Female","disabled","NECO","University","zone","South East","South East","","","","","1931","1930","1148","450","490","0","1","782","698","0","1.8000000000000005"
"2019/2020","Female","disabled","NECO","University","zone","South South","South South","","","","","1919","1919","1161","433","445","0","0","758","728","0","1.8"
"2019/2020","Female","disabled","NECO","University","zone","South West","South West","","","","","2307","2300","1416","546","570","3","7","884","870","3","1.8"
"2019/2020","Female","disabled","WAEC","College of Education","zone","North Central","North Central","","","","","3250","3235","1975","673","705","0","15","1260","1302","0","2.0"
"2019/2020","Female","disabled","WAEC","College of Education","zone","North East","North East","","","","","2822","2809","1657","521","553","0","13","1152","1136","0","2.0"
"2019/2020","Female","disabled","WAEC","College of Education","zone","North West","North West","","","","","3739","3715","2287","761","843","0","24","1428","1526","0","2.0"
"2019/2020","Female","disabled","WAEC","College of Education","zone","South East","South East","","","","","2210","2200","1342","438","463","0","10","858","904","0","2.0"
"2019/2020","Female","disabled","WAEC","College of Education","zone","South South","South South","","","","","2601","2592","1591","521","551","1","9","1001","1070","1","2.0"
"2019/2020","Female","disabled","WAEC","College of Education","zone","South West","South West","","","","","3081","3065","1892","587","633","3","16","1173","1304","3","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","North Central","North Central","","","","","3150","3133","1894","607","629","0","17","1239","1287","0","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","North East","North East","","","","","2527","2519","1488","516","548","0","8","1031","972","0","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","North West","North West","","","","","2985","2964","1797","561","614","0","21","1167","1236","0","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","South East","South East","","","","","2279","2272","1346","461","478","1","7","926","885","1","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","South South","South South","","","","","2550","2536","1555","504","537","1","14","981","1052","1","2.0"
"2019/2020","Female","disabled","WAEC","Polytechnic","zone","South West","South West","","","","","2917","2895","1825","556","598","0","22","1070","1269","0","2.0"
"2019/2020","Female","disabled","WAEC","University","zone","North Central","North Central","","","","","3159","3140","1889","649","678","0","19","1251","1240","0","1.8"
"2019/2020","Female","disabled","WAEC","University","zone","North East","North East","","","","","2353","2346","1371","438","462","0","7","975","933","0","1.8"
"2019/2020","Female","disabled","WAEC","University","zone","North West","North West","","","","","4011","3976","2382","769","853","0","35","1594","1613","0","1.8000000000000005"
"2019/2020","Female","disabled","WAEC","University","zone","South East","South East","","","","","2478","2464","1476","492","510","2","14","988","984","2","1.8000000000000005"
"2019/2020","Female","disabled","WAEC","University","zone","South South","South South","","","","","2492","2483","1505","486","516","1","9","978","1019","1","1.8"
"2019/2020","Female","disabled","WAEC","University","zone","South West","South West","","","","","2994","2973","1817","579","624","0","21","1156","1238","0","1.8"
"2019/2020","Male","all","NABTEB","College of Education","zone","North Central","North Central","","","","","13266","13074","8506","2744","2444","338","192","4568","5762","338","2.1"
"2019/2020","Male","all","NABTEB","College of Education","zone","North East","North East","","","","","11293","11126","7005","2309","2112","256","167","4121","4696","261","2.1"
"2019/2020","Male","all","NABTEB","College of Education","zone","North West","North West","","","","","15763","15521","10087","3358","3097","361","242","5434","6729","361","2.1"
"2019/2020","Male","all","NABTEB","College of Education","zone","South East","South East","","","","","9286","9153","5881","1739","1478","273","133","3272","4142","273","2.1"
"2019/2020","Male","all","NABTEB","College of Education","zone","South South","South South","","","","","11061","10898","7171","2232","1963","292","163","3727","4939","292","2.1"
"2019/2020","Male","all","NABTEB","College of Education","zone","South West","South West","","","","","12576","12391","8134","2579","2286","311","185","4257","5555","311","2.1"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","North Central","North Central","","","","","12910","12720","8199","2636","2293","373","190","4521","5563","373","2.0"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","North East","North East","","","","","10485","10327","6625","2270","1999","316","158","3702","4355","315","2.0"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","North West","North West","","","","","11943","11764","7548","2500","2226","332","179","4216","5048","332","2.0"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","South East","South East","","","","","9081","8941","5649","1713","1511","214","140","3292","3936","214","2.0"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","South South","South South","","","","","10829","10662","6959","2186","1939","274","167","3703","4773","273","2.0"
"2019/2020","Male","all","NABTEB","Polytechnic","zone","South West","South West","","","","","11609","11441","7728","2540","2188","366","168","3713","5188","366","2.0"
"2019/2020","Male","all","NABTEB","University","zone","North Central","North Central","","","","","13080","12892","8345","2643","2315","362","188","4547","5702","362","1.8"
"2019/2020","Male","all","NABTEB","University","zone","North East","North East","","","","","9612","9469","5949","2024","1826","240","143","3520","3925","247","1.8"
"2019/2020","Male","all","NABTEB","University","zone","North West","North West","","","","","16278","16041","10299","3278","2923","439","237","5742","7021","439","1.8000000000000005"
"2019/2020","Male","all","NABTEB","University","zone","South East","South East","","","","","9709","9567","6074","1825","1586","252","142","3493","4249","252","1.8000000000000005"
"2019/2020","Male","all","NABTEB","University","zone","South South","South South","","","","","10259","10109","6539","2026","1747","293","150","3570","4513","293","1.8"
"2019/2020","Male","all","NABTEB","University","zone","South West","South West","","","","","12211","12031","7825","2518","2227","313","180","4206","5307","313","1.8"
"2019/2020","Male","all","NECO","College of Education","zone","North Central","North Central","","","","","25295","24918","16066","5257","4611","646","377","8852","10809","646","2.0"
"2019/2020","Male","all","NECO","College of Education","zone","North East","North East","","","","","21865","21543","13631","4506","4049","448","322","7912","9125","460","2.0"
"2019/2020","Male","all","NECO","College of Education","zone","North West","North West","","","","","29825","29385","19082","6245","5496","755","440","10303","12838","755","2.0"
"2019/2020","Male","all","NECO","College of Education","zone","South East","South East","","","","","17409","17154","10914","3819","3393","427","255","6240","7095","427","2.0"
"2019/2020","Male","all","NECO","College of Education","zone","South South","South South","","","","","21002","20689","13543","4522","4041","481","313","7146","9021","481","2.0"
"2019/2020","Male","all","NECO","College of Education","zone","South West","South West","","","","","24043","23687","15503","5234","4566","669","356","8184","10269","669","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","North Central","North Central","","","","","24220","23863","15333","5103","4496","607","357","8530","10230","607","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","North East","North East","","","","","19933","19638","12494","4165","3738","418","295","7144","8329","430","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","North West","North West","","","","","22632","22297","14229","4659","4121","540","335","8068","9569","540","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","South East","South East","","","","","17201","16949","10681","3802","3354","448","252","6268","6879","448","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","South South","South South","","","","","20781","20480","13432","4458","3976","483","301","7048","8974","483","2.0"
"2019/2020","Male","all","NECO","Polytechnic","zone","South West","South West","","","","","22443","22112","14785","5017","4406","611","331","7327","9768","611","2.0"
"2019/2020","Male","all","NECO","University","zone","North Central","North Central","","","","","25295","24922","16067","5191","4588","602","373","8855","10876","602","1.8"
"2019/2020","Male","all","NECO","University","zone","North East","North East","","","","","18010","17750","11218","3700","3279","413","260","6532","7518","427","1.8"
"2019/2020","Male","all","NECO","University","zone","North West","North West","","","","","30946","30487","19540","6296","5538","760","459","10947","13244","760","1.8000000000000005"
"2019/2020","Male","all","NECO","University","zone","South East","South East","","","","","18716","18441","11657","4080","3600","480","275","6784","7577","480","1.8000000000000005"
"2019/2020","Male","all","NECO","University","zone","South South","South South","","","","","19426","19137","12187","4051","3617","434","289","6950","8136","434","1.8"
"2019/2020","Male","all","NECO","University","zone","South West","South West","","","","","22869","22536","14660","4877","4250","627","333","7876","9783","627","1.8"
"2019/2020","Male","all","WAEC","College of Education","zone","North Central","North Central","","","","","32494","32010","20688","7184","6449","735","484","11322","13504","735","2.0"
"2019/2020","Male","all","WAEC","College of Education","zone","North East","North East","","","","","27963","27554","17294","5752","5114","621","409","10260","11541","639","2.0"
"2019/2020","Male","all","WAEC","College of Education","zone","North West","North West","","","","","37980","37415","24249","8426","7532","893","565","13166","15823","893","2.0"
"2019/2020","Male","all","WAEC","College of Education","zone","South East","South East","","","","","22589","22256","14234","4985","4399","586","333","8022","9249","586","2.0"
"2019/2020","Male","all","WAEC","College of Education","zone","South South","South South","","","","","26946","26548","17302","6074","5380","694","398","9246","11228","694","2.0"
"2019/2020","Male","all","WAEC","College of Education","zone","South West","South West","","","","","30659","30202","19700","6630","6003","628","457","10502","13070","628","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","North Central","North Central","","","","","31328","30860","19795","6808","6080","728","468","11065","12986","728","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","North East","North East","","","","","25361","24981","15901","5517","4909","594","380","9080","10384","608","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","North West","North West","","","","","29376","28942","18599","6332","5616","716","434","10343","12268","716","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","South East","South East","","","","","22009","21680","13555","4899","4320","579","329","8125","8656","579","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","South South","South South","","","","","26467","26069","16991","5918","5247","671","398","9078","11073","671","2.0"
"2019/2020","Male","all","WAEC","Polytechnic","zone","South West","South West","","","","","28205","27785","18585","6209","5608","601","420","9200","12376","601","2.0"
"2019/2020","Male","all","WAEC","University","zone","North Central","North Central","","","","","32265","31783","20439","7076","6304","772","482","11344","13363","772","1.8"
"2019/2020","Male","all","WAEC","University","zone","North East","North East","","","","","23340","23000","14584","4813","4271","522","340","8416","9771","542","1.8"
"2019/2020","Male","all","WAEC","University","zone","North West","North West","","","","","39850","39263","25174","8540","7627","912","587","14089","16635","912","1.8000000000000005"
"2019/2020","Male","all","WAEC","University","zone","South East","South East","","","","","24121","23762","14958","5219","4642","577","359","8804","9739","577","1.8000000000000005"
"2019/2020","Male","all","WAEC","University","zone","South South","South South","","","","","24837","24468","15760","5384","4773","611","369","8708","10376","611","1.8"
"2019/2020","Male","all","WAEC","University","zone","South West","South West","","","","","29560","29125","18879","6251","5620","631","435","10246","12628","631","1.8"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","North Central","North Central","","","","","1640","1640","967","401","398","5","0","673","570","5","2.1"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","North East","North East","","","","","1377","1377","787","76","87","0","0","590","711","0","2.1"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","North West","North West","","","","","1961","1961","1167","256","257","0","0","794","920","0","2.1"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","South East","South East","","","","","1120","1120","637","249","254","0","0","483","388","0","2.1"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","South South","South South","","","","","1341","1341","800","312","321","0","0","541","488","0","2.1"
"2019/2020","Male","disabled","NABTEB","College of Education","zone","South West","South West","","","","","1546","1546","929","396","409","0","0","617","533","0","2.1"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","North Central","North Central","","","","","1601","1601","936","340","345","1","0","665","597","1","2.0"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","North East","North East","","","","","1250","1250","743","93","98","0","0","507","650","0","2.0"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","North West","North West","","","","","1442","1442","849","220","223","0","0","593","639","0","2.0"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","South East","South East","","","","","1163","1163","652","273","280","0","0","511","379","0","2.0"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","South South","South South","","","","","1319","1319","772","347","359","2","0","547","425","2","2.0"
"2019/2020","Male","disabled","NABTEB","Polytechnic","zone","South West","South West","","","","","1434","1434","877","408","420","0","0","557","469","0","2.0"
"2019/2020","Male","disabled","NABTEB","University","zone","North Central","North Central","","","","","1623","1623","941","316","320","2","0","682","626","2","1.8"
"2019/2020","Male","disabled","NABTEB","University","zone","North East","North East","","","","","1194","1194","700","74","81","0","0","494","628","0","1.8"
"2019/2020","Male","disabled","NABTEB","University","zone","North West","North West","","","","","1983","1983","1175","198","201","0","0","808","983","0","1.8000000000000005"
"2019/2020","Male","disabled","NABTEB","University","zone","South East","South East","","","","","1196","1196","690","288","297","0","0","506","402","0","1.8000000000000005"
"2019/2020","Male","disabled","NABTEB","University","zone","South South","South South","","","","","1241","1241","720","299","305","0","0","521","421","0","1.8"
"2019/2020","Male","disabled","NABTEB","University","zone","South West","South West","","","","","1456","1456","856","391","395","1","0","600","465","1","1.8"
"2019/2020","Male","disabled","NECO","College of Education","zone","North Central","North Central","","","","","2766","2757","1661","533","560","2","9","1096","1128","2","2.0"
"2019/2020","Male","disabled","NECO","College of Education","zone","North East","North East","","","","","2337","2335","1355","365","379","0","2","980","991","0","2.0"
"2019/2020","Male","disabled","NECO","College of Education","zone","North West","North West","","","","","3213","3200","1924","572","604","0","13","1276","1352","0","2.0"
"2019/2020","Male","disabled","NECO","College of Education","zone","South East","South East","","","","","1912","1909","1134","397","428","1","3","775","737","1","2.0"
"2019/2020","Male","disabled","NECO","College of Education","zone","South South","South South","","","","","2238","2234","1356","491","519","0","4","878","865","0","2.0"
"2019/2020","Male","disabled","NECO","College of Education","zone","South West","South West","","","","","2636","2627","1590","554","585","5","9","1037","1036","5","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","North Central","North Central","","","","","2685","2682","1603","547","584","1","3","1079","1056","1","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","North East","North East","","","","","2154","2152","1272","335","351","0","2","880","937","0","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","North West","North West","","","","","2474","2468","1446","439","470","0","6","1022","1007","0","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","South East","South East","","","","","1958","1957","1158","384","416","0","1","799","774","0","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","South South","South South","","","","","2195","2192","1351","457","471","0","3","841","894","0","2.0"
"2019/2020","Male","disabled","NECO","Polytechnic","zone","South West","South West","","","","","2467","2455","1525","496","530","0","12","930","1028","0","2.0"
"2019/2020","Male","disabled","NECO","University","zone","North Central","North Central","","","","","2696","2686","1589","484","525","0","10","1097","1105","0","1.8"
"2019/2020","Male","disabled","NECO","University","zone","North East","North East","","","","","1957","1955","1140","310","323","0","2","815","832","0","1.8"
"2019/2020","Male","disabled","NECO","University","zone","North West","North West","","","","","3405","3387","2000","593","628","0","18","1387","1407","0","1.8000000000000005"
"2019/2020","Male","disabled","NECO","University","zone","South East","South East","","","","","2067","2065","1205","413","454","0","2","860","792","0","1.8000000000000005"
"2019/2020","Male","disabled","NECO","University","zone","South South","South South","","","","","2113","2112","1258","428","435","0","1","854","830","0","1.8"
"2019/2020","Male","disabled","NECO","University","zone","South West","South West","","","","","2485","2476","1493","494","522","2","9","983","999","2","1.8"
"2019/2020","Male","disabled","WAEC","College of Education","zone","North Central","North Central","","","","","3512","3486","2115","656","682","0","26","1371","1459","0","2.0"
"2019/2020","Male","disabled","WAEC","College of Education","zone","North East","North East","","","","","2967","2951","1732","497","522","0","16","1219","1235","0","2.0"
"2019/2020","Male","disabled","WAEC","College of Education","zone","North West","North West","","","","","4077","4049","2456","725","798","0","28","1593","1731","0","2.0"
"2019/2020","Male","disabled","WAEC","College of Education","zone","South East","South East","","","","","2478","2461","1484","425","442","5","17","977","1059","5","2.0"
"2019/2020","Male","disabled","WAEC","College of Education","zone","South South","South South","","","","","2873","2858","1746","529","561","3","15","1112","1217","3","2.0"
"2019/2020","Male","disabled","WAEC","College of Education","zone","South West","South West","","","","","3364","3342","2059","583","628","0","22","1283","1476","0","2.0"
"2019/2020","Male","disabled","WAEC","Polytechnic","zone","North Central","North Central","","","","","3467","3444","2076","620","643","0","23","1368","1456","0","2.0"
