session,zone,state,gender,almajiri_count
2020/2021,North Central,Nasarawa,Male,10145
2020/2021,North Central,Niger,Female,9563
2020/2021,North Central,Niger,Male,12893
2020/2021,North Central,Plateau,Female,9517
2020/2021,North Central,Plateau,Male,12925
2020/2021,North East,Adamawa,Female,9358
2020/2021,North East,Adamawa,Male,12937
2020/2021,North East,Borno,Female,8674
2020/2021,North East,Borno,Male,11839
2020/2021,North East,Gombe,Female,7857
2020/2021,North East,Gombe,Male,10863
2020/2021,North East,Taraba,Female,8920
2020/2021,North East,Taraba,Male,12348
2020/2021,North East,Yobe,Female,7871
2020/2021,North East,Yobe,Male,10502
2020/2021,North West,Kaduna,Female,10790
2020/2021,North West,Kaduna,Male,14636
2020/2021,North West,Kano,Female,11492
2020/2021,North West,Kano,Male,15848
2020/2021,North West,Katsina,Female,10030
2020/2021,North West,Katsina,Male,13594
2020/2021,North West,Kebbi,Female,8640
2020/2021,North West,Kebbi,Male,11842
2020/2021,North West,Sokoto,Female,9313
2020/2021,North West,Sokoto,Male,12496
2020/2021,North West,Zamfara,Female,9330
2020/2021,North West,Zamfara,Male,12699
2020/2021,South East,Abia,Female,9714
2020/2021,South East,Abia,Male,13272
2020/2021,South East,Anambra,Female,9490
2020/2021,South East,Anambra,Male,12830
2020/2021,South East,Ebonyi,Female,8100
2020/2021,South East,Ebonyi,Male,10993
2020/2021,South East,Imo,Female,9082
2020/2021,South East,Imo,Male,12374
2020/2021,South South,Akwa Ibom,Female,8785
2020/2021,South South,Akwa Ibom,Male,11873
2020/2021,South South,Bayelsa,Female,7082
2020/2021,South South,Bayelsa,Male,9791
2020/2021,South South,Cross River,Female,8014
2020/2021,South South,Cross River,Male,10954
2020/2021,South South,Delta,Female,8695
2020/2021,South South,Delta,Male,12046
2020/2021,South South,Edo,Female,9236
2020/2021,South South,Edo,Male,12602
2020/2021,South South,Rivers,Female,10185
2020/2021,South South,Rivers,Male,13927
2020/2021,South West,Ekiti,Female,8398
2020/2021,South West,Ekiti,Male,11340
2020/2021,South West,Lagos,Female,13576
2020/2021,South West,Lagos,Male,18519
2020/2021,South West,Ogun,Female,10179
2020/2021,South West,Ogun,Male,13653
2020/2021,South West,Ondo,Female,8701
2020/2021,South West,Ondo,Male,12013
2020/2021,South West,Osun,Female,8690
2020/2021,South West,Osun,Male,11780
2020/2021,South West,Oyo,Female,9440
2020/2021,South West,Oyo,Male,12943
2021/2022,North Central,Abuja Federal Capital Territory,Female,11077
2021/2022,North Central,Abuja Federal Capital Territory,Male,14786
2021/2022,North Central,Benue,Female,10802
2021/2022,North Central,Benue,Male,14581
2021/2022,North Central,Kogi,Female,10712
2021/2022,North Central,Kogi,Male,14463
2021/2022,North Central,Kwara,Female,9841
2021/2022,North Central,Kwara,Male,13408
2021/2022,North Central,Nasarawa,Female,8496
2021/2022,North Central,Nasarawa,Male,11418
2021/2022,North Central,Niger,Female,10916
2021/2022,North Central,Niger,Male,14757
2021/2022,North Central,Plateau,Female,10062
2021/2022,North Central,Plateau,Male,13869
2021/2022,North East,Adamawa,Female,10745
2021/2022,North East,Adamawa,Male,14665
2021/2022,North East,Borno,Female,9607
2021/2022,North East,Borno,Male,12993
2021/2022,North East,Gombe,Female,8408
2021/2022,North East,Gombe,Male,11415
2021/2022,North East,Taraba,Female,9666
2021/2022,North East,Taraba,Male,13100
2021/2022,North East,Yobe,Female,8564
2021/2022,North East,Yobe,Male,11647
2021/2022,North West,Kaduna,Female,12459
2021/2022,North West,Kaduna,Male,16946
2021/2022,North West,Kano,Female,13515
2021/2022,North West,Kano,Male,18264
2021/2022,North West,Katsina,Female,10482
2021/2022,North West,Katsina,Male,14252
2021/2022,North West,Kebbi,Female,9055
2021/2022,North West,Kebbi,Male,12333
2021/2022,North West,Sokoto,Female,10244
2021/2022,North West,Sokoto,Male,14037
2021/2022,North West,Zamfara,Female,10315
2021/2022,North West,Zamfara,Male,14045
2021/2022,South East,Abia,Female,10509
2021/2022,South East,Abia,Male,13983
2021/2022,South East,Anambra,Female,10623
2021/2022,South East,Anambra,Male,14700
2021/2022,South East,Ebonyi,Female,8620
2021/2022,South East,Ebonyi,Male,11669
2021/2022,South East,Imo,Female,10385
2021/2022,South East,Imo,Male,14160
2021/2022,South South,Akwa Ibom,Female,9809
2021/2022,South South,Akwa Ibom,Male,13160
2021/2022,South South,Bayelsa,Female,7768
2021/2022,South South,Bayelsa,Male,10527
2021/2022,South South,Cross River,Female,9579
2021/2022,South South,Cross River,Male,13003
2021/2022,South South,Delta,Female,9520
2021/2022,South South,Delta,Male,12500
2021/2022,South South,Edo,Female,9825
2021/2022,South South,Edo,Male,13315
2021/2022,South South,Rivers,Female,11900
2021/2022,South South,Rivers,Male,16077
2021/2022,South West,Ekiti,Female,9066
2021/2022,South West,Ekiti,Male,11850
2021/2022,South West,Lagos,Female,14462
2021/2022,South West,Lagos,Male,19621
2021/2022,South West,Ogun,Female,10992
2021/2022,South West,Ogun,Male,14788
2021/2022,South West,Ondo,Female,10157
2021/2022,South West,Ondo,Male,13821
2021/2022,South West,Osun,Female,9142
2021/2022,South West,Osun,Male,12402
2021/2022,South West,Oyo,Female,11425
2021/2022,South West,Oyo,Male,15201
2022/2023,North Central,Abuja Federal Capital Territory,Female,9974
2022/2023,North Central,Abuja Federal Capital Territory,Male,13366
2022/2023,North Central,Benue,Female,9543
2022/2023,North Central,Benue,Male,12710
2022/2023,North Central,Kogi,Female,10034
2022/2023,North Central,Kogi,Male,13172
2022/2023,North Central,Kwara,Female,9814
2022/2023,North Central,Kwara,Male,13063
2022/2023,North Central,Nasarawa,Female,7927
2022/2023,North Central,Nasarawa,Male,10779
2022/2023,North Central,Niger,Female,10134
2022/2023,North Central,Niger,Male,13782
2022/2023,North Central,Plateau,Female,9606
2022/2023,North Central,Plateau,Male,13159
2022/2023,North East,Adamawa,Female,9634
2022/2023,North East,Adamawa,Male,12965
2022/2023,North East,Borno,Female,9114
2022/2023,North East,Borno,Male,11993
2022/2023,North East,Gombe,Female,8439
2022/2023,North East,Gombe,Male,11154
2022/2023,North East,Taraba,Female,8896
2022/2023,North East,Taraba,Male,11910
2022/2023,North East,Yobe,Female,8311
2022/2023,North East,Yobe,Male,11223
2022/2023,North West,Kaduna,Female,11808
2022/2023,North West,Kaduna,Male,15844
2022/2023,North West,Kano,Female,13132
2022/2023,North West,Kano,Male,17620
2022/2023,North West,Katsina,Female,10850
2022/2023,North West,Katsina,Male,14659
2022/2023,North West,Kebbi,Female,9125
2022/2023,North West,Kebbi,Male,12158
2022/2023,North West,Sokoto,Female,9909
2022/2023,North West,Sokoto,Male,13181
2022/2023,North West,Zamfara,Female,9905
2022/2023,North West,Zamfara,Male,13086
2022/2023,South East,Abia,Female,9944
2022/2023,South East,Abia,Male,13416
2022/2023,South East,Anambra,Female,9751
2022/2023,South East,Anambra,Male,13113
2022/2023,South East,Ebonyi,Female,8695
2022/2023,South East,Ebonyi,Male,11555
2022/2023,South East,Imo,Female,10349
2022/2023,South East,Imo,Male,13784
2022/2023,South South,Akwa Ibom,Female,9332
2022/2023,South South,Akwa Ibom,Male,12472
2022/2023,South South,Bayelsa,Female,7943
2022/2023,South South,Bayelsa,Male,10697
2022/2023,South South,Cross River,Female,8376
2022/2023,South South,Cross River,Male,11245
2022/2023,South South,Delta,Female,9037
2022/2023,South South,Delta,Male,12181
2022/2023,South South,Edo,Female,9802
2022/2023,South South,Edo,Male,12736
2022/2023,South South,Rivers,Female,11076
2022/2023,South South,Rivers,Male,15114
2022/2023,South West,Ekiti,Female,8644
2022/2023,South West,Ekiti,Male,11511
2022/2023,South West,Lagos,Female,14623
2022/2023,South West,Lagos,Male,19510
2022/2023,South West,Ogun,Female,9819
2022/2023,South West,Ogun,Male,13364
2022/2023,South West,Ondo,Female,9036
2022/2023,South West,Ondo,Male,12309
2022/2023,South West,Osun,Female,9345
2022/2023,South West,Osun,Male,12690
2022/2023,South West,Oyo,Female,10334
2022/2023,South West,Oyo,Male,13748
2023/2024,North Central,Abuja Federal Capital Territory,Female,10908
2023/2024,North Central,Abuja Federal Capital Territory,Male,14322
2023/2024,North Central,Benue,Female,10957
2023/2024,North Central,Benue,Male,14407
2023/2024,North Central,Kogi,Female,11287
2023/2024,North Central,Kogi,Male,15227
2023/2024,North Central,Kwara,Female,10996
2023/2024,North Central,Kwara,Male,14434
2023/2024,North Central,Nasarawa,Female,8826
2023/2024,North Central,Nasarawa,Male,11869
2023/2024,North Central,Niger,Female,11207
2023/2024,North Central,Niger,Male,14660
2023/2024,North Central,Plateau,Female,11281
2023/2024,North Central,Plateau,Male,14944
2023/2024,North East,Adamawa,Female,11148
2023/2024,North East,Adamawa,Male,14829
2023/2024,North East,Borno,Female,9440
2023/2024,North East,Borno,Male,12511
2023/2024,North East,Gombe,Female,9138
2023/2024,North East,Gombe,Male,12089
2023/2024,North East,Taraba,Female,10658
2023/2024,North East,Taraba,Male,13960
2023/2024,North East,Yobe,Female,9420
2023/2024,North East,Yobe,Male,12419
2023/2024,North West,Kaduna,Female,12125
2023/2024,North West,Kaduna,Male,16101
2023/2024,North West,Kano,Female,13973
2023/2024,North West,Kano,Male,18410
2023/2024,North West,Katsina,Female,12012
2023/2024,North West,Katsina,Male,16057
2023/2024,North West,Kebbi,Female,9975
2023/2024,North West,Kebbi,Male,13356
2023/2024,North West,Sokoto,Female,11720
2023/2024,North West,Sokoto,Male,15319
2023/2024,North West,Zamfara,Female,10665
2023/2024,North West,Zamfara,Male,14296
2023/2024,South East,Abia,Female,11178
2023/2024,South East,Abia,Male,14801
2023/2024,South East,Anambra,Female,10857
2023/2024,South East,Anambra,Male,14321
2023/2024,South East,Ebonyi,Female,9208
2023/2024,South East,Ebonyi,Male,12259
2023/2024,South East,Imo,Female,11290
2023/2024,South East,Imo,Male,14834
2023/2024,South South,Akwa Ibom,Female,9601
2023/2024,South South,Akwa Ibom,Male,12550
2023/2024,South South,Bayelsa,Female,8659
2023/2024,South South,Bayelsa,Male,11463
2023/2024,South South,Cross River,Female,9992
2023/2024,South South,Cross River,Male,13410
2023/2024,South South,Delta,Female,10888
2023/2024,South South,Delta,Male,14453
2023/2024,South South,Edo,Female,11274
2023/2024,South South,Edo,Male,15184
2023/2024,South South,Rivers,Female,12711
2023/2024,South South,Rivers,Male,16903
2023/2024,South West,Ekiti,Female,10002
2023/2024,South West,Ekiti,Male,13386
2023/2024,South West,Lagos,Female,15374
2023/2024,South West,Lagos,Male,20334
2023/2024,South West,Ogun,Female,11437
2023/2024,South West,Ogun,Male,15297
2023/2024,South West,Ondo,Female,10145
2023/2024,South West,Ondo,Male,13486
2023/2024,South West,Osun,Female,9824
2023/2024,South West,Osun,Male,12966
2023/2024,South West,Oyo,Female,11833
2023/2024,South West,Oyo,Male,15948
2024/2025,North Central,Abuja Federal Capital Territory,Female,10431
2024/2025,North Central,Abuja Federal Capital Territory,Male,13453
2024/2025,North Central,Benue,Female,10388
2024/2025,North Central,Benue,Male,13212
2024/2025,North Central,Kogi,Female,10614
2024/2025,North Central,Kogi,Male,13550
2024/2025,North Central,Kwara,Female,9966
2024/2025,North Central,Kwara,Male,12858
2024/2025,North Central,Nasarawa,Female,8380
2024/2025,North Central,Nasarawa,Male,10771
2024/2025,North Central,Niger,Female,10793
2024/2025,North Central,Niger,Male,13757
2024/2025,North Central,Plateau,Female,10610
2024/2025,North Central,Plateau,Male,13565
2024/2025,North East,Adamawa,Female,10629
2024/2025,North East,Adamawa,Male,13654
2024/2025,North East,Borno,Female,9218
2024/2025,North East,Borno,Male,11877
2024/2025,North East,Gombe,Female,9010
2024/2025,North East,Gombe,Male,11482
2024/2025,North East,Taraba,Female,10254
2024/2025,North East,Taraba,Male,12980
2024/2025,North East,Yobe,Female,8988
2024/2025,North East,Yobe,Male,11307
2024/2025,North West,Kaduna,Female,12657
2024/2025,North West,Kaduna,Male,16153
2024/2025,North West,Kano,Female,13576
2024/2025,North West,Kano,Male,17073
2024/2025,North West,Katsina,Female,11046
2024/2025,North West,Katsina,Male,14228
2024/2025,North West,Kebbi,Female,9728
2024/2025,North West,Kebbi,Male,12541
2024/2025,North West,Sokoto,Female,11401
2024/2025,North West,Sokoto,Male,14107
2024/2025,North West,Zamfara,Female,10352
2024/2025,North West,Zamfara,Male,13143
2024/2025,South East,Abia,Female,10921
2024/2025,South East,Abia,Male,13844
2024/2025,South East,Anambra,Female,10841
2024/2025,South East,Anambra,Male,13938
2024/2025,South East,Ebonyi,Female,8844
2024/2025,South East,Ebonyi,Male,11416
2024/2025,South East,Imo,Female,11096
2024/2025,South East,Imo,Male,14068
2024/2025,South South,Akwa Ibom,Female,9997
2024/2025,South South,Akwa Ibom,Male,12891
2024/2025,South South,Bayelsa,Female,8128
2024/2025,South South,Bayelsa,Male,10403
2024/2025,South South,Cross River,Female,9174
2024/2025,South South,Cross River,Male,11799
2024/2025,South South,Delta,Female,10322
2024/2025,South South,Delta,Male,13346
2024/2025,South South,Edo,Female,10280
2024/2025,South South,Edo,Male,13145
2024/2025,South South,Rivers,Female,11894
2024/2025,South South,Rivers,Male,15407
2024/2025,South West,Ekiti,Female,9733
2024/2025,South West,Ekiti,Male,12391
2024/2025,South West,Lagos,Female,15486
2024/2025,South West,Lagos,Male,19127
2024/2025,South West,Ogun,Female,10912
2024/2025,South West,Ogun,Male,13897
2024/2025,South West,Ondo,Female,9823
2024/2025,South West,Ondo,Male,12170
2024/2025,South West,Osun,Female,9792
2024/2025,South West,Osun,Male,12567
2024/2025,South West,Oyo,Female,11029
2024/2025,South West,Oyo,Male,14043
2019/2020,North East,Bauchi,Female,7914
2019/2020,North East,Bauchi,Male,10870
2019/2020,North West,Jigawa,Female,8935
2019/2020,North West,Jigawa,Male,12313
2019/2020,South East,Enugu,Female,8688
2019/2020,South East,Enugu,Male,12131
2020/2021,North East,Bauchi,Female,8147
2020/2021,North East,Bauchi,Male,11246
2020/2021,North West,Jigawa,Female,9572
2020/2021,North West,Jigawa,Male,13074
2020/2021,South East,Enugu,Female,9342
2020/2021,South East,Enugu,Male,12935
2021/2022,North East,Bauchi,Female,9493
2021/2022,North East,Bauchi,Male,12681
2021/2022,North West,Jigawa,Female,10580
2021/2022,North West,Jigawa,Male,14273
2021/2022,South East,Enugu,Female,10309
2021/2022,South East,Enugu,Male,14009
2022/2023,North East,Bauchi,Female,9297
2022/2023,North East,Bauchi,Male,12611
2022/2023,North West,Jigawa,Female,10117
2022/2023,North West,Jigawa,Male,13541
2022/2023,South East,Enugu,Female,10519
2022/2023,South East,Enugu,Male,13773
2023/2024,North East,Bauchi,Female,9629
2023/2024,North East,Bauchi,Male,12804
2023/2024,North West,Jigawa,Female,11090
2023/2024,North West,Jigawa,Male,14830
2023/2024,South East,Enugu,Female,11675
2023/2024,South East,Enugu,Male,15485
2024/2025,North East,Bauchi,Female,49040
2024/2025,North East,Bauchi,Male,65657
2024/2025,North West,Jigawa,Female,40887
2024/2025,North West,Jigawa,Male,72776
2024/2025,South East,Enugu,Female,0
2024/2025,South East,Enugu,Male,0
