session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,North Central,North Central,,,,,0,3429,2241,889,840,78,0,1188,1352,78,2.0
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,North East,North East,,,,,0,2954,1874,886,920,22,0,1080,988,22,2.0
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,North West,North West,,,,,0,3985,2641,1205,1196,62,0,1344,1436,62,2.0
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,South East,South East,,,,,0,2292,1476,515,461,66,0,816,961,66,2.0
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,South South,South South,,,,,0,2783,1845,673,637,67,0,938,1172,66,2.0
2019/2020,Female,all,NABTEB,2-year,College of Education,zone,South West,South West,,,,,0,3197,2128,833,737,129,0,1069,1295,129,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,North Central,North Central,,,,,0,3271,2150,825,777,75,0,1121,1325,75,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,North East,North East,,,,,0,2631,1662,823,844,22,0,969,840,22,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,North West,North West,,,,,0,3054,1991,839,876,8,0,1063,1152,8,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,South East,South East,,,,,0,2319,1486,543,485,68,0,833,943,68,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,South South,South South,,,,,0,2791,1835,644,602,75,0,956,1191,75,2.0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,zone,South West,South West,,,,,0,3022,2032,759,683,100,0,990,1273,100,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,North Central,North Central,,,,,0,3307,2155,845,796,76,0,1152,1310,76,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,North East,North East,,,,,0,2490,1596,778,805,14,0,894,818,14,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,North West,North West,,,,,0,4155,2703,1166,1188,37,0,1452,1537,37,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,South East,South East,,,,,0,2526,1597,563,506,73,0,929,1034,73,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,South South,South South,,,,,0,2499,1637,570,531,58,0,862,1067,58,2.0
2019/2020,Female,all,NABTEB,2-year,University,zone,South West,South West,,,,,0,3078,2015,755,687,91,0,1063,1260,91,2.0
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,North Central,North Central,,,,,0,2201,1445,645,596,79,0,756,801,79,1.5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,North East,North East,,,,,0,1883,1213,491,339,175,0,670,728,175,1.5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,North West,North West,,,,,0,2615,1723,760,663,127,0,892,969,127,1.5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,South East,South East,,,,,0,1517,976,406,397,21,0,541,570,21,1.5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,South South,South South,,,,,0,1799,1180,502,489,37,0,619,678,37,1.5
2019/2020,Female,all,NABTEB,3-5-year,College of Education,zone,South West,South West,,,,,0,2066,1351,597,597,19,0,715,754,19,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,2080,1373,650,616,58,0,707,724,58,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,North East,North East,,,,,0,1675,1090,472,325,165,0,585,622,165,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,North West,North West,,,,,0,1981,1289,564,421,172,0,692,729,172,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,South East,South East,,,,,0,1511,938,417,399,28,0,573,522,28,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,South South,South South,,,,,0,1757,1154,507,513,17,0,603,648,17,1.5
2019/2020,Female,all,NABTEB,3-5-year,Polytechnic,zone,South West,South West,,,,,0,1922,1306,571,576,9,0,616,735,9,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,North Central,North Central,,,,,0,2143,1384,585,516,89,0,759,801,89,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,North East,North East,,,,,0,1600,1048,394,261,145,0,552,661,145,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,North West,North West,,,,,0,2624,1729,791,579,234,0,895,952,234,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,South East,South East,,,,,0,1602,1026,395,389,22,0,576,631,22,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,South South,South South,,,,,0,1643,1036,472,450,36,0,607,564,36,1.5
2019/2020,Female,all,NABTEB,3-5-year,University,zone,South West,South West,,,,,0,2014,1301,586,583,19,0,713,715,19,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,North Central,North Central,,,,,0,1173,766,145,40,110,0,408,623,110,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,North East,North East,,,,,0,1050,682,42,7,35,0,369,643,35,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,North West,North West,,,,,0,1408,895,197,68,131,0,516,704,131,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,South East,South East,,,,,0,809,519,132,44,91,0,292,387,91,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,South South,South South,,,,,0,1002,641,182,61,123,0,361,460,123,1.5
2019/2020,Female,all,NABTEB,5+-year,College of Education,zone,South West,South West,,,,,0,1148,766,218,109,113,0,387,548,113,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,North Central,North Central,,,,,0,1176,747,163,33,131,0,431,584,131,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,North East,North East,,,,,0,938,604,43,9,34,0,334,563,34,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,North West,North West,,,,,0,1090,686,88,25,64,0,405,600,64,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,South East,South East,,,,,0,835,539,146,61,87,0,298,393,87,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,South South,South South,,,,,0,1011,662,197,47,151,0,349,465,151,1.5
2019/2020,Female,all,NABTEB,5+-year,Polytechnic,zone,South West,South West,,,,,0,1089,734,210,39,172,0,357,528,172,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,North Central,North Central,,,,,0,1179,780,200,58,145,0,400,583,145,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,North East,North East,,,,,0,909,561,98,7,91,0,348,471,91,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,North West,North West,,,,,0,1496,992,162,15,148,0,508,835,148,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,South East,South East,,,,,0,886,572,158,69,93,0,318,415,93,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,South South,South South,,,,,0,888,567,156,48,109,0,321,415,109,1.5
2019/2020,Female,all,NABTEB,5+-year,University,zone,South West,South West,,,,,0,1131,735,187,51,137,0,397,548,137,1.5
2019/2020,Female,all,NECO,1-year,College of Education,zone,North Central,North Central,,,,,0,10149,6603,2377,2146,270,0,3546,4226,270,1.0
2019/2020,Female,all,NECO,1-year,College of Education,zone,North East,North East,,,,,0,8769,5544,2040,1828,295,0,3225,3504,293,1.0
2019/2020,Female,all,NECO,1-year,College of Education,zone,North West,North West,,,,,0,11919,7799,2863,2574,385,0,4120,4936,385,1.0
2019/2020,Female,all,NECO,1-year,College of Education,zone,South East,South East,,,,,0,6885,4423,1705,1521,215,0,2462,2718,215,1.0
2019/2020,Female,all,NECO,1-year,College of Education,zone,South South,South South,,,,,0,8336,5475,1971,1777,240,0,2861,3504,239,1.0
2019/2020,Female,all,NECO,1-year,College of Education,zone,South West,South West,,,,,0,9583,6298,2373,2053,356,0,3285,3925,356,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,North Central,North Central,,,,,0,9695,6258,2297,2041,292,0,3437,3961,292,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,North East,North East,,,,,0,7915,5082,1909,1771,230,0,2833,3173,226,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,North West,North West,,,,,0,9153,5927,2149,1939,274,0,3226,3778,274,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,South East,South East,,,,,0,6916,4375,1751,1553,226,0,2541,2624,226,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,South South,South South,,,,,0,8250,5430,1967,1780,237,0,2820,3463,236,1.0
2019/2020,Female,all,NECO,1-year,Polytechnic,zone,South West,South West,,,,,0,8997,6015,2202,1942,290,0,2982,3813,290,1.0
2019/2020,Female,all,NECO,1-year,University,zone,North Central,North Central,,,,,0,9977,6437,2305,2037,314,0,3540,4132,314,1.0
2019/2020,Female,all,NECO,1-year,University,zone,North East,North East,,,,,0,7225,4580,1725,1542,256,0,2645,2855,254,1.0
2019/2020,Female,all,NECO,1-year,University,zone,North West,North West,,,,,0,12383,7982,2961,2641,406,0,4401,5021,406,1.0
2019/2020,Female,all,NECO,1-year,University,zone,South East,South East,,,,,0,7545,4793,1850,1640,237,0,2752,2943,237,1.0
2019/2020,Female,all,NECO,1-year,University,zone,South South,South South,,,,,0,7562,4865,1744,1589,206,0,2697,3121,204,1.0
2019/2020,Female,all,NECO,1-year,University,zone,South West,South West,,,,,0,9202,6072,2203,1972,268,0,3130,3869,268,1.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,North Central,North Central,,,,,0,6446,4213,1549,1360,231,0,2233,2664,231,2.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,North East,North East,,,,,0,5557,3517,1271,1217,134,0,2040,2246,130,2.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,North West,North West,,,,,0,7551,4967,1762,1564,268,0,2584,3205,268,2.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,South East,South East,,,,,0,4352,2795,1065,922,166,0,1557,1730,166,2.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,South South,South South,,,,,0,5292,3486,1231,1105,171,0,1806,2255,170,2.0
2019/2020,Female,all,NECO,2-year,College of Education,zone,South West,South West,,,,,0,6037,3958,1468,1293,210,0,2079,2490,210,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,North Central,North Central,,,,,0,6158,3965,1441,1264,216,0,2193,2524,216,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,North East,North East,,,,,0,4970,3229,1186,1110,149,0,1741,2043,149,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,North West,North West,,,,,0,5785,3759,1364,1205,209,0,2026,2395,209,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,South East,South East,,,,,0,4411,2793,1107,989,146,0,1618,1686,146,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,South South,South South,,,,,0,5323,3507,1302,1133,205,0,1816,2205,205,2.0
2019/2020,Female,all,NECO,2-year,Polytechnic,zone,South West,South West,,,,,0,5704,3821,1390,1194,221,0,1883,2431,221,2.0
2019/2020,Female,all,NECO,2-year,University,zone,North Central,North Central,,,,,0,6341,4105,1469,1290,220,0,2236,2636,220,2.0
2019/2020,Female,all,NECO,2-year,University,zone,North East,North East,,,,,0,4616,2949,1084,1006,149,0,1667,1865,147,2.0
2019/2020,Female,all,NECO,2-year,University,zone,North West,North West,,,,,0,7850,5045,1784,1606,261,0,2805,3261,261,2.0
2019/2020,Female,all,NECO,2-year,University,zone,South East,South East,,,,,0,4751,3019,1173,998,198,0,1732,1846,198,2.0
2019/2020,Female,all,NECO,2-year,University,zone,South South,South South,,,,,0,4830,3097,1102,982,162,0,1733,1995,162,2.0
2019/2020,Female,all,NECO,2-year,University,zone,South West,South West,,,,,0,5906,3886,1424,1249,205,0,2020,2462,205,2.0
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,North Central,North Central,,,,,0,4104,2692,982,846,164,0,1412,1710,164,1.5
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,North East,North East,,,,,0,3649,2309,904,766,185,0,1340,1405,182,1.5
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,North West,North West,,,,,0,4823,3154,1176,1049,190,0,1669,1978,190,1.5
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,South East,South East,,,,,0,2796,1790,679,613,99,0,1006,1111,99,1.5
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,South South,South South,,,,,0,3424,2249,800,720,113,0,1175,1449,112,1.5
2019/2020,Female,all,NECO,3-5-year,College of Education,zone,South West,South West,,,,,0,3831,2547,937,819,147,0,1284,1610,147,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,3934,2555,940,835,146,0,1379,1615,146,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,North East,North East,,,,,0,3215,2065,803,725,127,0,1150,1262,123,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,North West,North West,,,,,0,3754,2388,872,823,92,0,1366,1516,92,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,South East,South East,,,,,0,2773,1747,724,624,125,0,1026,1023,125,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,South South,South South,,,,,0,3329,2209,793,770,71,0,1120,1416,71,1.5
2019/2020,Female,all,NECO,3-5-year,Polytechnic,zone,South West,South West,,,,,0,3702,2487,896,774,151,0,1215,1591,151,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,North Central,North Central,,,,,0,4079,2641,955,877,116,0,1438,1686,116,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,North East,North East,,,,,0,2927,1857,733,697,96,0,1070,1124,96,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,North West,North West,,,,,0,5087,3312,1222,1096,190,0,1775,2090,190,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,South East,South East,,,,,0,3090,1959,757,690,102,0,1131,1202,102,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,South South,South South,,,,,0,3103,1994,714,613,124,0,1109,1280,123,1.5
2019/2020,Female,all,NECO,3-5-year,University,zone,South West,South West,,,,,0,3739,2448,901,778,145,0,1291,1547,145,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,North Central,North Central,,,,,0,2225,1439,557,466,134,0,787,884,134,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,North East,North East,,,,,0,1998,1253,471,361,134,0,745,782,134,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,North West,North West,,,,,0,2727,1788,637,493,177,0,939,1151,177,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,South East,South East,,,,,0,1576,1027,432,380,88,0,550,595,88,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,South South,South South,,,,,0,1900,1258,502,391,130,0,642,756,130,1.5
2019/2020,Female,all,NECO,5+-year,College of Education,zone,South West,South West,,,,,0,2146,1404,545,517,68,0,742,859,68,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,North Central,North Central,,,,,0,2149,1381,565,478,129,0,768,816,129,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,North East,North East,,,,,0,1797,1160,501,331,198,0,637,663,197,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,North West,North West,,,,,0,2076,1357,513,386,147,0,719,844,147,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,South East,South East,,,,,0,1638,1033,388,348,72,0,605,645,72,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,South South,South South,,,,,0,1846,1195,480,410,83,0,651,715,83,1.5
2019/2020,Female,all,NECO,5+-year,Polytechnic,zone,South West,South West,,,,,0,1960,1293,487,469,48,0,668,806,48,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,North Central,North Central,,,,,0,2272,1488,562,464,134,0,784,926,134,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,North East,North East,,,,,0,1680,1059,366,263,125,0,621,695,125,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,North West,North West,,,,,0,2769,1787,703,582,157,0,982,1084,157,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,South East,South East,,,,,0,1717,1108,440,398,73,0,609,668,73,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,South South,South South,,,,,0,1636,1060,420,363,70,0,576,640,70,1.5
2019/2020,Female,all,NECO,5+-year,University,zone,South West,South West,,,,,0,2114,1381,539,444,115,0,733,842,115,1.5
2019/2020,Female,all,WAEC,1-year,College of Education,zone,North Central,North Central,,,,,0,13011,8486,3220,2892,359,0,4525,5266,359,1.0
2019/2020,Female,all,WAEC,1-year,College of Education,zone,North East,North East,,,,,0,11380,7211,2666,2396,315,0,4169,4545,315,1.0
2019/2020,Female,all,WAEC,1-year,College of Education,zone,North West,North West,,,,,0,15087,9880,3767,3323,492,0,5207,6113,492,1.0
2019/2020,Female,all,WAEC,1-year,College of Education,zone,South East,South East,,,,,0,8877,5657,2171,1929,253,0,3220,3486,253,1.0
2019/2020,Female,all,WAEC,1-year,College of Education,zone,South South,South South,,,,,0,10721,7019,2676,2384,310,0,3702,4343,310,1.0
2019/2020,Female,all,WAEC,1-year,College of Education,zone,South West,South West,,,,,0,12227,8087,2946,2650,322,0,4140,5141,322,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,North Central,North Central,,,,,0,12360,7950,3041,2741,341,0,4410,4909,341,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,North East,North East,,,,,0,10020,6401,2438,2193,286,0,3619,3963,279,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,North West,North West,,,,,0,11691,7551,2829,2482,375,0,4140,4722,375,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,South East,South East,,,,,0,8735,5522,2194,1944,266,0,3213,3328,266,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,South South,South South,,,,,0,10561,6963,2619,2370,269,0,3598,4344,266,1.0
2019/2020,Female,all,WAEC,1-year,Polytechnic,zone,South West,South West,,,,,0,11368,7603,2779,2535,268,0,3765,4824,268,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,North Central,North Central,,,,,0,12789,8248,3161,2832,362,0,4541,5087,362,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,North East,North East,,,,,0,9429,5997,2212,2007,255,0,3432,3785,253,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,North West,North West,,,,,0,15859,10152,3812,3379,478,0,5707,6340,478,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,South East,South East,,,,,0,9613,6127,2379,2110,288,0,3486,3748,288,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,South South,South South,,,,,0,9747,6275,2384,2103,293,0,3472,3891,291,1.0
2019/2020,Female,all,WAEC,1-year,University,zone,South West,South West,,,,,0,12014,7897,2856,2556,312,0,4117,5041,312,1.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,North Central,North Central,,,,,0,8272,5386,2023,1829,242,0,2886,3363,242,2.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,North East,North East,,,,,0,7195,4537,1677,1458,266,0,2658,2860,265,2.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,North West,North West,,,,,0,9588,6313,2404,2131,331,0,3275,3909,331,2.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,South East,South East,,,,,0,5649,3624,1383,1222,182,0,2025,2241,182,2.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,South South,South South,,,,,0,6875,4516,1707,1557,192,0,2359,2809,190,2.0
2019/2020,Female,all,WAEC,2-year,College of Education,zone,South West,South West,,,,,0,7849,5201,1882,1714,215,0,2648,3319,215,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,North Central,North Central,,,,,0,7897,5090,1937,1750,235,0,2807,3153,235,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,North East,North East,,,,,0,6386,4090,1533,1406,187,0,2296,2557,186,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,North West,North West,,,,,0,7469,4797,1787,1611,227,0,2672,3010,227,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,South East,South East,,,,,0,5586,3538,1399,1225,188,0,2048,2139,188,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,South South,South South,,,,,0,6692,4396,1677,1474,229,0,2296,2719,229,2.0
2019/2020,Female,all,WAEC,2-year,Polytechnic,zone,South West,South West,,,,,0,7237,4842,1751,1581,205,0,2395,3091,205,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,North Central,North Central,,,,,0,8084,5260,1997,1804,245,0,2824,3263,245,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,North East,North East,,,,,0,5984,3825,1429,1227,237,0,2159,2396,237,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,North West,North West,,,,,0,10177,6554,2415,2157,317,0,3623,4139,317,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,South East,South East,,,,,0,6125,3893,1497,1331,195,0,2232,2396,195,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,South South,South South,,,,,0,6213,3990,1508,1354,184,0,2223,2482,180,2.0
2019/2020,Female,all,WAEC,2-year,University,zone,South West,South West,,,,,0,7676,5017,1828,1618,239,0,2659,3189,239,2.0
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,North Central,North Central,,,,,0,5325,3476,1312,1167,183,0,1849,2164,183,1.5
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,North East,North East,,,,,0,4634,2933,1070,989,139,0,1701,1863,139,1.5
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,North West,North West,,,,,0,6186,4048,1539,1387,217,0,2138,2509,217,1.5
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,South East,South East,,,,,0,3541,2273,866,762,123,0,1268,1407,123,1.5
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,South South,South South,,,,,0,4462,2953,1138,978,190,0,1509,1815,190,1.5
2019/2020,Female,all,WAEC,3-5-year,College of Education,zone,South West,South West,,,,,0,5086,3353,1212,1115,156,0,1733,2141,156,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,North Central,North Central,,,,,0,5011,3243,1237,1071,206,0,1768,2006,206,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,North East,North East,,,,,0,4089,2616,984,819,204,0,1473,1632,203,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,North West,North West,,,,,0,4813,3103,1159,973,222,0,1710,1944,222,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,South East,South East,,,,,0,3560,2248,874,777,116,0,1312,1374,116,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,South South,South South,,,,,0,4314,2858,1090,944,170,0,1456,1768,170,1.5
2019/2020,Female,all,WAEC,3-5-year,Polytechnic,zone,South West,South West,,,,,0,4635,3111,1143,1019,166,0,1524,1968,166,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,North Central,North Central,,,,,0,5212,3371,1286,1160,171,0,1841,2085,171,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,North East,North East,,,,,0,3850,2460,891,798,127,0,1390,1569,126,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,North West,North West,,,,,0,6500,4216,1566,1379,246,0,2284,2650,246,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,South East,South East,,,,,0,3962,2537,960,845,135,0,1425,1577,135,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,South South,South South,,,,,0,3995,2581,986,862,156,0,1414,1595,155,1.5
2019/2020,Female,all,WAEC,3-5-year,University,zone,South West,South West,,,,,0,4960,3252,1136,1060,128,0,1708,2116,128,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,North Central,North Central,,,,,0,2989,1937,763,652,138,0,1052,1174,138,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,North East,North East,,,,,0,2535,1601,643,574,98,0,934,958,98,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,North West,North West,,,,,0,3427,2232,879,824,129,0,1195,1353,129,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,South East,South East,,,,,0,1966,1267,488,440,69,0,699,779,69,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,South South,South South,,,,,0,2415,1564,606,552,83,0,851,958,83,1.5
2019/2020,Female,all,WAEC,5+-year,College of Education,zone,South West,South West,,,,,0,2677,1786,646,601,75,0,891,1140,75,1.5
