session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Public,SSS,SSS1,SSS1,22,0,1,1,15.15,0,0.0,22.0,22.0,0,2,2,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,JSS,JSS1,JSS1,135,0,3,2,29.3,0,0.0,45.0,67.5,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,335,1,8,2,28.3,0,335.0,41.875,167.5,3,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,SSS,SSS1,SSS1,117,0,3,1,30.3,0,0.0,39.0,117.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,JSS,JSS1,JSS1,371,1,8,6,29.3,0,371.0,46.375,61.8333,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,947,2,17,13,28.3,0,473.5,55.7059,72.8462,9,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,SSS,SSS1,SSS1,342,1,10,7,30.3,0,342.0,34.2,48.8571,2,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,JSS,JSS1,JSS1,9,0,1,1,14.65,0,0.0,9.0,9.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,SSS,SSS1,SSS1,12,0,1,1,15.15,0,0.0,12.0,12.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,1,1,14.15,0,74.0,74.0,74.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,SSS,SSS1,SSS1,23,0,1,1,15.15,0,0.0,23.0,23.0,0,2,1,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Private,JSS,JSS1,JSS1,137,0,4,1,29.3,0,0.0,34.25,137.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,345,1,10,4,28.3,0,345.0,34.5,86.25,4,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Private,SSS,SSS1,SSS1,117,0,3,1,30.3,0,0.0,39.0,117.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Public,JSS,JSS1,JSS1,374,1,6,9,29.3,0,374.0,62.3333,41.5556,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,941,2,18,8,28.3,0,470.5,52.2778,117.625,10,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,ALL,Public,SSS,SSS1,SSS1,320,1,8,3,30.3,0,320.0,40.0,106.6667,1,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Private,JSS,JSS1,JSS1,10,0,1,1,14.65,0,0.0,10.0,10.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Private,SSS,SSS1,SSS1,11,0,1,1,15.15,0,0.0,11.0,11.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,1,1,14.15,0,74.0,74.0,74.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,Disabled,Public,SSS,SSS1,SSS1,22,0,1,1,15.15,0,0.0,22.0,22.0,0,2,2,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Private,JSS,JSS1,JSS1,135,0,4,1,29.3,0,0.0,33.75,135.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,335,1,10,4,28.3,0,335.0,33.5,83.75,3,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Private,SSS,SSS1,SSS1,117,0,3,1,30.3,0,0.0,39.0,117.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Public,JSS,JSS1,JSS1,371,1,6,8,29.3,0,371.0,61.8333,46.375,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,947,2,18,8,28.3,0,473.5,52.6111,118.375,9,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,ALL,Public,SSS,SSS1,SSS1,342,1,9,3,30.3,0,342.0,38.0,114.0,2,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Private,JSS,JSS1,JSS1,9,0,1,1,14.65,0,0.0,9.0,9.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Private,SSS,SSS1,SSS1,12,0,1,1,15.15,0,0.0,12.0,12.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,1,1,14.15,0,74.0,74.0,74.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,Disabled,Public,SSS,SSS1,SSS1,23,0,1,1,15.15,0,0.0,23.0,23.0,0,2,1,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Private,JSS,JSS1,JSS1,137,0,3,2,29.3,0,0.0,45.6667,68.5,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,345,1,9,5,28.3,0,345.0,38.3333,69.0,4,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Private,SSS,SSS1,SSS1,117,0,4,2,30.3,0,0.0,29.25,58.5,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Public,JSS,JSS1,JSS1,374,1,6,5,29.3,0,374.0,62.3333,74.8,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,941,2,18,22,28.3,0,470.5,52.2778,42.7727,10,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,ALL,Public,SSS,SSS1,SSS1,320,1,6,2,30.3,0,320.0,53.3333,160.0,1,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Private,JSS,JSS1,JSS1,10,0,1,1,14.65,0,0.0,10.0,10.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Private,SSS,SSS1,SSS1,11,0,1,1,15.15,0,0.0,11.0,11.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,1,2,14.15,0,74.0,74.0,37.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,Disabled,Public,SSS,SSS1,SSS1,22,0,1,1,15.15,0,0.0,22.0,22.0,0,2,2,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,JSS,JSS1,JSS1,135,0,3,1,29.3,0,0.0,45.0,135.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,335,1,8,5,28.3,0,335.0,41.875,67.0,3,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Private,SSS,SSS1,SSS1,117,0,4,2,30.3,0,0.0,29.25,58.5,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,JSS,JSS1,JSS1,371,1,6,5,29.3,0,371.0,61.8333,74.2,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,947,2,19,23,28.3,0,473.5,49.8421,41.1739,9,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,ALL,Public,SSS,SSS1,SSS1,342,1,7,2,30.3,0,342.0,48.8571,171.0,2,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,JSS,JSS1,JSS1,9,0,1,1,14.65,0,0.0,9.0,9.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Private,SSS,SSS1,SSS1,12,0,1,1,15.15,0,0.0,12.0,12.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,1,2,14.15,0,74.0,74.0,37.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,Disabled,Public,SSS,SSS1,SSS1,23,0,1,1,15.15,0,0.0,23.0,23.0,0,2,1,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Private,JSS,JSS1,JSS1,137,0,2,1,29.3,0,0.0,68.5,137.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,345,1,13,2,28.3,0,345.0,26.5385,172.5,4,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Private,SSS,SSS1,SSS1,117,0,3,1,30.3,0,0.0,39.0,117.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Public,JSS,JSS1,JSS1,374,1,6,5,29.3,0,374.0,62.3333,74.8,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,941,2,26,14,28.3,0,470.5,36.1923,67.2143,10,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,ALL,Public,SSS,SSS1,SSS1,320,1,6,2,30.3,0,320.0,53.3333,160.0,1,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Private,JSS,JSS1,JSS1,10,0,1,1,14.65,0,0.0,10.0,10.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Private,SSS,SSS1,SSS1,11,0,1,1,15.15,0,0.0,11.0,11.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,2,1,14.15,0,74.0,37.0,74.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,Disabled,Public,SSS,SSS1,SSS1,22,0,1,1,15.15,0,0.0,22.0,22.0,0,2,2,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Private,JSS,JSS1,JSS1,135,0,2,1,29.3,0,0.0,67.5,135.0,1,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,335,1,12,2,28.3,0,335.0,27.9167,167.5,3,1,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Private,SSS,SSS1,SSS1,117,0,3,1,30.3,0,0.0,39.0,117.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Public,JSS,JSS1,JSS1,371,1,6,5,29.3,0,371.0,61.8333,74.2,2,3,1,4,11,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,947,2,26,14,28.3,0,473.5,36.4231,67.6429,9,4,3,7,22,8
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,ALL,Public,SSS,SSS1,SSS1,342,1,6,2,30.3,0,342.0,57.0,171.0,2,3,1,3,10,4
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Private,JSS,JSS1,JSS1,9,0,1,1,14.65,0,0.0,9.0,9.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,30,0,1,1,14.15,0,0.0,30.0,30.0,0,0,0,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Private,SSS,SSS1,SSS1,12,0,1,1,15.15,0,0.0,12.0,12.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Public,JSS,JSS1,JSS1,27,0,1,1,14.65,0,0.0,27.0,27.0,0,1,1,1,4,1
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,74,1,2,1,14.15,0,74.0,37.0,74.0,0,1,1,2,6,2
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Disabled,Public,SSS,SSS1,SSS1,23,0,1,1,15.15,0,0.0,23.0,23.0,0,2,1,1,4,2
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Private,JSS,JSS1,JSS1,113,0,3,1,29.3,0,0.0,37.6667,113.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,213,0,5,1,28.3,0,0.0,42.6,213.0,2,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Private,SSS,SSS1,SSS1,113,0,3,2,30.3,0,0.0,37.6667,56.5,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Public,JSS,JSS1,JSS1,284,1,4,7,29.3,0,284.0,71.0,40.5714,1,3,1,3,9,3
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,783,1,16,6,28.3,0,783.0,48.9375,130.5,9,3,2,5,16,6
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,ALL,Public,SSS,SSS1,SSS1,243,1,5,3,30.3,0,243.0,48.6,81.0,1,2,1,2,7,3
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Private,JSS,JSS1,JSS1,6,0,1,1,14.65,0,0.0,6.0,6.0,0,0,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,14,0,1,1,14.15,0,0.0,14.0,14.0,0,0,0,0,1,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Private,SSS,SSS1,SSS1,9,0,1,1,15.15,0,0.0,9.0,9.0,0,1,1,1,2,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Public,JSS,JSS1,JSS1,29,0,1,1,14.65,0,0.0,29.0,29.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,58,1,1,1,14.15,0,58.0,58.0,58.0,0,1,1,2,5,2
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Disabled,Public,SSS,SSS1,SSS1,19,0,1,1,15.15,0,0.0,19.0,19.0,0,1,1,1,3,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,ALL,Private,JSS,JSS1,JSS1,106,0,2,1,29.3,0,0.0,53.0,106.0,1,1,0,1,3,1
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,216,0,5,1,28.3,0,0.0,43.2,216.0,2,1,0,1,4,2
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,ALL,Private,SSS,SSS1,SSS1,104,0,2,2,30.3,0,0.0,52.0,52.0,1,1,0,1,3,1
