session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyakayi Primary School, Auyakayi",Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Gabas Primary School, Auyo Town",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,34,0,1,0,55.0,0.0,0.0,28.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Gabas Primary School, Auyo Town",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,35,0,1,1,55.0,0.0,0.0,29.0,29.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,4,0,0,0,55.0,0.0,3.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,9,0,0,0,55.0,0.0,3.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,4,0,0,0,55.0,0.0,3.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Primary School, Auyo Town",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,9,0,0,0,55.0,0.0,3.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Qur`An Primary School, Auyo",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,134,0,3,3,55.0,0.0,110.0,27.5,55.0,3,1,0,1,20,1
2022/2023,North West,Jigawa,Auyo,Auyo,"Auyo Model Qur`An Primary School, Auyo",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,131,0,3,3,55.0,0.0,111.0,27.75,55.5,3,1,0,1,20,1
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Female,ALL,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Female,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Male,ALL,Public,JSS,JSS1,JSS1,2,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Male,ALL,Public,SSS,SSS1,SSS1,35,0,1,0,59.0,1.0,0.0,22.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Arabic Secondary School, Auyo",Male,Disabled,Public,JSS,JSS1,JSS1,7,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyakayi",Female,ALL,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyakayi",Female,ALL,Private,SSS,SSS1,SSS1,18,0,0,0,59.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyakayi",Female,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyakayi",Male,ALL,Public,JSS,JSS1,JSS1,63,0,1,1,57.0,0.0,0.0,33.0,33.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Female,ALL,Private,JSS,JSS1,JSS1,16,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Female,ALL,Public,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Female,Disabled,Public,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Male,ALL,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo",Male,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Female,ALL,Public,JSS,JSS1,JSS1,2,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Female,ALL,Public,SSS,SSS1,SSS1,34,0,1,0,59.0,1.0,0.0,21.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Female,Disabled,Public,JSS,JSS1,JSS1,5,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Male,ALL,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Male,ALL,Private,SSS,SSS1,SSS1,17,0,0,0,59.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, Auyo Central",Male,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, G/Kuka",Female,ALL,Public,JSS,JSS1,JSS1,58,0,1,1,57.0,0.0,0.0,41.0,41.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, G/Kuka",Male,ALL,Private,JSS,JSS1,JSS1,19,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, G/Kuka",Male,ALL,Public,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Auyo,"Junior Secondary School, G/Kuka",Male,Disabled,Public,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Ayama Primary School, Ayama",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Ayama Primary School, Ayama",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Ayama Primary School, Ayama",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,64,0,1,1,55.0,0.0,0.0,27.0,54.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Furawa Primary School, Furawa",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,69,0,1,1,55.0,0.0,0.0,28.5,57.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Furawa Primary School, Furawa",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,6,0,0,0,55.0,0.0,5.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Furawa Primary School, Furawa",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,16,0,0,0,55.0,0.0,5.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Gurajawa Nomadic Primary School, Gurajawa",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,6,0,0,0,55.0,0.0,5.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Gurajawa Nomadic Primary School, Gurajawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,16,0,0,0,55.0,0.0,5.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Gurajawa Nomadic Primary School, Gurajawa",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,225,0,5,4,55.0,0.0,190.0,27.1429,63.3333,6,1,0,1,21,1
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,ALL,Private,JSS,JSS1,JSS1,24,0,1,0,114.0,0.0,0.0,17.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,ALL,Private,SSS,SSS1,SSS1,23,0,0,0,118.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,ALL,Public,JSS,JSS1,JSS1,103,0,1,1,114.0,0.0,36.5,36.5,73.0,1,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,ALL,Public,SSS,SSS1,SSS1,71,0,1,1,118.0,2.0,22.0,44.0,44.0,0,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,Disabled,Public,JSS,JSS1,JSS1,9,0,0,0,57.0,0.0,2.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Female,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,1.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,ALL,Private,JSS,JSS1,JSS1,31,0,1,0,114.0,0.0,0.0,16.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,ALL,Private,SSS,SSS1,SSS1,23,0,1,0,118.0,1.0,0.0,15.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,ALL,Public,JSS,JSS1,JSS1,125,0,1,1,114.0,0.0,32.5,32.5,65.0,1,2,1,2,36,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,ALL,Public,SSS,SSS1,SSS1,68,0,1,1,118.0,2.0,21.5,43.0,43.0,0,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,Disabled,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,Disabled,Public,JSS,JSS1,JSS1,13,0,0,0,57.0,0.0,2.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"Junior Secondary School, Ayama",Male,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,1.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayama,"M/Hausawa Primary School, Maje Hausawa",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,227,0,5,4,55.0,0.0,187.0,26.7143,62.3333,6,1,0,1,21,1
2022/2023,North West,Jigawa,Auyo,Ayama,Marina Nomadic  Primary School,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayama,Marina Nomadic  Primary School,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Ayan Primary School, Ayan",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Ayan Primary School, Ayan",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Ayan Primary School, Ayan",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,88,0,2,1,55.0,0.0,0.0,24.6667,74.0,2,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Hadiyo Primary School, Hadiyo",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,90,0,2,1,55.0,0.0,0.0,24.6667,74.0,2,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Hadiyo Primary School, Hadiyo",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,8,0,0,0,55.0,0.0,7.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Hadiyo Primary School, Hadiyo",Male,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,23,0,0,0,55.0,0.0,7.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,Jamaar Ayan Nomadic Primary School,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,8,0,0,0,55.0,0.0,7.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,Jamaar Ayan Nomadic Primary School,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,23,0,0,0,55.0,0.0,7.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,Jamaar Ayan Nomadic Primary School,Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,247,0,5,4,55.0,0.0,208.0,29.7143,69.3333,6,1,0,1,21,1
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,ALL,Private,JSS,JSS1,JSS1,41,0,1,0,114.0,0.0,0.0,29.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,ALL,Private,SSS,SSS1,SSS1,45,0,1,1,118.0,2.0,0.0,28.0,28.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,ALL,Public,JSS,JSS1,JSS1,112,0,1,1,114.0,0.0,39.5,39.5,79.0,1,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,ALL,Public,SSS,SSS1,SSS1,65,0,1,1,118.0,2.0,20.0,40.0,40.0,0,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,Disabled,Private,JSS,JSS1,JSS1,5,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,Disabled,Private,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,Disabled,Public,JSS,JSS1,JSS1,9,0,0,0,57.0,0.0,2.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Female,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,1.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,ALL,Private,JSS,JSS1,JSS1,46,0,1,0,114.0,0.0,0.0,24.0,0.0,1,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,ALL,Private,SSS,SSS1,SSS1,45,0,1,1,118.0,1.0,0.0,29.0,29.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,ALL,Public,JSS,JSS1,JSS1,132,0,1,1,114.0,0.0,34.5,34.5,69.0,1,2,1,2,36,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,ALL,Public,SSS,SSS1,SSS1,63,0,1,1,118.0,2.0,20.0,40.0,40.0,0,2,1,2,35,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,Disabled,Private,JSS,JSS1,JSS1,7,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,Disabled,Private,SSS,SSS1,SSS1,7,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,Disabled,Public,JSS,JSS1,JSS1,13,0,0,0,57.0,0.0,2.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Junior Secondary School, Ayan",Male,Disabled,Public,SSS,SSS1,SSS1,7,0,0,0,59.0,1.0,1.0,0.0,0.0,0,1,1,1,24,2
2022/2023,North West,Jigawa,Auyo,Ayan,"Mado Primary School, Mado",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,256,0,5,4,55.0,0.0,211.0,30.1429,70.3333,6,1,0,1,20,1
2022/2023,North West,Jigawa,Auyo,Ayan,Safa Karfi Islamiya Primary School,Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,3,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Ayan,Safa Karfi Islamiya Primary School,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Gamafio  Primary School,Female,ALL,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Gamafio  Primary School,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0,0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Gamafio  Primary School,Female,ALL,Private,SSS,SSS1,SSS1,0,0,0,0,59.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,North West,Jigawa,Auyo,Gamafoi,Gamafio  Primary School,Female,Disabled,Private,JSS,JSS1,JSS1,0,0,0,0,57.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
