session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Female,disabled,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,all,Public,JSS,JSS1,JSS1,2.0,1.0,0.0,0.0,49.0,0.0,2.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,all,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,disabled,Public,JSS,JSS1,JSS1,2.0,1.0,0.0,0.0,49.0,0.0,2.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Male,disabled,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Female,all,Public,JSS,JSS1,JSS1,66.0,1.0,1.0,1.0,49.0,0.0,66.0,66.0,66.0,0.21,0.37,0.16,0.59,0.43,0.42
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Female,all,Public,SSS,SSS1,SSS1,49.0,1.0,1.0,1.0,51.0,1.0,49.0,49.0,49.0,0.25,0.44,0.18,0.61,0.44,0.43
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Male,all,Public,JSS,JSS1,JSS1,61.0,1.0,1.0,1.0,49.0,0.0,61.0,61.0,61.0,0.22,0.37,0.16,0.6,0.44,0.42
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondary School Guruntun,Male,all,Public,SSS,SSS1,SSS1,50.0,1.0,1.0,1.0,51.0,1.0,50.0,50.0,50.0,0.25,0.44,0.18,0.61,0.44,0.43
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Government Junior Secondry School Kumbala,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,80.0,0.0,2.0,1.0,47.0,0.0,0.0,40.0,80.0,0.71,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Gumli Nomadic Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Gumli Nomadic Primary School,Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Intergrated Royal Academy Alkaleri,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,223.0,1.0,5.0,3.0,47.0,0.0,223.0,44.6,74.3333,2.8,0.27,0.15,0.7,0.51,0.5
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Kargo Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Kargo Primary School,Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Kuka Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,79.0,0.0,2.0,1.0,47.0,0.0,0.0,39.5,79.0,0.72,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Londo Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,6.0,1.0,0.0,0.0,47.0,0.0,6.0,0.0,0.0,0,0.41,0.83,0.87,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Londo Primary School,Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,6.0,1.0,0.0,0.0,47.0,0.0,6.0,0.0,0.0,0,0.41,0.83,0.87,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Natsira Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,209.0,1.0,5.0,2.0,47.0,0.0,209.0,41.8,104.5,2.86,0.27,0.13,0.7,0.51,0.5
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Beddare Nomadic Primary School,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Beddare Nomadic Primary School,Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Burle Nomadic Primary School,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,57.0,0.0,1.0,1.0,47.0,0.0,0.0,57.0,57.0,0.23,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Doka Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Doka Primary School,Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Dumbo Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,215.0,1.0,5.0,2.0,47.0,0.0,215.0,43.0,107.5,2.83,0.27,0.13,0.7,0.51,0.5
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Galen Mansur Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Galen Mansur Primary School,Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Gina Rumbu Nomadic Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,57.0,0.0,1.0,1.0,47.0,0.0,0.0,57.0,57.0,0.23,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,all,Private,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,all,Public,JSS,JSS1,JSS1,56.0,0.0,1.0,1.0,49.0,0.0,0.0,56.0,56.0,0.23,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,all,Public,SSS,SSS1,SSS1,39.0,1.0,1.0,1.0,51.0,1.0,39.0,39.0,39.0,0.29,0.45,0.21,0.62,0.45,0.44
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,disabled,Private,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Female,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,all,Private,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,all,Public,JSS,JSS1,JSS1,55.0,0.0,1.0,1.0,49.0,0.0,0.0,55.0,55.0,0.23,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,all,Public,SSS,SSS1,SSS1,45.0,1.0,1.0,1.0,51.0,1.0,45.0,45.0,45.0,0.26,0.44,0.19,0.61,0.45,0.43
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,disabled,Private,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Badaran Dutse,Male,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Gwartanbali,Female,all,Private,JSS,JSS1,JSS1,22.0,0.0,1.0,0.0,49.0,0.0,0.0,22.0,0.0,0.46,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Gwartanbali,Female,all,Private,SSS,SSS1,SSS1,19.0,0.0,1.0,0.0,51.0,1.0,0.0,19.0,0.0,0.52,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Gwartanbali,Male,all,Private,JSS,JSS1,JSS1,22.0,0.0,1.0,0.0,49.0,0.0,0.0,22.0,0.0,0.46,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Government Junior Secondary School Gwartanbali,Male,all,Private,SSS,SSS1,SSS1,20.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Guma Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Guma Primary School,Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.0,0.0,47.0,0.0,7.0,0.0,0.0,0,0.39,0.73,0.87,0.62,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Gwan Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,210.0,1.0,5.0,2.0,47.0,0.0,210.0,42.0,105.0,2.86,0.27,0.13,0.7,0.51,0.5
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Female,all,Public,JSS,JSS1,JSS1,1.0,1.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Female,all,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Female,disabled,Public,JSS,JSS1,JSS1,1.0,1.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Female,disabled,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Male,all,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Male,all,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Male,disabled,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Birin/ Gigara/ Yankari,Junior Secondary School Tudun Wada,Male,disabled,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Fada Duguri Primary School,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Fada Duguri Primary School,Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Gamji Nomadic Primary School,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,47.0,0.0,1.0,1.0,47.0,0.0,0.0,47.0,47.0,0.26,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Girls Child Education Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,47.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Girls Child Education Primary School,Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,47.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,all,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,all,Public,JSS,JSS1,JSS1,43.0,0.0,1.0,1.0,49.0,0.0,0.0,43.0,43.0,0.27,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,all,Public,SSS,SSS1,SSS1,26.0,0.0,1.0,0.0,51.0,1.0,0.0,26.0,0.0,0.4,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,disabled,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Female,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,all,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,all,Public,JSS,JSS1,JSS1,41.0,0.0,1.0,1.0,49.0,0.0,0.0,41.0,41.0,0.28,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,all,Public,SSS,SSS1,SSS1,26.0,0.0,1.0,0.0,51.0,1.0,0.0,26.0,0.0,0.4,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,disabled,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Badaran Lungu,Male,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Dan,Female,all,Private,JSS,JSS1,JSS1,14.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Dan,Female,all,Private,SSS,SSS1,SSS1,17.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Dan,Male,all,Private,JSS,JSS1,JSS1,12.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Dan,Male,all,Private,SSS,SSS1,SSS1,19.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Female,all,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Female,all,Public,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Female,disabled,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Female,disabled,Public,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Male,all,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Male,all,Public,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Male,disabled,Public,JSS,JSS1,JSS1,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Government Junior Secondary School Haruna Memorial,Male,disabled,Public,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Gunciguni Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,145.0,1.0,4.0,2.0,47.0,0.0,145.0,36.25,72.5,2.11,0.27,0.15,0.69,0.5,0.49
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Gwartam Bali Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Gwartam Bali Primary School,Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Jauro Hamza Primary School,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,54.0,0.0,1.0,1.0,47.0,0.0,0.0,54.0,54.0,0.23,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Kashara Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,47.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Dan Kungibar,Kashara Primary School,Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,47.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
