session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Estate Management,18,15
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Estate Management,15,13
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Mathematics / Statistics,Mathematics,1305,1200
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Medicine / Health Sciences,Physiology,113,103
2022/2023,North East,Adamawa,Mubi North,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,9,9
2022/2023,North East,Adamawa,Numan,College of Education,Other College of Education Admissions - Adamawa 1,Female,all,Non-STEMM,Education,Social Studies Education,1741,1599
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,65,59
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,62,56
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,all,STEMM,Health Sciences,Public Health,2627,2414
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,all,STEMM,Medicine / Health Sciences,Radiography,312,287
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Female,all,STEMM,Technology / ICT,Information Technology,2760,2535
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,all,STEMM,Health Sciences,Public Health,2624,2411
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,all,STEMM,Medicine / Health Sciences,Radiography,312,287
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Female,all,STEMM,Technology / ICT,Information Technology,2760,2535
2022/2023,North East,Adamawa,Yola South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,29,27
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Female,all,STEMM,Environmental Sciences,Estate Management,38,36
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,398,366
2022/2023,North East,Adamawa,Yola South,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,6,6
2022/2023,North East,Adamawa,Mubi North,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,13,13
2022/2023,North East,Adamawa,Numan,College of Education,Other College of Education Admissions - Adamawa 1,Male,all,Non-STEMM,Education,Social Studies Education,1524,1399
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,88,82
2022/2023,North East,Adamawa,Numan,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,88,82
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,all,STEMM,Health Sciences,Public Health,2039,1873
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,all,STEMM,Medicine / Health Sciences,Radiography,240,222
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 1,Male,all,STEMM,Technology / ICT,Information Technology,4088,3753
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,all,STEMM,Health Sciences,Public Health,2036,1870
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,all,STEMM,Medicine / Health Sciences,Radiography,243,225
2022/2023,North East,Adamawa,Yola North,University,Other University Admissions - Adamawa 2,Male,all,STEMM,Technology / ICT,Information Technology,4088,3753
2022/2023,North East,Adamawa,Yola South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,44,41
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Male,all,STEMM,Environmental Sciences,Estate Management,54,51
2022/2023,North East,Adamawa,Yola South,Polytechnic,Other Polytechnic Admissions - Adamawa 1,Male,all,STEMM,Environmental Sciences,Quantity Surveying,546,500
2022/2023,North East,Adamawa,Yola South,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,13,13
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,31,29
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Quantity Surveying,32,29
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Female,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,64,58
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Female,all,STEMM,Medicine / Health Sciences,Radiography,528,485
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,all,Non-STEMM,ART,History and International Studies,1597,1468
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,all,Non-STEMM,Social Sciences,Public Administration,980,900
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,all,STEMM,Environmental Sciences,Estate Management,11,10
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Female,all,STEMM,Mathematics / Statistics,Mathematics,260,239
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,Other College of Education Admissions - Akwa Ibom 1,Female,all,STEMM,Physical Sciences,Physics,526,483
2022/2023,South South,Akwa Ibom,Ikot Ekpene,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,4,4
2022/2023,South South,Akwa Ibom,Oron,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,15,13
2022/2023,South South,Akwa Ibom,Oron,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,all,Non-STEMM,ART,English and Literary Studies,787,723
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,all,Non-STEMM,Social Sciences,Public Administration,516,475
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Female,all,STEMM,Mathematics / Statistics,Statistics,121,111
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,all,Non-STEMM,ART,English and Literary Studies,786,722
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,all,Non-STEMM,Social Sciences,Public Administration,516,474
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Female,all,STEMM,Mathematics / Statistics,Statistics,121,112
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Quantity Surveying,40,37
2022/2023,South South,Akwa Ibom,Eket,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Quantity Surveying,40,37
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Male,all,STEMM,Environmental Sciences,Estate Management,4,4
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Male,all,STEMM,Environmental Sciences,Quantity Surveying,81,74
2022/2023,South South,Akwa Ibom,Eket,Polytechnic,Other Polytechnic Admissions - Akwa Ibom 1,Male,all,STEMM,Medicine / Health Sciences,Radiography,379,348
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,all,Non-STEMM,ART,History and International Studies,1402,1288
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,all,Non-STEMM,Social Sciences,Public Administration,931,855
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,all,STEMM,Environmental Sciences,Estate Management,14,13
2022/2023,South South,Akwa Ibom,Eket,University,"University of Uyo, Akwa Ibom State",Male,all,STEMM,Mathematics / Statistics,Mathematics,329,302
2022/2023,South South,Akwa Ibom,Ikot Ekpene,College of Education,Other College of Education Admissions - Akwa Ibom 1,Male,all,STEMM,Physical Sciences,Physics,663,609
2022/2023,South South,Akwa Ibom,Ikot Ekpene,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,6,5
2022/2023,South South,Akwa Ibom,Oron,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,19,17
2022/2023,South South,Akwa Ibom,Oron,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,5,4
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,all,Non-STEMM,ART,English and Literary Studies,690,634
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,all,Non-STEMM,Social Sciences,Public Administration,491,451
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 1,Male,all,STEMM,Mathematics / Statistics,Statistics,153,141
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,all,Non-STEMM,ART,English and Literary Studies,690,634
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,all,Non-STEMM,Social Sciences,Public Administration,491,451
2022/2023,South South,Akwa Ibom,Uyo,University,Other University Admissions - Akwa Ibom 2,Male,all,STEMM,Mathematics / Statistics,Statistics,153,141
2022/2023,South East,Anambra,Awka North,University,"Legacy University, Okija, Anambra State",Female,all,STEMM,Medicine / Health Sciences,Physiology,9,8
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Female,all,Non-STEMM,Social Sciences,Banking and Finance,200,184
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Female,all,Non-STEMM,Social Sciences,Library and Information Science,60,55
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Female,all,Non-STEMM,Social Sciences,Banking and Finance,200,184
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Female,all,Non-STEMM,Social Sciences,Library and Information Science,60,55
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Female,all,Non-STEMM,Social Sciences,Banking and Finance,200,184
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Female,all,Non-STEMM,Social Sciences,Library and Information Science,60,55
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,14,13
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Female,all,STEMM,Medicine / Health Sciences,Radiography,94,87
2022/2023,South East,Anambra,Awka South,University,"Paul University, Awka, Anambra State",Female,all,STEMM,Medicine / Health Sciences,Physiology,10,9
2022/2023,South East,Anambra,Nnewi North,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,4,3
2022/2023,South East,Anambra,Nnewi North,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Female,all,Non-STEMM,Education,Mathematics Education,161,148
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Female,all,STEMM,Environmental Sciences,Estate Management,7,7
2022/2023,South East,Anambra,Onitsha North,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,8,7
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Quantity Surveying,8,7
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,all,STEMM,Engineering,Civil Engineering,495,455
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,all,STEMM,Medicine / Health Sciences,Anatomy,12,11
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Female,all,STEMM,Physical Sciences,Chemistry,74,68
2022/2023,South East,Anambra,Awka North,University,"Legacy University, Okija, Anambra State",Male,all,STEMM,Medicine / Health Sciences,Physiology,6,6
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Male,all,Non-STEMM,Social Sciences,Banking and Finance,191,176
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 1,Male,all,Non-STEMM,Social Sciences,Library and Information Science,57,52
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Male,all,Non-STEMM,Social Sciences,Banking and Finance,191,176
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 2,Male,all,Non-STEMM,Social Sciences,Library and Information Science,57,52
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Male,all,Non-STEMM,Social Sciences,Banking and Finance,191,176
2022/2023,South East,Anambra,Awka North,University,Other University Admissions - Anambra 3,Male,all,Non-STEMM,Social Sciences,Library and Information Science,57,52
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,all,STEMM,Environmental Sciences,Quantity Surveying,17,16
2022/2023,South East,Anambra,Awka South,Polytechnic,Other Polytechnic Admissions - Anambra 1,Male,all,STEMM,Medicine / Health Sciences,Radiography,68,62
2022/2023,South East,Anambra,Awka South,University,"Paul University, Awka, Anambra State",Male,all,STEMM,Medicine / Health Sciences,Physiology,7,7
2022/2023,South East,Anambra,Nnewi North,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,South East,Anambra,Nnewi North,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,2,1
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Male,all,Non-STEMM,Education,Mathematics Education,131,120
2022/2023,South East,Anambra,Onitsha North,College of Education,Other College of Education Admissions - Anambra 1,Male,all,STEMM,Environmental Sciences,Estate Management,9,9
2022/2023,South East,Anambra,Onitsha North,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Quantity Surveying,10,9
2022/2023,South East,Anambra,Onitsha South,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Quantity Surveying,10,9
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,all,STEMM,Engineering,Civil Engineering,679,624
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,all,STEMM,Medicine / Health Sciences,Anatomy,9,8
2022/2023,South East,Anambra,Onitsha South,University,"Nnamdi Azikiwe University, Awka, Anambra",Male,all,STEMM,Physical Sciences,Chemistry,93,86
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Female,all,Non-STEMM,ART,Law,3692,3391
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Female,all,Non-STEMM,ART,Theatre Arts,1334,1227
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Female,all,Non-STEMM,ART,Law,3692,3391
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Female,all,Non-STEMM,ART,Theatre Arts,1331,1223
2022/2023,North East,Bauchi,Damban,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,10,10
2022/2023,North East,Bauchi,Dass,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,7,7
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,75,69
2022/2023,North East,Bauchi,Jama'Are,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,78,72
2022/2023,North East,Bauchi,Katagum,College of Education,Other College of Education Admissions - Bauchi 1,Female,all,Non-STEMM,Education,Mathematics Education,4280,3932
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Female,all,STEMM,Engineering,Chemical Engineering,2070,1902
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Female,all,STEMM,Environmental Sciences,Estate Management,26,23
2022/2023,North East,Bauchi,Tafawa-Balewa,Polytechnic,Other Polytechnic Admissions - Bauchi 1,Female,all,STEMM,Environmental Sciences,Quantity Surveying,343,315
2022/2023,North East,Bauchi,Warji,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,36,33
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Male,all,Non-STEMM,ART,Law,3649,3352
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 1,Male,all,Non-STEMM,ART,Theatre Arts,1317,1211
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Male,all,Non-STEMM,ART,Law,3653,3356
2022/2023,North East,Bauchi,Bauchi,University,Other University Admissions - Bauchi 2,Male,all,Non-STEMM,ART,Theatre Arts,1317,1211
2022/2023,North East,Bauchi,Damban,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,18,18
