session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Geology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Industrial Chemistry,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Technology / ICT,Cybersecurity,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Arts,Law,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Broadcasting,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Development Communication,12,10,9
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Journalism and Media Studies,7,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Communication / Media,Public Relations,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Banking and Finance,10,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Business Administration,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Mass Communication,7,6,4
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,Non-STEMM,Social Sciences,Public Administration,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Biological Sciences,Biochemistry,9,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Computing / ICT,Computer Science,7,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Chemical Engineering,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Mechatronics Engineering,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Engineering,Petroleum Engineering,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Actuarial Science,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Applied Mathematics,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Operations Research,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Mathematics / Statistics,Statistics,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Physical Sciences,Microbiology,8,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Geology,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Industrial Chemistry,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Science,Plant Science,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Technology / ICT,Cybersecurity,11,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,all,STEMM,Technology / ICT,Information Systems,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Banking and Finance,1,1,0
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,0
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,Non-STEMM,Social Sciences,Public Administration,1,1,0
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Mechatronics Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Geology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Industrial Chemistry,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Technology / ICT,Cybersecurity,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Male,disabled,STEMM,Technology / ICT,Information Systems,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts,Law,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,History and International Studies,9,7,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,Religious Studies,12,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Arts / Humanities,Theatre Arts,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Business / Administration / Law,Marketing,14,11,10
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Broadcasting,10,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Development Communication,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Communication / Media,Public Relations,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Adult Education,12,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Educational Technology,9,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Guidance and Counselling,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Education,Primary Education Studies,15,12,10
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,English Language,6,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,Hausa,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Languages,Yoruba,7,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Accounting,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Business Administration,10,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Criminology,12,10,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Economics,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Geography,9,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,International Relations,12,10,9
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,all,Non-STEMM,Social Sciences,Sociology,8,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts,Law,1,1,0
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,0
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Arts / Humanities,Theatre Arts,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Business / Administration / Law,Marketing,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Adult Education,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Educational Technology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Guidance and Counselling,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Education,Primary Education Studies,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,English Language,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,Hausa,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Languages,Yoruba,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Accounting,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Criminology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Economics,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Geography,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,International Relations,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Female,disabled,Non-STEMM,Social Sciences,Sociology,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts,Law,13,10,9
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,History and International Studies,10,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,Religious Studies,14,11,9
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Arts / Humanities,Theatre Arts,12,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Business / Administration / Law,Marketing,12,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Broadcasting,12,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Development Communication,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Communication / Media,Public Relations,8,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Adult Education,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Educational Technology,13,10,9
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Guidance and Counselling,10,8,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Education,Primary Education Studies,15,12,11
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,English Language,7,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,Hausa,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Languages,Yoruba,8,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Accounting,9,7,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Business Administration,8,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Criminology,13,10,9
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Economics,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Geography,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,International Relations,11,9,8
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,all,Non-STEMM,Social Sciences,Sociology,8,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts / Humanities,History and International Studies,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,"Federal College of Education, Zuba",Male,disabled,Non-STEMM,Arts / Humanities,Religious Studies,1,1,1
