session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,166,427,476,56,49,13,92,0,375,7
2022/2023,Female,ALL,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,125,322,353,42,36,0,69,0,278,6
2022/2023,Female,ALL,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,63,162,177,22,19,0,35,0,139,3
2022/2023,Female,ALL,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,60,154,167,22,20,0,34,0,129,3
2022/2023,Female,ALL,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,63,163,176,20,18,0,35,0,140,2
2022/2023,Female,ALL,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,59,150,157,5,4,0,33,0,138,1
2022/2023,Female,ALL,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,88,228,255,8,7,0,49,0,224,1
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,68,175,188,6,5,0,37,0,165,1
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,112,288,316,9,8,0,62,0,278,1
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,80,205,219,6,5,0,45,0,193,1
2022/2023,Female,ALL,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,11,29,29,7,5,0,6,0,19,2
2022/2023,Female,ALL,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,40,103,113,22,19,0,23,0,81,3
2022/2023,Female,ALL,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,92,237,259,52,45,13,51,0,182,7
2022/2023,Female,ALL,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,51,132,144,31,26,0,29,0,99,5
2022/2023,Female,ALL,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,99,255,282,54,50,0,55,0,201,4
2022/2023,Female,ALL,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,215,553,607,81,74,13,120,0,468,7
2022/2023,Female,ALL,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,168,433,484,65,61,0,94,0,374,4
2022/2023,Female,ALL,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,85,221,240,33,31,0,47,0,184,2
2022/2023,Female,ALL,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,82,211,234,32,29,0,46,0,180,3
2022/2023,Female,ALL,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,75,194,208,26,23,0,42,0,162,3
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,79,205,232,7,6,0,44,0,204,1
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,119,306,338,10,9,0,67,0,297,1
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,92,237,265,9,8,0,52,0,232,1
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,154,397,429,14,13,0,86,0,376,1
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,105,271,292,8,7,0,59,0,257,1
2022/2023,Female,ALL,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,17,43,43,10,9,0,9,0,29,1
2022/2023,Female,ALL,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,49,126,137,28,25,0,27,0,95,3
2022/2023,Female,ALL,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,120,308,329,74,69,0,67,0,223,5
2022/2023,Female,ALL,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,66,170,187,44,41,0,37,0,125,3
2022/2023,Female,ALL,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,139,356,390,89,81,13,78,0,263,8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,9,22,24,5,4,0,5,0,17,1
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,5,14,15,3,2,0,3,0,11,1
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,10,2,1,0,2,0,7,1
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,8,10,1,0,0,2,0,8,1
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,9,10,2,1,0,2,0,7,1
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,2,6,6,0,0,0,1,0,5,0
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,4,9,10,0,0,0,2,0,9,0
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3,7,9,0,0,0,2,0,8,0
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,14,17,1,0,0,3,0,14,1
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,10,11,0,0,0,2,0,10,0
2022/2023,Female,Disabled,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,2,0,0,0,0,0,2,0
2022/2023,Female,Disabled,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2,5,6,1,0,0,1,0,4,1
2022/2023,Female,Disabled,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,12,13,4,3,0,3,0,8,1
2022/2023,Female,Disabled,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,7,8,4,3,0,1,0,3,1
2022/2023,Female,Disabled,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,12,13,6,5,0,2,0,6,1
2022/2023,Female,Disabled,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,13,34,37,5,4,0,7,0,29,1
2022/2023,Female,Disabled,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,9,24,29,3,2,0,5,0,23,1
2022/2023,Female,Disabled,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,12,12,2,1,0,3,0,9,1
2022/2023,Female,Disabled,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,13,14,2,1,0,3,0,11,1
2022/2023,Female,Disabled,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,5,14,14,1,0,0,3,0,12,1
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,4,10,11,0,0,0,3,0,10,0
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,6,16,19,1,0,0,4,0,16,1
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,13,13,0,0,0,3,0,12,0
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,10,27,30,1,0,0,6,0,26,1
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,7,19,20,0,0,0,3,0,18,0
2022/2023,Female,Disabled,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,2,2,1,0,0,1,0,1,1
2022/2023,Female,Disabled,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3,7,7,2,1,0,1,0,4,1
2022/2023,Female,Disabled,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,8,20,21,4,3,0,4,0,15,1
2022/2023,Female,Disabled,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,4,9,10,3,2,0,2,0,6,1
2022/2023,Female,Disabled,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,6,16,18,5,4,0,4,0,11,1
2022/2023,Female,Disabled,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,17,44,50,5,4,0,10,0,40,1
2022/2023,Female,Disabled,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,13,34,37,5,4,0,8,0,29,1
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,6,15,15,2,1,0,4,0,12,1
2022/2023,Female,Disabled,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,7,17,21,2,1,0,4,0,17,1
2022/2023,Female,Disabled,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,6,16,18,2,1,0,4,0,14,1
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,5,14,15,0,0,0,3,0,14,0
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,9,22,24,0,0,0,5,0,22,0
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,7,19,21,1,0,0,4,0,18,1
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,14,36,39,1,0,0,8,0,34,1
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,10,25,26,1,0,0,5,0,23,1
2022/2023,Female,Disabled,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,3,3,1,0,0,0,0,2,1
2022/2023,Female,Disabled,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3,7,9,2,1,0,2,0,6,1
2022/2023,Female,Disabled,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,8,22,23,4,3,0,4,0,17,1
2022/2023,Female,Disabled,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,13,14,3,2,0,3,0,10,1
2022/2023,Female,Disabled,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,10,25,28,4,3,0,5,0,21,1
2022/2023,Male,ALL,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,72,186,204,32,29,0,40,0,152,3
2022/2023,Male,ALL,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,55,141,154,23,23,0,30,0,116,1
2022/2023,Male,ALL,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,27,68,74,10,9,0,15,0,57,1
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,29,74,81,12,11,0,16,0,62,1
2022/2023,Male,ALL,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,23,60,65,10,9,0,13,0,49,1
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,22,56,64,2,1,0,12,0,56,1
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,38,97,110,4,3,0,21,0,96,1
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,28,72,81,3,2,0,16,0,71,1
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,46,119,133,4,3,0,26,0,117,1
2022/2023,Male,ALL,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,34,88,95,4,3,0,19,0,82,1
2022/2023,Male,ALL,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,4,12,12,5,4,0,2,0,6,1
2022/2023,Male,ALL,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,18,46,53,16,15,0,10,0,32,1
2022/2023,Male,ALL,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,38,98,106,26,23,0,21,0,69,3
2022/2023,Male,ALL,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,22,56,61,18,17,0,12,0,37,1
2022/2023,Male,ALL,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,44,113,121,29,27,0,25,0,80,2
2022/2023,Male,ALL,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,137,353,385,58,51,13,76,0,291,7
2022/2023,Male,ALL,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,98,253,276,41,36,0,55,0,209,5
2022/2023,Male,ALL,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,51,132,144,22,19,0,28,0,109,3
2022/2023,Male,ALL,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,49,126,137,22,20,0,27,0,101,3
2022/2023,Male,ALL,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,45,117,129,19,17,0,25,0,98,2
2022/2023,Male,ALL,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,46,118,134,4,3,0,26,0,118,1
2022/2023,Male,ALL,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,74,191,215,8,7,0,41,0,187,1
2022/2023,Male,ALL,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,52,134,148,6,5,0,29,0,128,1
2022/2023,Male,ALL,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,90,231,254,9,8,0,50,0,222,1
2022/2023,Male,ALL,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,63,162,179,7,6,0,35,0,156,1
2022/2023,Male,ALL,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,8,21,22,7,5,0,4,0,13,2
2022/2023,Male,ALL,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,32,81,88,22,19,0,18,0,58,3
2022/2023,Male,ALL,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,71,184,201,48,43,0,40,0,134,5
2022/2023,Male,ALL,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,40,104,113,28,24,0,22,0,74,4
2022/2023,Male,ALL,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,86,221,239,59,54,0,48,0,157,5
2022/2023,Male,ALL,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,177,455,498,80,75,0,99,0,370,5
2022/2023,Male,ALL,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,135,350,385,65,61,0,75,0,284,4
2022/2023,Male,ALL,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,70,182,197,30,27,0,39,0,148,3
2022/2023,Male,ALL,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,64,166,181,32,30,0,36,0,131,2
2022/2023,Male,ALL,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,53,137,144,23,22,0,29,0,107,2
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,57,147,155,6,5,0,32,0,135,1
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,91,235,256,11,10,0,51,0,222,1
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,70,181,199,8,7,0,39,0,173,1
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,120,308,341,13,12,0,67,0,297,1
2022/2023,Male,ALL,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,80,206,223,9,8,0,44,0,194,1
2022/2023,Male,ALL,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,12,31,36,10,9,0,7,0,23,1
2022/2023,Male,ALL,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,35,90,96,25,23,0,19,0,61,3
2022/2023,Male,ALL,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,91,233,254,69,67,0,51,0,160,3
2022/2023,Male,ALL,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,57,146,161,46,44,0,32,0,99,2
2022/2023,Male,ALL,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,115,296,319,87,80,13,64,0,201,7
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,6,17,19,4,3,0,3,0,13,1
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,4,12,13,3,2,0,2,0,9,1
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3,7,7,1,0,0,1,0,5,1
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,7,8,1,0,0,1,0,6,1
2022/2023,Male,Disabled,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,2,6,7,1,0,0,1,0,5,1
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,5,4,0,0,0,0,0,4,0
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3,7,8,0,0,0,2,0,7,0
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,2,6,7,0,0,0,1,0,6,0
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,4,10,12,0,0,0,2,0,11,0
2022/2023,Male,Disabled,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,3,8,9,1,0,0,2,0,7,1
2022/2023,Male,Disabled,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,1,2,1,0,0,1,0,1,1
2022/2023,Male,Disabled,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,1,3,3,2,1,0,1,0,1,1
2022/2023,Male,Disabled,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,9,2,1,0,2,0,6,1
2022/2023,Male,Disabled,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,2,6,7,2,1,0,1,0,4,1
2022/2023,Male,Disabled,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,9,10,3,2,0,2,0,6,1
2022/2023,Male,Disabled,NECO,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,11,29,29,4,3,0,6,0,22,1
2022/2023,Male,Disabled,NECO,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,8,21,22,3,2,0,5,0,17,1
2022/2023,Male,Disabled,NECO,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,9,11,2,1,0,2,0,8,1
2022/2023,Male,Disabled,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,4,10,11,2,1,0,2,0,8,1
2022/2023,Male,Disabled,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,9,10,1,0,0,2,0,8,1
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,3,8,9,0,0,0,2,0,8,0
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,5,14,14,1,0,0,3,0,12,1
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,4,10,12,0,0,0,3,0,11,0
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,8,21,23,1,0,0,5,0,20,1
2022/2023,Male,Disabled,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,6,15,15,1,0,0,3,0,13,1
2022/2023,Male,Disabled,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,1,1,1,1,0,0,1,0,0,1
2022/2023,Male,Disabled,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2,5,7,2,1,0,1,0,4,1
2022/2023,Male,Disabled,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,14,15,4,3,0,3,0,10,1
2022/2023,Male,Disabled,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,3,8,8,3,2,0,1,0,4,1
2022/2023,Male,Disabled,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,5,13,13,5,4,0,2,0,7,1
2022/2023,Male,Disabled,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,15,38,41,4,3,0,8,0,33,1
2022/2023,Male,Disabled,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,10,27,31,4,3,0,6,0,24,1
2022/2023,Male,Disabled,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,5,13,13,2,1,0,2,0,10,1
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,5,13,13,2,1,0,3,0,10,1
2022/2023,Male,Disabled,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,4,12,12,1,0,0,2,0,10,1
