session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,126.0,5,all,25.2
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,,,Unqualified,1453.0,58,all,25.0517
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,,MEd or Equivalent,Qualified,636.0,25,all,25.44
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,,NCE,Qualified,681.0,27,all,25.2222
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1271.0,50,all,25.42
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,1180.0,47,all,25.1064
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,999.0,40,all,24.975
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,1044.0,41,all,25.4634
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 5,,Unqualified,953.0,38,all,25.0789
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Pre-Primary/Primary,Primary 6,NCE,Qualified,863.0,34,all,25.3824
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,114.0,6,all,19.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,123.0,6,all,20.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,JSS,,,Unqualified,167.0,6,all,27.8333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,JSS,,BEd or Equivalent,Qualified,200.0,7,all,28.5714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,JSS,,Grade II or Equivalent,Unqualified,150.0,5,all,30.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,JSS,,MEd or Equivalent,Qualified,300.0,10,all,30.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,JSS,,NCE,Qualified,317.0,11,all,28.8182
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1523.0,61,all,24.9672
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1438.0,57,all,25.2281
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1100.0,44,all,25.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1353.0,54,all,25.0556
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1226.0,49,all,25.0204
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1100.0,44,all,25.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,SSS,,BEd or Equivalent,Qualified,371.0,13,all,28.5385
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,SSS,,Grade II or Equivalent,Unqualified,256.0,9,all,28.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,Public,SSS,,NCE,Qualified,153.0,6,all,25.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Adult & Non-Formal Education,,,Unqualified,56.0,3,all,18.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,126.0,6,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,70.0,3,all,23.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,84.0,4,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,JSS,,Grade II or Equivalent,Unqualified,346.0,12,all,28.8333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,JSS,,MEd or Equivalent,Qualified,362.0,12,all,30.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,JSS,,NCE,Qualified,362.0,12,all,30.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1589.0,63,all,25.2222
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1543.0,61,all,25.2951
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1135.0,45,all,25.2222
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 4,,Unqualified,1226.0,49,all,25.0204
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1090.0,43,all,25.3488
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1044.0,41,all,25.4634
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,SSS,,,Unqualified,215.0,8,all,26.875
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,SSS,,BEd or Equivalent,Qualified,316.0,12,all,26.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,Public,SSS,,PGDE,Qualified,244.0,9,all,27.1111
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,,Unqualified,52.0,2,all,26.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,61.0,3,all,20.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,52.0,2,all,26.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,973.0,39,all,24.9487
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 2,,Unqualified,846.0,34,all,24.8824
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,1015.0,40,all,25.375
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 4,,Unqualified,846.0,34,all,24.8824
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,888.0,35,all,25.3714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,804.0,32,all,25.125
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,,Unqualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,84.0,4,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 1,,Unqualified,953.0,38,all,25.0789
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,817.0,32,all,25.5312
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 3,MEd or Equivalent,Qualified,999.0,40,all,24.975
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,908.0,36,all,25.2222
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,817.0,32,all,25.5312
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,863.0,34,all,25.3824
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Adult & Non-Formal Education,,,Unqualified,88.0,4,all,22.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,44.0,2,all,22.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,79.0,4,all,19.75
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,44.0,2,all,22.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1396.0,55,all,25.3818
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1353.0,54,all,25.0556
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 3,,Unqualified,1269.0,50,all,25.38
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 4,PGDE,Qualified,1438.0,57,all,25.2281
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1184.0,47,all,25.1915
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,Public,Pre-Primary/Primary,Primary 6,NCE,Qualified,1269.0,50,all,25.38
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Adult & Non-Formal Education,,,Unqualified,112.0,6,all,18.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,112.0,6,all,18.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,126.0,6,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1634.0,65,all,25.1385
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1407.0,56,all,25.125
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 3,,Unqualified,1180.0,47,all,25.1064
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1317.0,52,all,25.3269
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 5,NCE,Qualified,1271.0,50,all,25.42
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Male,Public,Pre-Primary/Primary,Primary 6,,Unqualified,1135.0,45,all,25.2222
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Female,Private,JSS,,NCE,Qualified,834.0,28,all,29.7857
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Female,Private,SSS,,,Unqualified,217.0,8,all,27.125
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Female,Private,SSS,,BEd or Equivalent,Qualified,179.0,7,all,25.5714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Female,Private,SSS,,PGDE,Qualified,179.0,7,all,25.5714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Male,Private,JSS,,,Unqualified,296.0,10,all,29.6
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Male,Private,JSS,,PGDE,Qualified,511.0,18,all,28.3889
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Male,Private,SSS,,BEd or Equivalent,Qualified,187.0,7,all,26.7143
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Male,Private,SSS,,Grade II or Equivalent,Unqualified,230.0,8,all,28.75
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Comprehensive High School, Abak Urban II",Male,Private,SSS,,MEd or Equivalent,Qualified,187.0,7,all,26.7143
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,JSS,,BEd or Equivalent,Qualified,350.0,12,all,29.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,JSS,,NCE,Qualified,267.0,9,all,29.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,JSS,,PGDE,Qualified,300.0,10,all,30.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,SSS,,BEd or Equivalent,Qualified,242.0,9,all,26.8889
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,SSS,,NCE,Qualified,256.0,9,all,28.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Female,Public,SSS,,PGDE,Qualified,77.0,3,all,25.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,JSS,,,Unqualified,115.0,4,all,28.75
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,JSS,,BEd or Equivalent,Qualified,247.0,9,all,27.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,JSS,,NCE,Qualified,165.0,6,all,27.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,JSS,,PGDE,Qualified,247.0,9,all,27.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,SSS,,,Unqualified,215.0,8,all,26.875
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,SSS,,Grade II or Equivalent,Unqualified,201.0,7,all,28.7143
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,SSS,,NCE,Qualified,129.0,5,all,25.8
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II",Male,Public,SSS,,PGDE,Qualified,72.0,3,all,24.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,,Unqualified,44.0,2,all,22.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,61.0,3,all,20.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,105.0,5,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,JSS,,,Unqualified,334.0,12,all,27.8333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,JSS,,BEd or Equivalent,Qualified,200.0,7,all,28.5714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,JSS,,NCE,Qualified,234.0,8,all,29.25
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,JSS,,PGDE,Qualified,484.0,17,all,28.4706
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1353.0,54,all,25.0556
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1226.0,49,all,25.0204
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 3,MEd or Equivalent,Qualified,1480.0,59,all,25.0847
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,1100.0,44,all,25.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,973.0,39,all,24.9487
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,930.0,37,all,25.1351
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,SSS,,,Unqualified,256.0,9,all,28.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,SSS,,BEd or Equivalent,Qualified,102.0,4,all,25.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Female,Public,SSS,,PGDE,Qualified,396.0,15,all,26.4
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,,Unqualified,112.0,6,all,18.6667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,42.0,2,all,21.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,154.0,8,all,19.25
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,JSS,,NCE,Qualified,626.0,22,all,28.4545
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,JSS,,PGDE,Qualified,527.0,19,all,27.7368
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1407.0,56,all,25.125
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Unity College, Abak",Male,Public,Pre-Primary/Primary,Primary 2,,Unqualified,1362.0,54,all,25.2222
