session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,15.0,1,all,15.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,989.0,32,all,30.9062
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,247.0,8,all,30.875
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,,NCE,Qualified,742.0,24,all,30.9167
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,,PGDE,Qualified,643.0,21,all,30.619
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 1,NCE,Qualified,939.0,30,all,31.3
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,1088.0,35,all,31.0857
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 3,,Unqualified,1137.0,37,all,30.7297
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,841.0,27,all,31.1481
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,890.0,29,all,30.6897
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,890.0,29,all,30.6897
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Public,JSS,,,Unqualified,1055.0,30,all,35.1667
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Public,SSS,,Grade II or Equivalent,Unqualified,123.0,4,all,30.75
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Public,SSS,,MEd or Equivalent,Qualified,123.0,4,all,30.75
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Public,SSS,,NCE,Qualified,527.0,15,all,35.1333
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,JSS,,,Unqualified,181.0,5,all,36.2
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,JSS,,BEd or Equivalent,Qualified,141.0,4,all,35.25
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,JSS,,MEd or Equivalent,Qualified,302.0,8,all,37.75
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,JSS,,NCE,Qualified,302.0,8,all,37.75
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,SSS,,Grade II or Equivalent,Unqualified,273.0,8,all,34.125
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,SSS,,MEd or Equivalent,Qualified,214.0,6,all,35.6667
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Public,SSS,,PGDE,Qualified,273.0,8,all,34.125
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,73.0,2,all,36.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,92.0,4,all,23.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,46.0,2,all,23.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,46.0,2,all,23.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1604.0,52,all,30.8462
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1467.0,48,all,30.5625
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1467.0,48,all,30.5625
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1375.0,45,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1238.0,40,all,30.95
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1192.0,39,all,30.5641
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,,Unqualified,74.0,3,all,24.6667
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,118.0,4,all,29.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,59.0,2,all,29.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,118.0,4,all,29.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 1,,Unqualified,1632.0,53,all,30.7925
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1533.0,50,all,30.66
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1434.0,46,all,31.1739
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1434.0,46,all,31.1739
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1385.0,45,all,30.7778
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Public,Pre-Primary/Primary,Primary 6,PGDE,Qualified,1286.0,42,all,30.619
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Adult & Non-Formal Education,,,Unqualified,36.0,2,all,18.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,99.0,3,all,33.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,36.0,2,all,18.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,83.0,3,all,27.6667
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,81.0,3,all,27.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,JSS,,,Unqualified,223.0,6,all,37.1667
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,JSS,,BEd or Equivalent,Qualified,628.0,18,all,34.8889
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,JSS,,Grade II or Equivalent,Unqualified,223.0,6,all,37.1667
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,JSS,,NCE,Qualified,203.0,6,all,33.8333
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,,,Unqualified,916.0,30,all,30.5333
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,779.0,25,all,31.16
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,1008.0,32,all,31.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,,NCE,Qualified,321.0,10,all,32.1
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1421.0,46,all,30.8913
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1284.0,42,all,30.5714
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 3,NCE,Qualified,1238.0,40,all,30.95
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1238.0,40,all,30.95
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1100.0,36,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1100.0,36,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,SSS,,BEd or Equivalent,Qualified,473.0,14,all,33.7857
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,SSS,,Grade II or Equivalent,Unqualified,334.0,10,all,33.4
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Public,SSS,,NCE,Qualified,140.0,4,all,35.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,,Unqualified,88.0,4,all,22.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,60.0,2,all,30.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,89.0,3,all,29.6667
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,118.0,4,all,29.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,NCE,Qualified,30.0,1,all,30.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,59.0,2,all,29.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,JSS,,,Unqualified,382.0,11,all,34.7273
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,JSS,,BEd or Equivalent,Qualified,422.0,12,all,35.1667
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,JSS,,PGDE,Qualified,443.0,12,all,36.9167
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,1582.0,52,all,30.4231
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,841.0,27,all,31.1481
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,,NCE,Qualified,692.0,22,all,31.4545
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1533.0,50,all,30.66
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1335.0,43,all,31.0465
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1335.0,43,all,31.0465
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 4,MEd or Equivalent,Qualified,1335.0,43,all,31.0465
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 5,,Unqualified,1187.0,38,all,31.2368
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,Pre-Primary/Primary,Primary 6,,Unqualified,1088.0,35,all,31.0857
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,SSS,,BEd or Equivalent,Qualified,292.0,9,all,32.4444
2019/2020,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Public,SSS,,PGDE,Qualified,701.0,21,all,33.381
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,,Unqualified,18.0,1,all,18.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,36.0,2,all,18.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,27.0,2,all,13.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,9.0,1,all,9.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,36.0,3,all,12.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,27.0,2,all,13.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,550.0,18,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,,MEd or Equivalent,Qualified,413.0,13,all,31.7692
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,,NCE,Qualified,871.0,28,all,31.1071
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,,PGDE,Qualified,321.0,10,all,32.1
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,825.0,27,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,917.0,30,all,30.5667
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,688.0,22,all,31.2727
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 4,,Unqualified,688.0,22,all,31.2727
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,688.0,22,all,31.2727
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,733.0,24,all,30.5417
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,75.0,4,all,18.75
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,75.0,3,all,25.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,15.0,1,all,15.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,45.0,2,all,22.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,1088.0,36,all,30.2222
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,544.0,18,all,30.2222
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,,NCE,Qualified,593.0,19,all,31.2105
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,841.0,27,all,31.1481
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,742.0,24,all,30.9167
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,742.0,24,all,30.9167
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,643.0,21,all,30.619
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,593.0,19,all,31.2105
2019/2020,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,742.0,24,all,30.9167
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Public,JSS,,BEd or Equivalent,Qualified,284.0,8,all,35.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Public,JSS,,NCE,Qualified,1196.0,33,all,36.2424
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Public,SSS,,BEd or Equivalent,Qualified,333.0,10,all,33.3
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Public,SSS,,Grade II or Equivalent,Unqualified,316.0,9,all,35.1111
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Public,SSS,,MEd or Equivalent,Qualified,333.0,10,all,33.3
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Male,Public,JSS,,BEd or Equivalent,Qualified,543.0,15,all,36.2
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Male,Public,JSS,,MEd or Equivalent,Qualified,422.0,12,all,35.1667
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Male,Public,JSS,,NCE,Qualified,463.0,13,all,35.6154
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Male,Public,SSS,,BEd or Equivalent,Qualified,331.0,10,all,33.1
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Male,Public,SSS,,NCE,Qualified,662.0,20,all,33.1
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,,Unqualified,36.0,1,all,36.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,145.0,5,all,29.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,36.0,1,all,36.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,JSS,,Grade II or Equivalent,Unqualified,973.0,28,all,34.75
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,JSS,,MEd or Equivalent,Qualified,507.0,14,all,36.2143
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,1375.0,45,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 2,,Unqualified,1284.0,42,all,30.5714
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1238.0,40,all,30.95
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 4,NCE,Qualified,1329.0,43,all,30.907
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1192.0,39,all,30.5641
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1009.0,33,all,30.5758
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Female,Public,SSS,,BEd or Equivalent,Qualified,1035.0,30,all,34.5
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,162.0,6,all,27.0
2019/2020,North East,Adamawa,Mubi North,Betso,"Unity College, Mubi North",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,59.0,2,all,29.5
