session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Public,SSS,SSS1,SSS1,205.75,4.0,4.5,3.25,28.3,0.25,51.4375,45.7222,63.3077
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,JSS,JSS1,JSS1,3.0,1.0,0.25,0.25,13.65,0.0,3.0,12.0,12.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,11.5,1.25,0.25,0.25,13.15,0.0,9.2,46.0,46.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,SSS,SSS1,SSS1,1.75,0.75,0.25,0.25,14.15,0.0,2.3333,7.0,7.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,JSS,JSS1,JSS1,6.25,2.5,0.25,0.25,13.65,0.0,2.5,25.0,25.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,30.25,4.75,0.75,0.5,13.15,0.0,6.3684,40.3333,60.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,SSS,SSS1,SSS1,4.0,2.0,0.25,0.25,14.15,0.0,2.0,16.0,16.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Private,JSS,JSS1,JSS1,119.75,2.0,2.5,1.75,27.3,0.0,59.875,47.9,68.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,315.25,2.5,7.0,5.0,26.3,0.0,126.1,45.0357,63.05
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Private,SSS,SSS1,SSS1,97.75,1.5,2.25,1.75,28.3,0.25,65.1667,43.4444,55.8571
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Public,JSS,JSS1,JSS1,352.0,5.0,7.0,5.0,27.3,0.0,70.4,50.2857,70.4
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1076.0,9.5,24.25,17.25,26.3,0.0,113.2632,44.3711,62.3768
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,all,Public,SSS,SSS1,SSS1,201.25,4.0,4.25,3.0,28.3,0.25,50.3125,47.3529,67.0833
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Private,JSS,JSS1,JSS1,3.25,1.0,0.25,0.25,13.65,0.0,3.25,13.0,13.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.5,1.25,0.25,0.25,13.15,0.0,8.4,42.0,42.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,14.15,0.0,2.0,6.0,6.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.5,0.25,0.25,13.65,0.0,3.0,30.0,30.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,28.25,4.75,0.75,0.5,13.15,0.0,5.9474,37.6667,56.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Female,disabled,Public,SSS,SSS1,SSS1,3.75,2.0,0.25,0.25,14.15,0.0,1.875,15.0,15.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Private,JSS,JSS1,JSS1,104.0,2.0,2.25,1.75,27.3,0.0,52.0,46.2222,59.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,340.75,2.5,7.5,5.5,26.3,0.0,136.3,45.4333,61.9545
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Private,SSS,SSS1,SSS1,95.0,1.5,2.25,1.75,28.3,0.25,63.3333,42.2222,54.2857
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Public,JSS,JSS1,JSS1,292.0,5.0,5.75,4.25,27.3,0.0,58.4,50.7826,68.7059
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1164.0,9.5,26.0,18.5,26.3,0.0,122.5263,44.7692,62.9189
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,all,Public,SSS,SSS1,SSS1,205.75,4.0,4.5,3.25,28.3,0.25,51.4375,45.7222,63.3077
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Private,JSS,JSS1,JSS1,3.0,1.0,0.25,0.25,13.65,0.0,3.0,12.0,12.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,11.5,1.25,0.25,0.25,13.15,0.0,9.2,46.0,46.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Private,SSS,SSS1,SSS1,1.75,0.75,0.25,0.25,14.15,0.0,2.3333,7.0,7.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Public,JSS,JSS1,JSS1,6.25,2.5,0.25,0.25,13.65,0.0,2.5,25.0,25.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,30.25,4.75,0.75,0.5,13.15,0.0,6.3684,40.3333,60.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Comprehensive High School, Ward II Court/ Ada Allison",Male,disabled,Public,SSS,SSS1,SSS1,4.0,2.0,0.25,0.25,14.15,0.0,2.0,16.0,16.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Private,JSS,JSS1,JSS1,119.75,2.0,2.5,1.75,27.3,0.0,59.875,47.9,68.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,315.25,2.5,7.0,5.0,26.3,0.0,126.1,45.0357,63.05
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Private,SSS,SSS1,SSS1,97.75,1.5,2.25,1.75,28.3,0.25,65.1667,43.4444,55.8571
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Public,JSS,JSS1,JSS1,352.0,5.0,7.0,5.0,27.3,0.0,70.4,50.2857,70.4
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1076.0,9.5,24.25,17.25,26.3,0.0,113.2632,44.3711,62.3768
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,all,Public,SSS,SSS1,SSS1,201.25,4.0,4.25,3.0,28.3,0.25,50.3125,47.3529,67.0833
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,JSS,JSS1,JSS1,3.25,1.0,0.25,0.25,13.65,0.0,3.25,13.0,13.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.5,1.25,0.25,0.25,13.15,0.0,8.4,42.0,42.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,14.15,0.0,2.0,6.0,6.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.5,0.25,0.25,13.65,0.0,3.0,30.0,30.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,28.25,4.75,0.75,0.5,13.15,0.0,5.9474,37.6667,56.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,SSS,SSS1,SSS1,3.75,2.0,0.25,0.25,14.15,0.0,1.875,15.0,15.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Private,JSS,JSS1,JSS1,104.0,2.0,2.25,1.75,27.3,0.0,52.0,46.2222,59.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,340.75,2.5,7.5,5.5,26.3,0.0,136.3,45.4333,61.9545
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Private,SSS,SSS1,SSS1,95.0,1.5,2.25,1.75,28.3,0.25,63.3333,42.2222,54.2857
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Public,JSS,JSS1,JSS1,292.0,5.0,5.75,4.25,27.3,0.0,58.4,50.7826,68.7059
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1164.0,9.5,26.0,18.5,26.3,0.0,122.5263,44.7692,62.9189
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,all,Public,SSS,SSS1,SSS1,205.75,4.0,4.5,3.25,28.3,0.25,51.4375,45.7222,63.3077
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,JSS,JSS1,JSS1,3.0,1.0,0.25,0.25,13.65,0.0,3.0,12.0,12.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,11.5,1.25,0.25,0.25,13.15,0.0,9.2,46.0,46.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Private,SSS,SSS1,SSS1,1.75,0.75,0.25,0.25,14.15,0.0,2.3333,7.0,7.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,JSS,JSS1,JSS1,6.25,2.5,0.25,0.25,13.65,0.0,2.5,25.0,25.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,30.25,4.75,0.75,0.5,13.15,0.0,6.3684,40.3333,60.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Government Secondary School, Ward II Court/ Ada Allison",Male,disabled,Public,SSS,SSS1,SSS1,4.0,2.0,0.25,0.25,14.15,0.0,2.0,16.0,16.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Private,JSS,JSS1,JSS1,119.75,2.0,2.5,1.75,27.3,0.0,59.875,47.9,68.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,315.25,2.5,7.0,5.0,26.3,0.0,126.1,45.0357,63.05
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Private,SSS,SSS1,SSS1,97.75,1.5,2.25,1.75,28.3,0.25,65.1667,43.4444,55.8571
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Public,JSS,JSS1,JSS1,352.0,5.0,7.0,5.0,27.3,0.0,70.4,50.2857,70.4
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1076.0,9.5,24.25,17.25,26.3,0.0,113.2632,44.3711,62.3768
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,all,Public,SSS,SSS1,SSS1,201.25,4.0,4.25,3.0,28.3,0.25,50.3125,47.3529,67.0833
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Private,JSS,JSS1,JSS1,3.25,1.0,0.25,0.25,13.65,0.0,3.25,13.0,13.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.5,1.25,0.25,0.25,13.15,0.0,8.4,42.0,42.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,14.15,0.0,2.0,6.0,6.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.5,0.25,0.25,13.65,0.0,3.0,30.0,30.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,28.25,4.75,0.75,0.5,13.15,0.0,5.9474,37.6667,56.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Female,disabled,Public,SSS,SSS1,SSS1,3.75,2.0,0.25,0.25,14.15,0.0,1.875,15.0,15.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Private,JSS,JSS1,JSS1,104.0,2.0,2.25,1.75,27.3,0.0,52.0,46.2222,59.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,340.75,2.5,7.5,5.5,26.3,0.0,136.3,45.4333,61.9545
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Private,SSS,SSS1,SSS1,95.0,1.5,2.25,1.75,28.3,0.25,63.3333,42.2222,54.2857
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Public,JSS,JSS1,JSS1,292.0,5.0,5.75,4.25,27.3,0.0,58.4,50.7826,68.7059
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1164.0,9.5,26.0,18.5,26.3,0.0,122.5263,44.7692,62.9189
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,all,Public,SSS,SSS1,SSS1,205.75,4.0,4.5,3.25,28.3,0.25,51.4375,45.7222,63.3077
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Private,JSS,JSS1,JSS1,3.0,1.0,0.25,0.25,13.65,0.0,3.0,12.0,12.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,11.5,1.25,0.25,0.25,13.15,0.0,9.2,46.0,46.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Private,SSS,SSS1,SSS1,1.75,0.75,0.25,0.25,14.15,0.0,2.3333,7.0,7.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Public,JSS,JSS1,JSS1,6.25,2.5,0.25,0.25,13.65,0.0,2.5,25.0,25.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,30.25,4.75,0.75,0.5,13.15,0.0,6.3684,40.3333,60.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,disabled,Public,SSS,SSS1,SSS1,4.0,2.0,0.25,0.25,14.15,0.0,2.0,16.0,16.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Private,JSS,JSS1,JSS1,61.75,1.0,1.5,1.25,27.3,0.0,61.75,41.1667,49.4
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,326.75,2.5,7.25,5.25,26.3,0.0,130.7,45.069,62.2381
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Private,SSS,SSS1,SSS1,72.0,1.5,1.75,1.25,28.3,0.25,48.0,41.1429,57.6
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Public,JSS,JSS1,JSS1,287.5,4.5,5.75,4.25,27.3,0.0,63.8889,50.0,67.6471
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,798.75,7.5,17.75,12.5,26.3,0.0,106.5,45.0,63.9
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,all,Public,SSS,SSS1,SSS1,165.75,3.0,3.5,2.5,28.3,0.25,55.25,47.3571,66.3
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,13.65,0.0,3.0,6.0,6.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,8.25,1.25,0.25,0.25,13.15,0.0,6.6,33.0,33.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.25,14.15,0.0,1.3333,4.0,4.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.25,0.25,0.25,13.65,0.0,3.3333,30.0,30.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,22.5,3.75,0.5,0.25,13.15,0.0,6.0,45.0,90.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,disabled,Public,SSS,SSS1,SSS1,3.25,1.5,0.25,0.25,14.15,0.0,2.1667,13.0,13.0
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Private,JSS,JSS1,JSS1,63.0,1.0,1.5,1.25,27.3,0.0,63.0,42.0,50.4
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,321.25,2.5,7.25,5.25,26.3,0.0,128.5,44.3103,61.1905
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Private,SSS,SSS1,SSS1,74.25,1.5,1.75,1.25,28.3,0.25,49.5,42.4286,59.4
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Public,JSS,JSS1,JSS1,270.5,4.5,5.25,3.75,27.3,0.0,60.1111,51.5238,72.1333
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,840.0,7.5,18.75,13.25,26.3,0.0,112.0,44.8,63.3962
2019/2020,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,all,Public,SSS,SSS1,SSS1,160.5,3.0,3.5,2.5,28.3,0.25,53.5,45.8571,64.2
