session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.5,8.0,19.0,9.0,37.4,0.0,115.3125,48.5526,102.5
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,all,Public,SSS,SSS1,SSS1,189.5,3.5,3.75,1.75,39.4,0.25,54.1429,50.5333,108.2857
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,19.2,0.0,3.0,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,18.7,0.0,7.4,37.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,19.2,0.0,2.9,29.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.0,4.0,0.5,0.25,18.7,0.0,6.5,52.0,104.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,disabled,Public,SSS,SSS1,SSS1,4.0,1.75,0.25,0.0,19.7,0.0,2.2857,16.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Private,JSS,JSS1,JSS1,69.5,1.0,1.5,0.5,38.4,0.0,69.5,46.3333,139.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,292.25,2.5,6.0,2.75,37.4,0.0,116.9,48.7083,106.2727
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Private,SSS,SSS1,SSS1,77.75,1.5,1.75,0.75,39.4,0.25,51.8333,44.4286,103.6667
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Public,JSS,JSS1,JSS1,307.0,5.0,5.75,2.5,38.4,0.0,61.4,53.3913,122.8
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.25,8.0,19.0,9.0,37.4,0.0,115.2812,48.5395,102.4722
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,all,Public,SSS,SSS1,SSS1,185.25,3.5,3.75,1.75,39.4,0.25,52.9286,49.4,105.8571
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,19.2,0.0,3.5,7.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,18.7,0.0,7.6,38.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.5,0.25,0.0,19.2,0.0,2.8,28.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.25,4.0,0.5,0.25,18.7,0.0,6.5625,52.5,105.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Female,disabled,Public,SSS,SSS1,SSS1,3.75,1.75,0.25,0.0,19.7,0.0,2.1429,15.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Private,JSS,JSS1,JSS1,65.5,1.0,1.5,0.5,38.4,0.0,65.5,43.6667,131.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,284.75,2.5,6.0,2.75,37.4,0.0,113.9,47.4583,103.5455
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Private,SSS,SSS1,SSS1,83.25,1.5,1.75,0.75,39.4,0.25,55.5,47.5714,111.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Public,JSS,JSS1,JSS1,301.75,5.0,5.5,2.5,38.4,0.0,60.35,54.8636,120.7
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.5,8.0,19.0,9.0,37.4,0.0,115.3125,48.5526,102.5
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,all,Public,SSS,SSS1,SSS1,189.5,3.5,3.75,1.75,39.4,0.25,54.1429,50.5333,108.2857
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,19.2,0.0,3.0,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,18.7,0.0,7.4,37.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,19.2,0.0,2.9,29.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.0,4.0,0.5,0.25,18.7,0.0,6.5,52.0,104.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Comprehensive High School, Alim-Gora",Male,disabled,Public,SSS,SSS1,SSS1,4.0,1.75,0.25,0.0,19.7,0.0,2.2857,16.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Private,JSS,JSS1,JSS1,69.5,1.0,1.5,0.5,38.4,0.0,69.5,46.3333,139.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,292.25,2.5,6.0,2.75,37.4,0.0,116.9,48.7083,106.2727
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Private,SSS,SSS1,SSS1,77.75,1.5,1.75,0.75,39.4,0.25,51.8333,44.4286,103.6667
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Public,JSS,JSS1,JSS1,307.0,5.0,5.75,2.5,38.4,0.0,61.4,53.3913,122.8
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.25,8.0,19.0,9.0,37.4,0.0,115.2812,48.5395,102.4722
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,all,Public,SSS,SSS1,SSS1,185.25,3.5,3.75,1.75,39.4,0.25,52.9286,49.4,105.8571
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,19.2,0.0,3.5,7.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,18.7,0.0,7.6,38.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.5,0.25,0.0,19.2,0.0,2.8,28.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.25,4.0,0.5,0.25,18.7,0.0,6.5625,52.5,105.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Female,disabled,Public,SSS,SSS1,SSS1,3.75,1.75,0.25,0.0,19.7,0.0,2.1429,15.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Private,JSS,JSS1,JSS1,65.5,1.0,1.5,0.5,38.4,0.0,65.5,43.6667,131.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,284.75,2.5,6.0,2.75,37.4,0.0,113.9,47.4583,103.5455
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Private,SSS,SSS1,SSS1,83.25,1.5,1.75,0.75,39.4,0.25,55.5,47.5714,111.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Public,JSS,JSS1,JSS1,301.75,5.0,5.5,2.5,38.4,0.0,60.35,54.8636,120.7
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.5,8.0,19.0,9.0,37.4,0.0,115.3125,48.5526,102.5
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,all,Public,SSS,SSS1,SSS1,189.5,3.5,3.75,1.75,39.4,0.25,54.1429,50.5333,108.2857
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,19.2,0.0,3.0,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,18.7,0.0,7.4,37.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,19.2,0.0,2.9,29.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.0,4.0,0.5,0.25,18.7,0.0,6.5,52.0,104.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Government Secondary School, Alim-Gora",Male,disabled,Public,SSS,SSS1,SSS1,4.0,1.75,0.25,0.0,19.7,0.0,2.2857,16.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Private,JSS,JSS1,JSS1,69.5,1.0,1.5,0.5,38.4,0.0,69.5,46.3333,139.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,292.25,2.5,6.0,2.75,37.4,0.0,116.9,48.7083,106.2727
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Private,SSS,SSS1,SSS1,77.75,1.5,1.75,0.75,39.4,0.25,51.8333,44.4286,103.6667
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Public,JSS,JSS1,JSS1,307.0,5.0,5.75,2.5,38.4,0.0,61.4,53.3913,122.8
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.25,8.0,19.0,9.0,37.4,0.0,115.2812,48.5395,102.4722
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,all,Public,SSS,SSS1,SSS1,185.25,3.5,3.75,1.75,39.4,0.25,52.9286,49.4,105.8571
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,19.2,0.0,3.5,7.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,18.7,0.0,7.6,38.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.5,0.25,0.0,19.2,0.0,2.8,28.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.25,4.0,0.5,0.25,18.7,0.0,6.5625,52.5,105.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Female,disabled,Public,SSS,SSS1,SSS1,3.75,1.75,0.25,0.0,19.7,0.0,2.1429,15.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Private,JSS,JSS1,JSS1,65.5,1.0,1.5,0.5,38.4,0.0,65.5,43.6667,131.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,284.75,2.5,6.0,2.75,37.4,0.0,113.9,47.4583,103.5455
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Private,SSS,SSS1,SSS1,83.25,1.5,1.75,0.75,39.4,0.25,55.5,47.5714,111.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Public,JSS,JSS1,JSS1,301.75,5.0,5.5,2.5,38.4,0.0,60.35,54.8636,120.7
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,922.5,8.0,19.0,9.0,37.4,0.0,115.3125,48.5526,102.5
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,all,Public,SSS,SSS1,SSS1,189.5,3.5,3.75,1.75,39.4,0.25,54.1429,50.5333,108.2857
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,19.2,0.0,3.0,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,18.7,0.0,7.4,37.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.0,19.7,0.0,1.3333,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,19.2,0.0,2.9,29.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.0,4.0,0.5,0.25,18.7,0.0,6.5,52.0,104.0
2019/2020,North East,Taraba,Ardo-Kola,Alim-Gora,"Unity College, Ardo Kola",Male,disabled,Public,SSS,SSS1,SSS1,4.0,1.75,0.25,0.0,19.7,0.0,2.2857,16.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Private,JSS,JSS1,JSS1,75.25,1.0,1.5,0.5,38.4,0.0,75.25,50.1667,150.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,176.75,1.5,3.75,1.75,37.4,0.0,117.8333,47.1333,101.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Private,SSS,SSS1,SSS1,51.75,1.0,1.25,0.5,39.4,0.25,51.75,41.4,103.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Public,JSS,JSS1,JSS1,184.75,2.5,3.5,1.5,38.4,0.0,73.9,52.7857,123.1667
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,614.5,6.0,12.75,6.0,37.4,0.0,102.4167,48.1961,102.4167
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,all,Public,SSS,SSS1,SSS1,114.75,2.5,2.5,1.0,39.4,0.25,45.9,45.9,114.75
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,19.2,0.0,3.0,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.0,18.7,0.0,6.6667,20.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.7,0.0,2.0,4.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Public,JSS,JSS1,JSS1,3.75,1.25,0.25,0.0,19.2,0.0,3.0,15.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.75,3.0,0.5,0.25,18.7,0.0,6.9167,41.5,83.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Female,disabled,Public,SSS,SSS1,SSS1,1.5,1.25,0.25,0.0,19.7,0.0,1.2,6.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Private,JSS,JSS1,JSS1,70.25,1.0,1.5,0.5,38.4,0.0,70.25,46.8333,140.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,170.5,1.5,3.75,1.75,37.4,0.0,113.6667,45.4667,97.4286
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Private,SSS,SSS1,SSS1,53.75,1.0,1.25,0.5,39.4,0.25,53.75,43.0,107.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Public,JSS,JSS1,JSS1,164.75,2.5,3.25,1.5,38.4,0.0,65.9,50.6923,109.8333
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,644.75,6.0,13.5,6.5,37.4,0.0,107.4583,47.7593,99.1923
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,all,Public,SSS,SSS1,SSS1,136.0,2.5,2.75,1.25,39.4,0.25,54.4,49.4545,108.8
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Private,JSS,JSS1,JSS1,2.0,0.5,0.25,0.0,19.2,0.0,4.0,8.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.75,0.75,0.25,0.0,18.7,0.0,6.3333,19.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,19.7,0.0,2.5,5.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Public,JSS,JSS1,JSS1,3.5,1.25,0.25,0.0,19.2,0.0,2.8,14.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.75,3.0,0.5,0.25,18.7,0.0,7.25,43.5,87.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Community Secondary School, Ardo Kola",Male,disabled,Public,SSS,SSS1,SSS1,1.75,1.25,0.25,0.0,19.7,0.0,1.4,7.0,0.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,Private,JSS,JSS1,JSS1,75.25,1.0,1.5,0.5,38.4,0.0,75.25,50.1667,150.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,176.75,1.5,3.75,1.75,37.4,0.0,117.8333,47.1333,101.0
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,Private,SSS,SSS1,SSS1,51.75,1.0,1.25,0.5,39.4,0.25,51.75,41.4,103.5
2019/2020,North East,Taraba,Ardo-Kola,Ardo Kola,"Comprehensive High School, Ardo Kola",Female,all,Public,JSS,JSS1,JSS1,184.75,2.5,3.5,1.5,38.4,0.0,73.9,52.7857,123.1667
