session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability,pupil_teacher_ratio
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,,,Unqualified,1580,24,ALL,28.1316
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,1501,23,ALL,28.2222
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,,NCE,Qualified,3003,46,ALL,28.2222
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,2291,35,ALL,28.1818
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 2,PGDE,Qualified,2132,33,ALL,28.2941
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 3,PGDE,Qualified,2212,34,ALL,28.2453
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1974,30,ALL,28.4255
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,2291,35,ALL,28.1818
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1658,26,ALL,28.05
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,SSS,,Grade II or Equivalent,Unqualified,398,6,ALL,29.8889
2022/2023,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Unity College, Bonny",Male,Public,SSS,,PGDE,Qualified,817,11,ALL,30.7222
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,JSS,,BEd or Equivalent,Qualified,646,8,ALL,33.6154
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,JSS,,NCE,Qualified,1290,17,ALL,32.3333
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,SSS,,,Unqualified,211,3,ALL,28.6
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,SSS,,BEd or Equivalent,Qualified,591,8,ALL,30.7692
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,SSS,,PGDE,Qualified,443,6,ALL,30.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,Public,JSS,,NCE,Qualified,590,8,ALL,33.25
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,Public,JSS,,PGDE,Qualified,1281,17,ALL,32.1111
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,Public,SSS,,Grade II or Equivalent,Unqualified,795,11,ALL,31.6471
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Community Secondary School, Ward III Dan Jumbo/ Beresiri",Male,Public,SSS,,PGDE,Qualified,491,7,ALL,30.1818
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Adult & Non-Formal Education,,,Unqualified,100,1,ALL,34.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,34,1,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,84,1,ALL,28.5
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,34,1,ALL,23.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,JSS,,BEd or Equivalent,Qualified,439,6,ALL,33.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,JSS,,NCE,Qualified,516,7,ALL,31.7273
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,JSS,,PGDE,Qualified,516,7,ALL,31.7273
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,1900,29,ALL,27.9565
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 2,,Unqualified,2047,31,ALL,28.2653
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 3,,Unqualified,1827,28,ALL,28.0909
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1534,24,ALL,28.0541
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1389,21,ALL,28.4848
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,1462,22,ALL,28.2571
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,SSS,,BEd or Equivalent,Qualified,191,3,ALL,32.25
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,SSS,,Grade II or Equivalent,Unqualified,359,5,ALL,30.375
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,SSS,,MEd or Equivalent,Qualified,127,2,ALL,28.6667
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,SSS,,NCE,Qualified,168,3,ALL,28.5
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Female,Private,SSS,,PGDE,Qualified,148,2,ALL,33.3333
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,53,1,ALL,18.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,106,3,ALL,18.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,53,1,ALL,18.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,106,3,ALL,18.0
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,JSS,,,Unqualified,154,2,ALL,34.6667
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,JSS,,BEd or Equivalent,Qualified,845,11,ALL,33.6471
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,JSS,,Grade II or Equivalent,Unqualified,359,4,ALL,34.7143
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,1660,26,ALL,28.075
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1896,29,ALL,28.5111
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,1816,28,ALL,27.9318
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,1343,20,ALL,28.4062
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,1343,20,ALL,28.4062
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1501,23,ALL,28.2222
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,SSS,,Grade II or Equivalent,Unqualified,327,4,ALL,31.5714
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,SSS,,NCE,Qualified,374,5,ALL,31.625
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Comprehensive High School, Ward III Dan Jumbo/ Beresiri",Male,Private,SSS,,PGDE,Qualified,350,5,ALL,29.625
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Government Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,152,3,ALL,25.75
2022/2023,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,"Government Secondary School, Ward III Dan Jumbo/ Beresiri",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,136,3,ALL,23.0
