lga_key,lga,state_key,state,zone
zaria,Zaria,kaduna,Kaduna,North West
jemaa,Jema'A,kaduna,Kaduna,North West
soba,Soba,kaduna,Kaduna,North West
kano-municipal,Kano Municipal,kano,Kano,North West
fagge,Fagge,kano,Kano,North West
dala,Dala,kano,Kano,North West
nasarawa,Nasarawa,kano,Kano,North West
gwale,Gwale,kano,Kano,North West
katsina,Katsina,katsina,Katsina,North West
daura,Daura,katsina,Katsina,North West
funtua,Funtua,katsina,Katsina,North West
mashi,Mashi,katsina,Katsina,North West
dutsinma,Dutsin Ma,katsina,Katsina,North West
birnin-kebbi,Birnin Kebbi,kebbi,Kebbi,North West
argungu,Argungu,kebbi,Kebbi,North West
yauri,Yauri,kebbi,Kebbi,North West
zuru,Zuru,kebbi,Kebbi,North West
kalgo,Kalgo,kebbi,Kebbi,North West
sokoto-north,Sokoto North,sokoto,Sokoto,North West
sokoto-south,Sokoto South,sokoto,Sokoto,North West
tambuwal,Tambuwal,sokoto,Sokoto,North West
bodinga,Bodinga,sokoto,Sokoto,North West
wamako,Wamakko,sokoto,Sokoto,North West
gusau,Gusau,zamfara,Zamfara,North West
kaura-namoda,Kaura Namoda,zamfara,Zamfara,North West
talata-mafara,Talata Mafara,zamfara,Zamfara,North West
maru,Maru,zamfara,Zamfara,North West
bungudu,Bungudu,zamfara,Zamfara,North West
aba-north,Aba North,abia,Abia,South East
aba-south,Aba South,abia,Abia,South East
umuahia-north,Umuahia North,abia,Abia,South East
umuahia-south,Umuahia South,abia,Abia,South East
arochukwu,Arochukwu,abia,Abia,South East
awka-north,Awka North,anambra,Anambra,South East
awka-south,Awka South,anambra,Anambra,South East
onitsha-north,Onitsha North,anambra,Anambra,South East
onitsha-south,Onitsha South,anambra,Anambra,South East
nnewi-north,Nnewi North,anambra,Anambra,South East
abakaliki,Abakaliki,ebonyi,Ebonyi,South East
afikpo-north,Afikpo North,ebonyi,Ebonyi,South East
afikpo-south,Afikpo South,ebonyi,Ebonyi,South East
ezza-north,Ezza North,ebonyi,Ebonyi,South East
ohaozara,Ohaozara,ebonyi,Ebonyi,South East
owerri-north,Owerri North,imo,Imo,South East
owerri-west,Owerri West,imo,Imo,South East
orlu,Orlu,imo,Imo,South East
okigwe,Okigwe,imo,Imo,South East
aboh-mbaise,Aboh-Mbaise,imo,Imo,South East
uyo,Uyo,akwa-ibom,Akwa Ibom,South South
eket,Eket,akwa-ibom,Akwa Ibom,South South
ikot-ekpene,Ikot Ekpene,akwa-ibom,Akwa Ibom,South South
oron,Oron,akwa-ibom,Akwa Ibom,South South
abak,Abak,akwa-ibom,Akwa Ibom,South South
yenagoa,Yenegoa,bayelsa,Bayelsa,South South
brass,Brass,bayelsa,Bayelsa,South South
kolokuma-opokuma,Kolokuma/Opokuma,bayelsa,Bayelsa,South South
nembe,Nembe,bayelsa,Bayelsa,South South
ogbia,Ogbia,bayelsa,Bayelsa,South South
calabar-municipal,Calabar Municipal,cross-river,Cross River,South South
calabar-south,Calabar South,cross-river,Cross River,South South
abi,Abi,cross-river,Cross River,South South
bekwarra,Bekwarra,cross-river,Cross River,South South
ogoja,Ogoja,cross-river,Cross River,South South
oshimili-south,Oshimili South,delta,Delta,South South
warri-north,Warri North,delta,Delta,South South
warri-south,Warri South,delta,Delta,South South
uvwie,Uvwie,delta,Delta,South South
oshimili-north,Oshimili North,delta,Delta,South South
oredo,Oredo,edo,Edo,South South
owan-east,Owan East,edo,Edo,South South
esan-central,Esan Central,edo,Edo,South South
etsako-west,Etsako West,edo,Edo,South South
port-harcourt,Port-Harcourt,rivers,Rivers,South South
obio-akpor,Obio/Akpor,rivers,Rivers,South South
okrika,Okrika,rivers,Rivers,South South
eleme,Eleme,rivers,Rivers,South South
bonny,Bonny,rivers,Rivers,South South
ado-ekiti,Ado-Ekiti,ekiti,Ekiti,South West
ijero,Ijero,ekiti,Ekiti,South West
efon,Efon,ekiti,Ekiti,South West
emure,Emure,ekiti,Ekiti,South West
gbonyin,Gbonyin,ekiti,Ekiti,South West
lagos-island,Lagos Island,lagos,Lagos,South West
ikeja,Ikeja,lagos,Lagos,South West
surulere,Surulere,lagos,Lagos,South West
alimosho,Alimosho,lagos,Lagos,South West
kosofe,Kosofe,lagos,Lagos,South West
abeokuta-north,Abeokuta North,ogun,Ogun,South West
abeokuta-south,Abeokuta South,ogun,Ogun,South West
ijebu-ode,Ijebu Ode,ogun,Ogun,South West
sagamu,Shagamu,ogun,Ogun,South West
remo-north,Remo North,ogun,Ogun,South West
osogbo,Osogbo,osun,Osun,South West
ife-central,Ife Central,osun,Osun,South West
ilesha-east,Ilesha East,osun,Osun,South West
ilesha-west,Ilesha West,osun,Osun,South West
ede-north,Ede North,osun,Osun,South West
ibadan-north,Ibadan North,oyo,Oyo,South West
ibadan-south,Ibadan South West,oyo,Oyo,South West
ogbomosho-north,Ogbomosho North,oyo,Oyo,South West
oyo-east,Oyo East,oyo,Oyo,South West
saki-east,Saki East,oyo,Oyo,South West
auyo,Auyo,jigawa,Jigawa,North West
babura,Babura,jigawa,Jigawa,North West
birnin-kudu,Birnin-Kudu,jigawa,Jigawa,North West
birniwa,Birniwa,jigawa,Jigawa,North West
buji,Buji,jigawa,Jigawa,North West
dutse,Dutse,jigawa,Jigawa,North West
gagarawa,Gagarawa,jigawa,Jigawa,North West
garki,Garki,jigawa,Jigawa,North West
gumel,Gumel,jigawa,Jigawa,North West
guri,Guri,jigawa,Jigawa,North West
gwaram,Gwaram,jigawa,Jigawa,North West
gwiwa,Gwiwa,jigawa,Jigawa,North West
hadejia,Hadejia,jigawa,Jigawa,North West
jahun,Jahun,jigawa,Jigawa,North West
kafin-hausa,Kafin-Hausa,jigawa,Jigawa,North West
kaugawa,Kaugawa,jigawa,Jigawa,North West
kazaure,Kazaure,jigawa,Jigawa,North West
kirikasamma,Kirikasamma,jigawa,Jigawa,North West
kiyawa,Kiyawa,jigawa,Jigawa,North West
maigatari,Maigatari,jigawa,Jigawa,North West
malam-madori,Malam-Madori,jigawa,Jigawa,North West
miga,Miga,jigawa,Jigawa,North West
ringim,Ringim,jigawa,Jigawa,North West
roni,Roni,jigawa,Jigawa,North West
sule-tankarkar,Sule-Tankarkar,jigawa,Jigawa,North West
taura,Taura,jigawa,Jigawa,North West
yankwashi,Yankwashi,jigawa,Jigawa,North West
alkaleri,Alkaleri,bauchi,Bauchi,North East
bauchi,Bauchi,bauchi,Bauchi,North East
bogoro,Bogoro,bauchi,Bauchi,North East
damban,Damban,bauchi,Bauchi,North East
darazo,Darazo,bauchi,Bauchi,North East
dass,Dass,bauchi,Bauchi,North East
gamawa,Gamawa,bauchi,Bauchi,North East
ganjuwa,Ganjuwa,bauchi,Bauchi,North East
giade,Giade,bauchi,Bauchi,North East
itas-gadau,Itas/Gadau,bauchi,Bauchi,North East
jama-are,Jama'Are,bauchi,Bauchi,North East
katagum,Katagum,bauchi,Bauchi,North East
kirfi,Kirfi,bauchi,Bauchi,North East
misau,Misau,bauchi,Bauchi,North East
ningi,Ningi,bauchi,Bauchi,North East
shira,Shira,bauchi,Bauchi,North East
tafawa-balewa,Tafawa-Balewa,bauchi,Bauchi,North East
toro,Toro,bauchi,Bauchi,North East
warji,Warji,bauchi,Bauchi,North East
zaki,Zaki,bauchi,Bauchi,North East
enugu-aninri,Aninri,enugu,Enugu,South East
enugu-awgu,Awgu,enugu,Enugu,South East
enugu-enugu-east,Enugu East,enugu,Enugu,South East
enugu-enugu-north,Enugu North,enugu,Enugu,South East
enugu-enugu-south,Enugu South,enugu,Enugu,South East
enugu-ezeagu,Ezeagu,enugu,Enugu,South East
enugu-igbo-etiti,Igbo-Etiti,enugu,Enugu,South East
enugu-igbo-eze-north,Igbo-Eze North,enugu,Enugu,South East
enugu-igbo-eze-south,Igbo-Eze South,enugu,Enugu,South East
enugu-isi-uzo,Isi-Uzo,enugu,Enugu,South East
enugu-nkanu-east,Nkanu East,enugu,Enugu,South East
enugu-nkanu-west,Nkanu West,enugu,Enugu,South East
enugu-nsukka,Nsukka,enugu,Enugu,South East
enugu-oji-river,Oji River,enugu,Enugu,South East
enugu-udenu,Udenu,enugu,Enugu,South East
enugu-udi,Udi,enugu,Enugu,South East
enugu-uzo-uwani,Uzo-Uwani,enugu,Enugu,South East
borno-abadam,Abadam,borno,Borno,North East
borno-askira-uba,Askira/Uba,borno,Borno,North East
borno-bama,Bama,borno,Borno,North East
borno-bayo,Bayo,borno,Borno,North East
borno-biu,Biu,borno,Borno,North East
borno-chibok,Chibok,borno,Borno,North East
borno-damboa,Damboa,borno,Borno,North East
borno-dikwa,Dikwa,borno,Borno,North East
borno-gubio,Gubio,borno,Borno,North East
borno-guzamala,Guzamala,borno,Borno,North East
borno-gwoza,Gwoza,borno,Borno,North East
borno-hawul,Hawul,borno,Borno,North East
borno-jere,Jere,borno,Borno,North East
borno-kaga,Kaga,borno,Borno,North East
borno-kala-balge,Kala/Balge,borno,Borno,North East
borno-konduga,Konduga,borno,Borno,North East
borno-kukawa,Kukawa,borno,Borno,North East
borno-kwaya-kusar,Kwaya Kusar,borno,Borno,North East
borno-mafa,Mafa,borno,Borno,North East
borno-magumeri,Magumeri,borno,Borno,North East
borno-maiduguri,Maiduguri,borno,Borno,North East
borno-marte,Marte,borno,Borno,North East
borno-mobbar,Mobbar,borno,Borno,North East
borno-monguno,Monguno,borno,Borno,North East
borno-ngala,Ngala,borno,Borno,North East
borno-nganzai,Nganzai,borno,Borno,North East
borno-shani,Shani,borno,Borno,North East
ondo-akoko-north-east,Akoko North East,ondo,Ondo,South West
ondo-akoko-north-west,Akoko North West,ondo,Ondo,South West
ondo-akoko-south-east,Akoko South East,ondo,Ondo,South West
ondo-akoko-south-west,Akoko South West,ondo,Ondo,South West
ondo-akure-north,Akure North,ondo,Ondo,South West
ondo-akure-south,Akure South,ondo,Ondo,South West
ondo-ese-odo,Ese Odo,ondo,Ondo,South West
ondo-idanre,Idanre,ondo,Ondo,South West
ondo-ifedore,Ifedore,ondo,Ondo,South West
ondo-ilaje,Ilaje,ondo,Ondo,South West
ondo-ile-oluji-okeigbo,Ile-Oluji/Okeigbo,ondo,Ondo,South West
ondo-irele,Irele,ondo,Ondo,South West
ondo-odigbo,Odigbo,ondo,Ondo,South West
ondo-okitipupa,Okitipupa,ondo,Ondo,South West
ondo-ondo-east,Ondo East,ondo,Ondo,South West
ondo-ondo-west,Ondo West,ondo,Ondo,South West
ondo-ose,Ose,ondo,Ondo,South West
ondo-owo,Owo,ondo,Ondo,South West
