school_key,school,ward_key,ward,lga_key,lga,state_key,state,zone,ownership,school_level
benue-makurdi-agan-school-1,"Government Secondary School, Agan",benue-makurdi-agan,Agan,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-agan-school-2,"Community Secondary School, Agan",benue-makurdi-agan,Agan,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-agan-school-3,"Unity College, Makurdi",benue-makurdi-agan,Agan,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-agan-school-4,"Comprehensive High School, Agan",benue-makurdi-agan,Agan,makurdi,Makurdi,benue,Benue,North Central,Private,Secondary
benue-makurdi-ankpawadata-school-1,"Government Secondary School, Ankpa/Wadata",benue-makurdi-ankpawadata,Ankpa/Wadata,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-ankpawadata-school-2,"Community Secondary School, Ankpa/Wadata",benue-makurdi-ankpawadata,Ankpa/Wadata,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-ankpawadata-school-3,"Unity College, Makurdi",benue-makurdi-ankpawadata,Ankpa/Wadata,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-ankpawadata-school-4,"Comprehensive High School, Ankpa/Wadata",benue-makurdi-ankpawadata,Ankpa/Wadata,makurdi,Makurdi,benue,Benue,North Central,Private,Secondary
benue-makurdi-bar-school-1,"Government Secondary School, Bar",benue-makurdi-bar,Bar,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-bar-school-2,"Community Secondary School, Bar",benue-makurdi-bar,Bar,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-bar-school-3,"Unity College, Makurdi",benue-makurdi-bar,Bar,makurdi,Makurdi,benue,Benue,North Central,Public,Secondary
benue-makurdi-bar-school-4,"Comprehensive High School, Bar",benue-makurdi-bar,Bar,makurdi,Makurdi,benue,Benue,North Central,Private,Secondary
benue-otukpo-adoka-haje-school-1,"Government Secondary School, Adoka-Haje",benue-otukpo-adoka-haje,Adoka-Haje,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-haje-school-2,"Community Secondary School, Adoka-Haje",benue-otukpo-adoka-haje,Adoka-Haje,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-haje-school-3,"Unity College, Otukpo",benue-otukpo-adoka-haje,Adoka-Haje,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-haje-school-4,"Comprehensive High School, Adoka-Haje",benue-otukpo-adoka-haje,Adoka-Haje,otukpo,Oturkpo,benue,Benue,North Central,Private,Secondary
benue-otukpo-adoka-icho-school-1,"Government Secondary School, Adoka-Icho",benue-otukpo-adoka-icho,Adoka-Icho,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-icho-school-2,"Community Secondary School, Adoka-Icho",benue-otukpo-adoka-icho,Adoka-Icho,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-icho-school-3,"Unity College, Otukpo",benue-otukpo-adoka-icho,Adoka-Icho,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-adoka-icho-school-4,"Comprehensive High School, Adoka-Icho",benue-otukpo-adoka-icho,Adoka-Icho,otukpo,Oturkpo,benue,Benue,North Central,Private,Secondary
benue-otukpo-allan-school-1,"Government Secondary School, Allan",benue-otukpo-allan,Allan,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-allan-school-2,"Community Secondary School, Allan",benue-otukpo-allan,Allan,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-allan-school-3,"Unity College, Otukpo",benue-otukpo-allan,Allan,otukpo,Oturkpo,benue,Benue,North Central,Public,Secondary
benue-otukpo-allan-school-4,"Comprehensive High School, Allan",benue-otukpo-allan,Allan,otukpo,Oturkpo,benue,Benue,North Central,Private,Secondary
benue-katsina-ala-ikurav-tiev-i-school-1,"Government Secondary School, Ikurav Tiev I",benue-katsina-ala-ikurav-tiev-i,Ikurav Tiev I,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-i-school-2,"Community Secondary School, Ikurav Tiev I",benue-katsina-ala-ikurav-tiev-i,Ikurav Tiev I,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-i-school-3,"Unity College, Katsina-Ala",benue-katsina-ala-ikurav-tiev-i,Ikurav Tiev I,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-i-school-4,"Comprehensive High School, Ikurav Tiev I",benue-katsina-ala-ikurav-tiev-i,Ikurav Tiev I,katsina-ala,Katsina-Ala,benue,Benue,North Central,Private,Secondary
benue-katsina-ala-ikurav-tiev-ii-school-1,"Government Secondary School, Ikurav Tiev II",benue-katsina-ala-ikurav-tiev-ii,Ikurav Tiev II,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-ii-school-2,"Community Secondary School, Ikurav Tiev II",benue-katsina-ala-ikurav-tiev-ii,Ikurav Tiev II,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-ii-school-3,"Unity College, Katsina-Ala",benue-katsina-ala-ikurav-tiev-ii,Ikurav Tiev II,katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-ikurav-tiev-ii-school-4,"Comprehensive High School, Ikurav Tiev II",benue-katsina-ala-ikurav-tiev-ii,Ikurav Tiev II,katsina-ala,Katsina-Ala,benue,Benue,North Central,Private,Secondary
benue-katsina-ala-iwar-tongov-i-school-1,"Government Secondary School, Iwar(Tongov I)",benue-katsina-ala-iwar-tongov-i,Iwar(Tongov I),katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-iwar-tongov-i-school-2,"Community Secondary School, Iwar(Tongov I)",benue-katsina-ala-iwar-tongov-i,Iwar(Tongov I),katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-iwar-tongov-i-school-3,"Unity College, Katsina-Ala",benue-katsina-ala-iwar-tongov-i,Iwar(Tongov I),katsina-ala,Katsina-Ala,benue,Benue,North Central,Public,Secondary
benue-katsina-ala-iwar-tongov-i-school-4,"Comprehensive High School, Iwar(Tongov I)",benue-katsina-ala-iwar-tongov-i,Iwar(Tongov I),katsina-ala,Katsina-Ala,benue,Benue,North Central,Private,Secondary
benue-vandeikya-mbadede-school-1,"Government Secondary School, Mbadede",benue-vandeikya-mbadede,Mbadede,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbadede-school-2,"Community Secondary School, Mbadede",benue-vandeikya-mbadede,Mbadede,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbadede-school-3,"Unity College, Vandeikya",benue-vandeikya-mbadede,Mbadede,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbadede-school-4,"Comprehensive High School, Mbadede",benue-vandeikya-mbadede,Mbadede,vandeikya,Vandeikya,benue,Benue,North Central,Private,Secondary
benue-vandeikya-mbagbam-school-1,"Government Secondary School, Mbagbam",benue-vandeikya-mbagbam,Mbagbam,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbam-school-2,"Community Secondary School, Mbagbam",benue-vandeikya-mbagbam,Mbagbam,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbam-school-3,"Unity College, Vandeikya",benue-vandeikya-mbagbam,Mbagbam,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbam-school-4,"Comprehensive High School, Mbagbam",benue-vandeikya-mbagbam,Mbagbam,vandeikya,Vandeikya,benue,Benue,North Central,Private,Secondary
benue-vandeikya-mbagbera-school-1,"Government Secondary School, Mbagbera",benue-vandeikya-mbagbera,Mbagbera,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbera-school-2,"Community Secondary School, Mbagbera",benue-vandeikya-mbagbera,Mbagbera,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbera-school-3,"Unity College, Vandeikya",benue-vandeikya-mbagbera,Mbagbera,vandeikya,Vandeikya,benue,Benue,North Central,Public,Secondary
benue-vandeikya-mbagbera-school-4,"Comprehensive High School, Mbagbera",benue-vandeikya-mbagbera,Mbagbera,vandeikya,Vandeikya,benue,Benue,North Central,Private,Secondary
federal-capital-territory-abuja-municipal-area-council-city-centre-school-1,"Government Secondary School, City Centre",federal-capital-territory-abuja-municipal-area-council-city-centre,City Centre,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-city-centre-school-2,"Community Secondary School, City Centre",federal-capital-territory-abuja-municipal-area-council-city-centre,City Centre,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-city-centre-school-3,"Unity College, Abuja Municipal",federal-capital-territory-abuja-municipal-area-council-city-centre,City Centre,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-city-centre-school-4,"Comprehensive High School, City Centre",federal-capital-territory-abuja-municipal-area-council-city-centre,City Centre,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-abuja-municipal-area-council-garki-school-1,"Government Secondary School, Garki",federal-capital-territory-abuja-municipal-area-council-garki,Garki,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-garki-school-2,"Community Secondary School, Garki",federal-capital-territory-abuja-municipal-area-council-garki,Garki,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-garki-school-3,"Unity College, Abuja Municipal",federal-capital-territory-abuja-municipal-area-council-garki,Garki,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-garki-school-4,"Comprehensive High School, Garki",federal-capital-territory-abuja-municipal-area-council-garki,Garki,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-abuja-municipal-area-council-gui-school-1,"Government Secondary School, Gui",federal-capital-territory-abuja-municipal-area-council-gui,Gui,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-gui-school-2,"Community Secondary School, Gui",federal-capital-territory-abuja-municipal-area-council-gui,Gui,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-gui-school-3,"Unity College, Abuja Municipal",federal-capital-territory-abuja-municipal-area-council-gui,Gui,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-abuja-municipal-area-council-gui-school-4,"Comprehensive High School, Gui",federal-capital-territory-abuja-municipal-area-council-gui,Gui,abuja-municipal-area-council,Municipal Area Council,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-bwari-bwari-central-school-1,"Government Secondary School, Bwari Central",federal-capital-territory-bwari-bwari-central,Bwari Central,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-bwari-central-school-2,"Community Secondary School, Bwari Central",federal-capital-territory-bwari-bwari-central,Bwari Central,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-bwari-central-school-3,"Unity College, Bwari",federal-capital-territory-bwari-bwari-central,Bwari Central,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-bwari-central-school-4,"Comprehensive High School, Bwari Central",federal-capital-territory-bwari-bwari-central,Bwari Central,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-bwari-byazhin-school-1,"Government Secondary School, Byazhin",federal-capital-territory-bwari-byazhin,Byazhin,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-byazhin-school-2,"Community Secondary School, Byazhin",federal-capital-territory-bwari-byazhin,Byazhin,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-byazhin-school-3,"Unity College, Bwari",federal-capital-territory-bwari-byazhin,Byazhin,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-byazhin-school-4,"Comprehensive High School, Byazhin",federal-capital-territory-bwari-byazhin,Byazhin,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-bwari-dutse-alhaji-school-1,"Government Secondary School, Dutse Alhaji",federal-capital-territory-bwari-dutse-alhaji,Dutse Alhaji,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-dutse-alhaji-school-2,"Community Secondary School, Dutse Alhaji",federal-capital-territory-bwari-dutse-alhaji,Dutse Alhaji,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-dutse-alhaji-school-3,"Unity College, Bwari",federal-capital-territory-bwari-dutse-alhaji,Dutse Alhaji,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-bwari-dutse-alhaji-school-4,"Comprehensive High School, Dutse Alhaji",federal-capital-territory-bwari-dutse-alhaji,Dutse Alhaji,bwari,Bwari,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-gwagwalada-dobi-school-1,"Government Secondary School, Dobi",federal-capital-territory-gwagwalada-dobi,Dobi,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-dobi-school-2,"Community Secondary School, Dobi",federal-capital-territory-gwagwalada-dobi,Dobi,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-dobi-school-3,"Unity College, Gwagwalada",federal-capital-territory-gwagwalada-dobi,Dobi,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-dobi-school-4,"Comprehensive High School, Dobi",federal-capital-territory-gwagwalada-dobi,Dobi,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-gwagwalada-gwagwalada-centre-school-1,"Government Secondary School, Gwagwalada Centre",federal-capital-territory-gwagwalada-gwagwalada-centre,Gwagwalada Centre,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwagwalada-centre-school-2,"Community Secondary School, Gwagwalada Centre",federal-capital-territory-gwagwalada-gwagwalada-centre,Gwagwalada Centre,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwagwalada-centre-school-3,"Unity College, Gwagwalada",federal-capital-territory-gwagwalada-gwagwalada-centre,Gwagwalada Centre,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwagwalada-centre-school-4,"Comprehensive High School, Gwagwalada Centre",federal-capital-territory-gwagwalada-gwagwalada-centre,Gwagwalada Centre,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-gwagwalada-gwako-school-1,"Government Secondary School, Gwako",federal-capital-territory-gwagwalada-gwako,Gwako,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwako-school-2,"Community Secondary School, Gwako",federal-capital-territory-gwagwalada-gwako,Gwako,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwako-school-3,"Unity College, Gwagwalada",federal-capital-territory-gwagwalada-gwako,Gwako,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-gwagwalada-gwako-school-4,"Comprehensive High School, Gwako",federal-capital-territory-gwagwalada-gwako,Gwako,gwagwalada,Gwagwalada,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kuje-chibiri-school-1,"Government Secondary School, Chibiri",federal-capital-territory-kuje-chibiri,Chibiri,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-chibiri-school-2,"Community Secondary School, Chibiri",federal-capital-territory-kuje-chibiri,Chibiri,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-chibiri-school-3,"Unity College, Kuje",federal-capital-territory-kuje-chibiri,Chibiri,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-chibiri-school-4,"Comprehensive High School, Chibiri",federal-capital-territory-kuje-chibiri,Chibiri,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kuje-gaube-school-1,"Government Secondary School, Gaube",federal-capital-territory-kuje-gaube,Gaube,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gaube-school-2,"Community Secondary School, Gaube",federal-capital-territory-kuje-gaube,Gaube,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gaube-school-3,"Unity College, Kuje",federal-capital-territory-kuje-gaube,Gaube,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gaube-school-4,"Comprehensive High School, Gaube",federal-capital-territory-kuje-gaube,Gaube,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kuje-gudun-karya-school-1,"Government Secondary School, Gudun Karya",federal-capital-territory-kuje-gudun-karya,Gudun Karya,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gudun-karya-school-2,"Community Secondary School, Gudun Karya",federal-capital-territory-kuje-gudun-karya,Gudun Karya,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gudun-karya-school-3,"Unity College, Kuje",federal-capital-territory-kuje-gudun-karya,Gudun Karya,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kuje-gudun-karya-school-4,"Comprehensive High School, Gudun Karya",federal-capital-territory-kuje-gudun-karya,Gudun Karya,kuje,Kuje,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kwali-ashara-school-1,"Government Secondary School, Ashara",federal-capital-territory-kwali-ashara,Ashara,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-ashara-school-2,"Community Secondary School, Ashara",federal-capital-territory-kwali-ashara,Ashara,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-ashara-school-3,"Unity College, Kwali",federal-capital-territory-kwali-ashara,Ashara,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-ashara-school-4,"Comprehensive High School, Ashara",federal-capital-territory-kwali-ashara,Ashara,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kwali-dafa-school-1,"Government Secondary School, Dafa",federal-capital-territory-kwali-dafa,Dafa,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-dafa-school-2,"Community Secondary School, Dafa",federal-capital-territory-kwali-dafa,Dafa,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-dafa-school-3,"Unity College, Kwali",federal-capital-territory-kwali-dafa,Dafa,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-dafa-school-4,"Comprehensive High School, Dafa",federal-capital-territory-kwali-dafa,Dafa,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
federal-capital-territory-kwali-gumbo-school-1,"Government Secondary School, Gumbo",federal-capital-territory-kwali-gumbo,Gumbo,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-gumbo-school-2,"Community Secondary School, Gumbo",federal-capital-territory-kwali-gumbo,Gumbo,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-gumbo-school-3,"Unity College, Kwali",federal-capital-territory-kwali-gumbo,Gumbo,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Public,Secondary
federal-capital-territory-kwali-gumbo-school-4,"Comprehensive High School, Gumbo",federal-capital-territory-kwali-gumbo,Gumbo,kwali,Kwali,federal-capital-territory,Abuja Federal Capital Territory,North Central,Private,Secondary
kogi-lokoja-eggan-school-1,"Government Secondary School, Eggan",kogi-lokoja-eggan,Eggan,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-eggan-school-2,"Community Secondary School, Eggan",kogi-lokoja-eggan,Eggan,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-eggan-school-3,"Unity College, Lokoja",kogi-lokoja-eggan,Eggan,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-eggan-school-4,"Comprehensive High School, Eggan",kogi-lokoja-eggan,Eggan,lokoja,Lokoja,kogi,Kogi,North Central,Private,Secondary
kogi-lokoja-kakanda-school-1,"Government Secondary School, Kakanda",kogi-lokoja-kakanda,Kakanda,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kakanda-school-2,"Community Secondary School, Kakanda",kogi-lokoja-kakanda,Kakanda,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kakanda-school-3,"Unity College, Lokoja",kogi-lokoja-kakanda,Kakanda,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kakanda-school-4,"Comprehensive High School, Kakanda",kogi-lokoja-kakanda,Kakanda,lokoja,Lokoja,kogi,Kogi,North Central,Private,Secondary
kogi-lokoja-kupa-north-east-school-1,"Government Secondary School, Kupa North East",kogi-lokoja-kupa-north-east,Kupa North East,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kupa-north-east-school-2,"Community Secondary School, Kupa North East",kogi-lokoja-kupa-north-east,Kupa North East,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kupa-north-east-school-3,"Unity College, Lokoja",kogi-lokoja-kupa-north-east,Kupa North East,lokoja,Lokoja,kogi,Kogi,North Central,Public,Secondary
kogi-lokoja-kupa-north-east-school-4,"Comprehensive High School, Kupa North East",kogi-lokoja-kupa-north-east,Kupa North East,lokoja,Lokoja,kogi,Kogi,North Central,Private,Secondary
kogi-okene-abugaozuja-school-1,"Government Secondary School, Abuga/Ozuja",kogi-okene-abugaozuja,Abuga/Ozuja,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-abugaozuja-school-2,"Community Secondary School, Abuga/Ozuja",kogi-okene-abugaozuja,Abuga/Ozuja,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-abugaozuja-school-3,"Unity College, Okene",kogi-okene-abugaozuja,Abuga/Ozuja,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-abugaozuja-school-4,"Comprehensive High School, Abuga/Ozuja",kogi-okene-abugaozuja,Abuga/Ozuja,okene,Okene,kogi,Kogi,North Central,Private,Secondary
kogi-okene-bariki-school-1,"Government Secondary School, Bariki",kogi-okene-bariki,Bariki,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-bariki-school-2,"Community Secondary School, Bariki",kogi-okene-bariki,Bariki,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-bariki-school-3,"Unity College, Okene",kogi-okene-bariki,Bariki,okene,Okene,kogi,Kogi,North Central,Public,Secondary
kogi-okene-bariki-school-4,"Comprehensive High School, Bariki",kogi-okene-bariki,Bariki,okene,Okene,kogi,Kogi,North Central,Private,Secondary
kogi-okene-idoji-school-1,"Government Secondary School, Idoji",kogi-okene-idoji,Idoji,okene,Okene,kogi,Kogi,North Central,Public,Secondary
