ZONE,STATE,LGA
SOUTH-EAST,ANAMBRA,IDEMILI NORTH
SOUTH-EAST,ANAMBRA,IDEMILI SOUTH
SOUTH-EAST,ANAMBRA,IHIALA
SOUTH-EAST,ANAMBRA,NJIKOKA
SOUTH-EAST,ANAMBRA,NNEWI NORTH
SOUTH-EAST,ANAMBRA,NNEWI SOUTH
SOUTH-EAST,ANAMBRA,OGBARU
SOUTH-EAST,ANAMBRA,ONITSHA NORTH
SOUTH-EAST,ANAMBRA,ONITSHA SOUTH
SOUTH-EAST,ANAMBRA,ORUMBA NORTH
SOUTH-EAST,ANAMBRA,ORUMBA SOUTH
SOUTH-EAST,ANAMBRA,OYI
SOUTH-EAST,IMO,ABOH MBAISE
SOUTH-EAST,IMO,AHIAZU MBAISE
SOUTH-EAST,IMO,EHIME MBANO
SOUTH-EAST,IMO,EZINIHITTE
SOUTH-EAST,IMO,IDEATO NORTH
SOUTH-EAST,IMO,IDEATO SOUTH
SOUTH-EAST,IMO,IHITTE/UBOMA
SOUTH-EAST,IMO,IKEDURU
SOUTH-EAST,IMO,ISIALA MBANO
SOUTH-EAST,IMO,ISU
SOUTH-EAST,IMO,MBAITOLI
SOUTH-EAST,IMO,NGOR OKPALA
SOUTH-EAST,IMO,NJIBA
SOUTH-EAST,IMO,NKWERRE
SOUTH-EAST,IMO,NWANGELE
SOUTH-EAST,IMO,OBOWO
SOUTH-EAST,IMO,OGUTA
SOUTH-EAST,IMO,OHAJI/EGBEMA
SOUTH-EAST,IMO,OKIGWE
SOUTH-EAST,IMO,ONUIMO
SOUTH-EAST,IMO,ORLU
SOUTH-EAST,IMO,ORSU
SOUTH-EAST,IMO,ORU EAST
SOUTH-EAST,IMO,ORU WEST
SOUTH-EAST,IMO,OWERRI MUNICIPAL
SOUTH-EAST,IMO,OWERRI NORTH
SOUTH-EAST,IMO,OWERRI WEST
SOUTH-EAST,ENUGU,ANINRI
SOUTH-EAST,ENUGU,AWGU
SOUTH-EAST,ENUGU,ENUGU EAST
SOUTH-EAST,ENUGU,ENUGU NORTH
SOUTH-EAST,ENUGU,ENUGU SOUTH
SOUTH-EAST,ENUGU,EZEAGU
SOUTH-EAST,ENUGU,IGBO-EZE NORTH
SOUTH-EAST,ENUGU,IGBO-EZE SOUTH
SOUTH-EAST,ENUGU,IGBO ETITI
SOUTH-EAST,ENUGU,ISI-UZO
SOUTH-EAST,ENUGU,NKANU EAST
SOUTH-EAST,ENUGU,NKANU WEST
SOUTH-EAST,ENUGU,NSUKKA
SOUTH-EAST,ENUGU,OJI RIVER
SOUTH-EAST,ENUGU,UDENU
SOUTH-EAST,ENUGU,UDI
SOUTH-EAST,ENUGU,UZO-UWANI
SOUTH-EAST,ABIA,ABA NORTH
SOUTH-EAST,ABIA,ABA SOUTH
SOUTH-EAST,ABIA,AROCHUKWU
SOUTH-EAST,ABIA,BENDE
SOUTH-EAST,ABIA,IKWUANO
SOUTH-EAST,ABIA,ISIALA NGWA NORTH
SOUTH-EAST,ABIA,ISIALA NGWA SOUTH
SOUTH-EAST,ABIA,ISUIKWUATO
SOUTH-EAST,ABIA,OBI NGWA
SOUTH-EAST,ABIA,OHAFIA
SOUTH-EAST,ABIA,OSISIOMA NGWA
SOUTH-EAST,ABIA,UGWUNAGBO
SOUTH-EAST,ABIA,UKWA EAST
SOUTH-EAST,ABIA,UKWA WEST
SOUTH-EAST,ABIA,UMUAHIA NORTH
SOUTH-EAST,ABIA,UMUAHIA SOUTH
SOUTH-EAST,ABIA,UMU NNEOCHI
SOUTH-EAST,EBONYI,ABAKALIKI
SOUTH-EAST,EBONYI,AFIKPO NORTH
SOUTH-EAST,EBONYI,AFIKPO SOUTH
SOUTH-EAST,EBONYI,EBONYI
SOUTH-EAST,EBONYI,EZZA NORTH
SOUTH-EAST,EBONYI,EZZA SOUTH
SOUTH-EAST,EBONYI,IKWO
SOUTH-EAST,EBONYI,ISHIELU
SOUTH-EAST,EBONYI,IVO
SOUTH-EAST,EBONYI,IZZI
SOUTH-EAST,EBONYI,OHAOZARA
SOUTH-EAST,EBONYI,OHAUKWU
SOUTH-EAST,EBONYI,ONICHA
SOUTH-SOUTH,RIVERS,ABUA/ODUAL
SOUTH-SOUTH,RIVERS,AHOADA EAST
SOUTH-SOUTH,RIVERS,AHOADA WEST
SOUTH-SOUTH,RIVERS,AKUKU-TORU
SOUTH-SOUTH,RIVERS,ANDONI
SOUTH-SOUTH,RIVERS,ASARI-TORU
SOUTH-SOUTH,RIVERS,BONNY
SOUTH-SOUTH,RIVERS,DEGEMA
SOUTH-SOUTH,RIVERS,ELEME
SOUTH-SOUTH,RIVERS,EMOHUA
SOUTH-SOUTH,RIVERS,ETCHE
SOUTH-SOUTH,RIVERS,GOKANA
SOUTH-SOUTH,RIVERS,IKWERRE
SOUTH-SOUTH,RIVERS,KHANA
SOUTH-SOUTH,RIVERS,OBIO/AKPOR
SOUTH-SOUTH,RIVERS,OGBA/EGBEMA/NDONI
SOUTH-SOUTH,RIVERS,OGU/BOLO
SOUTH-SOUTH,RIVERS,OKIRIKA
SOUTH-SOUTH,RIVERS,OMUMA
SOUTH-SOUTH,RIVERS,OPOBO/NKORO
SOUTH-SOUTH,RIVERS,OYIGBO
SOUTH-SOUTH,RIVERS,PORT HARCOURT
SOUTH-SOUTH,RIVERS,TAI
SOUTH-SOUTH,DELTA,ANIOCHA NORTH
SOUTH-SOUTH,DELTA,ANIOCHA SOUTH
SOUTH-SOUTH,DELTA,BOMADI
SOUTH-SOUTH,DELTA,BURUTU
SOUTH-SOUTH,DELTA,ETHIOPE EAST
SOUTH-SOUTH,DELTA,ETHIOPE WEST
SOUTH-SOUTH,DELTA,IKA NORTH EAST
SOUTH-SOUTH,DELTA,IKA SOUTH
SOUTH-SOUTH,DELTA,ISOKO NORTH
SOUTH-SOUTH,DELTA,ISOKO SOUTH
SOUTH-SOUTH,DELTA,NDOKWA EAST
SOUTH-SOUTH,DELTA,NDOKWA WEST
SOUTH-SOUTH,DELTA,OKPE
SOUTH-SOUTH,DELTA,OSHIMILI NORTH
SOUTH-SOUTH,DELTA,OSHIMILI SOUTH
SOUTH-SOUTH,DELTA,PATANI
SOUTH-SOUTH,DELTA,SAPELE
SOUTH-SOUTH,DELTA,UDU
SOUTH-SOUTH,DELTA,UGHELLI NORTH
SOUTH-SOUTH,DELTA,UGHELLI SOUTH
SOUTH-SOUTH,DELTA,UKWUANI
SOUTH-SOUTH,DELTA,UVWIE
SOUTH-SOUTH,DELTA,WARRI NORTH
SOUTH-SOUTH,DELTA,WARRI SOUTH
SOUTH-SOUTH,DELTA,WARRI SOUTH WEST
SOUTH-SOUTH,EDO,AKOKO-EDO
SOUTH-SOUTH,EDO,EGOR
SOUTH-SOUTH,EDO,ESAN CENTRAL
SOUTH-SOUTH,EDO,ESAN NORTH-EAST
SOUTH-SOUTH,EDO,ESAN SOUTH-EAST
SOUTH-SOUTH,EDO,ESAN WEST
SOUTH-SOUTH,EDO,ETSAKO CENTRAL
SOUTH-SOUTH,EDO,ETSAKO EAST
SOUTH-SOUTH,EDO,ETSAKO WEST
SOUTH-SOUTH,EDO,IGUEBEN
SOUTH-SOUTH,EDO,IKPOBA-OKHA
SOUTH-SOUTH,EDO,ORHIONMWON
SOUTH-SOUTH,EDO,OREDO
SOUTH-SOUTH,EDO,OVIA NORTH-EAST
SOUTH-SOUTH,EDO,OVIA SOUTH-WEST
SOUTH-SOUTH,EDO,OWAN EAST
SOUTH-SOUTH,EDO,OWAN WEST
SOUTH-SOUTH,EDO,UHUNMWONDE
SOUTH-SOUTH,AKWA IBOM,ABAK
SOUTH-SOUTH,AKWA IBOM,EASTERN OBOLO
SOUTH-SOUTH,AKWA IBOM,EKET
SOUTH-SOUTH,AKWA IBOM,ESIT EKET
SOUTH-SOUTH,AKWA IBOM,ESSIEN UDIM
SOUTH-SOUTH,AKWA IBOM,ETIM EKPO
SOUTH-SOUTH,AKWA IBOM,ETINAN
SOUTH-SOUTH,AKWA IBOM,IBENO
SOUTH-SOUTH,AKWA IBOM,IBESIKPO ASUTAN
SOUTH-SOUTH,AKWA IBOM,IBIONO-IBOM
SOUTH-SOUTH,AKWA IBOM,IKA
SOUTH-SOUTH,AKWA IBOM,IKONO
SOUTH-SOUTH,AKWA IBOM,IKOT ABASI
SOUTH-SOUTH,AKWA IBOM,IKOT EKPENE
SOUTH-SOUTH,AKWA IBOM,INI
SOUTH-SOUTH,AKWA IBOM,ITU
SOUTH-SOUTH,AKWA IBOM,MBO
SOUTH-SOUTH,AKWA IBOM,MKPAT-ENIN
SOUTH-SOUTH,AKWA IBOM,NSIT-ATAI
SOUTH-SOUTH,AKWA IBOM,NSIT-IBOM
SOUTH-SOUTH,AKWA IBOM,NSIT-UBIUM
SOUTH-SOUTH,AKWA IBOM,OBOT AKARA
SOUTH-SOUTH,AKWA IBOM,OKOBO
SOUTH-SOUTH,AKWA IBOM,ONNA
SOUTH-SOUTH,AKWA IBOM,ORON
SOUTH-SOUTH,AKWA IBOM,ORUK ANAM
SOUTH-SOUTH,AKWA IBOM,UDUNG-UKO
SOUTH-SOUTH,AKWA IBOM,UKANAFUN
SOUTH-SOUTH,AKWA IBOM,URUAN
SOUTH-SOUTH,AKWA IBOM,URUE-OFFONG/ORUKO
SOUTH-SOUTH,AKWA IBOM,UYO
SOUTH-SOUTH,CROSS RIVER,ABI
SOUTH-SOUTH,CROSS RIVER,AKAMKPA
SOUTH-SOUTH,CROSS RIVER,AKPABUYO
SOUTH-SOUTH,CROSS RIVER,BAKASSI
SOUTH-SOUTH,CROSS RIVER,BEKWARRA
SOUTH-SOUTH,CROSS RIVER,BIASE
SOUTH-SOUTH,CROSS RIVER,BOKI
SOUTH-SOUTH,CROSS RIVER,CALABAR MUNICIPAL
SOUTH-SOUTH,CROSS RIVER,CALABAR SOUTH
SOUTH-SOUTH,CROSS RIVER,ETUNG
SOUTH-SOUTH,CROSS RIVER,IKOM
SOUTH-SOUTH,CROSS RIVER,OBANLIKU
SOUTH-SOUTH,CROSS RIVER,OBUBRA
SOUTH-SOUTH,CROSS RIVER,OBUDU
SOUTH-SOUTH,CROSS RIVER,ODUKPANI
SOUTH-SOUTH,CROSS RIVER,OGOJA
SOUTH-SOUTH,CROSS RIVER,YAKURR
SOUTH-SOUTH,CROSS RIVER,YALA
SOUTH-SOUTH,BAYELSA,BRASS
SOUTH-SOUTH,BAYELSA,EKEREMOR
SOUTH-SOUTH,BAYELSA,KOLOKUMA/OPOKUMA
SOUTH-SOUTH,BAYELSA,NEMBE
SOUTH-SOUTH,BAYELSA,OGBIA
SOUTH-SOUTH,BAYELSA,SAGBAMA
SOUTH-SOUTH,BAYELSA,SOUTHERN IJAW
SOUTH-SOUTH,BAYELSA,YENAGOA
NORTH-CENTRAL,FCT,ABAJI
NORTH-CENTRAL,FCT,ABUJA MUNICIPAL
NORTH-CENTRAL,FCT,BWARI
NORTH-CENTRAL,FCT,GWAGWALADA
NORTH-CENTRAL,FCT,KUJE
NORTH-CENTRAL,FCT,KWALI
NORTH-CENTRAL,KOGI,ADAVI
NORTH-CENTRAL,KOGI,AJAOKUTA
NORTH-CENTRAL,KOGI,ANKPA
NORTH-CENTRAL,KOGI,BASSA
NORTH-CENTRAL,KOGI,DEKINA
NORTH-CENTRAL,KOGI,IBAJI
NORTH-CENTRAL,KOGI,IDAH
NORTH-CENTRAL,KOGI,IGALAMELA-ODOLU
NORTH-CENTRAL,KOGI,IJUMU
NORTH-CENTRAL,KOGI,KABBA/BUNU
NORTH-CENTRAL,KOGI,KOGI
NORTH-CENTRAL,KOGI,LOKOJA
NORTH-CENTRAL,KOGI,MOPA-MURO
NORTH-CENTRAL,KOGI,OFU
NORTH-CENTRAL,KOGI,OGORI/MAGONGO
NORTH-CENTRAL,KOGI,OKEHI
NORTH-CENTRAL,KOGI,OKENE
NORTH-CENTRAL,KOGI,OLAMABORO
NORTH-CENTRAL,KOGI,OMALA
NORTH-CENTRAL,KOGI,YAGBA EAST
NORTH-CENTRAL,KOGI,YAGBA WEST
NORTH-CENTRAL,KWARA,ASA
NORTH-CENTRAL,KWARA,BARUTEN
NORTH-CENTRAL,KWARA,EDU
NORTH-CENTRAL,KWARA,EKITI
NORTH-CENTRAL,KWARA,IFELODUN
NORTH-CENTRAL,KWARA,ILORIN EAST
NORTH-CENTRAL,KWARA,ILORIN SOUTH
NORTH-CENTRAL,KWARA,ILORIN WEST
NORTH-CENTRAL,KWARA,IREPODUN
NORTH-CENTRAL,KWARA,ISIN
NORTH-CENTRAL,KWARA,KAIAMA
NORTH-CENTRAL,KWARA,MORO
NORTH-CENTRAL,KWARA,OFFA
NORTH-CENTRAL,KWARA,OKE-ERO
NORTH-CENTRAL,KWARA,OYUN
NORTH-CENTRAL,KWARA,PATEGI
NORTH-CENTRAL,BENUE,ADO
NORTH-CENTRAL,BENUE,AGATU
NORTH-CENTRAL,BENUE,APA
NORTH-CENTRAL,BENUE,BURUKU
NORTH-CENTRAL,BENUE,GBOKO
NORTH-CENTRAL,BENUE,GUMA
NORTH-CENTRAL,BENUE,GWER EAST
NORTH-CENTRAL,BENUE,GWER WEST
NORTH-CENTRAL,BENUE,KATSINA-ALA
NORTH-CENTRAL,BENUE,KONSHISHA
NORTH-CENTRAL,BENUE,KWANDE
NORTH-CENTRAL,BENUE,LOGO
NORTH-CENTRAL,BENUE,MAKURDI
NORTH-CENTRAL,BENUE,OBI
NORTH-CENTRAL,BENUE,OGBADIBO
NORTH-CENTRAL,BENUE,OHIMINI
NORTH-CENTRAL,BENUE,OJU
NORTH-CENTRAL,BENUE,OKPOKWU
NORTH-CENTRAL,BENUE,OTUKPO
NORTH-CENTRAL,BENUE,TARKA
NORTH-CENTRAL,BENUE,UKUM
NORTH-CENTRAL,BENUE,USHONGO
NORTH-CENTRAL,BENUE,VANDEIKYA
NORTH-CENTRAL,PLATEAU,BARKIN LADI
NORTH-CENTRAL,PLATEAU,BASSA
NORTH-CENTRAL,PLATEAU,BOKKOS
NORTH-CENTRAL,PLATEAU,JOS EAST
NORTH-CENTRAL,PLATEAU,JOS NORTH
NORTH-CENTRAL,PLATEAU,JOS SOUTH
NORTH-CENTRAL,PLATEAU,KANAM
NORTH-CENTRAL,PLATEAU,KANKE
NORTH-CENTRAL,PLATEAU,LANGTANG NORTH
NORTH-CENTRAL,PLATEAU,LANGTANG SOUTH
NORTH-CENTRAL,PLATEAU,MANGU
NORTH-CENTRAL,PLATEAU,MIKANG
NORTH-CENTRAL,PLATEAU,PANKSHIN
NORTH-CENTRAL,PLATEAU,QUA'AN-PAN
NORTH-CENTRAL,PLATEAU,RIYOM
NORTH-CENTRAL,PLATEAU,SHENDAM
NORTH-CENTRAL,PLATEAU,WASE
NORTH-CENTRAL,NIGER,AGAIE
NORTH-CENTRAL,NIGER,AGWARA
NORTH-CENTRAL,NIGER,BIDA
NORTH-CENTRAL,NIGER,BORGU
NORTH-CENTRAL,NIGER,BOSSO
NORTH-CENTRAL,NIGER,CHANCHAGA
NORTH-CENTRAL,NIGER,EDATI
NORTH-CENTRAL,NIGER,GBAKO
NORTH-CENTRAL,NIGER,GURARA
NORTH-CENTRAL,NIGER,KATCHA
NORTH-CENTRAL,NIGER,KONTAGORA
NORTH-CENTRAL,NIGER,LAPAI
NORTH-CENTRAL,NIGER,LAVUN
NORTH-CENTRAL,NIGER,MAGAMA
NORTH-CENTRAL,NIGER,MARIGA
NORTH-CENTRAL,NIGER,MASHEGU
NORTH-CENTRAL,NIGER,MOKWA
NORTH-CENTRAL,NIGER,MUNYA
NORTH-CENTRAL,NIGER,PAIKORO
NORTH-CENTRAL,NIGER,RAFI
NORTH-CENTRAL,NIGER,RIJAU
NORTH-CENTRAL,NIGER,SHIRORO
NORTH-CENTRAL,NIGER,SULEJA
NORTH-CENTRAL,NIGER,TAFA
NORTH-CENTRAL,NIGER,WUSHISHI
NORTH-CENTRAL,NASARAWA,AKWANGA
NORTH-CENTRAL,NASARAWA,AWE
NORTH-CENTRAL,NASARAWA,DOMA
NORTH-CENTRAL,NASARAWA,KARU
NORTH-CENTRAL,NASARAWA,KEANA
NORTH-CENTRAL,NASARAWA,KEFFI
NORTH-CENTRAL,NASARAWA,KOKONA
NORTH-CENTRAL,NASARAWA,LAFIA
NORTH-CENTRAL,NASARAWA,NASARAWA
NORTH-CENTRAL,NASARAWA,NASARAWA EGGON
NORTH-CENTRAL,NASARAWA,OBI
NORTH-CENTRAL,NASARAWA,TOTO
NORTH-CENTRAL,NASARAWA,WAMBA
NORTH-EAST,ADAMAWA,DEMSA
NORTH-EAST,ADAMAWA,FUFURE
NORTH-EAST,ADAMAWA,GANYE
NORTH-EAST,ADAMAWA,GIREI
NORTH-EAST,ADAMAWA,GOMBI
NORTH-EAST,ADAMAWA,GUYUK
NORTH-EAST,ADAMAWA,HONG
NORTH-EAST,ADAMAWA,JADA
NORTH-EAST,ADAMAWA,LAMURDE
NORTH-EAST,ADAMAWA,MADAGALI
NORTH-EAST,ADAMAWA,MAIHA
NORTH-EAST,ADAMAWA,MAYO-BELWA
NORTH-EAST,ADAMAWA,MICHIKA
NORTH-EAST,ADAMAWA,MUBI NORTH
NORTH-EAST,ADAMAWA,MUBI SOUTH
NORTH-EAST,ADAMAWA,NUMAN
NORTH-EAST,ADAMAWA,SHELLENG
NORTH-EAST,ADAMAWA,SONG
NORTH-EAST,ADAMAWA,TOUNGO
NORTH-EAST,ADAMAWA,YOLA NORTH
NORTH-EAST,ADAMAWA,YOLA SOUTH
NORTH-EAST,GOMBE,AKKO
NORTH-EAST,GOMBE,BALANGA
NORTH-EAST,GOMBE,BILLIRI
NORTH-EAST,GOMBE,DUKKU
NORTH-EAST,GOMBE,FUNAKAYE
NORTH-EAST,GOMBE,GOMBE
NORTH-EAST,GOMBE,KALTUNGO
NORTH-EAST,GOMBE,KWAMI
NORTH-EAST,GOMBE,NAFADA
NORTH-EAST,GOMBE,SHONGOM
NORTH-EAST,GOMBE,YAMALTU/DEBA
NORTH-EAST,TARABA,ARDO-KOLA
NORTH-EAST,TARABA,BALI
NORTH-EAST,TARABA,DONGA
NORTH-EAST,TARABA,GASHAKA
NORTH-EAST,TARABA,GASSOL
NORTH-EAST,TARABA,IBI
NORTH-EAST,TARABA,JALINGO
NORTH-EAST,TARABA,KARIM LAMIDO
NORTH-EAST,TARABA,KURMI
NORTH-EAST,TARABA,LAU
NORTH-EAST,TARABA,SARDAUNA
NORTH-EAST,TARABA,TAKUM
NORTH-EAST,TARABA,USSA
NORTH-EAST,TARABA,WUKARI
NORTH-EAST,TARABA,YORRO
NORTH-EAST,TARABA,ZING
NORTH-EAST,BORNO,ABADAM
NORTH-EAST,BORNO,ASKIRA/UBA
NORTH-EAST,BORNO,BAMA
NORTH-EAST,BORNO,BAYO
NORTH-EAST,BORNO,BIU
NORTH-EAST,BORNO,CHIBOK
NORTH-EAST,BORNO,DAMBOA
NORTH-EAST,BORNO,DIKWA
NORTH-EAST,BORNO,GUBIO
NORTH-EAST,BORNO,GUZAMALA
NORTH-EAST,BORNO,GWOZA
NORTH-EAST,BORNO,HAWUL
NORTH-EAST,BORNO,JERE
NORTH-EAST,BORNO,KAGA
NORTH-EAST,BORNO,KALA/BALGE
NORTH-EAST,BORNO,KONDUGA
NORTH-EAST,BORNO,KUKAWA
NORTH-EAST,BORNO,KWAYA KUSAR
NORTH-EAST,BORNO,MAFA
NORTH-EAST,BORNO,MAGUMERI
NORTH-EAST,BORNO,MAIDUGURI
NORTH-EAST,BORNO,MARTE
NORTH-EAST,BORNO,MOBBAR
NORTH-EAST,BORNO,MONGUNO
NORTH-EAST,BORNO,NGALA
NORTH-EAST,BORNO,NGANZAI
NORTH-EAST,BORNO,SHANI
NORTH-EAST,BAUCHI,ALKALERI
NORTH-EAST,BAUCHI,BAUCHI
NORTH-EAST,BAUCHI,BOGORO
NORTH-EAST,BAUCHI,DAMBAN
NORTH-EAST,BAUCHI,DARAZO
NORTH-EAST,BAUCHI,DASS
NORTH-EAST,BAUCHI,GAMAWA
NORTH-EAST,BAUCHI,GANJUWA
NORTH-EAST,BAUCHI,GIADE
NORTH-EAST,BAUCHI,ITAS/GADAU
NORTH-EAST,BAUCHI,JAMA'ARE
NORTH-EAST,BAUCHI,KATAGUM
NORTH-EAST,BAUCHI,KIRFI
NORTH-EAST,BAUCHI,MISAU
NORTH-EAST,BAUCHI,NINGI
NORTH-EAST,BAUCHI,SHIRA
NORTH-EAST,BAUCHI,TAFAWA BALEWA
NORTH-EAST,BAUCHI,TORO
NORTH-EAST,BAUCHI,WARJI
NORTH-EAST,BAUCHI,ZAKI
NORTH-EAST,YOBE,BADE
NORTH-EAST,YOBE,BURSARI
NORTH-EAST,YOBE,DAMATURU
NORTH-EAST,YOBE,FIKA
NORTH-EAST,YOBE,FUNE
